elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000036, 10.000036, 12019, 1719, 5513.6, 4602, 11467, 17732, 32236, 50618, 0
20.000788, 10.000752, 12006, 1724, 5460.4, 4605, 11531, 16497, 26017, 40723, 0
30.000755, 9.999967, 12188, 1693, 5433.7, 4598, 11272, 16517, 24717, 33697, 0
40.000729, 9.999974, 10733, 1696, 6057.6, 4670, 12460, 24960, 93732, 197368, 0
50.000795, 10.000066, 12042, 1680, 5438.8, 4603, 11319, 15849, 21753, 34088, 0
60.000781, 9.999986, 12043, 1691, 5440.7, 4582, 11232, 16352, 30262, 48624, 0
70.000737, 9.999956, 9073, 1623, 5448.6, 4562, 11461, 16043, 28125, 52748, 0
80.000991, 10.000254, 66, 1992, 4605.5, 3678, 10928, 11817, 14173, 14173, 15
90.000736, 9.999745, 72, 2060, 5447.6, 4449, 11708, 13129, 14663, 14663, 15
100.000743, 10.000007, 62, 2022, 5080.8, 4282, 9073, 13026, 13737, 13737, 13
110.000734, 9.999991, 72, 1942, 5771.4, 4651, 13726, 15727, 17054, 17054, 14
120.000736, 10.000002, 63, 1879, 4845.2, 4058, 9410, 12145, 13394, 13394, 11
130.000747, 10.000011, 9433, 1691, 8237.8, 4578, 11605, 16665, 30088, 4380648, 0
140.000915, 10.000168, 11889, 1725, 5468.6, 4603, 11365, 16395, 24426, 31725, 0
150.000751, 9.999836, 11888, 1696, 5497.2, 4643, 11545, 16464, 23378, 36046, 0
160.000769, 10.000018, 11043, 1766, 5917.5, 4602, 11976, 22368, 98040, 136633, 0
170.00076, 9.999991, 12341, 1735, 5389.5, 4564, 11257, 15713, 23481, 31596, 0
180.000737, 9.999977, 11835, 1736, 5575.1, 4653, 11671, 17261, 31418, 80342, 0
190.000764, 10.000027, 12021, 1717, 5498.7, 4596, 11554, 16793, 27477, 48977, 0
200.000752, 9.999988, 10861, 1653, 5994.0, 4646, 11960, 21452, 101822, 143348, 0
210.000746, 9.999994, 11897, 1717, 5461.2, 4593, 11521, 16529, 25404, 208780, 0
220.000764, 10.000018, 11857, 1735, 5527.1, 4690, 11573, 16446, 22870, 36088, 0
230.000796, 10.000032, 10398, 1684, 6310.0, 4753, 12300, 34105, 121290, 151598, 0
240.000746, 9.99995, 11972, 1759, 5461.9, 4589, 11373, 16384, 30794, 54276, 0
250.000827, 10.000081, 11674, 1641, 5613.5, 4614, 11885, 17517, 34107, 119245, 0
260.000787, 9.99996, 11782, 1752, 5557.7, 4681, 11596, 16710, 25320, 48368, 0
270.000762, 9.999975, 10439, 1741, 6229.5, 4739, 12600, 26544, 126680, 203653, 0
280.000771, 10.000009, 11810, 1745, 5542.1, 4669, 11662, 17109, 28479, 37586, 0
290.000735, 9.999964, 11434, 1694, 5635.9, 4768, 11771, 16962, 28575, 52635, 0
300.000757, 10.000022, 10723, 1723, 6147.8, 4731, 12280, 25221, 110528, 163975, 0
310.000802, 10.000045, 11464, 1769, 5805.4, 4758, 12269, 18158, 60033, 131027, 0
320.00079, 9.999988, 11485, 1644, 5724.0, 4756, 11985, 17695, 44891, 209575, 0
330.000761, 9.999971, 11656, 1649, 5645.3, 4708, 11974, 17382, 27593, 204929, 0
340.000758, 9.999997, 10441, 1733, 6290.2, 4756, 12505, 28226, 120349, 144223, 0
350.00076, 10.000002, 11773, 1697, 5601.9, 4639, 11758, 16922, 35505, 67272, 0
360.000812, 10.000052, 11604, 1689, 5667.3, 4748, 11878, 17130, 26103, 38735, 0
370.000754, 9.999942, 10365, 1706, 6295.7, 4730, 12479, 23807, 124106, 209768, 0
380.000734, 9.99998, 11622, 1727, 5717.7, 4724, 11935, 17168, 35256, 109506, 0
390.000768, 10.000034, 11503, 1617, 5736.7, 4799, 12212, 17761, 26706, 46808, 0
400.000756, 9.999988, 11562, 1709, 5724.2, 4787, 12124, 17545, 29912, 51219, 0
410.00083, 10.000074, 10240, 1728, 6325.8, 4784, 12587, 27278, 111149, 179776, 0
420.000743, 9.999913, 11568, 1699, 5701.6, 4775, 11952, 17964, 26083, 34162, 0
430.000846, 10.000103, 11640, 1713, 5620.1, 4731, 11855, 16848, 24676, 46212, 0
440.000734, 9.999888, 10524, 1751, 6294.5, 4806, 12595, 24366, 108204, 169397, 0
450.000766, 10.000032, 11269, 1635, 5784.8, 4852, 12014, 17821, 38268, 54250, 0
460.000879, 10.000113, 11430, 1767, 5756.4, 4838, 12280, 17921, 25625, 34077, 0
470.000789, 9.99991, 11332, 1704, 5797.0, 4856, 12300, 18479, 28495, 203193, 0
480.000773, 9.999984, 10440, 1722, 6282.8, 4884, 13079, 26434, 103587, 195208, 0
490.000758, 9.999985, 11328, 1703, 5807.9, 4871, 12237, 18325, 26058, 61953, 0
500.000789, 10.000031, 11275, 1688, 5836.9, 4898, 12508, 18272, 32092, 67717, 0
510.000741, 9.999952, 10198, 1667, 6479.9, 4889, 12941, 24469, 124594, 156611, 0
520.000745, 10.000004, 11522, 1762, 5795.0, 4713, 11975, 17975, 92099, 136669, 0
530.000925, 10.00018, 11905, 1735, 5515.8, 4679, 11400, 16062, 23626, 35451, 0
540.000754, 9.999829, 11134, 1728, 5871.3, 4907, 12296, 18208, 36021, 72963, 0
550.000751, 9.999997, 10179, 1690, 6388.1, 4893, 12939, 26965, 134422, 155461, 0
560.000742, 9.999991, 11422, 1697, 5813.3, 4851, 12291, 17968, 34185, 58112, 0
570.000759, 10.000017, 11528, 1780, 5679.3, 4786, 11875, 16860, 26857, 208901, 0
580.000778, 10.000019, 10252, 1761, 6335.5, 4905, 12965, 24307, 117378, 160617, 0
590.000754, 9.999976, 11540, 1750, 5760.9, 4766, 11961, 17095, 61803, 160617, 0
600.000737, 9.999983, 11283, 1707, 5780.0, 4870, 12235, 17388, 25757, 36655, 0
610.000967, 10.00023, 11209, 1692, 5929.6, 4925, 12753, 18962, 32878, 41851, 0
620.000764, 9.999797, 10293, 1697, 6300.3, 4944, 12901, 23020, 104387, 178730, 0
630.00075, 9.999986, 11573, 1697, 5665.9, 4799, 11740, 17081, 26789, 39411, 0
640.000781, 10.000031, 11497, 1676, 5605.9, 4762, 11740, 16875, 25441, 36035, 0
650.000739, 9.999958, 10290, 1760, 6198.8, 4855, 12530, 22030, 117817, 143447, 0
660.000792, 10.000053, 10914, 1677, 6019.1, 4867, 12450, 19304, 79720, 160873, 0
670.000778, 9.999986, 11001, 1728, 5961.1, 4988, 12777, 18781, 31559, 58036, 0
680.000818, 10.00004, 11032, 1715, 5926.5, 4988, 12601, 19160, 30301, 45001, 0
690.000792, 9.999974, 10114, 1717, 6510.3, 5063, 13213, 25022, 117844, 133810, 0
700.000739, 9.999947, 11273, 1730, 5850.2, 4911, 12376, 18061, 29463, 41196, 0
710.000771, 10.000032, 11081, 1718, 5944.1, 5007, 12582, 18331, 28068, 57409, 0
720.000738, 9.999967, 9946, 1714, 6510.7, 5028, 13139, 22885, 125502, 218579, 0
730.000738, 10.0, 10772, 1729, 6117.0, 4972, 12759, 19162, 70311, 175601, 0
740.000798, 10.00006, 11086, 1608, 5973.3, 5033, 12868, 18286, 24960, 38826, 0
750.000776, 9.999978, 11111, 1725, 5938.6, 4987, 12541, 18072, 31864, 42802, 0
760.000838, 10.000062, 9958, 1699, 6417.7, 4999, 13404, 24281, 107345, 216324, 0
770.000806, 9.999968, 11129, 1733, 6005.6, 5079, 12631, 18411, 30572, 219206, 0
780.00077, 9.999964, 10923, 1720, 5974.8, 5001, 12807, 18723, 29356, 44826, 0
790.000748, 9.999978, 9983, 1662, 6593.5, 5089, 13714, 25721, 119988, 244018, 0
800.00076, 10.000012, 10842, 1742, 6107.0, 5096, 12864, 19202, 29944, 115723, 0
810.000805, 10.000045, 11075, 1730, 6041.7, 5026, 13101, 19115, 30291, 48362, 0
820.000737, 9.999932, 10941, 1688, 6089.2, 5153, 12770, 18598, 32536, 67095, 0
830.000797, 10.00006, 9958, 1688, 6614.0, 5138, 13469, 23368, 131050, 153431, 0
840.000736, 9.999939, 10854, 1758, 6054.1, 5096, 12865, 18543, 28435, 38502, 0
850.000807, 10.000071, 11089, 1778, 5995.6, 5043, 12843, 17923, 29141, 83989, 0
860.000743, 9.999936, 9471, 1727, 6939.0, 5174, 13850, 31621, 130807, 146963, 0
870.000738, 9.999995, 10743, 1742, 6276.3, 5197, 13327, 19798, 58342, 121011, 0
880.000757, 10.000019, 10925, 1699, 6053.6, 5106, 12876, 19063, 28231, 37750, 0
890.000728, 9.999971, 10831, 1676, 6017.5, 5078, 12589, 18649, 37841, 49616, 0
900.000759, 10.000031, 10253, 1676, 6520.1, 5197, 13519, 21988, 112136, 132356, 0
910.000787, 10.000028, 10929, 1677, 6015.4, 5095, 12772, 18256, 30487, 47776, 0
920.000784, 9.999997, 10742, 1705, 6117.6, 5102, 13254, 18926, 28836, 45815, 0
930.000873, 10.000089, 9690, 1759, 6712.5, 5239, 14047, 27989, 103007, 166996, 0
940.000735, 9.999862, 10710, 1705, 6119.8, 5112, 13102, 19861, 36120, 68204, 0
950.000773, 10.000038, 10771, 1651, 6125.4, 5212, 12771, 18794, 29103, 37745, 0
960.000731, 9.999958, 10503, 1651, 6215.9, 5098, 12961, 19419, 71064, 106601, 0
970.000781, 10.00005, 10248, 1760, 6510.0, 5169, 13223, 20843, 113679, 177480, 0
980.000745, 9.999964, 10777, 1639, 6128.0, 5203, 12859, 17948, 27753, 204237, 0
990.000788, 10.000043, 10885, 1733, 5986.8, 5031, 12478, 18332, 35108, 56770, 0
1000.000816, 10.000028, 10152, 1685, 6477.7, 5037, 13086, 21648, 117603, 163367, 0
1010.000749, 9.999933, 10944, 1619, 5975.5, 5079, 12382, 17673, 28650, 47931, 0
1020.000754, 10.000005, 10728, 1698, 6166.2, 5193, 13136, 18566, 27808, 43918, 0
1030.000951, 10.000197, 10206, 1741, 6460.6, 5350, 13542, 21013, 81750, 121627, 0
1040.000763, 9.999812, 9957, 1768, 6618.6, 5279, 13562, 22034, 120065, 138876, 0
1050.000842, 10.000079, 10917, 1744, 6119.1, 5194, 12800, 18249, 28204, 206987, 0
1060.000775, 9.999933, 10608, 1718, 6170.6, 5214, 13258, 19388, 31061, 36855, 0
1070.000761, 9.999986, 10059, 1783, 6439.2, 5121, 13095, 21072, 105145, 134182, 0
1080.000749, 9.999988, 10585, 1775, 6260.3, 5286, 13309, 18682, 28000, 43392, 0
1090.000801, 10.000052, 10596, 1641, 6242.6, 5308, 13099, 18662, 29300, 205738, 0
1100.000871, 10.00007, 10608, 1748, 6193.2, 5167, 12776, 18824, 108460, 124513, 0
1110.00073, 9.999859, 10209, 1743, 6399.8, 5171, 13081, 19948, 97559, 133302, 0
1120.000796, 10.000066, 10887, 1766, 6003.9, 5105, 12604, 17730, 24888, 37988, 0
1130.000778, 9.999982, 10557, 1702, 6262.3, 5280, 13046, 18892, 34730, 136062, 0
1140.000768, 9.99999, 9529, 1720, 6820.9, 5341, 14007, 22630, 142480, 235861, 0
1150.000742, 9.999974, 10399, 1755, 6543.7, 5372, 13665, 19917, 84534, 235861, 0
1160.000746, 10.000004, 10499, 1761, 6365.4, 5440, 13481, 19547, 29745, 49519, 0
1170.00073, 9.999984, 10216, 1730, 6415.2, 5287, 13510, 20531, 65454, 135605, 0
1180.000776, 10.000046, 9643, 1637, 6699.6, 5348, 13965, 21594, 95128, 150190, 0
1190.000884, 10.000108, 10308, 1729, 6472.9, 5475, 14055, 20557, 30052, 45093, 0
1200.000743, 9.999859, 10200, 1684, 6497.1, 5476, 14092, 20585, 32339, 49708, 0
1210.000736, 9.999993, 9442, 1729, 6928.3, 5445, 14112, 24487, 125508, 161606, 0
1220.00075, 10.000014, 10488, 1694, 6516.8, 5495, 13313, 19299, 89142, 161606, 0
1230.000733, 9.999983, 10309, 1677, 6305.1, 5354, 13451, 19377, 27868, 43693, 0
1240.000832, 10.000099, 9974, 1722, 6659.3, 5443, 13881, 20629, 104613, 132841, 0
1250.000778, 9.999946, 9784, 1725, 6715.0, 5389, 13696, 21869, 111260, 140067, 0
1260.000763, 9.999985, 10457, 1733, 6391.5, 5357, 13833, 20240, 28743, 43871, 0
1270.000746, 9.999983, 10325, 1629, 6492.6, 5484, 13665, 20038, 35898, 70037, 0
1280.000803, 10.000057, 9372, 1710, 6971.5, 5505, 14264, 25024, 113081, 172012, 0
1290.000736, 9.999933, 10446, 1706, 6419.3, 5394, 13654, 19817, 33479, 64286, 0
1300.000797, 10.000061, 10566, 1687, 6209.9, 5363, 12999, 17965, 26956, 37329, 0
1310.000865, 10.000068, 9901, 1735, 6509.7, 5386, 13441, 19908, 87043, 111091, 0
1320.000749, 9.999884, 9937, 1717, 6662.7, 5466, 13603, 21137, 100999, 123420, 0
1330.000734, 9.999985, 10304, 1677, 6391.0, 5560, 13280, 18398, 32653, 42388, 0
1340.000748, 10.000014, 10172, 1760, 6445.5, 5584, 13403, 18276, 27334, 92391, 0
1350.00073, 9.999982, 9103, 1761, 7195.4, 5754, 14132, 23663, 125250, 147910, 0
1360.000815, 10.000085, 9523, 1644, 6930.6, 5954, 14674, 20370, 42535, 84824, 0
1370.000782, 9.999967, 9639, 1726, 6915.5, 6047, 14550, 20167, 31713, 46827, 0
1380.000732, 9.99995, 9359, 1729, 7129.8, 6074, 14595, 21941, 88460, 111194, 0
1390.000744, 10.000012, 8791, 1748, 7588.8, 6149, 15632, 24958, 119272, 171269, 0
1400.000759, 10.000015, 9548, 1731, 6998.0, 6091, 14737, 20590, 30268, 43359, 0
1410.000734, 9.999975, 9335, 1747, 7086.8, 6141, 14601, 21070, 47212, 98895, 0
1420.000727, 9.999993, 8612, 1676, 7672.9, 6210, 15188, 25142, 124088, 167506, 0
1430.000781, 10.000054, 9349, 1776, 7078.1, 6174, 14840, 20647, 33864, 58164, 0
1440.000819, 10.000038, 9475, 1741, 7087.4, 6226, 14839, 20155, 28659, 62678, 0
1450.000767, 9.999948, 8988, 1778, 7339.2, 6263, 15008, 22118, 88345, 132511, 0
1460.00078, 10.000013, 8802, 1689, 7559.7, 6377, 15421, 22706, 118215, 165964, 0
1470.000771, 9.999991, 9421, 1755, 7072.4, 6227, 14649, 20060, 29850, 64533, 0
1480.000748, 9.999977, 9320, 1727, 7207.9, 6301, 14829, 20988, 42029, 105615, 0
1490.000821, 10.000073, 8672, 1748, 7699.3, 6413, 15191, 24814, 115086, 149013, 0
1500.000784, 9.999963, 9125, 1713, 7297.0, 6349, 15031, 21707, 49350, 112506, 0
1510.000889, 10.000105, 9253, 1684, 7140.5, 6331, 14815, 20369, 27956, 42876, 0
1520.00076, 9.999871, 9285, 1722, 7144.0, 6174, 14377, 20620, 88688, 141392, 0
1530.000768, 10.000008, 8893, 1751, 7551.8, 6303, 15287, 24546, 122679, 178410, 0
1540.000751, 9.999983, 9246, 1771, 7202.2, 6398, 14869, 20365, 32151, 60226, 0
1550.000761, 10.00001, 9279, 1807, 7168.6, 6304, 14887, 20245, 35447, 80465, 0
1560.000785, 10.000024, 8813, 1804, 7594.6, 6237, 15259, 23447, 127871, 153126, 0
1570.000861, 10.000076, 9422, 1754, 7106.7, 6137, 14705, 20678, 38154, 139674, 0
1580.000752, 9.999891, 9566, 1675, 6929.8, 6053, 14445, 19331, 31230, 45667, 0
1590.000742, 9.99999, 9324, 1821, 7170.8, 6127, 14555, 21451, 72034, 92468, 0
1600.000732, 9.99999, 9190, 1728, 7195.9, 5954, 14412, 23710, 115326, 143680, 0
1610.000787, 10.000055, 9468, 1770, 6981.6, 6105, 14518, 20479, 31599, 40549, 0
1620.000761, 9.999974, 9419, 1705, 7025.4, 6054, 14559, 20959, 47033, 96235, 0
1630.000731, 9.99997, 8757, 1671, 7569.9, 5906, 14842, 27934, 142457, 162258, 0
1640.000752, 10.000021, 9774, 1733, 6744.7, 5881, 13974, 19549, 30940, 57298, 0
1650.000749, 9.999997, 9702, 1802, 6874.7, 6007, 14391, 19796, 29049, 44771, 0
1660.000875, 10.000126, 9406, 1752, 7137.9, 6006, 14578, 21244, 109312, 156862, 0
1670.000739, 9.999864, 9411, 1661, 7094.1, 5884, 14274, 21858, 112599, 152577, 0
1680.000768, 10.000029, 9556, 1736, 6920.8, 5972, 14534, 20255, 33357, 72857, 0
1690.000767, 9.999999, 9629, 1690, 6962.1, 6004, 14299, 20163, 41312, 125771, 0
1700.000776, 10.000009, 9114, 1745, 7274.3, 5889, 14281, 23516, 138863, 161608, 0
1710.000765, 9.999989, 9877, 1706, 6767.8, 5939, 14027, 19430, 28356, 35192, 0
1720.000788, 10.000023, 9982, 1770, 6650.6, 5753, 13807, 20018, 30740, 47546, 0
1730.00081, 10.000022, 9384, 1741, 7086.6, 5912, 14278, 20376, 127287, 180949, 0
1740.000804, 9.999994, 9328, 1755, 7268.3, 5958, 14592, 23579, 109732, 140326, 0
1750.000752, 9.999948, 9813, 1760, 6713.2, 5809, 14091, 19531, 29011, 35448, 0
1760.000815, 10.000063, 9505, 1737, 6990.6, 6012, 14478, 21123, 67775, 94543, 0
1770.000755, 9.99994, 8881, 1754, 7434.8, 5991, 14748, 25760, 125315, 144610, 0
1780.000855, 10.0001, 9952, 1794, 6835.1, 5787, 14433, 20092, 38086, 144610, 0
1790.000747, 9.999892, 9922, 1672, 6685.0, 5751, 13990, 19890, 32046, 50694, 0
1800.000745, 9.999998, 9365, 1798, 7080.8, 5828, 14193, 20841, 109383, 156131, 0
1810.00088, 10.000135, 9100, 1720, 7153.0, 5996, 14861, 23250, 87761, 132571, 0
1820.000782, 9.999902, 9610, 1785, 6906.2, 5891, 14616, 20967, 36744, 55423, 0
1830.000744, 9.999962, 9814, 1805, 6747.4, 5753, 14089, 20104, 63362, 103510, 0
1840.000811, 10.000067, 9075, 1777, 7399.3, 5872, 14916, 28395, 133026, 178663, 0
1850.000753, 9.999942, 9817, 1772, 6911.1, 5761, 14234, 20987, 46952, 178663, 0
1860.000797, 10.000044, 9837, 1797, 6668.6, 5689, 14029, 19682, 29460, 45805, 0
1870.000791, 9.999994, 9562, 1731, 6911.5, 5766, 14040, 21210, 97987, 128913, 0
1880.000738, 9.999947, 9470, 1774, 6967.7, 5787, 14221, 22251, 97124, 162727, 0
1890.000771, 10.000033, 10087, 1774, 6524.8, 5634, 13688, 18911, 29635, 58838, 0
1900.000811, 10.00004, 9992, 1736, 6581.2, 5637, 13734, 19573, 41012, 129160, 0
1910.000888, 10.000077, 9284, 1736, 7203.3, 5868, 14925, 22942, 130658, 180739, 0
1920.000958, 10.00007, 9903, 1656, 6823.9, 5783, 14373, 21703, 44717, 180739, 0
1930.00077, 9.999812, 9875, 1772, 6691.8, 5768, 14186, 19665, 28094, 37218, 0
1940.000745, 9.999975, 9302, 1772, 7035.8, 5746, 14595, 21606, 111337, 138514, 0
1950.000727, 9.999982, 9539, 1740, 7102.3, 5833, 14600, 22779, 106816, 133606, 0
1960.00074, 10.000013, 9868, 1618, 6704.4, 5787, 14135, 19597, 29123, 40416, 0
1970.000732, 9.999992, 9733, 1788, 6867.4, 5803, 14290, 20807, 71371, 98502, 0
1980.000773, 10.000041, 9258, 1793, 7056.3, 5809, 14446, 21690, 117487, 197325, 0
1990.000757, 9.999984, 9921, 1786, 6696.2, 5773, 14180, 19973, 29009, 41185, 0
2000.00082, 10.000063, 9887, 1762, 6682.8, 5776, 14133, 19708, 30811, 56530, 0
2010.000798, 9.999978, 9462, 1721, 7014.5, 5808, 14431, 23471, 89451, 124714, 0
2020.000737, 9.999939, 9396, 1736, 7087.5, 5880, 14618, 22674, 88945, 128770, 0
2030.000758, 10.000021, 9850, 1781, 6671.0, 5713, 14124, 19973, 28526, 41294, 0
2040.000744, 9.999986, 9721, 1791, 6770.1, 5775, 14408, 20358, 35499, 53935, 0
