elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000036, 10.000036, 1194, 3043, 11487.5, 9962, 24263, 32784, 49268, 54743, 0
20.000788, 10.000752, 1197, 2920, 11653.0, 10034, 24335, 33233, 51589, 65287, 0
30.000755, 9.999967, 1152, 2721, 11778.3, 9931, 24772, 35720, 46838, 47582, 0
40.000729, 9.999974, 1051, 3038, 13558.4, 10188, 28182, 75353, 209716, 217560, 0
50.000795, 10.000066, 1202, 2881, 11827.5, 10116, 25225, 37023, 58605, 65818, 0
60.000781, 9.999986, 1202, 2839, 11890.4, 10202, 25434, 33190, 52483, 267745, 0
70.000737, 9.999956, 861, 2765, 11931.1, 10211, 24358, 31164, 49300, 267745, 0
80.000991, 10.000254, 8, 5648, 11131.5, 10143, 22358, 22358, 22358, 22358, 1
90.000736, 9.999745, 7, 7928, 12152.7, 12182, 16408, 16408, 16408, 16408, 1
100.000743, 10.000007, 0, 0, 0, 0, 0, 0, 0, 0, 1
110.000734, 9.999991, 8, 3635, 11052.8, 7411, 18431, 18431, 18431, 18431, 2
120.000736, 10.000002, 0, 0, 0, 0, 0, 0, 0, 0, 2
130.000747, 10.000011, 954, 2771, 16759.1, 10331, 26570, 33258, 53050, 4299649, 1
140.000915, 10.000168, 1241, 2877, 11872.4, 10539, 24393, 33752, 49041, 51849, 0
150.000751, 9.999836, 1182, 2806, 12079.2, 9974, 27100, 38554, 46491, 51849, 0
160.000769, 10.000018, 1080, 2901, 12976.8, 10476, 27478, 52179, 142049, 188989, 0
170.00076, 9.999991, 1127, 2812, 11912.8, 9920, 24932, 36447, 56638, 58569, 0
180.000737, 9.999977, 1148, 2821, 12016.9, 10152, 26915, 37107, 66069, 72013, 0
190.000764, 10.000027, 1161, 2874, 11726.3, 9856, 24832, 36570, 53435, 79570, 0
200.000752, 9.999988, 1116, 2636, 12772.3, 10046, 25579, 60540, 154939, 197180, 0
210.000746, 9.999994, 1217, 2856, 11999.0, 10447, 25440, 36752, 51510, 54570, 0
220.000764, 10.000018, 1191, 2945, 11927.5, 10253, 26368, 37499, 51944, 59041, 0
230.000796, 10.000032, 978, 2761, 13891.8, 10515, 29124, 109998, 168647, 171984, 0
240.000746, 9.99995, 1177, 2843, 12494.8, 10275, 27170, 43350, 91079, 134153, 0
250.000827, 10.000081, 1168, 3026, 12024.8, 10323, 24340, 32440, 46933, 49801, 0
260.000787, 9.99996, 1170, 2972, 12219.5, 10506, 26394, 37627, 60807, 68843, 0
270.000762, 9.999975, 1068, 2822, 13363.2, 10311, 28015, 66168, 187185, 265268, 0
280.000771, 10.000009, 1182, 2914, 12279.1, 10733, 25512, 32583, 43689, 44051, 0
290.000735, 9.999964, 1256, 3010, 12068.9, 10374, 25652, 33832, 44174, 48072, 0
300.000757, 10.000022, 1036, 2898, 13155.5, 10114, 28734, 53447, 133489, 182742, 0
310.000802, 10.000045, 1186, 2791, 12548.1, 10659, 26071, 37312, 90459, 133489, 0
320.00079, 9.999988, 1162, 2683, 12076.2, 10455, 25794, 36878, 53197, 64690, 0
330.000761, 9.999971, 1132, 2742, 12190.7, 10370, 25343, 38075, 54977, 58656, 0
340.000758, 9.999997, 1018, 2833, 13487.7, 10590, 27996, 59398, 209184, 333267, 0
350.00076, 10.000002, 1162, 2827, 11864.4, 10088, 25554, 36251, 55141, 61044, 0
360.000812, 10.000052, 1152, 3179, 12265.7, 10523, 26070, 38385, 54316, 71349, 0
370.000754, 9.999942, 1011, 2846, 13987.1, 10491, 28658, 100849, 150558, 191245, 0
380.000734, 9.99998, 1191, 2836, 12151.6, 10144, 25440, 37767, 113662, 132860, 0
390.000768, 10.000034, 1130, 2832, 12165.1, 10321, 25934, 34316, 48353, 52299, 0
400.000756, 9.999988, 1128, 2558, 11914.1, 10347, 25362, 36323, 43590, 51602, 0
410.00083, 10.000074, 1054, 3203, 13718.0, 10972, 29230, 78076, 165909, 195204, 0
420.000743, 9.999913, 1110, 2918, 12275.6, 10482, 25944, 35505, 46628, 53703, 0
430.000846, 10.000103, 1155, 2865, 12238.2, 10653, 25647, 36132, 46025, 64961, 0
440.000734, 9.999888, 1020, 2977, 12551.9, 10233, 26248, 48064, 102104, 113836, 0
450.000766, 10.000032, 1179, 2779, 12417.1, 10565, 27906, 40702, 67515, 103076, 0
460.000879, 10.000113, 1152, 2966, 12196.6, 10494, 25115, 36630, 43437, 58585, 0
