elapsed, window, total, successful, failed
10.000036, 10.000036, 13213, 13213, 0
20.000788, 10.000752, 13203, 13203, 0
30.000755, 9.999967, 13340, 13340, 0
40.000729, 9.999974, 11784, 11784, 0
50.000795, 10.000066, 13244, 13244, 0
60.000781, 9.999986, 13245, 13245, 0
70.000737, 9.999956, 9934, 9934, 0
80.000991, 10.000254, 90, 74, 16
90.000736, 9.999745, 95, 79, 16
100.000743, 10.000007, 78, 64, 14
110.000734, 9.999991, 96, 80, 16
120.000736, 10.000002, 78, 65, 13
130.000747, 10.000011, 10388, 10387, 1
140.000915, 10.000168, 13130, 13130, 0
150.000751, 9.999836, 13070, 13070, 0
160.000769, 10.000018, 12123, 12123, 0
170.00076, 9.999991, 13468, 13468, 0
180.000737, 9.999977, 12983, 12983, 0
190.000764, 10.000027, 13182, 13182, 0
200.000752, 9.999988, 11977, 11977, 0
210.000746, 9.999994, 13114, 13114, 0
220.000764, 10.000018, 13048, 13048, 0
230.000796, 10.000032, 11376, 11376, 0
240.000746, 9.99995, 13149, 13149, 0
250.000827, 10.000081, 12842, 12842, 0
260.000787, 9.99996, 12952, 12952, 0
270.000762, 9.999975, 11507, 11507, 0
280.000771, 10.000009, 12992, 12992, 0
290.000735, 9.999964, 12690, 12690, 0
300.000757, 10.000022, 11759, 11759, 0
310.000802, 10.000045, 12650, 12650, 0
320.00079, 9.999988, 12647, 12647, 0
330.000761, 9.999971, 12788, 12788, 0
340.000758, 9.999997, 11459, 11459, 0
350.00076, 10.000002, 12935, 12935, 0
360.000812, 10.000052, 12756, 12756, 0
370.000754, 9.999942, 11376, 11376, 0
380.000734, 9.99998, 12813, 12813, 0
390.000768, 10.000034, 12633, 12633, 0
400.000756, 9.999988, 12690, 12690, 0
410.00083, 10.000074, 11294, 11294, 0
420.000743, 9.999913, 12678, 12678, 0
430.000846, 10.000103, 12795, 12795, 0
440.000734, 9.999888, 11544, 11544, 0
450.000766, 10.000032, 12448, 12448, 0
460.000879, 10.000113, 12582, 12582, 0
470.000789, 9.99991, 12491, 12491, 0
480.000773, 9.999984, 11439, 11439, 0
490.000758, 9.999985, 12484, 12484, 0
500.000789, 10.000031, 12407, 12407, 0
510.000741, 9.999952, 11241, 11241, 0
520.000745, 10.000004, 12715, 12715, 0
530.000925, 10.00018, 13032, 13032, 0
540.000754, 9.999829, 12292, 12292, 0
550.000751, 9.999997, 11223, 11223, 0
560.000742, 9.999991, 12510, 12510, 0
570.000759, 10.000017, 12668, 12668, 0
580.000778, 10.000019, 11273, 11273, 0
590.000754, 9.999976, 12744, 12744, 0
600.000737, 9.999983, 12433, 12433, 0
610.000967, 10.00023, 12311, 12311, 0
620.000764, 9.999797, 11335, 11335, 0
630.00075, 9.999986, 12699, 12699, 0
640.000781, 10.000031, 12712, 12712, 0
650.000739, 9.999958, 11377, 11377, 0
660.000792, 10.000053, 12027, 12027, 0
670.000778, 9.999986, 12113, 12113, 0
680.000818, 10.00004, 12160, 12160, 0
690.000792, 9.999974, 11099, 11099, 0
700.000739, 9.999947, 12381, 12381, 0
710.000771, 10.000032, 12195, 12195, 0
720.000738, 9.999967, 10915, 10915, 0
730.000738, 10.0, 11853, 11853, 0
740.000798, 10.00006, 12192, 12192, 0
750.000776, 9.999978, 12184, 12184, 0
760.000838, 10.000062, 11041, 11041, 0
770.000806, 9.999968, 12207, 12207, 0
780.00077, 9.999964, 12059, 12059, 0
790.000748, 9.999978, 10967, 10967, 0
800.00076, 10.000012, 11912, 11912, 0
810.000805, 10.000045, 12127, 12127, 0
820.000737, 9.999932, 11980, 11980, 0
830.000797, 10.00006, 10965, 10965, 0
840.000736, 9.999939, 11962, 11962, 0
850.000807, 10.000071, 12152, 12152, 0
860.000743, 9.999936, 10419, 10419, 0
870.000738, 9.999995, 11825, 11825, 0
880.000757, 10.000019, 12009, 12009, 0
890.000728, 9.999971, 11958, 11958, 0
900.000759, 10.000031, 11235, 11235, 0
910.000787, 10.000028, 12021, 12021, 0
920.000784, 9.999997, 11813, 11813, 0
930.000873, 10.000089, 10660, 10660, 0
940.000735, 9.999862, 11832, 11832, 0
950.000773, 10.000038, 11863, 11863, 0
960.000731, 9.999958, 11578, 11578, 0
970.000781, 10.00005, 11224, 11224, 0
980.000745, 9.999964, 11863, 11863, 0
990.000788, 10.000043, 11987, 11987, 0
1000.000816, 10.000028, 11164, 11164, 0
1010.000749, 9.999933, 12065, 12065, 0
1020.000754, 10.000005, 11788, 11788, 0
1030.000951, 10.000197, 11250, 11250, 0
1040.000763, 9.999812, 10959, 10959, 0
1050.000842, 10.000079, 11970, 11970, 0
1060.000775, 9.999933, 11720, 11720, 0
1070.000761, 9.999986, 11136, 11136, 0
1080.000749, 9.999988, 11630, 11630, 0
1090.000801, 10.000052, 11668, 11668, 0
1100.000871, 10.00007, 11658, 11658, 0
1110.00073, 9.999859, 11242, 11242, 0
1120.000796, 10.000066, 12010, 12010, 0
1130.000778, 9.999982, 11578, 11578, 0
1140.000768, 9.99999, 10495, 10495, 0
1150.000742, 9.999974, 11422, 11422, 0
1160.000746, 10.000004, 11497, 11497, 0
1170.00073, 9.999984, 11247, 11247, 0
1180.000776, 10.000046, 10630, 10630, 0
1190.000884, 10.000108, 11325, 11325, 0
1200.000743, 9.999859, 11214, 11214, 0
1210.000736, 9.999993, 10429, 10429, 0
1220.00075, 10.000014, 11549, 11549, 0
1230.000733, 9.999983, 11412, 11412, 0
1240.000832, 10.000099, 10951, 10951, 0
1250.000778, 9.999946, 10735, 10735, 0
1260.000763, 9.999985, 11523, 11523, 0
1270.000746, 9.999983, 11318, 11318, 0
1280.000803, 10.000057, 10375, 10375, 0
1290.000736, 9.999933, 11469, 11469, 0
1300.000797, 10.000061, 11599, 11599, 0
1310.000865, 10.000068, 10934, 10934, 0
1320.000749, 9.999884, 10938, 10938, 0
1330.000734, 9.999985, 11326, 11326, 0
1340.000748, 10.000014, 11220, 11220, 0
1350.00073, 9.999982, 10020, 10020, 0
1360.000815, 10.000085, 10477, 10477, 0
1370.000782, 9.999967, 10612, 10612, 0
1380.000732, 9.99995, 10262, 10262, 0
1390.000744, 10.000012, 9634, 9634, 0
1400.000759, 10.000015, 10467, 10467, 0
1410.000734, 9.999975, 10293, 10293, 0
1420.000727, 9.999993, 9483, 9483, 0
1430.000781, 10.000054, 10290, 10290, 0
1440.000819, 10.000038, 10379, 10379, 0
1450.000767, 9.999948, 9900, 9900, 0
1460.00078, 10.000013, 9661, 9661, 0
1470.000771, 9.999991, 10337, 10337, 0
1480.000748, 9.999977, 10207, 10207, 0
1490.000821, 10.000073, 9524, 9524, 0
1500.000784, 9.999963, 10017, 10017, 0
1510.000889, 10.000105, 10207, 10207, 0
1520.00076, 9.999871, 10176, 10176, 0
1530.000768, 10.000008, 9724, 9724, 0
1540.000751, 9.999983, 10165, 10165, 0
1550.000761, 10.00001, 10211, 10211, 0
1560.000785, 10.000024, 9667, 9667, 0
1570.000861, 10.000076, 10322, 10322, 0
1580.000752, 9.999891, 10489, 10489, 0
1590.000742, 9.99999, 10217, 10217, 0
1600.000732, 9.99999, 10087, 10087, 0
1610.000787, 10.000055, 10454, 10454, 0
1620.000761, 9.999974, 10371, 10371, 0
1630.000731, 9.99997, 9609, 9609, 0
1640.000752, 10.000021, 10767, 10767, 0
1650.000749, 9.999997, 10660, 10660, 0
1660.000875, 10.000126, 10276, 10276, 0
1670.000739, 9.999864, 10302, 10302, 0
1680.000768, 10.000029, 10505, 10505, 0
1690.000767, 9.999999, 10570, 10570, 0
1700.000776, 10.000009, 10024, 10024, 0
1710.000765, 9.999989, 10808, 10808, 0
1720.000788, 10.000023, 10963, 10963, 0
1730.00081, 10.000022, 10298, 10298, 0
1740.000804, 9.999994, 10213, 10213, 0
1750.000752, 9.999948, 10808, 10808, 0
1760.000815, 10.000063, 10441, 10441, 0
1770.000755, 9.99994, 9770, 9770, 0
1780.000855, 10.0001, 10896, 10896, 0
1790.000747, 9.999892, 10911, 10911, 0
1800.000745, 9.999998, 10291, 10291, 0
1810.00088, 10.000135, 10072, 10072, 0
1820.000782, 9.999902, 10585, 10585, 0
1830.000744, 9.999962, 10782, 10782, 0
1840.000811, 10.000067, 9898, 9898, 0
1850.000753, 9.999942, 10792, 10792, 0
1860.000797, 10.000044, 10886, 10886, 0
1870.000791, 9.999994, 10522, 10522, 0
1880.000738, 9.999947, 10394, 10394, 0
1890.000771, 10.000033, 11104, 11104, 0
1900.000811, 10.00004, 10966, 10966, 0
1910.000888, 10.000077, 10236, 10236, 0
1920.000958, 10.00007, 10873, 10873, 0
1930.00077, 9.999812, 10871, 10871, 0
1940.000745, 9.999975, 10230, 10230, 0
1950.000727, 9.999982, 10423, 10423, 0
1960.00074, 10.000013, 10877, 10877, 0
1970.000732, 9.999992, 10715, 10715, 0
1980.000773, 10.000041, 10223, 10223, 0
1990.000757, 9.999984, 10892, 10892, 0
2000.00082, 10.000063, 10908, 10908, 0
2010.000798, 9.999978, 10394, 10394, 0
2020.000737, 9.999939, 10309, 10309, 0
2030.000758, 10.000021, 10903, 10903, 0
2040.000744, 9.999986, 10695, 10695, 0
2050.000736, 9.999992, 10409, 10409, 0
2060.000745, 10.000009, 10473, 10473, 0
2070.000742, 9.999997, 10689, 10689, 0
2080.000753, 10.000011, 10131, 10131, 0
2090.000729, 9.999976, 10057, 10057, 0
2100.000794, 10.000065, 10819, 10819, 0
2110.000834, 10.00004, 10757, 10757, 0
2120.000809, 9.999975, 10126, 10126, 0
2130.000807, 9.999998, 10810, 10810, 0
2140.000757, 9.99995, 10900, 10900, 0
2150.000766, 10.000009, 10236, 10236, 0
2160.000794, 10.000028, 10250, 10250, 0
2170.000748, 9.999954, 10693, 10693, 0
2180.000741, 9.999993, 10627, 10627, 0
2190.000734, 9.999993, 10023, 10023, 0
2200.000782, 10.000048, 10875, 10875, 0
2210.000729, 9.999947, 10681, 10681, 0
2220.00076, 10.000031, 10583, 10583, 0
2230.000833, 10.000073, 10254, 10254, 0
2240.000776, 9.999943, 10601, 10601, 0
2250.000827, 10.000051, 10607, 10607, 0
2260.000737, 9.99991, 9943, 9943, 0
2270.000832, 10.000095, 10652, 10652, 0
2280.000735, 9.999903, 10564, 10564, 0
2290.000766, 10.000031, 10052, 10052, 0
2300.000773, 10.000007, 10315, 10315, 0
2310.000792, 10.000019, 10607, 10607, 0
2320.000835, 10.000043, 10449, 10449, 0
2330.000731, 9.999896, 10411, 10411, 0
2340.000745, 10.000014, 10623, 10623, 0
2350.000781, 10.000036, 10679, 10679, 0
2360.000743, 9.999962, 10242, 10242, 0
2370.000801, 10.000058, 10055, 10055, 0
2380.000769, 9.999968, 10716, 10716, 0
2390.000741, 9.999972, 10413, 10413, 0
2400.000784, 10.000043, 10066, 10066, 0
2410.000726, 9.999942, 10656, 10656, 0
2420.000805, 10.000079, 10582, 10582, 0
2430.000766, 9.999961, 10333, 10333, 0
2440.000836, 10.00007, 10180, 10180, 0
2450.000738, 9.999902, 10575, 10575, 0
2460.000728, 9.99999, 10401, 10401, 0
2470.000762, 10.000034, 9885, 9885, 0
2480.00077, 10.000008, 10582, 10582, 0
2490.000773, 10.000003, 10695, 10695, 0
2500.000743, 9.99997, 10085, 10085, 0
2510.000819, 10.000076, 10134, 10134, 0
2520.000758, 9.999939, 11008, 11008, 0
2530.000787, 10.000029, 10156, 10156, 0
2540.000753, 9.999966, 9788, 9788, 0
2550.000791, 10.000038, 10576, 10576, 0
2560.000764, 9.999973, 10923, 10923, 0
2570.000774, 10.00001, 10616, 10616, 0
2580.000801, 10.000027, 10552, 10552, 0
2590.000814, 10.000013, 10702, 10702, 0
2600.000747, 9.999933, 10606, 10606, 0
2610.0008, 10.000053, 10001, 10001, 0
2620.000822, 10.000022, 10522, 10522, 0
2630.000812, 9.99999, 10517, 10517, 0
