elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999998, 9.999998, 230, 4089, 48977.9, 41581, 125782, 189142, 254408, 254408, 0
20.000467, 10.000469, 251, 4169, 53100.5, 42422, 136451, 203301, 308290, 308290, 0
30.000469, 10.000002, 233, 3500, 53057.0, 40136, 160565, 208011, 244509, 244509, 0
40.000473, 10.000004, 214, 2996, 51419.0, 41067, 119402, 227317, 397561, 397561, 0
50.000475, 10.000002, 256, 4086, 48894.2, 36496, 117786, 280593, 470226, 470226, 0
60.000502, 10.000027, 244, 3032, 46201.1, 39339, 103480, 150736, 309250, 309250, 0
70.000479, 9.999977, 240, 2718, 54368.7, 39150, 138453, 273751, 439065, 439065, 0
80.000469, 9.99999, 232, 3152, 55767.8, 40376, 160452, 374879, 487614, 487614, 0
90.000472, 10.000003, 251, 2883, 46990.8, 38189, 116056, 177485, 239862, 239862, 0
100.000474, 10.000002, 240, 3345, 49444.4, 40441, 118349, 168005, 212702, 212702, 0
110.000478, 10.000004, 234, 4536, 53195.0, 41591, 131687, 225138, 394801, 394801, 0
120.000474, 9.999996, 213, 3074, 46752.8, 38393, 105890, 190426, 226581, 226581, 0
130.00048, 10.000006, 244, 2475, 49209.5, 37802, 109001, 203633, 325020, 325020, 0
140.00053, 10.00005, 218, 4717, 50200.7, 38265, 110712, 259389, 378757, 378757, 0
150.000603, 10.000073, 240, 3464, 47551.6, 37892, 95778, 220401, 273976, 273976, 0
160.00064, 10.000037, 221, 3428, 50284.3, 39521, 141424, 214535, 303262, 303262, 0
170.000521, 9.999881, 234, 3428, 46605.7, 38186, 112821, 153223, 207458, 207458, 0
180.000468, 9.999947, 230, 3006, 52932.5, 40450, 126559, 314448, 514523, 514523, 0
190.000508, 10.00004, 236, 5590, 51493.2, 40579, 113665, 250807, 369372, 369372, 0
200.000466, 9.999958, 254, 4183, 45564.1, 38234, 91644, 203271, 369372, 369372, 0
210.000465, 9.999999, 236, 3053, 53446.8, 39641, 139652, 263223, 417679, 417679, 0
220.000584, 10.000119, 242, 3013, 54194.2, 43508, 136500, 180591, 293730, 293730, 0
230.000497, 9.999913, 226, 3943, 51695.3, 38652, 124692, 270988, 430850, 430850, 0
240.00047, 9.999973, 230, 3077, 47013.1, 37195, 132524, 186178, 229754, 229754, 0
250.000469, 9.999999, 237, 4334, 46395.3, 36482, 112437, 164368, 210540, 210540, 0
260.000487, 10.000018, 212, 3077, 51055.2, 41500, 125896, 236274, 253143, 253143, 0
270.000529, 10.000042, 260, 3340, 46958.5, 36871, 117560, 186218, 299621, 299621, 0
280.000602, 10.000073, 229, 3464, 55132.5, 41839, 117405, 240901, 576259, 576259, 0
290.000522, 9.99992, 242, 2977, 51174.1, 38238, 121581, 218814, 593568, 593568, 0
300.000512, 9.99999, 236, 4369, 49900.6, 39328, 115609, 200585, 248328, 248328, 0
310.000521, 10.000009, 207, 4028, 50016.3, 41970, 103313, 198057, 201237, 201237, 0
320.000518, 9.999997, 229, 5187, 51633.9, 41135, 118467, 240912, 294953, 294953, 0
330.000531, 10.000013, 237, 4575, 49446.0, 40331, 109278, 212784, 296358, 296358, 0
340.00052, 9.999989, 226, 3819, 52131.8, 42398, 121244, 202220, 380866, 380866, 0
350.000524, 10.000004, 223, 4795, 54046.9, 42989, 118984, 190921, 354751, 354751, 0
360.000487, 9.999963, 241, 4762, 52760.0, 39145, 126118, 281699, 379396, 379396, 0
370.000563, 10.000076, 249, 3618, 48797.0, 40730, 114228, 181516, 232151, 232151, 0
380.000532, 9.999969, 245, 3201, 51224.4, 42701, 121944, 188956, 211765, 211765, 0
390.000476, 9.999944, 240, 3014, 53279.8, 39242, 152330, 246764, 438247, 438247, 0
400.000546, 10.00007, 231, 4032, 53240.8, 42276, 117293, 229838, 436088, 436088, 0
410.000473, 9.999927, 257, 3547, 51725.1, 39451, 132102, 301383, 432660, 432660, 0
420.000484, 10.000011, 257, 2756, 48872.9, 39974, 124436, 171269, 198573, 198573, 0
430.000556, 10.000072, 216, 3072, 49059.1, 38193, 120156, 235347, 311507, 311507, 0
440.00055, 9.999994, 218, 3560, 49797.0, 38784, 124822, 199089, 471786, 471786, 0
450.000528, 9.999978, 223, 4665, 50083.8, 41842, 107603, 188383, 385860, 385860, 0
460.000525, 9.999997, 259, 3861, 49832.4, 40144, 106010, 178840, 734739, 734739, 0
470.000487, 9.999962, 254, 3314, 49642.9, 40221, 119153, 229549, 281767, 281767, 0
480.000475, 9.999988, 206, 3098, 57349.4, 43146, 137803, 295385, 794053, 794053, 0
490.000479, 10.000004, 248, 3107, 50489.6, 40466, 116997, 184959, 476784, 476784, 0
500.000477, 9.999998, 221, 3647, 51898.4, 39357, 133961, 220602, 333578, 333578, 0
510.000464, 9.999987, 225, 2492, 53051.0, 40242, 126630, 225093, 313683, 313683, 0
520.000477, 10.000013, 237, 4372, 58532.5, 43945, 160243, 264282, 710899, 710899, 0
530.000467, 9.99999, 223, 3190, 54434.4, 39894, 161009, 264545, 385528, 385528, 0
540.000467, 10.0, 213, 3698, 50742.2, 42434, 107343, 176530, 222764, 222764, 0
550.000535, 10.000068, 224, 3832, 51787.7, 41561, 132847, 224140, 480651, 480651, 0
560.000469, 9.999934, 213, 4653, 52411.3, 41763, 133065, 211475, 423437, 423437, 0
570.000464, 9.999995, 214, 3793, 57448.8, 44914, 158590, 239218, 299701, 299701, 0
580.000465, 10.000001, 200, 3503, 52080.1, 41960, 134771, 238103, 313268, 313268, 0
590.000485, 10.00002, 218, 5164, 46336.4, 38211, 103242, 196141, 236664, 236664, 0
600.00047, 9.999985, 226, 3629, 49875.4, 41856, 109254, 187905, 330777, 330777, 0
610.000476, 10.000006, 248, 3539, 49670.7, 40000, 113490, 157589, 245567, 245567, 0
620.000471, 9.999995, 219, 2885, 49691.9, 39114, 117736, 208585, 375142, 375142, 0
630.000476, 10.000005, 262, 3800, 47509.5, 39206, 107389, 146269, 224302, 224302, 0
640.000527, 10.000051, 227, 3584, 54563.9, 40438, 128538, 317826, 833462, 833462, 0
650.000475, 9.999948, 238, 4200, 47278.9, 38919, 109794, 141872, 220596, 220596, 0
660.000467, 9.999992, 198, 2791, 50822.9, 40937, 107597, 220596, 591159, 591159, 0
670.000475, 10.000008, 231, 5237, 51718.0, 39304, 133389, 204084, 299059, 299059, 0
680.000473, 9.999998, 242, 4295, 49643.3, 41516, 122948, 143355, 354415, 354415, 0
690.000473, 10.0, 217, 3657, 45971.4, 36594, 114627, 170667, 226790, 226790, 0
700.000471, 9.999998, 251, 3196, 47632.9, 39575, 108894, 213622, 294644, 294644, 0
710.000476, 10.000005, 255, 4622, 50439.6, 40438, 113185, 175539, 350797, 350797, 0
720.000464, 9.999988, 233, 3982, 50750.9, 39821, 114132, 217302, 429722, 429722, 0
730.000477, 10.000013, 238, 3986, 47478.2, 37738, 113894, 177209, 234176, 234176, 0
740.00048, 10.000003, 234, 3702, 51432.6, 39855, 132441, 177719, 222192, 222192, 0
750.000469, 9.999989, 232, 4494, 50178.9, 39885, 130335, 204302, 246006, 246006, 0
760.000476, 10.000007, 258, 7057, 52224.8, 42173, 126497, 167243, 186858, 186858, 0
770.000552, 10.000076, 242, 5036, 49321.9, 39185, 124050, 178702, 229465, 229465, 0
780.000491, 9.999939, 226, 4892, 55384.2, 38376, 162011, 300874, 424118, 424118, 0
790.000475, 9.999984, 239, 2938, 56047.5, 40871, 148653, 258398, 300874, 300874, 0
800.000469, 9.999994, 231, 3608, 51523.0, 39213, 135217, 196728, 273743, 273743, 0
810.00047, 10.000001, 238, 2984, 53829.8, 41418, 130257, 234216, 442872, 442872, 0
820.000468, 9.999998, 230, 2706, 54481.8, 41640, 139140, 209496, 781069, 781069, 0
830.000468, 10.0, 240, 2629, 55144.0, 42391, 140512, 257853, 396248, 396248, 0
840.000552, 10.000084, 220, 2629, 52409.7, 40967, 118464, 257853, 357288, 357288, 0
850.000472, 9.99992, 225, 2583, 51389.5, 40436, 132561, 316293, 367666, 367666, 0
860.00048, 10.000008, 195, 2583, 56167.1, 42214, 139597, 265010, 434931, 434931, 0
870.00047, 9.99999, 239, 2650, 48376.7, 43065, 108719, 153381, 244698, 244698, 0
880.000479, 10.000009, 244, 3974, 53197.4, 42042, 138787, 265630, 363210, 363210, 0
890.000497, 10.000018, 201, 4807, 56004.0, 40843, 131226, 289055, 719843, 719843, 0
900.000492, 9.999995, 247, 7240, 52297.5, 38721, 141427, 250846, 378735, 378735, 0
910.000532, 10.00004, 235, 4171, 47475.0, 37792, 125311, 190043, 261889, 261889, 0
920.000472, 9.99994, 235, 5079, 57580.0, 40903, 142088, 292083, 571291, 571291, 0
930.000475, 10.000003, 231, 2592, 51190.5, 39560, 118496, 207533, 340270, 340270, 0
940.000475, 10.0, 232, 4021, 47300.7, 40499, 99889, 148226, 264435, 264435, 0
950.000466, 9.999991, 242, 3604, 53352.7, 40942, 141407, 210551, 299209, 299209, 0
960.00047, 10.000004, 254, 7256, 53694.1, 39961, 122928, 254118, 672509, 672509, 0
970.000465, 9.999995, 208, 3143, 59554.1, 44667, 118247, 346370, 533006, 533006, 0
980.000468, 10.000003, 250, 3828, 47913.3, 39919, 103896, 154828, 309472, 309472, 0
990.000547, 10.000079, 210, 3127, 52835.1, 46416, 123663, 194624, 288734, 288734, 0
1000.000477, 9.99993, 228, 3258, 50104.2, 39876, 127516, 198473, 530901, 530901, 0
1010.000525, 10.000048, 243, 3232, 52366.5, 39450, 137039, 196484, 240286, 240286, 0
1020.000478, 9.999953, 211, 3462, 57976.6, 44701, 151333, 262398, 357057, 357057, 0
1030.000469, 9.999991, 228, 3698, 54832.0, 42690, 144142, 225172, 367874, 367874, 0
1040.000472, 10.000003, 234, 3284, 54422.9, 43119, 149543, 198193, 234370, 234370, 0
1050.000471, 9.999999, 232, 4030, 51151.0, 41520, 127894, 200680, 287839, 287839, 0
1060.000473, 10.000002, 215, 3664, 53166.4, 40092, 130262, 292809, 654242, 654242, 0
1070.000473, 10.0, 244, 2678, 54745.2, 42335, 130270, 203232, 553633, 553633, 0
1080.000475, 10.000002, 219, 10028, 52708.3, 40448, 117925, 213959, 372798, 372798, 0
1090.000472, 9.999997, 225, 7604, 54491.4, 39452, 139266, 264340, 467560, 467560, 0
1100.000476, 10.000004, 232, 4063, 55547.6, 42256, 142106, 188563, 537413, 537413, 0
1110.000468, 9.999992, 227, 5386, 53559.6, 42009, 125294, 224196, 392635, 392635, 0
1120.00048, 10.000012, 236, 5386, 57165.7, 44752, 144048, 206703, 302468, 302468, 0
1130.000477, 9.999997, 241, 3172, 49193.3, 39453, 128382, 171360, 234326, 234326, 0
1140.000469, 9.999992, 207, 2719, 61440.9, 42738, 140568, 342735, 1199034, 1199034, 0
1150.000516, 10.000047, 257, 3022, 51668.6, 40284, 116145, 241492, 293874, 293874, 0
1160.000541, 10.000025, 243, 5559, 49777.3, 40640, 106474, 143145, 290202, 290202, 0
1170.000469, 9.999928, 249, 4259, 50550.8, 40051, 127071, 193200, 230630, 230630, 0
1180.000539, 10.00007, 237, 3147, 47130.7, 37889, 102443, 167639, 497924, 497924, 0
1190.000471, 9.999932, 219, 4311, 47603.5, 37743, 114961, 166901, 378902, 378902, 0
1200.000477, 10.000006, 236, 5499, 52746.6, 38752, 130104, 278967, 519547, 519547, 0
1210.000489, 10.000012, 215, 6165, 53674.9, 43845, 124818, 212595, 263061, 263061, 0
1220.000472, 9.999983, 228, 5134, 48672.0, 41333, 106162, 136377, 179257, 179257, 0
1230.000475, 10.000003, 225, 2933, 49336.6, 40252, 117580, 177806, 282818, 282818, 0
1240.000471, 9.999996, 241, 2813, 48627.4, 40798, 110275, 156991, 220056, 220056, 0
