elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000012, 10.000012, 2355, 1727, 28913.9, 26595, 59644, 91765, 125057, 137108, 0
20.000585, 10.000573, 2371, 1577, 28547.7, 26389, 58341, 81203, 127108, 165121, 0
30.000576, 9.999991, 2335, 1534, 29511.7, 26225, 64110, 96724, 166683, 174149, 0
40.000572, 9.999996, 2297, 1549, 29507.0, 26329, 64509, 93624, 140356, 170299, 0
50.0006, 10.000028, 2295, 1367, 29788.6, 26718, 63841, 96734, 119763, 164718, 0
60.000575, 9.999975, 2349, 1451, 28935.2, 25617, 62271, 98217, 154953, 194921, 0
70.000582, 10.000007, 2390, 1451, 28644.4, 26095, 59260, 84277, 138505, 140863, 0
80.000627, 10.000045, 2345, 1607, 29229.0, 25807, 64284, 90428, 135738, 209379, 0
90.000615, 9.999988, 2302, 1594, 29549.4, 26135, 63970, 100617, 129291, 139566, 0
100.000576, 9.999961, 2339, 1560, 28885.3, 25908, 61367, 91730, 150815, 173917, 0
110.000661, 10.000085, 2314, 1585, 28833.5, 25547, 62865, 95367, 156449, 175544, 0
120.000633, 9.999972, 2329, 1641, 29982.2, 26307, 63539, 109420, 183319, 184702, 0
130.000627, 9.999994, 2309, 1634, 29995.5, 26371, 64094, 99341, 183533, 207370, 0
140.000623, 9.999996, 2411, 1551, 28246.4, 25295, 60830, 87637, 145606, 156138, 0
150.00063, 10.000007, 2340, 1594, 29574.3, 26319, 65281, 99523, 178830, 199188, 0
160.000578, 9.999948, 2384, 1584, 28944.7, 26460, 58639, 91558, 145444, 192663, 0
170.000667, 10.000089, 2311, 1641, 29506.0, 26375, 61737, 91430, 125325, 176033, 0
180.000594, 9.999927, 2287, 1769, 29921.0, 26539, 66822, 97649, 143557, 151757, 0
190.000582, 9.999988, 2294, 1550, 29875.2, 26965, 63108, 97971, 153931, 230314, 0
200.00058, 9.999998, 2424, 1571, 28298.1, 25493, 58384, 81967, 157114, 240329, 0
210.000584, 10.000004, 2280, 1615, 28597.3, 25235, 62145, 96533, 153001, 170098, 0
220.000598, 10.000014, 2215, 1594, 29392.7, 25823, 65061, 110887, 153928, 221667, 0
230.000578, 9.99998, 2415, 1589, 28622.5, 25354, 59318, 93198, 133996, 226894, 0
240.000653, 10.000075, 2401, 1489, 28482.1, 25785, 59778, 85049, 133520, 195656, 0
