elapsed, window, total, successful, failed
10.000012, 10.000012, 2579, 2579, 0
20.000585, 10.000573, 2618, 2618, 0
30.000576, 9.999991, 2559, 2559, 0
40.000572, 9.999996, 2502, 2502, 0
50.0006, 10.000028, 2540, 2540, 0
60.000575, 9.999975, 2587, 2587, 0
70.000582, 10.000007, 2633, 2633, 0
80.000627, 10.000045, 2565, 2565, 0
90.000615, 9.999988, 2537, 2537, 0
100.000576, 9.999961, 2582, 2582, 0
110.000661, 10.000085, 2535, 2535, 0
120.000633, 9.999972, 2527, 2527, 0
130.000627, 9.999994, 2554, 2554, 0
140.000623, 9.999996, 2644, 2644, 0
150.00063, 10.000007, 2552, 2552, 0
160.000578, 9.999948, 2612, 2612, 0
170.000667, 10.000089, 2558, 2558, 0
180.000594, 9.999927, 2488, 2488, 0
190.000582, 9.999988, 2520, 2520, 0
200.00058, 9.999998, 2666, 2666, 0
210.000584, 10.000004, 2517, 2517, 0
220.000598, 10.000014, 2453, 2453, 0
230.000578, 9.99998, 2647, 2647, 0
240.000653, 10.000075, 2633, 2633, 0
250.000575, 9.999922, 2550, 2550, 0
260.000582, 10.000007, 2523, 2523, 0
270.000599, 10.000017, 2600, 2600, 0
280.000576, 9.999977, 2604, 2604, 0
290.000576, 10.0, 2523, 2523, 0
300.000578, 10.000002, 2557, 2557, 0
310.000576, 9.999998, 2596, 2596, 0
320.00062, 10.000044, 2288, 2288, 0
330.000601, 9.999981, 2540, 2540, 0
340.000699, 10.000098, 2597, 2597, 0
350.000601, 9.999902, 2567, 2567, 0
360.000582, 9.999981, 2485, 2485, 0
370.000622, 10.00004, 2561, 2561, 0
380.00058, 9.999958, 2595, 2595, 0
390.000573, 9.999993, 2516, 2516, 0
400.000576, 10.000003, 2456, 2456, 0
410.000585, 10.000009, 2552, 2552, 0
420.000575, 9.99999, 2564, 2564, 0
430.000585, 10.00001, 2447, 2447, 0
440.000578, 9.999993, 2572, 2572, 0
450.000627, 10.000049, 2545, 2545, 0
460.000624, 9.999997, 2589, 2589, 0
470.000574, 9.99995, 2443, 2443, 0
480.000678, 10.000104, 2638, 2638, 0
490.000581, 9.999903, 2574, 2574, 0
500.000574, 9.999993, 2517, 2517, 0
510.000576, 10.000002, 2554, 2554, 0
520.00062, 10.000044, 2471, 2471, 0
530.000621, 10.000001, 2484, 2484, 0
540.000577, 9.999956, 2484, 2484, 0
550.000608, 10.000031, 2567, 2567, 0
560.000574, 9.999966, 2537, 2537, 0
570.000575, 10.000001, 2528, 2528, 0
580.00057, 9.999995, 2510, 2510, 0
590.000617, 10.000047, 2555, 2555, 0
600.000572, 9.999955, 2579, 2579, 0
610.000586, 10.000014, 2455, 2455, 0
620.00057, 9.999984, 2535, 2535, 0
630.000667, 10.000097, 2547, 2547, 0
640.000581, 9.999914, 2574, 2574, 0
650.000584, 10.000003, 2457, 2457, 0
660.000583, 9.999999, 2515, 2515, 0
670.00058, 9.999997, 2583, 2583, 0
680.000587, 10.000007, 2486, 2486, 0
690.000676, 10.000089, 2541, 2541, 0
700.000582, 9.999906, 2498, 2498, 0
710.000574, 9.999992, 2518, 2518, 0
720.000581, 10.000007, 2493, 2493, 0
730.000591, 10.00001, 2552, 2552, 0
740.000743, 10.000152, 2525, 2525, 0
750.000573, 9.99983, 2443, 2443, 0
760.000571, 9.999998, 2498, 2498, 0
770.000655, 10.000084, 2562, 2562, 0
780.000584, 9.999929, 2456, 2456, 0
790.000587, 10.000003, 2484, 2484, 0
800.000583, 9.999996, 2462, 2462, 0
810.000582, 9.999999, 2560, 2560, 0
820.000573, 9.999991, 2488, 2488, 0
830.000576, 10.000003, 2538, 2538, 0
840.000581, 10.000005, 2482, 2482, 0
850.000579, 9.999998, 2536, 2536, 0
860.000577, 9.999998, 2460, 2460, 0
870.000574, 9.999997, 2591, 2591, 0
880.000593, 10.000019, 2436, 2436, 0
890.000667, 10.000074, 2448, 2448, 0
900.00057, 9.999903, 2519, 2519, 0
910.000573, 10.000003, 2543, 2543, 0
920.000574, 10.000001, 2557, 2557, 0
930.000597, 10.000023, 2463, 2463, 0
940.000583, 9.999986, 2488, 2488, 0
950.000711, 10.000128, 2530, 2530, 0
960.000585, 9.999874, 2510, 2510, 0
970.000671, 10.000086, 2527, 2527, 0
980.000574, 9.999903, 2473, 2473, 0
990.00058, 10.000006, 2539, 2539, 0
1000.000578, 9.999998, 2454, 2454, 0
1010.00058, 10.000002, 2523, 2523, 0
1020.000643, 10.000063, 2469, 2469, 0
1030.0006, 9.999957, 2498, 2498, 0
1040.000649, 10.000049, 2477, 2477, 0
1050.000578, 9.999929, 2534, 2534, 0
1060.000679, 10.000101, 2455, 2455, 0
1070.000688, 10.000009, 2405, 2405, 0
1080.000583, 9.999895, 2473, 2473, 0
1090.000571, 9.999988, 2451, 2451, 0
1100.000583, 10.000012, 2425, 2425, 0
1110.000623, 10.00004, 2460, 2460, 0
1120.000575, 9.999952, 2427, 2427, 0
1130.000571, 9.999996, 2432, 2432, 0
1140.000591, 10.00002, 2518, 2518, 0
1150.000581, 9.99999, 2411, 2411, 0
1160.000575, 9.999994, 2435, 2435, 0
1170.000594, 10.000019, 2462, 2462, 0
1180.00063, 10.000036, 2495, 2495, 0
1190.000623, 9.999993, 2420, 2420, 0
1200.000575, 9.999952, 2548, 2548, 0
1210.000699, 10.000124, 2357, 2357, 0
1220.00059, 9.999891, 2530, 2530, 0
1230.000634, 10.000044, 2428, 2428, 0
1240.000576, 9.999942, 2493, 2493, 0
1250.000581, 10.000005, 2469, 2469, 0
1260.000573, 9.999992, 2483, 2483, 0
1270.000569, 9.999996, 2403, 2403, 0
1280.000575, 10.000006, 2395, 2395, 0
1290.000584, 10.000009, 2414, 2414, 0
1300.000586, 10.000002, 2468, 2468, 0
1310.000581, 9.999995, 2381, 2381, 0
1320.00057, 9.999989, 2431, 2431, 0
1330.000635, 10.000065, 2480, 2480, 0
1340.000587, 9.999952, 2551, 2551, 0
1350.000569, 9.999982, 2419, 2419, 0
1360.000571, 10.000002, 2427, 2427, 0
1370.000574, 10.000003, 2435, 2435, 0
1380.000582, 10.000008, 2438, 2438, 0
1390.000639, 10.000057, 2488, 2488, 0
1400.000717, 10.000078, 2535, 2535, 0
1410.000574, 9.999857, 2433, 2433, 0
1420.000582, 10.000008, 2488, 2488, 0
1430.000573, 9.999991, 2543, 2543, 0
1440.000589, 10.000016, 2469, 2469, 0
1450.000581, 9.999992, 2474, 2474, 0
1460.00057, 9.999989, 2541, 2541, 0
1470.000624, 10.000054, 2507, 2507, 0
1480.000585, 9.999961, 2465, 2465, 0
1490.00057, 9.999985, 2465, 2465, 0
1500.000601, 10.000031, 2515, 2515, 0
1510.0006, 9.999999, 2403, 2403, 0
1520.000583, 9.999983, 2428, 2428, 0
1530.000642, 10.000059, 2423, 2423, 0
1540.000574, 9.999932, 2469, 2469, 0
1550.000576, 10.000002, 2470, 2470, 0
1560.000578, 10.000002, 2422, 2422, 0
1570.000584, 10.000006, 2439, 2439, 0
1580.00058, 9.999996, 2423, 2423, 0
1590.000581, 10.000001, 2433, 2433, 0
1600.000579, 9.999998, 2407, 2407, 0
1610.000582, 10.000003, 2444, 2444, 0
1620.000615, 10.000033, 2409, 2409, 0
1630.000572, 9.999957, 2427, 2427, 0
1640.000609, 10.000037, 2446, 2446, 0
1650.000569, 9.99996, 2437, 2437, 0
1660.000595, 10.000026, 2490, 2490, 0
