elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00019, 10.00019, 4196, 2442, 15780.2, 11056, 43567, 67063, 97655, 119000, 0
20.000165, 9.999975, 4094, 2575, 16186.8, 10195, 51474, 81811, 120537, 141533, 0
30.000163, 9.999998, 4157, 2709, 16142.6, 10946, 46919, 75489, 111939, 201360, 0
40.00022, 10.000057, 4099, 2536, 16417.0, 10942, 49949, 79686, 116792, 128223, 0
50.000174, 9.999954, 4112, 2670, 16427.4, 11300, 47082, 79531, 139696, 172424, 0
60.000193, 10.000019, 4142, 2733, 16099.1, 11082, 45319, 78022, 132274, 144865, 0
70.000215, 10.000022, 4203, 2679, 15815.5, 11258, 41331, 69083, 115681, 158625, 0
80.000158, 9.999943, 4220, 2661, 15647.2, 11035, 42791, 65566, 103909, 132822, 0
90.000192, 10.000034, 4189, 2608, 15716.4, 11450, 42097, 70323, 117825, 139707, 0
100.000179, 9.999987, 4034, 2688, 16596.7, 11513, 45331, 84044, 129451, 171681, 0
110.000197, 10.000018, 4118, 2778, 16578.8, 11309, 48132, 80355, 112201, 168993, 0
120.00023, 10.000033, 4140, 2636, 15865.4, 10731, 45340, 77852, 108214, 125582, 0
130.000174, 9.999944, 4217, 2667, 15618.2, 10672, 44272, 69194, 109231, 154846, 0
140.000165, 9.999991, 4248, 2651, 15711.8, 10889, 45557, 74190, 134143, 188072, 0
150.000197, 10.000032, 4048, 2625, 16597.8, 10937, 47447, 87983, 213498, 221834, 0
160.000201, 10.000004, 4207, 2681, 15733.1, 10844, 43619, 77808, 150350, 237079, 0
170.000261, 10.00006, 4082, 2572, 15998.4, 10277, 48355, 82655, 183868, 220899, 0
180.000155, 9.999894, 4002, 2770, 17135.3, 10565, 50257, 87172, 524704, 547365, 0
190.000164, 10.000009, 4289, 2661, 15368.3, 10554, 41990, 77701, 148816, 188530, 0
200.000156, 9.999992, 4151, 2307, 16202.6, 10610, 48748, 82240, 212392, 224268, 0
210.00019, 10.000034, 4192, 2589, 15482.3, 10350, 45621, 81034, 108468, 156608, 0
220.000274, 10.000084, 4389, 2597, 15048.4, 10288, 44246, 79480, 115316, 176995, 0
230.000188, 9.999914, 4182, 2719, 15701.3, 10688, 43152, 73423, 168418, 185217, 0
240.000316, 10.000128, 4346, 2770, 15032.5, 10644, 40901, 72648, 103447, 124024, 0
250.000186, 9.99987, 4355, 2750, 15424.9, 10587, 43794, 78806, 104139, 117455, 0
260.000175, 9.999989, 4402, 2724, 15223.0, 10659, 41270, 72233, 114136, 124131, 0
270.00019, 10.000015, 4398, 2855, 14742.1, 10539, 39388, 71425, 140229, 174885, 0
280.000187, 9.999997, 4430, 2608, 14834.8, 9972, 43271, 72065, 132907, 157400, 0
290.000161, 9.999974, 4300, 2618, 15611.2, 10653, 45311, 72202, 196265, 224502, 0
300.000193, 10.000032, 4378, 2490, 15474.9, 10126, 46054, 76008, 196705, 207302, 0
310.000614, 10.000421, 4383, 2701, 15214.3, 10485, 42936, 64779, 225163, 263298, 0
320.000149, 9.999535, 4557, 2657, 14772.4, 10022, 43484, 82182, 127410, 147434, 0
330.000158, 10.000009, 4379, 2662, 15656.6, 10351, 46263, 83494, 183869, 225391, 0
340.000219, 10.000061, 4399, 2584, 14920.6, 10178, 41270, 70958, 202549, 215341, 0
350.000303, 10.000084, 4548, 2667, 14709.3, 10169, 40609, 60460, 188954, 278347, 0
360.000202, 9.999899, 4506, 2672, 14829.0, 10195, 42152, 65407, 112221, 167240, 0
370.000271, 10.000069, 4177, 2751, 16281.5, 10400, 45270, 80950, 257294, 284494, 0
380.000154, 9.999883, 4352, 2768, 15086.3, 10605, 41338, 70556, 119106, 148272, 0
390.00024, 10.000086, 4366, 2504, 15338.5, 10292, 45400, 72843, 211676, 241331, 0
