elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00019, 10.00019, 431, 5687, 32019.4, 24330, 81352, 134241, 242207, 242207, 0
20.000165, 9.999975, 379, 3968, 34998.1, 19147, 117719, 234249, 517555, 517555, 0
30.000163, 9.999998, 432, 5121, 30174.8, 20010, 88871, 133139, 221444, 221444, 0
40.00022, 10.000057, 397, 4032, 30982.7, 20870, 91175, 139371, 202230, 202230, 0
50.000174, 9.999954, 393, 4364, 31196.6, 22068, 80373, 146485, 197206, 197206, 0
60.000193, 10.000019, 431, 5163, 31407.6, 21249, 93180, 145568, 275301, 275301, 0
70.000215, 10.000022, 385, 4854, 33810.8, 22446, 98970, 171842, 243949, 243949, 0
80.000158, 9.999943, 408, 4640, 33637.1, 23544, 102456, 162362, 275972, 275972, 0
90.000192, 10.000034, 397, 5036, 33918.7, 23713, 94552, 177637, 333273, 333273, 0
100.000179, 9.999987, 392, 4311, 31797.9, 22418, 88894, 165717, 234355, 234355, 0
110.000197, 10.000018, 412, 4949, 28096.2, 19241, 82672, 141020, 210008, 210008, 0
120.00023, 10.000033, 428, 4555, 33659.3, 22414, 104608, 179564, 278507, 278507, 0
130.000174, 9.999944, 420, 4894, 32993.7, 21637, 93030, 196160, 382065, 382065, 0
140.000165, 9.999991, 411, 5252, 31831.6, 21637, 86431, 158108, 251158, 251158, 0
150.000197, 10.000032, 389, 4881, 31935.6, 20739, 88473, 168254, 342403, 342403, 0
160.000201, 10.000004, 433, 5168, 31085.3, 21109, 87670, 178425, 349967, 349967, 0
170.000261, 10.00006, 402, 4887, 33406.3, 20807, 107321, 204450, 277156, 277156, 0
180.000155, 9.999894, 364, 4523, 32928.1, 20906, 80619, 183179, 526473, 526473, 0
190.000164, 10.000009, 436, 4061, 31775.5, 22299, 84599, 180263, 296156, 296156, 0
200.000156, 9.999992, 380, 4514, 32799.3, 21362, 92534, 180820, 243264, 243264, 0
210.00019, 10.000034, 445, 5117, 33650.4, 22141, 91215, 163124, 433528, 433528, 0
220.000274, 10.000084, 457, 4879, 30787.8, 20381, 87857, 157852, 300843, 300843, 0
230.000188, 9.999914, 427, 4879, 32948.3, 20931, 92703, 219733, 300367, 300367, 0
240.000316, 10.000128, 468, 4225, 31285.8, 20640, 88500, 170450, 269364, 269364, 0
250.000186, 9.99987, 408, 5055, 30064.8, 20889, 85237, 133684, 316707, 316707, 0
260.000175, 9.999989, 428, 4505, 30490.4, 21504, 78969, 134308, 309877, 309877, 0
270.00019, 10.000015, 472, 5068, 31054.5, 21068, 83709, 151293, 264812, 264812, 0
280.000187, 9.999997, 443, 4244, 31797.5, 20078, 89911, 195881, 314055, 314055, 0
290.000161, 9.999974, 411, 4484, 31097.7, 20455, 88511, 198646, 271132, 271132, 0
300.000193, 10.000032, 410, 5400, 29604.0, 20281, 85864, 167394, 231458, 231458, 0
310.000614, 10.000421, 419, 4211, 31533.0, 20539, 89672, 173226, 352403, 352403, 0
320.000149, 9.999535, 402, 4558, 29470.1, 19667, 88781, 175851, 284878, 284878, 0
330.000158, 10.000009, 385, 5431, 29639.8, 19578, 90412, 156346, 214696, 214696, 0
340.000219, 10.000061, 450, 4867, 31505.5, 21848, 87566, 155629, 287334, 287334, 0
350.000303, 10.000084, 443, 4177, 30537.8, 20039, 83798, 148791, 300742, 300742, 0
360.000202, 9.999899, 439, 4297, 29513.8, 19466, 82902, 178202, 260563, 260563, 0
370.000271, 10.000069, 376, 4583, 30153.7, 21494, 88110, 133857, 171372, 171372, 0
380.000154, 9.999883, 454, 4533, 31085.7, 21792, 83979, 143103, 236544, 236544, 0
390.00024, 10.000086, 438, 4361, 29507.0, 21335, 78740, 135304, 188224, 188224, 0
400.000191, 9.999951, 455, 4197, 29994.7, 18007, 86048, 178941, 319931, 319931, 0
410.000171, 9.99998, 419, 4927, 30320.0, 20578, 77278, 148214, 209683, 209683, 0
420.000186, 10.000015, 491, 4621, 30115.9, 21132, 84737, 125302, 231327, 244371, 0
430.000258, 10.000072, 457, 4943, 28872.2, 20173, 70489, 123920, 250908, 250908, 0
440.000202, 9.999944, 444, 4027, 30482.3, 20081, 86211, 146161, 277206, 277206, 0
450.000156, 9.999954, 433, 5292, 32429.1, 20916, 100767, 186030, 232361, 232361, 0
460.000187, 10.000031, 421, 4467, 30887.1, 20306, 87833, 172514, 287076, 287076, 0
470.000291, 10.000104, 432, 4743, 31008.1, 18874, 96472, 140695, 239884, 239884, 0
480.000208, 9.999917, 393, 5459, 32031.7, 21193, 99035, 162109, 217939, 217939, 0
490.00016, 9.999952, 438, 4645, 31592.6, 21272, 83942, 193157, 287748, 287748, 0
500.000164, 10.000004, 423, 5085, 30150.6, 21462, 90851, 134917, 235894, 235894, 0
510.000166, 10.000002, 414, 5185, 30178.8, 18943, 84975, 188067, 265875, 265875, 0
520.000165, 9.999999, 447, 4382, 33011.5, 21864, 90698, 166634, 319257, 319257, 0
530.000243, 10.000078, 452, 4103, 30438.3, 20235, 80887, 144384, 338304, 338304, 0
540.000184, 9.999941, 403, 4603, 31524.6, 21255, 84220, 136730, 260095, 260095, 0
550.000157, 9.999973, 429, 4425, 34152.0, 22304, 93763, 241887, 286278, 286278, 0
560.000173, 10.000016, 424, 4981, 31102.5, 21503, 79965, 155780, 352276, 352276, 0
570.00015, 9.999977, 429, 4673, 31328.9, 21593, 85513, 166436, 273442, 273442, 0
580.000159, 10.000009, 455, 4770, 29424.3, 21325, 77140, 122703, 265201, 265201, 0
590.000224, 10.000065, 429, 4451, 33866.0, 22064, 115640, 169396, 266907, 266907, 0
600.000321, 10.000097, 435, 4836, 31962.6, 24062, 81279, 149035, 222829, 222829, 0
610.000214, 9.999893, 422, 4822, 33593.9, 22936, 97601, 190711, 250565, 250565, 0
620.000165, 9.999951, 463, 4999, 29208.1, 20668, 76535, 139935, 251975, 251975, 0
630.000316, 10.000151, 471, 4400, 30778.9, 20565, 86648, 197884, 230598, 230598, 0
640.00015, 9.999834, 459, 3880, 33599.8, 21323, 99227, 194621, 310400, 310400, 0
650.000167, 10.000017, 393, 4362, 32173.1, 20429, 90122, 170637, 211295, 211295, 0
660.000218, 10.000051, 441, 4562, 30283.2, 20152, 86052, 153377, 237381, 237381, 0
670.00031, 10.000092, 431, 4333, 33633.9, 21625, 107468, 203179, 276397, 276397, 0
680.000209, 9.999899, 430, 4664, 31134.7, 20620, 84135, 195323, 274745, 274745, 0
690.000166, 9.999957, 471, 4159, 31502.8, 22169, 85002, 146796, 295253, 295253, 0
700.000225, 10.000059, 440, 4735, 31792.5, 21524, 89199, 204399, 266728, 266728, 0
710.000181, 9.999956, 419, 4299, 31744.8, 21450, 92678, 167528, 434650, 434650, 0
720.000431, 10.00025, 411, 4597, 32515.0, 19842, 99609, 172580, 229759, 229759, 0
730.000346, 9.999915, 413, 4689, 29858.8, 20398, 71414, 181624, 246942, 246942, 0
740.000246, 9.9999, 439, 4307, 33934.0, 21843, 94746, 181023, 326447, 326447, 0
750.000165, 9.999919, 401, 4712, 32193.0, 23645, 86059, 171716, 229067, 229067, 0
760.000161, 9.999996, 430, 4452, 30776.0, 20299, 89364, 182399, 270746, 270746, 0
770.000153, 9.999992, 403, 4016, 27979.6, 19669, 79578, 130194, 270746, 270746, 0
780.000173, 10.00002, 410, 5050, 32401.5, 22389, 88807, 173715, 286683, 286683, 0
790.000238, 10.000065, 407, 4564, 29819.7, 19951, 80590, 140263, 196620, 196620, 0
800.000151, 9.999913, 426, 5001, 31844.5, 21710, 95146, 144703, 253662, 253662, 0
810.000158, 10.000007, 420, 4502, 31518.3, 20936, 88160, 177461, 289915, 289915, 0
820.000246, 10.000088, 393, 5369, 30448.6, 21578, 81588, 146177, 221640, 221640, 0
830.000221, 9.999975, 419, 4203, 31785.9, 19968, 92643, 190155, 354984, 354984, 0
840.000192, 9.999971, 392, 4579, 33711.8, 21862, 98624, 190155, 295469, 295469, 0
850.000294, 10.000102, 407, 5216, 32823.9, 20148, 100160, 168309, 262320, 262320, 0
860.00021, 9.999916, 421, 5067, 33459.6, 20301, 101879, 187376, 242729, 242729, 0
870.000234, 10.000024, 432, 4211, 32328.2, 21341, 90253, 149032, 257802, 257802, 0
880.000292, 10.000058, 400, 4970, 34798.4, 19516, 105061, 234408, 338179, 338179, 0
890.000201, 9.999909, 423, 4582, 32391.6, 20801, 101583, 153190, 286901, 286901, 0
900.000152, 9.999951, 423, 5034, 34679.8, 22882, 104980, 198438, 332946, 332946, 0
910.000286, 10.000134, 396, 4981, 32049.8, 20184, 104622, 235496, 364798, 364798, 0
920.000165, 9.999879, 400, 4888, 31148.1, 21319, 88566, 186878, 356053, 356053, 0
930.000193, 10.000028, 389, 5588, 32206.7, 21666, 93807, 162117, 214418, 214418, 0
940.000273, 10.00008, 403, 4966, 33365.7, 20113, 101026, 193043, 362095, 362095, 0
950.000148, 9.999875, 433, 4413, 30658.9, 20593, 96153, 158783, 208896, 208896, 0
960.000164, 10.000016, 396, 4090, 37640.4, 20393, 138994, 232755, 278695, 278695, 0
970.000165, 10.000001, 410, 4948, 32126.5, 20199, 93012, 176150, 263275, 263275, 0
980.000269, 10.000104, 389, 3786, 30547.7, 19362, 86896, 128378, 249918, 249918, 0
990.000227, 9.999958, 402, 4270, 35109.5, 22020, 106831, 194484, 288455, 288455, 0
1000.000172, 9.999945, 389, 4795, 33343.6, 20359, 93701, 196992, 339739, 339739, 0
1010.000216, 10.000044, 401, 5110, 34772.9, 22825, 99360, 203317, 334068, 334068, 0
1020.000198, 9.999982, 438, 5342, 31779.5, 19676, 94836, 199694, 228075, 228075, 0
1030.000181, 9.999983, 407, 4562, 30632.8, 21708, 87641, 150684, 233066, 233066, 0
1040.000169, 9.999988, 405, 5017, 32404.3, 20854, 91053, 200019, 271399, 271399, 0
1050.000174, 10.000005, 387, 3645, 31515.5, 20570, 89908, 191876, 246808, 246808, 0
1060.000177, 10.000003, 425, 4483, 31278.1, 23166, 84248, 164557, 229325, 229325, 0
1070.000154, 9.999977, 447, 4742, 34173.0, 22586, 104295, 193804, 285417, 285417, 0
1080.000202, 10.000048, 411, 4021, 32764.8, 21098, 91018, 164276, 302676, 302676, 0
1090.000192, 9.99999, 390, 5477, 33361.8, 21376, 108574, 167970, 305716, 305716, 0
1100.000156, 9.999964, 424, 4757, 33229.6, 22368, 99412, 160481, 238327, 238327, 0
1110.00022, 10.000064, 411, 5004, 34266.4, 21846, 100013, 235175, 287020, 287020, 0
1120.00018, 9.99996, 410, 5260, 32146.4, 22408, 94904, 173702, 200465, 200465, 0
1130.000183, 10.000003, 394, 4145, 35012.1, 23018, 95980, 184969, 348927, 348927, 0
1140.000258, 10.000075, 396, 4637, 29600.8, 20321, 84352, 158467, 242256, 242256, 0
