elapsed, window, total, successful, failed
10.000024, 10.000024, 4586, 4586, 0
20.000022, 9.999998, 4585, 4585, 0
30.001017, 10.000995, 4546, 4546, 0
40.000972, 9.999955, 4478, 4478, 0
50.001005, 10.000033, 4548, 4548, 0
60.001025, 10.00002, 4392, 4392, 0
70.00101, 9.999985, 4667, 4667, 0
80.001013, 10.000003, 4546, 4546, 0
90.000957, 9.999944, 4509, 4509, 0
100.000961, 10.000004, 4538, 4538, 0
110.001, 10.000039, 4544, 4544, 0
120.001108, 10.000108, 4606, 4606, 0
130.000022, 9.998914, 4637, 4637, 0
140.000974, 10.000952, 4728, 4728, 0
150.001025, 10.000051, 4492, 4492, 0
160.00105, 10.000025, 4838, 4838, 0
170.000021, 9.998971, 4452, 4452, 0
180.000974, 10.000953, 4645, 4645, 0
190.001019, 10.000045, 4758, 4758, 0
200.000957, 9.999938, 4680, 4680, 0
210.000978, 10.000021, 4800, 4800, 0
220.001054, 10.000076, 4663, 4663, 0
230.001053, 9.999999, 4744, 4744, 0
240.001052, 9.999999, 4784, 4784, 0
250.001005, 9.999953, 4735, 4735, 0
260.000978, 9.999973, 4680, 4680, 0
270.000996, 10.000018, 4736, 4736, 0
280.00096, 9.999964, 4733, 4733, 0
290.001036, 10.000076, 4806, 4806, 0
300.000984, 9.999948, 4948, 4948, 0
310.000984, 10.0, 4732, 4732, 0
320.000963, 9.999979, 4945, 4945, 0
330.001016, 10.000053, 4906, 4906, 0
340.001117, 10.000101, 4877, 4877, 0
350.000068, 9.998951, 5014, 5014, 0
360.000038, 9.99997, 4898, 4898, 0
370.000137, 10.000099, 4616, 4616, 0
380.000049, 9.999912, 4694, 4694, 0
390.000029, 9.99998, 4551, 4551, 0
400.00011, 10.000081, 4734, 4734, 0
410.000062, 9.999952, 4684, 4684, 0
420.000158, 10.000096, 4506, 4506, 0
430.00013, 9.999972, 4603, 4603, 0
440.000069, 9.999939, 4768, 4768, 0
450.000022, 9.999953, 4640, 4640, 0
460.000044, 10.000022, 4823, 4823, 0
470.000959, 10.000915, 4621, 4621, 0
480.001051, 10.000092, 4643, 4643, 0
490.000989, 9.999938, 4694, 4694, 0
500.000961, 9.999972, 4669, 4669, 0
510.001123, 10.000162, 4492, 4492, 0
520.000035, 9.998912, 4751, 4751, 0
530.001197, 10.001162, 4674, 4674, 0
540.000023, 9.998826, 4683, 4683, 0
550.00132, 10.001297, 4669, 4669, 0
560.000103, 9.998783, 4592, 4592, 0
570.000038, 9.999935, 4559, 4559, 0
580.000975, 10.000937, 4683, 4683, 0
590.001102, 10.000127, 4517, 4517, 0
600.000066, 9.998964, 4632, 4632, 0
610.000959, 10.000893, 4624, 4624, 0
620.000956, 9.999997, 4603, 4603, 0
630.001089, 10.000133, 4555, 4555, 0
640.00005, 9.998961, 4444, 4444, 0
