elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000025, 10.000025, 916, 3261, 14957.4, 10424, 27496, 113705, 378771, 400794, 0
20.000523, 10.000498, 932, 3051, 14655.2, 10345, 29307, 139439, 182740, 186596, 0
30.000567, 10.000044, 951, 3039, 14051.6, 10703, 28461, 89374, 189070, 202373, 0
40.000584, 10.000017, 682, 2902, 19385.1, 10612, 78628, 176986, 303387, 482595, 0
50.000636, 10.000052, 898, 2902, 15180.0, 10770, 31202, 133474, 259941, 282431, 0
60.000549, 9.999913, 916, 2770, 14222.4, 10705, 28823, 104574, 229577, 239151, 0
70.000559, 10.00001, 983, 2723, 13741.8, 10414, 28804, 67091, 227059, 242333, 0
80.000563, 10.000004, 963, 3246, 13731.0, 10948, 27767, 64410, 157485, 215147, 0
90.000525, 9.999962, 909, 3193, 15024.8, 10405, 27528, 124620, 290925, 340767, 0
100.000565, 10.00004, 922, 2947, 16839.5, 10967, 31154, 176850, 358127, 444231, 0
110.000492, 9.999927, 757, 3092, 19839.5, 11644, 63780, 176070, 435693, 444231, 0
120.0005, 10.000008, 1008, 2916, 13344.7, 10868, 28597, 47066, 141838, 261564, 0
130.000505, 10.000005, 937, 3024, 14570.2, 10833, 30613, 87792, 188028, 214589, 0
140.000594, 10.000089, 676, 3173, 17682.2, 11785, 51485, 114288, 285302, 418329, 0
150.000496, 9.999902, 687, 2977, 18783.3, 10875, 44568, 204613, 348329, 386436, 0
160.000629, 10.000133, 857, 3087, 14932.4, 10861, 29873, 118472, 238789, 306653, 0
170.000502, 9.999873, 870, 2946, 14291.8, 10422, 31347, 85253, 193045, 295909, 0
180.000717, 10.000215, 787, 2888, 17582.6, 10921, 34536, 208810, 281726, 399882, 0
190.000517, 9.9998, 875, 3154, 16900.1, 10955, 32508, 188007, 281726, 376913, 0
200.000554, 10.000037, 840, 2944, 16976.8, 10673, 38544, 166983, 235048, 361838, 0
210.000567, 10.000013, 616, 3230, 23942.0, 11531, 96453, 266967, 381497, 518181, 0
220.000645, 10.000078, 694, 2869, 20456.0, 11305, 58413, 221752, 353136, 426534, 0
230.000708, 10.000063, 678, 3050, 19372.2, 11082, 59264, 203214, 276114, 372079, 0
240.000488, 9.99978, 725, 2932, 17174.8, 10703, 32038, 184476, 290489, 332491, 0
250.000545, 10.000057, 811, 3158, 17764.4, 11457, 45301, 162992, 284337, 289996, 0
260.000569, 10.000024, 660, 3138, 21477.2, 11611, 73065, 219580, 381580, 389072, 0
270.000505, 9.999936, 657, 2717, 23998.4, 10925, 90316, 323030, 523864, 526000, 0
280.000498, 9.999993, 748, 3503, 17720.7, 11422, 36796, 146538, 286905, 288103, 0
290.000529, 10.000031, 749, 3355, 20496.4, 12003, 66967, 204981, 353673, 419950, 0
300.000565, 10.000036, 573, 3003, 19790.7, 11389, 59584, 210543, 290904, 294730, 0
310.000585, 10.00002, 856, 3082, 14432.0, 10643, 29006, 99178, 202040, 360768, 0
320.000535, 9.99995, 1041, 2994, 13861.8, 11217, 27879, 55896, 168318, 201895, 0
330.000519, 9.999984, 893, 2748, 15978.2, 10920, 31148, 135568, 317913, 322325, 0
340.00051, 9.999991, 877, 3209, 14472.7, 10455, 28977, 105027, 215428, 269100, 0
350.000545, 10.000035, 851, 3107, 15249.3, 11007, 30853, 110990, 271424, 350627, 0
360.0006, 10.000055, 756, 2789, 19340.5, 11577, 40253, 198464, 413496, 435261, 0
370.000491, 9.999891, 910, 3008, 16680.3, 11759, 34450, 128782, 306797, 336483, 0
380.000507, 10.000016, 904, 2895, 15310.0, 11190, 29274, 111962, 236903, 244382, 0
390.000526, 10.000019, 1030, 3177, 13922.5, 11095, 27747, 51393, 161881, 448917, 0
400.000496, 9.99997, 756, 3010, 16695.2, 10670, 31359, 166993, 278422, 383062, 0
410.000509, 10.000013, 881, 3199, 14437.5, 10559, 28421, 112372, 272833, 320800, 0
420.00052, 10.000011, 747, 3020, 17956.9, 11594, 51748, 118021, 198640, 332083, 0
430.000505, 9.999985, 622, 3232, 17938.8, 10978, 34890, 179518, 253768, 282846, 0
440.00057, 10.000065, 939, 2926, 15047.5, 10946, 29366, 112643, 227987, 444479, 0
450.000498, 9.999928, 734, 2926, 17950.6, 10829, 40788, 144906, 331370, 426411, 0
460.000518, 10.00002, 766, 3054, 20310.1, 11436, 67003, 219869, 327028, 375321, 0
470.000725, 10.000207, 556, 2978, 19822.8, 11189, 66711, 181113, 264353, 284667, 0
480.00051, 9.999785, 850, 3359, 15724.1, 10527, 30574, 146241, 291321, 294656, 0
490.000505, 9.999995, 965, 2975, 14613.6, 10971, 29213, 131069, 203851, 270032, 0
500.000535, 10.00003, 649, 2975, 20461.5, 11870, 56311, 201182, 375120, 400990, 0
510.00051, 9.999975, 727, 2961, 18720.0, 11159, 30756, 267806, 569660, 648021, 0
520.000512, 10.000002, 1033, 2962, 13728.8, 10684, 28769, 45288, 284932, 303852, 0
530.000562, 10.00005, 1119, 3136, 12196.0, 10327, 24689, 36405, 47194, 160828, 0
