elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000062, 10.000062, 9621, 1766, 6886.9, 4852, 12315, 51123, 173490, 199822, 0
20.00008, 10.000018, 9062, 1753, 7423.9, 4865, 12317, 85514, 311884, 438340, 0
30.000065, 9.999985, 8446, 1775, 7723.5, 4879, 12831, 86354, 303997, 348173, 0
40.000066, 10.000001, 6933, 1792, 9216.3, 5021, 14715, 120275, 287999, 395205, 0
50.000104, 10.000038, 10818, 1744, 6449.8, 4896, 11920, 20035, 202771, 395205, 0
60.000083, 9.999979, 9412, 1793, 6786.7, 4851, 12116, 22465, 255835, 320328, 0
70.000093, 10.00001, 9241, 1828, 7672.6, 4887, 13137, 56631, 296557, 351463, 0
80.000086, 9.999993, 8704, 1692, 7419.7, 4899, 12777, 87584, 247482, 297161, 0
90.000123, 10.000037, 10492, 1776, 6288.9, 4795, 11829, 19214, 182768, 237706, 0
100.00009, 9.999967, 10970, 1792, 5989.7, 4808, 11504, 18362, 132962, 150925, 0
110.000115, 10.000025, 10615, 1702, 6266.7, 4888, 12255, 20774, 123377, 145343, 0
120.00012, 10.000005, 8800, 1744, 7245.2, 4986, 12947, 74773, 178981, 217418, 0
130.000127, 10.000007, 6778, 1744, 9304.9, 5133, 15802, 139305, 213674, 262199, 0
140.000074, 9.999947, 5507, 1777, 12497.1, 5210, 25796, 222456, 405982, 632216, 0
150.000077, 10.000003, 9574, 1720, 7492.7, 5005, 12914, 33566, 320924, 632216, 0
160.000098, 10.000021, 10367, 1720, 6309.2, 5003, 12460, 20212, 122347, 186396, 0
170.000131, 10.000033, 8508, 1718, 7713.0, 4999, 13908, 88504, 203979, 277550, 0
180.000071, 9.99994, 6602, 1718, 10098.0, 5061, 16513, 153622, 276630, 302526, 0
190.000068, 9.999997, 8068, 1791, 8169.6, 5011, 14510, 104375, 254279, 274149, 0
200.00012, 10.000052, 9859, 1700, 6827.8, 5000, 12494, 23024, 253109, 295447, 0
210.00009, 9.99997, 11052, 1682, 5966.0, 4892, 12065, 18918, 73765, 103592, 0
220.000105, 10.000015, 9772, 1772, 6687.1, 5055, 12924, 41567, 130376, 203937, 0
230.000146, 10.000041, 7762, 1819, 8344.0, 5035, 14411, 109832, 266116, 432178, 0
240.000096, 9.99995, 9148, 1745, 7404.2, 5017, 13839, 70356, 168541, 186542, 0
250.000231, 10.000135, 7649, 1824, 8573.0, 5132, 15747, 103867, 216902, 266659, 0
260.00013, 9.999899, 6081, 1816, 10864.6, 5183, 22614, 135113, 322829, 511063, 0
270.000147, 10.000017, 10128, 1761, 6677.7, 5022, 12498, 20678, 289386, 392854, 0
280.00009, 9.999943, 7356, 1696, 8905.9, 5147, 14865, 121730, 267823, 301025, 0
290.000102, 10.000012, 7566, 1793, 9277.5, 5130, 14384, 128400, 328866, 591642, 0
300.000059, 9.999957, 7042, 1713, 9696.6, 5058, 14461, 115641, 454985, 591642, 0
310.000052, 9.999993, 9261, 1767, 7141.5, 5123, 13365, 45481, 221454, 264896, 0
320.000064, 10.000012, 8471, 1659, 7475.2, 5050, 13044, 60976, 226547, 333399, 0
330.000059, 9.999995, 10847, 1755, 6084.2, 4929, 12149, 18835, 122369, 155568, 0
340.00009, 10.000031, 10408, 1777, 6166.1, 4903, 11814, 18388, 145754, 216514, 0
350.00007, 9.99998, 9856, 1734, 6644.3, 4933, 12366, 24953, 163331, 211862, 0
360.000162, 10.000092, 8938, 1812, 7533.6, 4995, 12855, 38561, 412479, 455578, 0
370.000056, 9.999894, 7884, 1843, 8492.0, 5184, 14583, 88418, 276291, 356160, 0
380.000064, 10.000008, 7873, 1693, 8383.6, 5181, 14482, 111875, 165895, 205829, 0
