elapsed, window, total, successful, failed
10.000062, 10.000062, 10543, 10543, 0
20.00008, 10.000018, 9987, 9987, 0
30.000065, 9.999985, 9270, 9270, 0
40.000066, 10.000001, 7588, 7588, 0
50.000104, 10.000038, 11875, 11875, 0
60.000083, 9.999979, 10374, 10374, 0
70.000093, 10.00001, 10134, 10134, 0
80.000086, 9.999993, 9574, 9574, 0
90.000123, 10.000037, 11489, 11489, 0
100.00009, 9.999967, 12106, 12106, 0
110.000115, 10.000025, 11702, 11702, 0
120.00012, 10.000005, 9682, 9682, 0
130.000127, 10.000007, 7443, 7443, 0
140.000074, 9.999947, 6043, 6043, 0
150.000077, 10.000003, 10444, 10444, 0
160.000098, 10.000021, 11344, 11344, 0
170.000131, 10.000033, 9346, 9346, 0
180.000071, 9.99994, 7243, 7243, 0
190.000068, 9.999997, 8903, 8903, 0
200.00012, 10.000052, 10871, 10871, 0
210.00009, 9.99997, 12165, 12165, 0
220.000105, 10.000015, 10738, 10738, 0
230.000146, 10.000041, 8482, 8482, 0
240.000096, 9.99995, 10061, 10061, 0
250.000231, 10.000135, 8421, 8421, 0
260.00013, 9.999899, 6682, 6682, 0
270.000147, 10.000017, 11150, 11150, 0
280.00009, 9.999943, 8070, 8070, 0
290.000102, 10.000012, 8303, 8303, 0
300.000059, 9.999957, 7790, 7790, 0
310.000052, 9.999993, 10244, 10244, 0
320.000064, 10.000012, 9333, 9333, 0
330.000059, 9.999995, 11917, 11917, 0
340.00009, 10.000031, 11519, 11519, 0
350.00007, 9.99998, 10819, 10819, 0
360.000162, 10.000092, 9815, 9815, 0
370.000056, 9.999894, 8649, 8649, 0
380.000064, 10.000008, 8649, 8649, 0
390.000084, 10.00002, 10122, 10122, 0
400.00012, 10.000036, 11900, 11900, 0
410.000168, 10.000048, 10853, 10853, 0
420.000108, 9.99994, 9903, 9903, 0
430.000072, 9.999964, 8949, 8949, 0
440.000088, 10.000016, 9556, 9556, 0
450.000141, 10.000053, 10555, 10555, 0
460.000065, 9.999924, 8396, 8396, 0
470.000064, 9.999999, 5528, 5528, 0
480.000063, 9.999999, 5726, 5726, 0
490.00006, 9.999997, 7161, 7161, 0
500.000069, 10.000009, 10559, 10559, 0
510.000065, 9.999996, 9545, 9545, 0
520.000145, 10.00008, 8642, 8642, 0
530.000064, 9.999919, 10536, 10536, 0
540.000064, 10.0, 6597, 6597, 0
550.000141, 10.000077, 8402, 8402, 0
560.000065, 9.999924, 9052, 9052, 0
570.00009, 10.000025, 6845, 6845, 0
580.000051, 9.999961, 8778, 8778, 0
590.000085, 10.000034, 8201, 8201, 0
600.000182, 10.000097, 8925, 8925, 0
610.000059, 9.999877, 11348, 11348, 0
620.000123, 10.000064, 9871, 9871, 0
630.000127, 10.000004, 9324, 9324, 0
640.000087, 9.99996, 10523, 10523, 0
650.000068, 9.999981, 9445, 9445, 0
660.000164, 10.000096, 9344, 9344, 0
670.000185, 10.000021, 8294, 8294, 0
680.000086, 9.999901, 8982, 8982, 0
690.000093, 10.000007, 12025, 12025, 0
700.000066, 9.999973, 11700, 11700, 0
710.000142, 10.000076, 8544, 8544, 0
720.000073, 9.999931, 7155, 7155, 0
730.000068, 9.999995, 10900, 10900, 0
740.000054, 9.999986, 9265, 9265, 0
750.000101, 10.000047, 10451, 10451, 0
760.000065, 9.999964, 9227, 9227, 0
770.000122, 10.000057, 7923, 7923, 0
780.000155, 10.000033, 10888, 10888, 0
790.000059, 9.999904, 10053, 10053, 0
800.000071, 10.000012, 7967, 7967, 0
810.000061, 9.99999, 8580, 8580, 0
820.000073, 10.000012, 9555, 9555, 0
830.000067, 9.999994, 9436, 9436, 0
840.000073, 10.000006, 9119, 9119, 0
850.000069, 9.999996, 8709, 8709, 0
860.000121, 10.000052, 10183, 10183, 0
870.000198, 10.000077, 9746, 9746, 0
880.00009, 9.999892, 8914, 8914, 0
890.000054, 9.999964, 9204, 9204, 0
