elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000052, 10.000052, 3461, 1780, 19756.7, 17800, 34129, 46840, 459090, 483251, 0
20.000034, 9.999982, 3374, 1540, 20700.1, 17901, 33382, 43217, 801669, 856188, 0
30.000021, 9.999987, 3742, 1894, 18612.7, 17505, 32682, 42714, 77931, 148046, 0
40.000987, 10.000966, 3288, 1592, 20832.5, 18015, 37170, 88779, 257419, 271429, 0
50.001066, 10.000079, 2699, 1562, 25372.3, 18283, 47741, 117450, 978691, 1192875, 0
60.000057, 9.998991, 1763, 1837, 39215.4, 19169, 108001, 816945, 1035110, 1052930, 0
70.000027, 9.99997, 977, 1623, 66741.6, 20297, 358994, 1060869, 1186356, 1200646, 0
80.000991, 10.000964, 651, 1582, 106127.3, 21899, 548176, 1318856, 2219238, 2398597, 0
90.000989, 9.999998, 2818, 1675, 25479.8, 17811, 34825, 69720, 1066379, 1100364, 0
100.000987, 9.999998, 3464, 1549, 20060.8, 18154, 34316, 47721, 490726, 525183, 0
110.001033, 10.000046, 1352, 1528, 51407.9, 19901, 118822, 793295, 1492150, 1497000, 0
120.000005, 9.998972, 618, 1830, 113959.8, 20820, 824410, 1097985, 1755020, 1796095, 0
130.001098, 10.001093, 931, 1937, 73293.1, 20621, 349507, 1140140, 1354666, 1546964, 0
140.000017, 9.998919, 1510, 1694, 53221.2, 18805, 77060, 1354666, 1522874, 1542649, 0
150.000991, 10.000974, 3021, 1694, 22275.6, 17987, 36324, 85080, 1283154, 1310051, 0
160.000993, 10.000002, 3550, 1635, 19775.8, 18226, 33403, 46291, 333168, 351692, 0
170.000997, 10.000004, 3467, 1781, 19625.8, 18211, 35050, 49039, 176110, 309609, 0
180.000997, 10.0, 3300, 1553, 20818.9, 18467, 36859, 61187, 325198, 591922, 0
190.000993, 9.999996, 3511, 1480, 19623.5, 18574, 35627, 48909, 67572, 86266, 0
200.000988, 9.999995, 3300, 1748, 20492.4, 18168, 34022, 48263, 749242, 815518, 0
210.000991, 10.000003, 3035, 1642, 22635.0, 18780, 39573, 109595, 475336, 503787, 0
220.001062, 10.000071, 2620, 1772, 26340.3, 18863, 55673, 118389, 1122157, 1156652, 0
230.000017, 9.998955, 2213, 1580, 29315.4, 18750, 60786, 139499, 1171333, 1217271, 0
240.001101, 10.001084, 2490, 1738, 27977.2, 18575, 48004, 148109, 1181266, 1195038, 0
250.000033, 9.998932, 2158, 1758, 31474.0, 19260, 77720, 146183, 1218830, 1242387, 0
260.000993, 10.00096, 2205, 1776, 31436.5, 18798, 48287, 152250, 1228131, 1237702, 0
270.001005, 10.000012, 3108, 1529, 22435.5, 18560, 34570, 52175, 666349, 690444, 0
280.001007, 10.000002, 3019, 1557, 22674.2, 18401, 36086, 173151, 437409, 447626, 0
290.000993, 9.999986, 3410, 1541, 20592.0, 18773, 36006, 52786, 250313, 332876, 0
300.000998, 10.000005, 2491, 1541, 27054.0, 19348, 72472, 180539, 486094, 537000, 0
310.000991, 9.999993, 1524, 1639, 46980.4, 20333, 103092, 907488, 1184119, 1232146, 0
320.001, 10.000009, 978, 1753, 68019.7, 21200, 317543, 908540, 1242110, 1342692, 0
330.000987, 9.999987, 1134, 1835, 58853.5, 21242, 185349, 1146562, 1194403, 1201623, 0
340.001056, 10.000069, 2673, 1532, 25200.2, 19028, 39388, 241746, 748009, 1106763, 0
350.000037, 9.998981, 2075, 1693, 33251.8, 19308, 91042, 490483, 783484, 801262, 0
360.000018, 9.999981, 2238, 1654, 30945.7, 19047, 68637, 372352, 886770, 939168, 0
370.000989, 10.000971, 2239, 1621, 29328.1, 19158, 68811, 271076, 877640, 1006995, 0
380.001029, 10.00004, 2349, 1663, 28850.5, 18966, 45291, 316695, 990789, 1008747, 0
390.000986, 9.999957, 2615, 1586, 26822.7, 18758, 35115, 435392, 777640, 836644, 0
400.001017, 10.000031, 3193, 1624, 21530.0, 18627, 34891, 48671, 507242, 561645, 0
410.000995, 9.999978, 3439, 1711, 19722.9, 18969, 35313, 45691, 59882, 72627, 0
420.001054, 10.000059, 3505, 1707, 20135.7, 19261, 35824, 47758, 126754, 144139, 0
430.000057, 9.999003, 3384, 1579, 20166.6, 19064, 36009, 54306, 91782, 100398, 0
440.000987, 10.00093, 3060, 1665, 21910.4, 18863, 36909, 77387, 435647, 449794, 0
450.000986, 9.999999, 3371, 1468, 20487.8, 18819, 36214, 47591, 349478, 366730, 0
460.001006, 10.00002, 3470, 1468, 19802.3, 18805, 36054, 49990, 77551, 132650, 0
470.001039, 10.000033, 3321, 1551, 20669.1, 19097, 36351, 51481, 336669, 398910, 0
480.000039, 9.999, 3521, 1555, 19684.9, 18906, 35929, 47849, 66779, 79287, 0
490.000041, 10.000002, 3512, 1593, 19581.6, 18965, 35446, 46880, 62763, 76974, 0
500.000042, 10.000001, 3400, 1573, 20567.4, 19146, 38491, 60013, 117303, 136628, 0
510.000031, 9.999989, 3473, 1545, 20061.0, 19242, 36003, 47802, 62157, 117273, 0
520.000032, 10.000001, 3391, 1617, 20538.3, 19073, 35287, 46445, 415128, 444924, 0
530.001004, 10.000972, 2950, 1606, 23386.2, 19444, 41161, 121137, 592504, 658717, 0
540.001074, 10.00007, 2227, 1733, 32430.9, 19405, 66160, 186816, 1166554, 1184598, 0
550.000027, 9.998953, 2604, 1790, 26104.8, 19670, 52752, 126571, 1086251, 1169653, 0
560.000026, 9.999999, 2602, 1652, 25856.5, 19346, 61741, 111713, 1163291, 1208474, 0
570.000023, 9.999997, 1941, 1652, 30305.4, 20163, 64425, 214211, 1161940, 1242168, 0
580.001042, 10.001019, 1043, 1885, 69064.4, 22102, 243735, 1073742, 1224883, 1242168, 0
590.000032, 9.99899, 1472, 1753, 50527.1, 20663, 123741, 847216, 1095451, 1157141, 0
600.000156, 10.000124, 2963, 1657, 23329.9, 19463, 39209, 71584, 745941, 762541, 0
610.000046, 9.99989, 3264, 1611, 20705.4, 19114, 36282, 50370, 270926, 294619, 0
620.000035, 9.999989, 3315, 1742, 20346.0, 19460, 35832, 48861, 68311, 101971, 0
630.000071, 10.000036, 3053, 1658, 21741.3, 19305, 36078, 51176, 381279, 388853, 0
640.000101, 10.00003, 3120, 1602, 21797.3, 19628, 39194, 65696, 341440, 357687, 0
650.000068, 9.999967, 2259, 1653, 29040.9, 19947, 79455, 128193, 920370, 959902, 0
660.000069, 10.000001, 2207, 1688, 32556.7, 20283, 90564, 428869, 877417, 1001735, 0
670.000106, 10.000037, 2297, 1530, 30564.1, 19984, 80630, 207501, 885527, 930041, 0
680.000038, 9.999932, 1854, 1797, 35529.2, 20378, 80684, 479072, 951508, 953800, 0
690.000038, 10.0, 2145, 1812, 34020.2, 20685, 79970, 193532, 1019420, 1089754, 0
700.000039, 10.000001, 2204, 1782, 30660.3, 20358, 51044, 334999, 938960, 1003085, 0
710.000036, 9.999997, 2800, 1775, 24361.3, 19806, 40161, 103719, 512443, 815622, 0
720.000048, 10.000012, 2963, 1710, 22560.7, 19370, 39596, 63916, 511606, 541593, 0
730.000075, 10.000027, 2584, 1662, 25311.4, 20006, 49521, 134184, 402902, 408165, 0
740.000018, 9.999943, 2254, 1736, 31406.2, 20239, 73153, 354971, 916961, 948207, 0
750.000993, 10.000975, 2006, 1559, 33180.0, 20828, 88469, 274714, 798747, 802406, 0
760.000983, 9.99999, 2217, 1685, 31580.5, 20449, 74858, 331671, 853695, 923606, 0
770.000991, 10.000008, 1890, 1590, 36272.9, 20450, 87849, 580609, 803700, 920252, 0
780.001043, 10.000052, 2218, 1693, 30229.3, 20208, 59353, 120960, 1397323, 1436529, 0
790.000052, 9.999009, 2418, 1637, 28323.6, 20114, 54232, 139937, 1410702, 1495326, 0
800.000038, 9.999986, 2083, 1683, 33029.8, 21110, 81500, 190650, 1165697, 1168914, 0
810.000023, 9.999985, 702, 1545, 89321.5, 25733, 422904, 937093, 1601575, 1619832, 0
820.000991, 10.000968, 484, 1678, 126155.2, 25568, 718770, 1545897, 1642419, 1689405, 0
830.000986, 9.999995, 682, 1551, 105905.8, 21121, 684337, 1545931, 1681227, 2184181, 0
840.001107, 10.000121, 2426, 1591, 27754.9, 20310, 51971, 132806, 1135881, 1167016, 0
850.000036, 9.998929, 1953, 1591, 34690.0, 19896, 59558, 628065, 1442639, 1503802, 0
860.000035, 9.999999, 2779, 1565, 25061.7, 19731, 40048, 67089, 1415194, 1432562, 0
870.000036, 10.000001, 3078, 1677, 22084.1, 19633, 37973, 57370, 588470, 637094, 0
880.000062, 10.000026, 3144, 1682, 20982.5, 19464, 38579, 56319, 94760, 117371, 0
890.000118, 10.000056, 3052, 1627, 23022.7, 19703, 38614, 61744, 519828, 587193, 0
900.000045, 9.999927, 2980, 1616, 22932.7, 19541, 41806, 94992, 327280, 425746, 0
910.000084, 10.000039, 2300, 1666, 29301.5, 20285, 75623, 156984, 937829, 955744, 0
920.000038, 9.999954, 1785, 1582, 38107.9, 21295, 96634, 565448, 1066960, 1126231, 0
930.000045, 10.000007, 2087, 1592, 33033.4, 20734, 64701, 333254, 1004965, 1026591, 0
940.000039, 9.999994, 2992, 1681, 22594.0, 20059, 43814, 91530, 138925, 162427, 0
950.000041, 10.000002, 2134, 1653, 31120.7, 20090, 70390, 198128, 1209846, 1227014, 0
960.000064, 10.000023, 1785, 1753, 39667.8, 20639, 82851, 824815, 1211167, 1226521, 0
970.000044, 9.99998, 2409, 1707, 31449.5, 19985, 72021, 180158, 1081911, 1134087, 0
980.000063, 10.000019, 2121, 1757, 30189.6, 21175, 66308, 121229, 838616, 878546, 0
990.000038, 9.999975, 1603, 1630, 40730.1, 20374, 100402, 934559, 1123179, 1152818, 0
1000.000043, 10.000005, 1744, 1747, 41659.7, 20827, 92268, 921488, 1160712, 1186193, 0
1010.000042, 9.999999, 1764, 1649, 37746.5, 20871, 93585, 659887, 1083353, 1104703, 0
1020.000098, 10.000056, 1421, 1827, 50591.9, 21469, 118825, 905372, 1516698, 1594733, 0
1030.00007, 9.999972, 958, 1710, 55490.0, 21683, 118519, 870328, 1029392, 1031427, 0
