elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000027, 10.000027, 373, 2307, 29429.3, 27751, 53978, 71168, 76547, 76547, 0
20.000483, 10.000456, 341, 4294, 30794.7, 28333, 58236, 75480, 102855, 102855, 0
30.000584, 10.000101, 330, 3135, 31025.0, 28018, 56964, 77280, 310160, 310160, 0
40.000483, 9.999899, 364, 3657, 31250.9, 27726, 57568, 89686, 193240, 193240, 0
50.000483, 10.0, 353, 3713, 30721.0, 28487, 56928, 83961, 101998, 101998, 0
60.000509, 10.000026, 356, 5269, 33091.4, 29434, 58535, 89874, 368315, 368315, 0
70.000488, 9.999979, 358, 3083, 32563.8, 28206, 66253, 99217, 290348, 290348, 0
80.000485, 9.999997, 304, 3316, 33626.8, 27986, 73346, 144291, 174791, 174791, 0
90.000483, 9.999998, 339, 2872, 29941.1, 27003, 55073, 73273, 208722, 208722, 0
100.000484, 10.000001, 356, 2869, 30515.3, 28606, 56132, 75823, 141983, 141983, 0
110.000559, 10.000075, 317, 4328, 35805.6, 28581, 75256, 181594, 258926, 258926, 0
120.000496, 9.999937, 306, 4301, 30466.5, 28162, 58439, 76764, 99691, 99691, 0
130.000527, 10.000031, 367, 3551, 29665.0, 27683, 54921, 72429, 100030, 100030, 0
140.000561, 10.000034, 349, 3551, 33730.0, 29265, 61005, 139612, 305352, 305352, 0
150.000507, 9.999946, 336, 2728, 35843.6, 28670, 69333, 129299, 587574, 587574, 0
160.000769, 10.000262, 338, 3130, 29620.9, 27592, 54757, 85076, 105471, 105471, 0
170.000533, 9.999764, 333, 3844, 31311.4, 28664, 59704, 71491, 144405, 144405, 0
180.000529, 9.999996, 306, 2982, 34197.1, 29362, 60852, 163552, 207092, 207092, 0
190.000559, 10.00003, 297, 3547, 35662.0, 29444, 67791, 151705, 411581, 411581, 0
200.00053, 9.999971, 223, 3712, 42158.2, 29526, 102457, 281629, 744623, 744623, 0
210.000558, 10.000028, 217, 3659, 44430.8, 30351, 120522, 151588, 1162609, 1162609, 0
220.000534, 9.999976, 226, 3745, 49796.9, 29674, 112639, 889351, 978853, 978853, 0
230.000546, 10.000012, 203, 3511, 44332.4, 29969, 93929, 370137, 680625, 680625, 0
240.000529, 9.999983, 282, 5194, 38095.8, 31268, 85614, 134504, 611760, 611760, 0
250.000532, 10.000003, 236, 4090, 49526.4, 31401, 143962, 227439, 1342215, 1342215, 0
260.000536, 10.000004, 198, 5097, 56610.4, 29693, 144805, 279537, 1551000, 1551000, 0
270.000597, 10.000061, 35, 13059, 300169.1, 54632, 1022257, 1558688, 1558688, 1558688, 0
280.000561, 9.999964, 45, 14085, 157821.2, 54632, 554703, 1948056, 1948056, 1948056, 0
290.000506, 9.999945, 178, 4948, 47573.8, 31163, 124703, 350508, 814930, 814930, 0
300.000539, 10.000033, 252, 3245, 58646.2, 30403, 149658, 962640, 1068924, 1068924, 0
310.000486, 9.999947, 232, 4523, 41696.2, 31655, 89396, 149618, 1026596, 1026596, 0
320.000483, 9.999997, 234, 4432, 60422.3, 32087, 164203, 888627, 914000, 914000, 0
330.000482, 9.999999, 123, 3252, 95654.9, 37035, 281854, 1138048, 1811376, 1811376, 0
340.00049, 10.000008, 79, 9018, 136485.5, 38519, 711329, 984328, 1027488, 1027488, 0
350.000546, 10.000056, 41, 9018, 291165.8, 86202, 1055728, 1307303, 1307303, 1307303, 0
360.000478, 9.999932, 263, 4128, 41812.2, 29366, 69239, 161038, 885552, 885552, 0
370.000489, 10.000011, 381, 4041, 31006.0, 28959, 54867, 75590, 135861, 135861, 0
380.000483, 9.999994, 302, 3310, 35611.4, 29230, 62159, 100929, 677918, 677918, 0
390.000569, 10.000086, 314, 3346, 32316.6, 30139, 57482, 86214, 128786, 128786, 0
400.000482, 9.999913, 335, 2906, 36353.1, 31924, 71802, 114082, 390892, 390892, 0
410.000491, 10.000009, 363, 3335, 32483.9, 29784, 59061, 96823, 170511, 170511, 0
