elapsed, window, total, successful, failed
10.000027, 10.000027, 4116, 4116, 0
20.000483, 10.000456, 3870, 3870, 0
30.000584, 10.000101, 3876, 3876, 0
40.000483, 9.999899, 3770, 3770, 0
50.000483, 10.0, 3987, 3987, 0
60.000509, 10.000026, 3899, 3899, 0
70.000488, 9.999979, 3829, 3829, 0
80.000485, 9.999997, 3799, 3799, 0
90.000483, 9.999998, 3769, 3769, 0
100.000484, 10.000001, 4010, 4010, 0
110.000559, 10.000075, 3603, 3603, 0
120.000496, 9.999937, 3530, 3530, 0
130.000527, 10.000031, 4048, 4048, 0
140.000561, 10.000034, 3734, 3734, 0
150.000507, 9.999946, 3615, 3615, 0
160.000769, 10.000262, 3896, 3896, 0
170.000533, 9.999764, 3759, 3759, 0
180.000529, 9.999996, 3546, 3546, 0
190.000559, 10.00003, 3055, 3055, 0
200.00053, 9.999971, 2586, 2586, 0
210.000558, 10.000028, 2399, 2399, 0
220.000534, 9.999976, 2388, 2388, 0
230.000546, 10.000012, 2590, 2590, 0
240.000529, 9.999983, 3200, 3200, 0
250.000532, 10.000003, 2485, 2485, 0
260.000536, 10.000004, 2255, 2255, 0
270.000597, 10.000061, 442, 442, 0
280.000561, 9.999964, 510, 510, 0
290.000506, 9.999945, 2029, 2029, 0
300.000539, 10.000033, 2657, 2657, 0
310.000486, 9.999947, 2425, 2425, 0
320.000483, 9.999997, 2531, 2531, 0
330.000482, 9.999999, 1347, 1347, 0
340.00049, 10.000008, 816, 816, 0
350.000546, 10.000056, 458, 458, 0
360.000478, 9.999932, 2805, 2805, 0
370.000489, 10.000011, 3900, 3900, 0
380.000483, 9.999994, 3320, 3320, 0
390.000569, 10.000086, 3811, 3811, 0
400.000482, 9.999913, 3540, 3540, 0
410.000491, 10.000009, 3827, 3827, 0
420.000548, 10.000057, 3749, 3749, 0
430.000488, 9.99994, 2984, 2984, 0
440.000489, 10.000001, 2515, 2515, 0
450.000495, 10.000006, 2382, 2382, 0
460.000529, 10.000034, 2367, 2367, 0
470.000485, 9.999956, 2749, 2749, 0
480.000485, 10.0, 1670, 1670, 0
