elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000042, 10.000042, 7645, 1626, 8707.5, 7342, 18086, 27094, 78561, 125307, 0
20.000982, 10.00094, 5971, 1626, 10875.3, 7546, 20408, 68687, 329386, 554709, 0
30.00105, 10.000068, 3406, 1779, 18964.6, 8070, 52417, 276510, 544110, 566751, 0
40.000036, 9.998986, 2615, 1696, 24311.4, 8058, 150378, 335204, 520771, 544110, 0
50.000049, 10.000013, 4059, 1722, 17061.3, 8193, 35646, 297260, 431349, 476396, 0
60.000027, 9.999978, 3086, 1771, 20788.3, 7835, 61671, 262017, 1665667, 2093899, 0
70.000027, 10.0, 3957, 1745, 16999.8, 7833, 48616, 218524, 458834, 608422, 0
80.00007, 10.000043, 4750, 1761, 13635.4, 7714, 26417, 163837, 505043, 519462, 0
90.00006, 9.99999, 5832, 1707, 11709.3, 7479, 19662, 115289, 402794, 668129, 0
100.000028, 9.999968, 5368, 1747, 11787.9, 7419, 21432, 123009, 480076, 603215, 0
110.000033, 10.000005, 2543, 1686, 25498.2, 8402, 86676, 266376, 2355912, 2369442, 0
120.000027, 9.999994, 1865, 1676, 35338.0, 8852, 211659, 395136, 524199, 813461, 0
130.000026, 9.999999, 1698, 1737, 32336.0, 8868, 134875, 430251, 1799648, 2004654, 0
140.000049, 10.000023, 2723, 1704, 23845.8, 9385, 103413, 311106, 660830, 700672, 0
150.001019, 10.00097, 2339, 1719, 30116.1, 9264, 193427, 348390, 537426, 611469, 0
160.001016, 9.999997, 3604, 1669, 17363.4, 7914, 56469, 252707, 353195, 508036, 0
170.000998, 9.999982, 3315, 1694, 18513.3, 7562, 45022, 284204, 528872, 545297, 0
180.000998, 10.0, 3967, 1675, 16277.7, 7750, 36708, 239607, 605550, 726780, 0
190.0011, 10.000102, 2413, 1682, 24476.9, 7831, 118697, 301596, 646865, 904232, 0
200.000027, 9.998927, 920, 1816, 80635.6, 11906, 278669, 514486, 4288084, 4337731, 0
210.000026, 9.999999, 1270, 1795, 54000.0, 12428, 271127, 404648, 532427, 538635, 0
220.000034, 10.000008, 924, 1647, 73686.6, 12984, 387418, 530227, 603443, 1008738, 0
230.000045, 10.000011, 1212, 1674, 55240.7, 10868, 291226, 521594, 801545, 804238, 0
240.001, 10.000955, 2267, 1749, 31338.4, 9254, 169879, 398166, 667793, 688252, 0
250.00099, 9.99999, 3686, 1672, 18360.7, 7658, 40144, 335568, 591864, 688252, 0
260.000973, 9.999983, 2644, 1672, 23712.1, 7911, 117333, 292372, 555384, 660190, 0
270.000997, 10.000024, 3440, 1748, 19994.0, 9291, 78702, 244414, 496291, 546285, 0
280.001136, 10.000139, 2386, 1602, 28818.0, 9807, 138478, 326351, 1078777, 1080097, 0
290.000039, 9.998903, 1909, 1610, 34075.9, 8675, 227275, 437962, 1142325, 1160067, 0
300.000039, 10.0, 3155, 1610, 18376.3, 7983, 36050, 161419, 2400098, 2561003, 0
310.001013, 10.000974, 3563, 1630, 19061.4, 7329, 50784, 343076, 611808, 646235, 0
320.001032, 10.000019, 3340, 1673, 18164.2, 8149, 58831, 227702, 466123, 613230, 0
330.001073, 10.000041, 1860, 1697, 33120.6, 8544, 199023, 388712, 524756, 540001, 0
340.000061, 9.998988, 1382, 1791, 50727.2, 9861, 266976, 435668, 546349, 685799, 0
350.000023, 9.999962, 2637, 1741, 26859.5, 10193, 110346, 334620, 493142, 634124, 0
360.000041, 10.000018, 1543, 1746, 39601.0, 8748, 217441, 423986, 669640, 738579, 0
370.000394, 10.000353, 3326, 1547, 20501.2, 7508, 59308, 310771, 549711, 691690, 0
380.000034, 9.99964, 5827, 1633, 11349.0, 7088, 18924, 145987, 307688, 417409, 0
390.000041, 10.000007, 6185, 1631, 10586.6, 7488, 20844, 91087, 187885, 259320, 0
400.000024, 9.999983, 5029, 1604, 13052.6, 7703, 25846, 152958, 313322, 365519, 0
410.00004, 10.000016, 3411, 1723, 18859.0, 8795, 56257, 245315, 429877, 539309, 0
420.00103, 10.00099, 2876, 1681, 22983.6, 8711, 117961, 282208, 379908, 435314, 0
430.000026, 9.998996, 2708, 1563, 22344.0, 8640, 95947, 280976, 399384, 417444, 0
440.001027, 10.001001, 3717, 1762, 18450.8, 8348, 63132, 222107, 414598, 455905, 0
450.001087, 10.00006, 2452, 1747, 25898.5, 8699, 113527, 290072, 1856864, 1895284, 0
460.000036, 9.998949, 5014, 1673, 12801.3, 7383, 27076, 119428, 704334, 884530, 0
470.000022, 9.999986, 6793, 1712, 9690.3, 6992, 17913, 93267, 180690, 249244, 0
480.000035, 10.000013, 6442, 1664, 10149.9, 7340, 18396, 91887, 223435, 246582, 0
490.001009, 10.000974, 4404, 1664, 14742.2, 7744, 37958, 184559, 317514, 434902, 0
500.000962, 9.999953, 5152, 1725, 13671.9, 7558, 23048, 188074, 446756, 485754, 0
510.00097, 10.000008, 3845, 1747, 16342.1, 7880, 46838, 207322, 470671, 587190, 0
520.0015, 10.00053, 3946, 1702, 15229.8, 7795, 26818, 254340, 471084, 587190, 0
530.000022, 9.998522, 4668, 1691, 17530.9, 7836, 27103, 184057, 2331322, 2496944, 0
540.000024, 10.000002, 3111, 1748, 19276.2, 8092, 36000, 174570, 2331662, 2604393, 0
550.000211, 10.000187, 3536, 1671, 22711.0, 7917, 43838, 405394, 2331662, 2604393, 0
560.000028, 9.999817, 1615, 1756, 30475.3, 7975, 178953, 419349, 650201, 688424, 0
570.001017, 10.000989, 2195, 1706, 32115.7, 8888, 202021, 374337, 589867, 614480, 0
580.000956, 9.999939, 2100, 1738, 27937.6, 9266, 153589, 375305, 495785, 647831, 0
590.000956, 10.0, 2624, 1661, 26025.9, 8957, 123331, 349507, 527539, 689633, 0
600.001007, 10.000051, 2299, 1641, 29283.0, 9517, 103043, 385892, 2060895, 2097892, 0
610.001342, 10.000335, 634, 1557, 94086.1, 9738, 353651, 525189, 3396287, 3475945, 0
620.00003, 9.998688, 1821, 1637, 36217.8, 7986, 48635, 415378, 4348740, 4519201, 0
630.000058, 10.000028, 3713, 1781, 17832.5, 7794, 69267, 210603, 401049, 558177, 0
640.000038, 9.99998, 4187, 1678, 14589.2, 7764, 39257, 165099, 373533, 695427, 0
650.001063, 10.001025, 2466, 1678, 24235.2, 7774, 74646, 479472, 843078, 915824, 0
660.000078, 9.999015, 3589, 1686, 16776.3, 8059, 63336, 180225, 338916, 415391, 0
670.000027, 9.999949, 4900, 1697, 14128.0, 7789, 41449, 143856, 324565, 415391, 0
680.000058, 10.000031, 2470, 1731, 23306.8, 7659, 44676, 419497, 631484, 658934, 0
690.000025, 9.999967, 3713, 1720, 19670.3, 7664, 49838, 344394, 519707, 631484, 0
700.000042, 10.000017, 1627, 1708, 30071.5, 7712, 231230, 404079, 510109, 520117, 0
710.000024, 9.999982, 4732, 1655, 15336.0, 7371, 23024, 273186, 622730, 806618, 0
720.000024, 10.0, 3562, 1713, 16743.5, 7461, 41341, 304455, 673349, 689169, 0
730.000954, 10.00093, 3898, 1712, 16533.9, 7666, 42294, 197075, 1397827, 1448536, 0
740.000968, 10.000014, 2987, 1701, 19192.9, 7638, 62757, 295973, 517561, 754461, 0
750.000987, 10.000019, 3919, 1720, 16201.9, 8122, 44106, 177851, 590806, 605711, 0
760.000982, 9.999995, 3023, 1685, 20395.2, 7862, 42990, 363934, 1049795, 1075644, 0
770.000972, 9.99999, 3630, 1636, 17884.1, 7594, 53046, 260865, 481258, 687388, 0
780.001005, 10.000033, 3545, 1635, 17870.5, 7821, 45133, 272106, 780835, 1347997, 0
790.000954, 9.999949, 3737, 1762, 17100.9, 7795, 34634, 221760, 1671565, 2074727, 0
800.001023, 10.000069, 2343, 1664, 25235.6, 8685, 119841, 235110, 1107779, 1257496, 0
810.001004, 9.999981, 2474, 1753, 24502.1, 9456, 38082, 363287, 1906215, 2033247, 0
820.000986, 9.999982, 2846, 1719, 27090.9, 9234, 90910, 351687, 1574522, 1919808, 0
