elapsed, window, total, successful, failed
10.000042, 10.000042, 8390, 8390, 0
20.000982, 10.00094, 6572, 6572, 0
30.00105, 10.000068, 3738, 3738, 0
40.000036, 9.998986, 2873, 2873, 0
50.000049, 10.000013, 4487, 4487, 0
60.000027, 9.999978, 3366, 3366, 0
70.000027, 10.0, 4338, 4338, 0
80.00007, 10.000043, 5207, 5207, 0
90.00006, 9.99999, 6381, 6381, 0
100.000028, 9.999968, 5903, 5903, 0
110.000033, 10.000005, 2809, 2809, 0
120.000027, 9.999994, 2070, 2070, 0
130.000026, 9.999999, 1857, 1857, 0
140.000049, 10.000023, 2979, 2979, 0
150.001019, 10.00097, 2556, 2556, 0
160.001016, 9.999997, 3972, 3972, 0
170.000998, 9.999982, 3643, 3643, 0
180.000998, 10.0, 4362, 4362, 0
190.0011, 10.000102, 2673, 2673, 0
200.000027, 9.998927, 993, 993, 0
210.000026, 9.999999, 1354, 1354, 0
220.000034, 10.000008, 1025, 1025, 0
230.000045, 10.000011, 1327, 1327, 0
240.001, 10.000955, 2496, 2496, 0
250.00099, 9.99999, 4061, 4061, 0
260.000973, 9.999983, 2892, 2892, 0
270.000997, 10.000024, 3797, 3797, 0
280.001136, 10.000139, 2623, 2623, 0
290.000039, 9.998903, 2111, 2111, 0
300.000039, 10.0, 3490, 3490, 0
310.001013, 10.000974, 3940, 3940, 0
320.001032, 10.000019, 3688, 3688, 0
330.001073, 10.000041, 2038, 2038, 0
340.000061, 9.998988, 1489, 1489, 0
350.000023, 9.999962, 2887, 2887, 0
360.000041, 10.000018, 1715, 1715, 0
370.000394, 10.000353, 3687, 3687, 0
380.000034, 9.99964, 6407, 6407, 0
390.000041, 10.000007, 6780, 6780, 0
400.000024, 9.999983, 5499, 5499, 0
410.00004, 10.000016, 3706, 3706, 0
420.00103, 10.00099, 3137, 3137, 0
430.000026, 9.998996, 2947, 2947, 0
440.001027, 10.001001, 4076, 4076, 0
450.001087, 10.00006, 2698, 2698, 0
460.000036, 9.998949, 5526, 5526, 0
470.000022, 9.999986, 7415, 7415, 0
480.000035, 10.000013, 7082, 7082, 0
490.001009, 10.000974, 4892, 4892, 0
500.000962, 9.999953, 5636, 5636, 0
510.00097, 10.000008, 4244, 4244, 0
520.0015, 10.00053, 4390, 4390, 0
530.000022, 9.998522, 5133, 5133, 0
540.000024, 10.000002, 3412, 3412, 0
550.000211, 10.000187, 3899, 3899, 0
560.000028, 9.999817, 1774, 1774, 0
570.001017, 10.000989, 2416, 2416, 0
580.000956, 9.999939, 2300, 2300, 0
590.000956, 10.0, 2876, 2876, 0
600.001007, 10.000051, 2497, 2497, 0
610.001342, 10.000335, 701, 701, 0
620.00003, 9.998688, 1978, 1978, 0
630.000058, 10.000028, 4102, 4102, 0
640.000038, 9.99998, 4589, 4589, 0
650.001063, 10.001025, 2708, 2708, 0
660.000078, 9.999015, 3943, 3943, 0
670.000027, 9.999949, 5405, 5405, 0
680.000058, 10.000031, 2708, 2708, 0
690.000025, 9.999967, 4086, 4086, 0
700.000042, 10.000017, 1790, 1790, 0
710.000024, 9.999982, 5176, 5176, 0
720.000024, 10.0, 3946, 3946, 0
730.000954, 10.00093, 4250, 4250, 0
740.000968, 10.000014, 3320, 3320, 0
750.000987, 10.000019, 4315, 4315, 0
760.000982, 9.999995, 3310, 3310, 0
770.000972, 9.99999, 4032, 4032, 0
780.001005, 10.000033, 3882, 3882, 0
790.000954, 9.999949, 4128, 4128, 0
800.001023, 10.000069, 2606, 2606, 0
810.001004, 9.999981, 2744, 2744, 0
820.000986, 9.999982, 3144, 3144, 0
830.001005, 10.000019, 1471, 1471, 0
840.000961, 9.999956, 6655, 6655, 0
850.001008, 10.000047, 5284, 5284, 0
860.001133, 10.000125, 4692, 4692, 0
870.000024, 9.998891, 3103, 3103, 0
880.000048, 10.000024, 1534, 1534, 0
890.000988, 10.00094, 776, 776, 0
900.000987, 9.999999, 940, 940, 0
910.001011, 10.000024, 1357, 1357, 0
920.000991, 9.99998, 1176, 1176, 0
930.001042, 10.000051, 1849, 1849, 0
940.000038, 9.998996, 817, 817, 0
950.000047, 10.000009, 883, 883, 0
960.001129, 10.001082, 1268, 1268, 0
970.000035, 9.998906, 3896, 3896, 0
980.000031, 9.999996, 3982, 3982, 0
990.000025, 9.999994, 4378, 4378, 0
1000.000043, 10.000018, 3105, 3105, 0
1010.000038, 9.999995, 3798, 3798, 0
1020.000026, 9.999988, 3514, 3514, 0
1030.000955, 10.000929, 3605, 3605, 0
1040.000986, 10.000031, 2876, 2876, 0
1050.000972, 9.999986, 6274, 6274, 0
1060.000999, 10.000027, 6470, 6470, 0
1070.001075, 10.000076, 5261, 5261, 0
1080.000034, 9.998959, 6413, 6413, 0
1090.000037, 10.000003, 3973, 3973, 0
1100.000032, 9.999995, 3328, 3328, 0
1110.001053, 10.001021, 1081, 1081, 0
1120.000021, 9.998968, 2764, 2764, 0
1130.000022, 10.000001, 2149, 2149, 0
1140.000989, 10.000967, 2352, 2352, 0
1150.00109, 10.000101, 2802, 2802, 0
1160.000051, 9.998961, 4185, 4185, 0
1170.00096, 10.000909, 3671, 3671, 0
1180.000986, 10.000026, 3786, 3786, 0
1190.001004, 10.000018, 2820, 2820, 0
1200.000971, 9.999967, 2673, 2673, 0
1210.000988, 10.000017, 2389, 2389, 0
1220.000972, 9.999984, 1077, 1077, 0
1230.000967, 9.999995, 2005, 2005, 0
1240.000985, 10.000018, 3087, 3087, 0
1250.000979, 9.999994, 3032, 3032, 0
1260.001051, 10.000072, 4485, 4485, 0
1270.000022, 9.998971, 3334, 3334, 0
1280.000991, 10.000969, 3298, 3298, 0
1290.000993, 10.000002, 2690, 2690, 0
1300.000999, 10.000006, 4165, 4165, 0
1310.001011, 10.000012, 3235, 3235, 0
1320.000959, 9.999948, 2483, 2483, 0
1330.001006, 10.000047, 3138, 3138, 0
1340.000995, 9.999989, 2393, 2393, 0
1350.000979, 9.999984, 2659, 2659, 0
1360.001073, 10.000094, 3012, 3012, 0
1370.00004, 9.998967, 4070, 4070, 0
