elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 649, 4126, 20763.3, 15491, 36226, 220715, 294967, 413080, 0
20.000791, 10.000768, 351, 4992, 38613.5, 15387, 158349, 533932, 667526, 667526, 0
30.000928, 10.000137, 171, 5201, 108284.5, 19471, 453687, 2513332, 2583592, 2583592, 0
40.000801, 9.999873, 123, 4026, 98432.3, 20374, 475398, 849381, 1296357, 1296357, 0
50.000806, 10.000005, 148, 5211, 98071.7, 24089, 466679, 628374, 1273975, 1273975, 0
60.00081, 10.000004, 193, 5307, 91621.3, 22557, 251656, 1518784, 2550989, 2550989, 0
70.000854, 10.000044, 132, 4040, 85899.9, 27438, 343844, 622265, 786073, 786073, 0
80.000799, 9.999945, 177, 4715, 78183.7, 18942, 383829, 742133, 1049609, 1049609, 0
90.000807, 10.000008, 244, 3758, 62923.5, 18729, 257669, 754049, 947733, 947733, 0
100.000776, 9.999969, 291, 3843, 53992.6, 18092, 235378, 517783, 917436, 917436, 0
110.000867, 10.000091, 268, 4613, 44957.0, 17470, 256977, 396735, 530752, 530752, 0
120.000786, 9.999919, 504, 4307, 29445.5, 15126, 49574, 209366, 1675879, 2276030, 0
130.000852, 10.000066, 407, 4129, 31737.3, 14651, 147892, 368248, 681671, 681671, 0
140.000812, 9.99996, 639, 4195, 20886.1, 14635, 41135, 168282, 271016, 305135, 0
150.001348, 10.000536, 600, 4264, 23258.5, 14987, 42023, 243957, 340840, 769012, 0
160.000035, 9.998687, 594, 3631, 22925.6, 15344, 50293, 190571, 295659, 296809, 0
170.000835, 10.0008, 529, 4061, 23450.8, 14130, 46134, 206239, 493818, 518272, 0
180.000824, 9.999989, 490, 4050, 27927.4, 14608, 56601, 320706, 1047369, 1071533, 0
190.000777, 9.999953, 487, 4511, 29643.5, 16456, 58808, 340932, 1098006, 1098006, 0
200.000829, 10.000052, 322, 4484, 56277.5, 16531, 185855, 1098006, 1806460, 1806460, 0
210.000791, 9.999962, 200, 5485, 73973.3, 18338, 408218, 820198, 2345950, 2345950, 0
220.000794, 10.000003, 320, 5158, 37070.1, 19632, 111210, 432103, 733829, 733829, 0
