elapsed, window, total, successful, failed
10.000035, 10.000035, 12895, 12895, 0
20.000478, 10.000443, 13108, 13108, 0
30.000451, 9.999973, 12903, 12903, 0
40.000445, 9.999994, 12472, 12472, 0
50.000472, 10.000027, 12679, 12679, 0
60.000648, 10.000176, 12983, 12983, 0
70.000566, 9.999918, 12651, 12651, 0
80.000481, 9.999915, 12353, 12353, 0
90.000487, 10.000006, 12703, 12703, 0
100.00046, 9.999973, 12691, 12691, 0
110.00047, 10.00001, 12461, 12461, 0
120.000493, 10.000023, 12843, 12843, 0
130.000665, 10.000172, 12844, 12844, 0
140.000473, 9.999808, 12583, 12583, 0
150.00047, 9.999997, 12649, 12649, 0
160.000478, 10.000008, 12714, 12714, 0
170.000462, 9.999984, 12790, 12790, 0
180.000565, 10.000103, 12128, 12128, 0
190.000526, 9.999961, 13043, 13043, 0
200.000461, 9.999935, 12955, 12955, 0
210.000455, 9.999994, 12657, 12657, 0
220.000479, 10.000024, 12446, 12446, 0
230.000458, 9.999979, 12739, 12739, 0
240.000531, 10.000073, 12742, 12742, 0
250.000594, 10.000063, 12385, 12385, 0
260.000473, 9.999879, 12546, 12546, 0
270.000516, 10.000043, 12667, 12667, 0
280.000516, 10.0, 12538, 12538, 0
290.000542, 10.000026, 12639, 12639, 0
300.000467, 9.999925, 12874, 12874, 0
310.000498, 10.000031, 12726, 12726, 0
320.000489, 9.999991, 12375, 12375, 0
330.00049, 10.000001, 12499, 12499, 0
340.000481, 9.999991, 12815, 12815, 0
350.000524, 10.000043, 12495, 12495, 0
360.000535, 10.000011, 12362, 12362, 0
370.000478, 9.999943, 12905, 12905, 0
380.000461, 9.999983, 13029, 13029, 0
390.000481, 10.00002, 12033, 12033, 0
400.000561, 10.00008, 12558, 12558, 0
410.00049, 9.999929, 12533, 12533, 0
420.000483, 9.999993, 12443, 12443, 0
430.000452, 9.999969, 12292, 12292, 0
440.000489, 10.000037, 12535, 12535, 0
450.000496, 10.000007, 12570, 12570, 0
460.000537, 10.000041, 12245, 12245, 0
470.00045, 9.999913, 12640, 12640, 0
480.000498, 10.000048, 12422, 12422, 0
490.000458, 9.99996, 12195, 12195, 0
500.00054, 10.000082, 12387, 12387, 0
510.000453, 9.999913, 12806, 12806, 0
520.000728, 10.000275, 12472, 12472, 0
530.000488, 9.99976, 11908, 11908, 0
540.000453, 9.999965, 12337, 12337, 0
550.000477, 10.000024, 12853, 12853, 0
560.000469, 9.999992, 12074, 12074, 0
570.000469, 10.0, 12105, 12105, 0
580.000547, 10.000078, 12317, 12317, 0
590.000447, 9.9999, 12197, 12197, 0
600.000515, 10.000068, 12122, 12122, 0
610.000503, 9.999988, 12369, 12369, 0
620.000517, 10.000014, 12292, 12292, 0
630.000461, 9.999944, 12242, 12242, 0
640.000461, 10.0, 12743, 12743, 0
650.000477, 10.000016, 12295, 12295, 0
660.000501, 10.000024, 12128, 12128, 0
670.000532, 10.000031, 11898, 11898, 0
680.000472, 9.99994, 12297, 12297, 0
690.000491, 10.000019, 12708, 12708, 0
700.00053, 10.000039, 12159, 12159, 0
710.000474, 9.999944, 12452, 12452, 0
720.000479, 10.000005, 12152, 12152, 0
730.000547, 10.000068, 12206, 12206, 0
740.000474, 9.999927, 12014, 12014, 0
750.000485, 10.000011, 12595, 12595, 0
760.00048, 9.999995, 12696, 12696, 0
770.000462, 9.999982, 11820, 11820, 0
780.000487, 10.000025, 11956, 11956, 0
790.000478, 9.999991, 12260, 12260, 0
800.000498, 10.00002, 12073, 12073, 0
810.000485, 9.999987, 11956, 11956, 0
820.000474, 9.999989, 12216, 12216, 0
830.000454, 9.99998, 11946, 11946, 0
840.00048, 10.000026, 12005, 12005, 0
850.000448, 9.999968, 11984, 11984, 0
860.000454, 10.000006, 12197, 12197, 0
870.000486, 10.000032, 11864, 11864, 0
880.00052, 10.000034, 11743, 11743, 0
890.000493, 9.999973, 12010, 12010, 0
900.000459, 9.999966, 12527, 12527, 0
910.000506, 10.000047, 11927, 11927, 0
920.00047, 9.999964, 12363, 12363, 0
930.000492, 10.000022, 12098, 12098, 0
940.000456, 9.999964, 11756, 11756, 0
950.000474, 10.000018, 11877, 11877, 0
960.000546, 10.000072, 12044, 12044, 0
970.000485, 9.999939, 12281, 12281, 0
980.000463, 9.999978, 11864, 11864, 0
990.000476, 10.000013, 11956, 11956, 0
1000.000462, 9.999986, 11868, 11868, 0
1010.000478, 10.000016, 11642, 11642, 0
1020.000516, 10.000038, 11608, 11608, 0
1030.000561, 10.000045, 11937, 11937, 0
1040.000514, 9.999953, 11917, 11917, 0
1050.000527, 10.000013, 11524, 11524, 0
1060.000459, 9.999932, 11785, 11785, 0
1070.000493, 10.000034, 11928, 11928, 0
1080.000456, 9.999963, 11554, 11554, 0
1090.000484, 10.000028, 11689, 11689, 0
1100.000448, 9.999964, 11949, 11949, 0
1110.000467, 10.000019, 11561, 11561, 0
1120.000454, 9.999987, 11635, 11635, 0
1130.000581, 10.000127, 11813, 11813, 0
1140.000531, 9.99995, 11798, 11798, 0
1150.000466, 9.999935, 11573, 11573, 0
1160.000496, 10.00003, 11980, 11980, 0
1170.000493, 9.999997, 11766, 11766, 0
1180.000468, 9.999975, 11664, 11664, 0
1190.000503, 10.000035, 11506, 11506, 0
1200.000498, 9.999995, 11753, 11753, 0
1210.000483, 9.999985, 11524, 11524, 0
1220.000477, 9.999994, 11398, 11398, 0
1230.000487, 10.00001, 11298, 11298, 0
1240.000527, 10.00004, 11298, 11298, 0
1250.000476, 9.999949, 11275, 11275, 0
1260.000478, 10.000002, 10769, 10769, 0
1270.000543, 10.000065, 10901, 10901, 0
1280.000456, 9.999913, 10981, 10981, 0
1290.000501, 10.000045, 10667, 10667, 0
1300.000455, 9.999954, 11062, 11062, 0
1310.000651, 10.000196, 11283, 11283, 0
1320.000505, 9.999854, 10807, 10807, 0
1330.000493, 9.999988, 10736, 10736, 0
1340.000457, 9.999964, 10974, 10974, 0
1350.000461, 10.000004, 10966, 10966, 0
1360.000451, 9.99999, 10599, 10599, 0
1370.000507, 10.000056, 10709, 10709, 0
1380.000478, 9.999971, 11048, 11048, 0
1390.00053, 10.000052, 10706, 10706, 0
1400.000539, 10.000009, 10954, 10954, 0
1410.000466, 9.999927, 11015, 11015, 0
1420.000502, 10.000036, 10902, 10902, 0
1430.000509, 10.000007, 11232, 11232, 0
1440.000465, 9.999956, 10826, 10826, 0
1450.000489, 10.000024, 11178, 11178, 0
1460.000528, 10.000039, 11196, 11196, 0
1470.000581, 10.000053, 11108, 11108, 0
1480.000466, 9.999885, 11339, 11339, 0
1490.000454, 9.999988, 11066, 11066, 0
1500.000587, 10.000133, 11099, 11099, 0
1510.000493, 9.999906, 11011, 11011, 0
1520.000579, 10.000086, 11232, 11232, 0
1530.000532, 9.999953, 11152, 11152, 0
1540.000483, 9.999951, 11063, 11063, 0
1550.000469, 9.999986, 11607, 11607, 0
1560.000581, 10.000112, 11377, 11377, 0
1570.000501, 9.99992, 11360, 11360, 0
1580.000459, 9.999958, 11000, 11000, 0
1590.000496, 10.000037, 11291, 11291, 0
1600.000541, 10.000045, 11192, 11192, 0
1610.000477, 9.999936, 11145, 11145, 0
1620.000472, 9.999995, 11572, 11572, 0
1630.000525, 10.000053, 11145, 11145, 0
1640.000456, 9.999931, 11137, 11137, 0
1650.000483, 10.000027, 10801, 10801, 0
1660.000529, 10.000046, 11020, 11020, 0
1670.000449, 9.99992, 11312, 11312, 0
1680.000638, 10.000189, 11097, 11097, 0
1690.000454, 9.999816, 11297, 11297, 0
1700.000454, 10.0, 11109, 11109, 0
1710.000635, 10.000181, 11524, 11524, 0
1720.000557, 9.999922, 11212, 11212, 0
1730.000518, 9.999961, 11728, 11728, 0
1740.000478, 9.99996, 11181, 11181, 0
1750.000474, 9.999996, 11011, 11011, 0
1760.000595, 10.000121, 11332, 11332, 0
1770.000498, 9.999903, 11142, 11142, 0
1780.000474, 9.999976, 11216, 11216, 0
1790.000505, 10.000031, 11388, 11388, 0
1800.000604, 10.000099, 11429, 11429, 0
1810.000573, 9.999969, 11217, 11217, 0
1820.000483, 9.99991, 11248, 11248, 0
1830.000469, 9.999986, 11682, 11682, 0
1840.000502, 10.000033, 11196, 11196, 0
1850.000496, 9.999994, 11271, 11271, 0
1860.000451, 9.999955, 11173, 11173, 0
1870.000543, 10.000092, 11292, 11292, 0
1880.00053, 9.999987, 11110, 11110, 0
1890.000452, 9.999922, 11021, 11021, 0
1900.000451, 9.999999, 11210, 11210, 0
