elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000022, 10.000022, 1169, 3545, 12845.2, 11253, 26461, 34965, 46545, 54099, 0
20.000676, 10.000654, 1188, 3598, 13074.2, 11179, 27435, 36558, 51239, 75295, 0
30.000719, 10.000043, 1128, 3336, 13171.7, 11143, 27277, 38502, 49608, 54170, 0
40.000626, 9.999907, 1105, 3236, 14954.9, 11306, 32093, 84646, 231539, 258655, 0
50.000695, 10.000069, 1177, 3629, 13439.4, 11519, 28246, 43288, 62339, 64951, 0
60.000651, 9.999956, 1150, 3279, 13126.9, 11428, 27318, 37057, 55735, 56287, 0
70.000689, 10.000038, 1118, 3308, 14338.9, 11607, 28935, 50213, 192768, 273487, 0
80.000642, 9.999953, 1174, 3607, 14104.0, 11640, 29164, 47358, 131741, 220917, 0
90.000662, 10.00002, 1180, 3446, 13136.2, 11629, 26972, 39194, 46105, 53683, 0
100.000638, 9.999976, 1181, 3620, 13474.1, 11328, 28579, 39561, 47984, 51841, 0
110.000671, 10.000033, 1067, 3267, 15862.2, 11722, 31748, 88371, 235784, 511174, 0
120.000651, 9.99998, 1080, 3474, 13328.5, 11468, 28528, 40652, 51478, 61565, 0
130.000695, 10.000044, 1165, 3270, 13023.3, 10952, 27844, 40969, 63727, 73846, 0
140.000654, 9.999959, 1095, 3508, 14373.3, 11323, 30681, 58256, 183151, 198085, 0
150.000657, 10.000003, 1177, 3386, 14223.1, 11572, 28010, 49316, 205843, 230970, 0
160.000658, 10.000001, 1197, 3407, 13245.6, 11360, 28046, 39971, 54614, 58078, 0
170.000652, 9.999994, 1180, 3779, 13023.2, 11014, 27273, 42388, 53833, 65107, 0
180.000649, 9.999997, 1067, 3493, 14908.6, 11433, 29232, 87336, 281387, 376165, 0
190.000641, 9.999992, 1176, 3760, 13387.9, 11276, 27376, 42518, 57688, 61717, 0
200.000637, 9.999996, 1151, 3534, 13472.8, 11405, 27596, 36519, 51802, 265696, 0
210.000736, 10.000099, 1139, 3719, 14171.6, 11452, 28020, 51468, 178607, 216882, 0
220.000632, 9.999896, 1152, 3221, 14348.5, 11687, 28909, 49984, 156643, 216882, 0
230.00066, 10.000028, 1211, 3434, 13233.9, 11390, 27161, 34371, 46768, 49114, 0
240.000671, 10.000011, 1201, 3508, 13130.0, 11337, 27212, 37147, 47825, 57742, 0
250.00063, 9.999959, 1125, 3405, 15049.8, 11668, 31569, 73083, 212500, 241920, 0
260.000648, 10.000018, 1205, 3405, 13772.1, 11540, 26971, 43189, 179590, 211168, 0
270.000656, 10.000008, 1147, 3475, 13090.9, 11348, 27052, 37917, 45646, 50794, 0
280.000678, 10.000022, 1098, 3586, 14310.1, 11448, 28773, 45920, 159571, 215029, 0
290.000684, 10.000006, 1111, 3328, 14200.9, 11180, 29191, 60275, 215029, 262977, 0
300.000658, 9.999974, 1171, 3326, 13100.3, 11086, 28017, 39344, 49386, 71328, 0
310.000709, 10.000051, 1130, 3624, 13240.8, 11484, 28284, 40702, 53227, 55957, 0
320.000644, 9.999935, 1144, 3445, 14501.1, 11503, 30268, 60991, 186347, 250745, 0
330.000688, 10.000044, 1154, 3714, 13803.2, 11386, 29228, 40762, 176067, 247184, 0
340.000663, 9.999975, 1108, 3317, 12934.2, 11026, 26747, 39582, 53055, 53363, 0
350.000655, 9.999992, 1155, 3374, 14467.5, 11120, 30091, 96119, 142581, 186713, 0
360.000673, 10.000018, 1091, 3374, 14500.4, 11596, 30399, 45156, 233270, 243305, 0
370.000674, 10.000001, 1123, 3400, 13353.0, 11357, 27423, 36668, 48550, 71895, 0
380.000678, 10.000004, 1177, 3399, 12827.1, 11081, 26055, 35804, 42207, 42338, 0
390.000691, 10.000013, 1080, 3667, 15981.5, 11909, 32379, 101657, 226554, 308406, 0
400.000634, 9.999943, 1180, 3496, 13035.0, 11332, 25959, 37827, 46211, 53653, 0
410.000645, 10.000011, 1176, 3231, 13373.9, 11366, 27152, 37983, 52479, 55373, 0
420.000665, 10.00002, 1098, 3346, 13887.7, 11358, 27913, 43028, 151386, 203530, 0
430.000678, 10.000013, 1161, 3695, 14215.7, 11360, 29764, 48128, 240958, 321468, 0
440.00069, 10.000012, 1183, 3646, 13247.9, 11404, 26810, 38183, 56728, 57546, 0
450.000648, 9.999958, 1160, 3679, 13087.7, 11731, 26695, 35735, 50144, 56131, 0
460.00069, 10.000042, 1160, 3411, 15718.9, 11711, 30666, 114996, 243564, 336132, 0
