elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999837, 9.999837, 11679, 1810, 5634.5, 4760, 11681, 16794, 25279, 205580, 0
20.000319, 10.000482, 11776, 1824, 5501.8, 4648, 11402, 16633, 22945, 29124, 0
30.000234, 9.999915, 11993, 1786, 5475.1, 4659, 11050, 15607, 22661, 32359, 0
40.000255, 10.000021, 11664, 1840, 5562.7, 4749, 11507, 16108, 22462, 29526, 0
50.000295, 10.00004, 11905, 1877, 5426.6, 4667, 11075, 15053, 21735, 29437, 0
60.000315, 10.00002, 11990, 1767, 5403.8, 4638, 10937, 15347, 21774, 30940, 0
70.000257, 9.999942, 11890, 1816, 5425.9, 4606, 11004, 15652, 23827, 75989, 0
80.000265, 10.000008, 11312, 1855, 5676.1, 4740, 11478, 16898, 76311, 142107, 0
90.000245, 9.99998, 11450, 1771, 5688.6, 4842, 11836, 16445, 24333, 30080, 0
100.000268, 10.000023, 11681, 1789, 5541.8, 4730, 11306, 15825, 22116, 204883, 0
110.000272, 10.000004, 11253, 1836, 5738.9, 4758, 11909, 17337, 30100, 213331, 0
120.000355, 10.000083, 11642, 1880, 5702.5, 4815, 11914, 17589, 25249, 37319, 0
130.000324, 9.999969, 11799, 1820, 5558.0, 4689, 11623, 16438, 24792, 34603, 0
140.000551, 10.000227, 11536, 1772, 5642.9, 4737, 11734, 16918, 25492, 37144, 0
150.000339, 9.999788, 11374, 1736, 5690.8, 4739, 11614, 16901, 33724, 156506, 0
160.000249, 9.99991, 11417, 1888, 5628.6, 4701, 11754, 16535, 25332, 33515, 0
170.000275, 10.000026, 11700, 1774, 5587.3, 4758, 11581, 16043, 23053, 33317, 0
180.000283, 10.000008, 11335, 1815, 5701.9, 4830, 11856, 17064, 24930, 50201, 0
190.000239, 9.999956, 11485, 1827, 5713.1, 4848, 11853, 16744, 24544, 32616, 0
200.00026, 10.000021, 11557, 1826, 5632.0, 4777, 11684, 16951, 24385, 45503, 0
210.000282, 10.000022, 11442, 1754, 5663.1, 4720, 11652, 16665, 26429, 104974, 0
220.000337, 10.000055, 11451, 1813, 5687.6, 4762, 11616, 16386, 26356, 115053, 0
230.000303, 9.999966, 11683, 1867, 5474.3, 4673, 11195, 15956, 22854, 30126, 0
240.000271, 9.999968, 11557, 1874, 5597.8, 4749, 11542, 16378, 23634, 30973, 0
250.000282, 10.000011, 11148, 1848, 5664.0, 4777, 11838, 17287, 26988, 73508, 0
260.000292, 10.00001, 11394, 1802, 5678.3, 4780, 11977, 17119, 25974, 35408, 0
270.000275, 9.999983, 11535, 1819, 5684.5, 4789, 11873, 16754, 25170, 35535, 0
280.0003, 10.000025, 11563, 1794, 5592.9, 4743, 11567, 16726, 24445, 36250, 0
290.00027, 9.99997, 11327, 1835, 5744.0, 4796, 11883, 16912, 31469, 126516, 0
300.000281, 10.000011, 11531, 1827, 5651.3, 4788, 11737, 16883, 23483, 39481, 0
310.000259, 9.999978, 11480, 1870, 5713.8, 4842, 11989, 16689, 22833, 28358, 0
320.000258, 9.999999, 11139, 1768, 5789.7, 4827, 12192, 17679, 32341, 154618, 0
330.000233, 9.999975, 11234, 1784, 5791.3, 4886, 12064, 17210, 23845, 40198, 0
340.00025, 10.000017, 11639, 1742, 5666.0, 4807, 11735, 16705, 25079, 37161, 0
350.000255, 10.000005, 11187, 1753, 5739.3, 4844, 11788, 16595, 28893, 145129, 0
360.000258, 10.000003, 11452, 1785, 5625.0, 4778, 11587, 16076, 23670, 206281, 0
370.000416, 10.000158, 11607, 1851, 5607.1, 4764, 11543, 16310, 23442, 33730, 0
380.00028, 9.999864, 11452, 1845, 5712.0, 4854, 11762, 16278, 24016, 36843, 0
390.000331, 10.000051, 11109, 1816, 5784.8, 4831, 12059, 17010, 36227, 110578, 0
400.000265, 9.999934, 11415, 1895, 5677.6, 4774, 11879, 16788, 24881, 32893, 0
410.000282, 10.000017, 11464, 1839, 5691.8, 4829, 11719, 16957, 22554, 34745, 0
420.000291, 10.000009, 11287, 1788, 5802.0, 4868, 12092, 17146, 28143, 94097, 0
430.000264, 9.999973, 11166, 1763, 5785.1, 4860, 11988, 17224, 26031, 211593, 0
440.000317, 10.000053, 11339, 1782, 5716.3, 4816, 11879, 16850, 26477, 43245, 0
450.000291, 9.999974, 11398, 1757, 5777.1, 4892, 12140, 16627, 23456, 37629, 0
460.000271, 9.99998, 11052, 1789, 5715.6, 4809, 11888, 16972, 28840, 93730, 0
470.000255, 9.999984, 11492, 1801, 5702.3, 4828, 11886, 16852, 24524, 34843, 0
480.000257, 10.000002, 11457, 1877, 5639.0, 4757, 11836, 16602, 22916, 30713, 0
490.000359, 10.000102, 11059, 1790, 5784.5, 4844, 12135, 17536, 26098, 114148, 0
500.000262, 9.999903, 11459, 1835, 5785.9, 4769, 11697, 17479, 64499, 218924, 0
510.00023, 9.999968, 11405, 1885, 5733.9, 4841, 11860, 16898, 27542, 207975, 0
520.000278, 10.000048, 11356, 1800, 5749.9, 4884, 11820, 17070, 25313, 30105, 0
530.000289, 10.000011, 10782, 1887, 5925.2, 4894, 12175, 17477, 55111, 288785, 0
540.000243, 9.999954, 11250, 1707, 5825.1, 4909, 12155, 16814, 25222, 32500, 0
550.0003, 10.000057, 11308, 1879, 5784.9, 4885, 12073, 17358, 27062, 44592, 0
560.00025, 9.99995, 10985, 1788, 5819.4, 4865, 12094, 17283, 30005, 124917, 0
570.000241, 9.999991, 11523, 1850, 5653.5, 4818, 11673, 16518, 25195, 35648, 0
580.000347, 10.000106, 11435, 1852, 5612.6, 4747, 11513, 16261, 23142, 33663, 0
590.000299, 9.999952, 11264, 1833, 5706.8, 4819, 11898, 16970, 23886, 32086, 0
600.000295, 9.999996, 10764, 1846, 5855.3, 4886, 12149, 17937, 27117, 103282, 0
610.000251, 9.999956, 11438, 1749, 5747.4, 4856, 12122, 16932, 23234, 32002, 0
620.000254, 10.000003, 11258, 1749, 5741.7, 4896, 11886, 17042, 25926, 35443, 0
630.000297, 10.000043, 11090, 1805, 5834.0, 4873, 11867, 16947, 46935, 144081, 0
640.000299, 10.000002, 11305, 1834, 5797.0, 4882, 12103, 16884, 26569, 37603, 0
650.000261, 9.999962, 11169, 1817, 5885.2, 4968, 12248, 17042, 27315, 214232, 0
660.000244, 9.999983, 11423, 1831, 5761.6, 4894, 12002, 17274, 25941, 31337, 0
670.000292, 10.000048, 10778, 1832, 6017.7, 4965, 12563, 18032, 39112, 142197, 0
680.000246, 9.999954, 11175, 1865, 5866.2, 4957, 12338, 17643, 23728, 33704, 0
690.000264, 10.000018, 11288, 1853, 5753.5, 4908, 11917, 16661, 24521, 32172, 0
700.000264, 10.0, 11006, 1837, 5911.0, 4957, 12377, 17423, 27711, 61074, 0
710.000403, 10.000139, 11224, 1894, 5821.5, 4954, 12079, 16997, 27417, 61074, 0
720.00035, 9.999947, 11040, 1835, 5920.5, 5005, 12363, 17871, 27971, 45593, 0
730.000281, 9.999931, 11022, 1743, 5971.5, 4986, 12674, 18147, 30181, 49097, 0
740.000321, 10.00004, 10841, 1867, 5995.4, 5022, 12764, 18169, 28809, 207207, 0
750.000263, 9.999942, 11306, 1789, 5834.0, 4973, 12038, 17485, 26380, 36888, 0
760.000244, 9.999981, 11236, 1788, 5909.8, 5017, 12076, 17273, 25502, 207653, 0
770.00024, 9.999996, 10896, 1777, 5918.3, 5007, 12367, 17035, 25592, 113745, 0
780.000377, 10.000137, 11100, 1882, 5920.7, 4956, 12320, 17370, 26809, 211845, 0
790.000288, 9.999911, 11186, 1797, 5894.3, 5016, 12273, 17307, 27061, 33296, 0
800.000264, 9.999976, 11091, 1727, 5938.5, 5066, 12315, 17091, 25516, 35000, 0
810.000247, 9.999983, 10739, 1881, 5982.3, 5051, 12439, 17985, 25829, 218522, 0
820.000315, 10.000068, 11107, 1811, 5828.5, 5000, 12050, 16792, 24135, 40603, 0
830.00026, 9.999945, 11038, 1877, 5995.9, 5087, 12529, 17836, 25309, 39593, 0
840.000315, 10.000055, 10929, 1868, 5965.8, 5071, 12648, 17812, 24991, 37510, 0
850.000255, 9.99994, 11185, 1878, 5835.1, 4930, 11973, 17208, 31355, 118858, 0
860.000252, 9.999997, 11045, 1840, 5917.4, 5005, 12433, 17646, 25422, 31724, 0
870.000253, 10.000001, 10956, 1870, 5891.7, 4969, 12280, 17604, 27819, 44177, 0
880.000227, 9.999974, 10818, 1807, 6029.6, 5051, 12573, 17810, 26478, 119295, 0
890.000242, 10.000015, 11141, 1792, 5877.7, 4981, 12131, 17046, 23955, 210130, 0
900.000263, 10.000021, 11158, 1843, 5893.1, 4972, 12237, 17438, 27668, 38693, 0
910.000291, 10.000028, 10523, 1841, 6076.6, 5134, 12844, 18220, 27995, 43565, 0
920.000232, 9.999941, 10924, 1850, 6014.6, 5092, 12591, 18134, 25077, 43372, 0
930.000267, 10.000035, 10898, 1833, 5957.1, 5027, 12283, 17530, 26110, 209083, 0
940.000345, 10.000078, 10923, 1746, 6042.8, 5067, 12758, 17964, 26666, 35881, 0
950.000242, 9.999897, 10800, 1862, 6040.7, 5068, 12689, 17951, 27580, 43086, 0
960.000295, 10.000053, 11233, 1872, 5763.4, 4948, 11662, 16667, 24305, 39714, 0
970.000266, 9.999971, 11431, 1903, 5731.6, 4890, 11728, 16054, 25761, 31993, 0
980.000258, 9.999992, 11086, 1752, 5817.2, 4920, 11728, 16929, 24676, 211466, 0
990.00027, 10.000012, 10994, 1822, 5928.7, 5094, 12355, 17074, 24802, 35020, 0
1000.000298, 10.000028, 10904, 1802, 5943.4, 5012, 12526, 17699, 26558, 205482, 0
1010.000254, 9.999956, 10990, 1866, 5930.2, 5017, 12360, 17128, 25084, 32675, 0
1020.00026, 10.000006, 10594, 1745, 6016.4, 5115, 12538, 17702, 27711, 34102, 0
1030.000253, 9.999993, 10913, 1842, 6035.0, 5118, 12552, 17694, 25858, 34425, 0
1040.000234, 9.999981, 10997, 1800, 5984.4, 5049, 12437, 17694, 26036, 37081, 0
1050.000236, 10.000002, 10725, 1826, 6055.3, 5092, 12905, 18259, 26635, 35578, 0
1060.000299, 10.000063, 10738, 1832, 6066.2, 5123, 12705, 18170, 24810, 32329, 0
1070.000317, 10.000018, 11007, 1828, 5989.2, 5068, 12374, 17610, 25447, 36036, 0
1080.000265, 9.999948, 10843, 1833, 6097.5, 5209, 12628, 18155, 25855, 39820, 0
1090.000296, 10.000031, 10464, 1826, 6173.7, 5199, 13071, 18534, 27221, 41122, 0
1100.000277, 9.999981, 10940, 1790, 6005.9, 5018, 12500, 17693, 27767, 209948, 0
1110.000281, 10.000004, 10886, 1869, 6048.4, 5115, 12774, 17992, 27352, 35442, 0
1120.000338, 10.000057, 10627, 1832, 6071.4, 5128, 12634, 17896, 26379, 32357, 0
1130.000344, 10.000006, 10706, 1776, 6097.7, 5209, 12568, 17708, 26498, 36767, 0
1140.000231, 9.999887, 10959, 1892, 5922.2, 5075, 12095, 17148, 23748, 33425, 0
1150.000251, 10.00002, 10772, 1813, 6038.8, 5141, 12638, 17505, 26400, 208460, 0
1160.00024, 9.999989, 10703, 1813, 6019.4, 5121, 12525, 17983, 25213, 36160, 0
1170.000277, 10.000037, 11025, 1868, 5961.6, 5063, 12409, 17748, 25992, 42594, 0
1180.000233, 9.999956, 10688, 1884, 6059.9, 5113, 12724, 17947, 26641, 40786, 0
1190.000231, 9.999998, 10477, 1791, 6121.0, 5180, 12869, 18727, 26847, 39547, 0
1200.000244, 10.000013, 10765, 1868, 6146.1, 5257, 12774, 17961, 26388, 40719, 0
1210.000282, 10.000038, 10694, 1814, 6126.0, 5261, 12667, 18002, 26186, 37803, 0
1220.000361, 10.000079, 10957, 1892, 6004.9, 5143, 12245, 17509, 30598, 53464, 0
1230.00033, 9.999969, 10289, 1804, 6349.0, 5470, 13193, 18890, 27970, 39869, 0
1240.00049, 10.00016, 10486, 1815, 6275.4, 5369, 13116, 17718, 27444, 46096, 0
1250.000318, 9.999828, 10399, 1874, 6359.0, 5497, 13276, 18603, 26046, 208215, 0
1260.00041, 10.000092, 9986, 1904, 6336.2, 5429, 13112, 18325, 39556, 59648, 0
1270.0003, 9.99989, 10401, 1856, 6347.5, 5567, 12939, 17716, 28230, 42492, 0
1280.000311, 10.000011, 10260, 1820, 6452.2, 5574, 13421, 18568, 26940, 33293, 0
1290.000294, 9.999983, 10502, 1837, 6290.6, 5417, 12829, 17736, 30900, 215518, 0
1300.000302, 10.000008, 10074, 1791, 6437.7, 5566, 13277, 18614, 28242, 37658, 0
1310.000392, 10.00009, 10186, 1793, 6492.5, 5652, 13585, 18510, 27601, 34857, 0
1320.000284, 9.999892, 10185, 1836, 6431.0, 5636, 12942, 18468, 28615, 39638, 0
1330.000248, 9.999964, 9875, 1788, 6548.9, 5740, 13265, 19024, 31397, 86214, 0
1340.000276, 10.000028, 10137, 1822, 6603.5, 5814, 13767, 19430, 26542, 30661, 0
1350.000597, 10.000321, 9993, 1747, 6638.8, 5831, 13693, 18619, 26434, 208669, 0
1360.000247, 9.99965, 9753, 1819, 6712.7, 5901, 13831, 19162, 27113, 36459, 0
1370.000249, 10.000002, 10043, 1829, 6660.1, 5888, 13679, 19023, 28003, 44522, 0
1380.000261, 10.000012, 10218, 1816, 6522.1, 5772, 13269, 18385, 27054, 38836, 0
1390.00026, 9.999999, 10038, 1814, 6570.1, 5801, 13466, 18388, 26804, 218739, 0
1400.000336, 10.000076, 9896, 1854, 6588.4, 5750, 13672, 19197, 28027, 38552, 0
1410.000254, 9.999918, 10000, 1885, 6605.3, 5810, 13710, 19234, 28783, 58013, 0
1420.000266, 10.000012, 10273, 1839, 6544.5, 5759, 13419, 18854, 28772, 42839, 0
1430.000302, 10.000036, 9864, 1878, 6699.0, 5839, 13963, 19527, 29452, 111711, 0
1440.000247, 9.999945, 10128, 1839, 6482.9, 5665, 13251, 18843, 26914, 38806, 0
1450.000327, 10.00008, 10414, 1899, 6342.0, 5505, 12954, 17749, 26919, 208760, 0
1460.000304, 9.999977, 10313, 1789, 6454.9, 5590, 13346, 18955, 28935, 44263, 0
1470.000421, 10.000117, 10093, 1812, 6485.3, 5678, 13525, 19072, 26461, 37395, 0
1480.000385, 9.999964, 10294, 1829, 6452.0, 5618, 13185, 18596, 28031, 48900, 0
1490.00023, 9.999845, 10387, 1883, 6361.0, 5563, 13038, 18165, 24660, 46101, 0
1500.000296, 10.000066, 10019, 1778, 6482.6, 5637, 13558, 18668, 27692, 42352, 0
1510.000311, 10.000015, 10170, 1800, 6476.8, 5614, 13560, 19056, 26740, 35560, 0
1520.000277, 9.999966, 10197, 1828, 6408.2, 5569, 13267, 18481, 28090, 35508, 0
1530.000261, 9.999984, 10593, 1782, 6224.1, 5454, 12761, 17147, 26000, 43872, 0
1540.000289, 10.000028, 10351, 1837, 6250.8, 5365, 13007, 18176, 27935, 39863, 0
