elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00003, 10.00003, 393, 4808, 62575.2, 18345, 305892, 825148, 1552344, 1552344, 0
20.000045, 10.000015, 391, 4876, 91189.0, 17822, 294275, 2367517, 3101399, 3101399, 0
30.000021, 9.999976, 397, 5398, 62116.3, 16673, 214511, 501166, 3708796, 3708796, 1
40.000704, 10.000683, 402, 4888, 101700.5, 16954, 236123, 2832864, 4991957, 4991957, 2
50.000658, 9.999954, 397, 5709, 82879.4, 18336, 292904, 1917681, 2875724, 2875724, 0
60.000714, 10.000056, 363, 5514, 102479.0, 16649, 324117, 3287026, 3924351, 3924351, 0
70.000682, 9.999968, 387, 4838, 78807.9, 19589, 245757, 720191, 4181305, 4181305, 0
80.000683, 10.000001, 375, 4883, 69152.9, 20094, 270854, 636843, 1611226, 1611226, 0
90.000705, 10.000022, 402, 4869, 107523.5, 17531, 415354, 2342428, 2845698, 2845698, 0
100.000695, 9.99999, 379, 5572, 92142.0, 20924, 428754, 1201969, 2129736, 2129736, 0
110.000669, 9.999974, 361, 5423, 89920.4, 18035, 311824, 1250781, 3720950, 3720950, 0
120.000687, 10.000018, 393, 5047, 95249.8, 16818, 401174, 1960554, 2559138, 2559138, 0
130.000699, 10.000012, 402, 4842, 94124.7, 18617, 384469, 1376147, 2631861, 2631861, 0
140.000697, 9.999998, 403, 5275, 56539.3, 22238, 238689, 476769, 1007367, 1007367, 0
150.000706, 10.000009, 381, 5558, 64636.4, 19003, 292953, 865525, 1246256, 1246256, 0
160.000725, 10.000019, 404, 5145, 60875.1, 19400, 275123, 723931, 911111, 911111, 0
170.000658, 9.999933, 380, 4617, 63798.8, 20277, 265507, 859038, 1377692, 1377692, 0
180.00068, 10.000022, 412, 5008, 87140.4, 19525, 261401, 1389485, 4181707, 4181707, 0
190.000688, 10.000008, 351, 5275, 70862.3, 19343, 308675, 718143, 2335980, 2335980, 0
200.000671, 9.999983, 394, 4972, 52614.4, 18068, 186249, 533796, 1311606, 1311606, 0
210.000703, 10.000032, 411, 5653, 60715.7, 21674, 252491, 543783, 1288552, 1288552, 0
220.000751, 10.000048, 440, 4971, 71920.8, 19234, 325295, 771543, 1755223, 1755223, 0
230.000678, 9.999927, 440, 4542, 67998.2, 19460, 301193, 883341, 1153565, 1153565, 0
240.000657, 9.999979, 388, 5129, 85941.5, 17451, 434325, 1294729, 2570596, 2570596, 0
250.000667, 10.00001, 422, 4732, 89582.8, 18629, 253062, 2258681, 3585167, 3585167, 0
260.000656, 9.999989, 423, 5385, 81430.3, 17305, 309931, 847361, 3676020, 3676020, 0
270.000683, 10.000027, 404, 5286, 54349.3, 20819, 227984, 412154, 1372331, 1372331, 0
280.00074, 10.000057, 452, 5439, 48741.4, 20496, 192687, 372186, 661440, 661440, 0
290.000651, 9.999911, 375, 4882, 54863.2, 18722, 228375, 478877, 903686, 903686, 0
300.000675, 10.000024, 417, 5121, 51288.2, 20357, 188199, 428187, 1133182, 1133182, 0
310.000751, 10.000076, 404, 5570, 58896.4, 19331, 265561, 590372, 2125025, 2125025, 0
320.000673, 9.999922, 379, 4552, 54854.9, 19717, 255876, 495474, 819828, 819828, 0
330.000659, 9.999986, 416, 4952, 95942.6, 16302, 421758, 1831443, 2136184, 2136184, 0
340.00066, 10.000001, 366, 5057, 68252.5, 18800, 287611, 770704, 1514421, 1514421, 0
350.000731, 10.000071, 377, 5539, 60435.9, 21006, 219695, 696250, 1357117, 1357117, 0
360.000657, 9.999926, 410, 4706, 59511.9, 20865, 217146, 409664, 2154504, 2154504, 0
370.000691, 10.000034, 417, 5266, 52550.8, 19550, 212036, 541251, 830232, 830232, 0
380.000677, 9.999986, 440, 5556, 48777.7, 22676, 192570, 324965, 565800, 565800, 0
390.00069, 10.000013, 400, 6070, 51805.3, 21518, 244494, 410656, 613150, 613150, 0
400.000814, 10.000124, 407, 5773, 74219.0, 20139, 281248, 883409, 2468062, 2468062, 0
410.00073, 9.999916, 427, 5389, 48759.3, 18525, 183878, 503956, 1951630, 1951630, 0
420.000712, 9.999982, 444, 5217, 43688.3, 22545, 158570, 303560, 482026, 482026, 0
430.000674, 9.999962, 433, 5371, 53710.5, 23712, 220353, 390926, 681390, 681390, 0
440.000681, 10.000007, 406, 5595, 50035.2, 20731, 170748, 471689, 1136209, 1136209, 0
450.000656, 9.999975, 374, 5246, 116952.1, 17964, 715300, 1792898, 2185981, 2185981, 0
460.000657, 10.000001, 433, 5516, 86804.0, 18464, 331963, 1226340, 2912055, 2912055, 0
470.000658, 10.000001, 415, 5336, 71176.9, 20152, 335428, 851999, 1831274, 1831274, 0
480.000719, 10.000061, 375, 4814, 87846.2, 20337, 408099, 869286, 1507516, 1507516, 0
490.000718, 9.999999, 374, 6148, 101744.3, 18119, 411412, 2137513, 3751169, 3751169, 0
500.000706, 9.999988, 410, 4711, 57021.3, 19582, 162040, 379697, 3338738, 3338738, 0
510.000695, 9.999989, 386, 5352, 64091.4, 20404, 274102, 634330, 1138688, 1138688, 0
520.000729, 10.000034, 378, 4845, 51878.3, 21085, 205535, 480627, 731704, 731704, 0
530.000706, 9.999977, 423, 5455, 71602.9, 22674, 251743, 953338, 1855947, 1855947, 0
540.000697, 9.999991, 424, 4703, 49082.1, 20903, 243868, 398428, 629784, 629784, 0
550.000684, 9.999987, 419, 5559, 52806.6, 21326, 229139, 626034, 968905, 968905, 0
560.000703, 10.000019, 405, 4495, 51777.9, 23752, 188463, 444265, 613564, 613564, 0
570.000746, 10.000043, 406, 5326, 47771.4, 22971, 182787, 331559, 449427, 449427, 0
580.000748, 10.000002, 426, 4851, 62448.5, 19437, 238388, 1005026, 1972824, 1972824, 0
590.0007, 9.999952, 390, 5484, 48936.6, 21581, 186748, 430788, 1169756, 1169756, 0
600.000733, 10.000033, 388, 4742, 75899.8, 21270, 337910, 730094, 1958539, 1958539, 0
610.000703, 9.99997, 413, 4572, 62748.7, 20566, 275631, 450272, 1828857, 1828857, 0
620.000728, 10.000025, 408, 5974, 76022.2, 20430, 328593, 1003635, 2258461, 2258461, 0
630.000696, 9.999968, 426, 5420, 67478.9, 21197, 312308, 460857, 1275518, 1275518, 0
640.000744, 10.000048, 422, 6175, 71963.2, 18059, 334837, 878715, 1140654, 1140654, 0
650.000695, 9.999951, 410, 5228, 70138.8, 19625, 365429, 724414, 1177612, 1177612, 0
660.00074, 10.000045, 407, 5370, 65692.5, 21030, 266668, 692300, 1688693, 1688693, 0
670.000759, 10.000019, 454, 4943, 55284.7, 22636, 221341, 560247, 1384670, 1384670, 0
680.000714, 9.999955, 414, 4946, 52593.4, 19604, 186376, 725658, 1074506, 1074506, 0
690.000703, 9.999989, 417, 5293, 54577.5, 23710, 178783, 666683, 968404, 968404, 0
700.000675, 9.999972, 380, 5498, 62758.9, 23460, 235986, 602911, 1481932, 1481932, 0
710.000677, 10.000002, 408, 4962, 66481.2, 22360, 265710, 685397, 1215674, 1215674, 0
720.000666, 9.999989, 432, 4686, 45913.0, 22048, 165657, 433540, 574374, 574374, 0
