elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000057, 10.000057, 3958, 2638, 11878.8, 7814, 34865, 54011, 86129, 188254, 0
20.000044, 9.999987, 3777, 2655, 13007.2, 8112, 39396, 59497, 89246, 132933, 0
30.000239, 10.000195, 3819, 2721, 11345.4, 7776, 31803, 52802, 85655, 255246, 0
40.000212, 9.999973, 3735, 2596, 14184.4, 8025, 46166, 76310, 142827, 329745, 0
50.00023, 10.000018, 3977, 2578, 14317.4, 8524, 45581, 81071, 127912, 179700, 0
60.00027, 10.00004, 3826, 2690, 12567.2, 7811, 37119, 55231, 81388, 190417, 0
70.000261, 9.999991, 3765, 2652, 10413.5, 7165, 29866, 52508, 84079, 120765, 0
80.000263, 10.000002, 3943, 2530, 14550.4, 8201, 46589, 78258, 119687, 131608, 0
90.000211, 9.999948, 3821, 2576, 15178.8, 7901, 48850, 83698, 158220, 317985, 0
100.00022, 10.000009, 3934, 2443, 14917.5, 8209, 46706, 70584, 111825, 208735, 0
110.000293, 10.000073, 3824, 2606, 15766.6, 7927, 49891, 88947, 229434, 251281, 0
120.000256, 9.999963, 3955, 2577, 14810.4, 8420, 48068, 77623, 128500, 208234, 0
130.000219, 9.999963, 3842, 2681, 15102.0, 7934, 52220, 81636, 143750, 196275, 0
140.000242, 10.000023, 4139, 2640, 14542.3, 8468, 46843, 78655, 141599, 181835, 0
150.00021, 9.999968, 3930, 2707, 14274.7, 8013, 45625, 72612, 115502, 184975, 0
160.000324, 10.000114, 3890, 2634, 15594.1, 8531, 51371, 81545, 181334, 233453, 0
170.000242, 9.999918, 3856, 2646, 15759.2, 8238, 52677, 93994, 158452, 211069, 0
180.000224, 9.999982, 3871, 2736, 15076.9, 8193, 50409, 76382, 143096, 171787, 0
190.000344, 10.00012, 4048, 2695, 14913.3, 8307, 48244, 89613, 178103, 288210, 0
200.000207, 9.999863, 3896, 2644, 14894.4, 8253, 49335, 76491, 104938, 141994, 0
210.000215, 10.000008, 4060, 2653, 13627.2, 8042, 43464, 72421, 128339, 174251, 0
220.000211, 9.999996, 4082, 2508, 13413.2, 7807, 42451, 74141, 137212, 379449, 0
230.000222, 10.000011, 4055, 2699, 13849.4, 7859, 45054, 78900, 129552, 233033, 0
240.000301, 10.000079, 3898, 2643, 13951.1, 8115, 45472, 76709, 130293, 167025, 0
250.000222, 9.999921, 3958, 2696, 14592.3, 8012, 47727, 80121, 119883, 268189, 0
260.000207, 9.999985, 3872, 2777, 13910.6, 8096, 44212, 78542, 133196, 385615, 0
270.000329, 10.000122, 4037, 2592, 14028.1, 8152, 44802, 71234, 130821, 187479, 0
