elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000008, 10.000008, 9393, 1872, 7157.6, 6617, 13800, 19503, 29943, 36075, 0
20.000969, 10.000961, 9388, 1889, 7065.2, 6532, 13804, 18139, 26805, 38145, 0
30.000984, 10.000015, 8155, 1815, 7763.0, 6840, 15496, 24791, 65998, 108037, 0
40.00091, 9.999926, 7580, 1874, 8140.5, 7022, 16104, 32438, 99294, 144085, 0
50.000898, 9.999988, 8745, 1915, 7326.2, 6692, 14412, 20116, 30624, 40503, 0
60.000893, 9.999995, 8480, 1900, 7384.4, 6610, 14593, 21499, 53117, 89418, 0
70.000936, 10.000043, 8353, 1891, 7562.7, 6692, 14780, 20593, 103700, 130822, 0
80.000894, 9.999958, 8891, 1964, 7316.9, 6651, 14549, 20410, 41371, 60219, 0
90.000924, 10.00003, 8758, 1909, 7358.5, 6585, 14618, 21152, 52786, 96196, 0
100.000897, 9.999973, 7963, 1948, 8036.8, 6778, 16305, 33219, 93965, 143014, 0
110.00092, 10.000023, 8290, 1935, 7577.1, 6529, 15444, 23905, 76586, 143014, 0
120.000902, 9.999982, 8730, 1924, 7266.9, 6521, 14547, 19624, 34205, 73029, 0
130.000936, 10.000034, 8664, 1908, 7172.6, 6522, 14274, 19520, 30020, 44405, 0
140.000979, 10.000043, 8303, 1915, 7745.4, 6580, 15859, 29777, 74924, 128341, 0
150.000914, 9.999935, 8823, 1785, 7319.6, 6413, 14579, 21899, 61814, 100608, 0
160.000905, 9.999991, 9175, 1924, 7018.2, 6292, 14024, 19718, 28458, 35514, 0
170.000949, 10.000044, 8691, 1916, 7507.8, 6418, 15395, 26264, 66339, 111489, 0
180.000911, 9.999962, 9160, 1848, 7020.0, 6158, 14316, 20427, 56927, 100522, 0
190.000948, 10.000037, 9965, 1841, 6559.8, 5886, 12864, 17174, 27722, 40888, 0
200.00093, 9.999982, 9667, 1883, 6585.2, 5875, 13061, 17312, 25417, 38096, 0
210.000944, 10.000014, 9140, 1932, 7031.2, 6085, 14506, 20820, 49987, 81987, 0
