elapsed, window, total, successful, failed
10.000022, 10.000022, 9858, 9858, 0
20.000232, 10.00021, 9474, 9474, 0
30.00033, 10.000098, 9272, 9272, 0
40.000334, 10.000004, 8832, 8832, 0
50.000255, 9.999921, 9592, 9592, 0
60.000272, 10.000017, 9757, 9757, 0
70.000247, 9.999975, 9551, 9551, 0
80.000233, 9.999986, 10330, 10330, 0
90.000237, 10.000004, 10038, 10038, 0
100.000298, 10.000061, 9606, 9606, 0
110.000275, 9.999977, 8896, 8896, 0
120.000269, 9.999994, 9800, 9800, 0
130.000235, 9.999966, 9350, 9350, 0
140.000287, 10.000052, 8548, 8548, 0
150.000228, 9.999941, 9608, 9608, 0
160.000279, 10.000051, 10160, 10160, 0
170.000238, 9.999959, 9941, 9941, 0
180.000343, 10.000105, 10141, 10141, 0
190.000459, 10.000116, 9692, 9692, 0
200.000318, 9.999859, 8237, 8237, 0
210.000251, 9.999933, 9451, 9451, 0
220.000248, 9.999997, 11073, 11073, 0
230.000252, 10.000004, 10731, 10731, 0
240.000262, 10.00001, 10492, 10492, 0
250.000235, 9.999973, 10665, 10665, 0
260.000259, 10.000024, 10825, 10825, 0
270.000257, 9.999998, 10561, 10561, 0
280.000362, 10.000105, 10539, 10539, 0
290.000236, 9.999874, 10457, 10457, 0
300.000269, 10.000033, 10164, 10164, 0
310.000267, 9.999998, 10089, 10089, 0
320.000292, 10.000025, 10418, 10418, 0
330.000291, 9.999999, 11106, 11106, 0
340.000387, 10.000096, 10849, 10849, 0
350.000248, 9.999861, 10720, 10720, 0
360.000224, 9.999976, 11093, 11093, 0
370.000262, 10.000038, 10885, 10885, 0
380.000298, 10.000036, 10552, 10552, 0
390.000273, 9.999975, 9898, 9898, 0
400.000327, 10.000054, 11207, 11207, 0
410.000252, 9.999925, 9830, 9830, 0
420.00023, 9.999978, 10317, 10317, 0
430.000272, 10.000042, 11341, 11341, 0
440.000295, 10.000023, 11235, 11235, 0
450.000287, 9.999992, 11530, 11530, 0
460.00031, 10.000023, 11564, 11564, 0
470.000248, 9.999938, 11985, 11985, 0
480.000241, 9.999993, 10953, 10953, 0
490.000377, 10.000136, 10839, 10839, 0
500.000351, 9.999974, 11720, 11720, 0
510.000248, 9.999897, 11529, 11529, 0
520.000263, 10.000015, 10841, 10841, 0
530.000253, 9.99999, 10343, 10343, 0
540.000307, 10.000054, 9961, 9961, 0
550.000267, 9.99996, 11092, 11092, 0
560.000239, 9.999972, 11485, 11485, 0
570.000297, 10.000058, 11957, 11957, 0
580.000261, 9.999964, 11729, 11729, 0
590.000279, 10.000018, 11326, 11326, 0
600.000228, 9.999949, 11608, 11608, 0
610.000306, 10.000078, 12117, 12117, 0
620.000288, 9.999982, 11924, 11924, 0
630.000368, 10.00008, 11943, 11943, 0
640.00026, 9.999892, 11664, 11664, 0
650.00031, 10.00005, 11790, 11790, 0
660.000341, 10.000031, 11566, 11566, 0
670.000256, 9.999915, 11367, 11367, 0
680.000338, 10.000082, 11490, 11490, 0
690.000347, 10.000009, 11279, 11279, 0
