elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000021, 10.000021, 1200, 3422, 11890.0, 10144, 24943, 33704, 46206, 87639, 0
20.000938, 10.000917, 1054, 3407, 16959.9, 10762, 31155, 205226, 457752, 482847, 0
30.000922, 9.999984, 1132, 3278, 12302.3, 10176, 25361, 38998, 48746, 83459, 0
40.00094, 10.000018, 1050, 3214, 15579.9, 10580, 28680, 159374, 475186, 514955, 0
50.000949, 10.000009, 1077, 3220, 16381.0, 10410, 29985, 188120, 402490, 422744, 0
60.000925, 9.999976, 1080, 3130, 17409.7, 10738, 31923, 226454, 370282, 402490, 0
70.000907, 9.999982, 1116, 3266, 14155.1, 10758, 27781, 89951, 235059, 275946, 0
80.00092, 10.000013, 1111, 3311, 15188.5, 10941, 28463, 130750, 280153, 293974, 0
90.000901, 9.999981, 1201, 3183, 12701.1, 10666, 25669, 41510, 108758, 166780, 0
100.000925, 10.000024, 977, 3337, 19900.9, 10755, 36617, 277368, 500526, 580534, 0
110.000964, 10.000039, 1039, 3056, 16647.3, 10858, 30292, 197073, 427201, 489629, 0
120.00097, 10.000006, 1002, 3229, 17348.5, 10365, 31560, 220351, 405278, 514954, 0
130.000967, 9.999997, 918, 3395, 24597.8, 10833, 75781, 324035, 619454, 643907, 0
140.00093, 9.999963, 1039, 3001, 18600.0, 10325, 36140, 229561, 354075, 465331, 0
150.000949, 10.000019, 1001, 3122, 21242.1, 10533, 36305, 332165, 468378, 471131, 0
160.000943, 9.999994, 987, 3256, 24980.7, 11065, 55085, 381449, 816483, 820260, 0
170.001003, 10.00006, 1074, 3157, 19923.0, 11004, 35269, 228455, 578311, 914864, 0
180.000898, 9.999895, 1168, 3015, 12770.7, 10605, 27499, 40367, 71207, 74253, 0
190.000907, 10.000009, 1050, 3460, 16636.3, 10945, 31124, 162597, 362785, 400202, 0
200.000904, 9.999997, 1180, 3411, 13699.6, 10787, 27538, 56313, 234158, 234918, 0
210.000942, 10.000038, 1028, 3309, 20819.6, 10791, 34218, 310168, 570090, 738773, 0
220.000931, 9.999989, 1035, 2865, 20641.8, 10922, 30213, 332269, 757768, 854980, 0
230.000913, 9.999982, 1174, 3224, 13069.1, 10962, 26683, 38167, 155582, 313260, 0
240.000909, 9.999996, 1057, 3117, 16693.4, 11016, 31752, 164850, 315807, 440437, 0
250.000982, 10.000073, 977, 3227, 23330.5, 11293, 65868, 330190, 442951, 496649, 0
260.000946, 9.999964, 1248, 3145, 12433.9, 10559, 25155, 37049, 120885, 131747, 0
270.000932, 9.999986, 1165, 3375, 12786.3, 10921, 26113, 37725, 64941, 212514, 0
280.00108, 10.000148, 1217, 3282, 13359.3, 11033, 25710, 43802, 189912, 454348, 0
290.000018, 9.998938, 1028, 3209, 18562.2, 10569, 33838, 224026, 418525, 564647, 0
300.000936, 10.000918, 1174, 3316, 13276.6, 10687, 27303, 38940, 207357, 237076, 0
310.000898, 9.999962, 1134, 3357, 12514.3, 10355, 25369, 42392, 106131, 138138, 0
320.000958, 10.00006, 1161, 3172, 15597.7, 10482, 31123, 125002, 293862, 306057, 0
330.000907, 9.999949, 1066, 3381, 15440.5, 10526, 30048, 118278, 326086, 426787, 0
340.000895, 9.999988, 1148, 3355, 13712.1, 10671, 26926, 51929, 256598, 308650, 0
350.000894, 9.999999, 1077, 3196, 15898.0, 10638, 32326, 123080, 288739, 308182, 0
360.001059, 10.000165, 973, 3210, 17523.6, 10717, 40779, 158581, 419969, 461720, 0
370.000029, 9.99897, 1046, 3205, 21178.5, 10711, 39741, 252878, 585018, 606480, 0
380.000886, 10.000857, 961, 3525, 24847.8, 11188, 93485, 333334, 575740, 679635, 0
390.000902, 10.000016, 1008, 3034, 21144.1, 11288, 48792, 293421, 398953, 416284, 0
400.000898, 9.999996, 1069, 3034, 17046.2, 11045, 28019, 208389, 439965, 593123, 0
410.000908, 10.00001, 1105, 3180, 15396.0, 10481, 28921, 116399, 369105, 439572, 0
420.000953, 10.000045, 1047, 3046, 20772.8, 10948, 52448, 224087, 541894, 555023, 0
430.000936, 9.999983, 1200, 3160, 13187.1, 10880, 26563, 45951, 137915, 241717, 0
440.000952, 10.000016, 1126, 3228, 14039.3, 10945, 26545, 56237, 303874, 304886, 0
450.000898, 9.999946, 1069, 2965, 18333.6, 11081, 30294, 243964, 548124, 631828, 0
460.000957, 10.000059, 1189, 3195, 13045.1, 10764, 26237, 45077, 177703, 187296, 0
470.000975, 10.000018, 1096, 3287, 15754.5, 10921, 30524, 140493, 308159, 361216, 0
480.000923, 9.999948, 1213, 3374, 12289.2, 10457, 24338, 35619, 142399, 163606, 0
490.000931, 10.000008, 1153, 2875, 13725.4, 11167, 27832, 41644, 218218, 250244, 0
500.000958, 10.000027, 1131, 3441, 12475.3, 10888, 24155, 36493, 55872, 79350, 0
510.001, 10.000042, 1113, 3145, 15078.1, 10719, 29320, 116372, 337432, 340643, 0
520.001029, 10.000029, 909, 3016, 21868.8, 11312, 66724, 246870, 419914, 449643, 0
530.000012, 9.998983, 795, 3401, 25115.3, 11413, 97527, 309005, 496814, 575836, 0
540.000915, 10.000903, 967, 3531, 20454.8, 10609, 56746, 288572, 405207, 447312, 0
550.000904, 9.999989, 1075, 3145, 18019.8, 11118, 31924, 198606, 377420, 417821, 0
560.001022, 10.000118, 1033, 3230, 18266.3, 10821, 37548, 205880, 377420, 434419, 0
570.000895, 9.999873, 1099, 3260, 18370.2, 10986, 31735, 230490, 396240, 408606, 0
580.000954, 10.000059, 1156, 3072, 12398.9, 10373, 25257, 38096, 86732, 132834, 0
590.0009, 9.999946, 1006, 3093, 19455.3, 11483, 44861, 177682, 498210, 822379, 0
600.000953, 10.000053, 1061, 2982, 18943.2, 10858, 32525, 261975, 506827, 645952, 0
610.000893, 9.99994, 1139, 3107, 15315.9, 11220, 30341, 115451, 296261, 331903, 0
620.000962, 10.000069, 1052, 3429, 21046.4, 11100, 35807, 303284, 604651, 758298, 0
630.000917, 9.999955, 1070, 3542, 19734.4, 10883, 28996, 285855, 640653, 745732, 0
640.000923, 10.000006, 1071, 3076, 15965.3, 10888, 29792, 169476, 262069, 282941, 0
650.000965, 10.000042, 972, 3291, 23389.2, 10994, 64240, 306349, 572455, 653883, 0
660.001049, 10.000084, 1093, 3428, 15264.8, 10994, 28143, 109444, 409443, 534890, 0
670.000955, 9.999906, 1111, 3187, 15039.0, 10926, 27862, 106088, 353265, 419462, 0
680.000901, 9.999946, 1046, 3177, 17662.0, 10865, 33186, 222529, 376102, 419462, 0
690.000911, 10.00001, 1099, 3271, 14660.3, 11061, 28131, 109790, 242379, 280544, 0
700.000951, 10.00004, 1075, 3511, 14347.1, 10674, 26728, 71689, 272367, 299959, 0
710.000996, 10.000045, 907, 3627, 22548.0, 11654, 65127, 246768, 707797, 761393, 0
720.000921, 9.999925, 807, 3038, 23218.2, 11249, 84548, 295843, 404603, 425305, 0
730.000897, 9.999976, 1042, 3038, 18265.8, 11139, 33954, 261454, 401308, 485030, 0
740.00095, 10.000053, 1150, 2863, 15432.8, 11212, 26888, 141778, 343623, 345184, 0
750.00091, 9.99996, 1147, 3301, 12787.6, 11024, 25182, 37228, 50574, 254474, 0
760.000926, 10.000016, 1089, 3272, 15735.3, 10880, 28325, 140964, 392275, 500540, 0
770.001063, 10.000137, 1115, 3099, 13947.3, 10706, 26374, 44264, 419129, 500540, 0
780.000029, 9.998966, 1095, 3127, 12829.6, 10801, 26269, 38707, 57825, 198844, 0
790.000915, 10.000886, 1086, 3127, 13730.9, 11105, 27301, 52537, 206151, 317636, 0
800.000903, 9.999988, 1018, 3463, 16078.6, 11126, 29525, 165054, 380694, 387638, 0
