elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000024, 10.000024, 405, 5453, 74346.9, 21194, 365081, 803705, 1801920, 1801920, 0
20.000066, 10.000042, 393, 4809, 79602.2, 18381, 403892, 976994, 2378713, 2378713, 0
30.000023, 9.999957, 376, 4812, 110715.1, 16568, 684635, 1613004, 2648470, 2648470, 0
40.000071, 10.000048, 402, 4634, 77415.8, 19296, 408668, 1495397, 1663976, 1663976, 0
50.000127, 10.000056, 389, 5375, 55195.7, 24380, 186306, 421389, 959326, 959326, 0
60.000054, 9.999927, 428, 5210, 68145.4, 19242, 307762, 776438, 1672707, 1672707, 0
70.000023, 9.999969, 378, 5456, 76544.3, 19959, 416158, 845164, 1792591, 1792591, 0
80.000022, 9.999999, 406, 5134, 53468.1, 21167, 190659, 343863, 1541289, 1541289, 0
90.000033, 10.000011, 362, 5319, 62657.8, 23916, 263551, 483371, 710120, 710120, 0
100.000773, 10.00074, 389, 5210, 80378.3, 20851, 374307, 746661, 2197576, 2197576, 0
110.000779, 10.000006, 369, 4891, 73835.4, 20787, 350046, 645406, 802612, 802612, 0
120.000745, 9.999966, 413, 4976, 58356.9, 25025, 231171, 425283, 749661, 749661, 0
130.000767, 10.000022, 383, 4877, 49649.4, 21934, 194426, 312946, 460783, 460783, 0
140.00081, 10.000043, 406, 5574, 68839.9, 21938, 306666, 644875, 857470, 857470, 0
150.000832, 10.000022, 368, 4984, 49849.6, 22909, 175665, 297010, 562910, 562910, 0
160.000804, 9.999972, 398, 5266, 58356.6, 21261, 277532, 511949, 906100, 906100, 0
170.000736, 9.999932, 404, 4867, 55678.6, 23219, 240534, 432329, 720258, 720258, 0
180.000761, 10.000025, 390, 5497, 56258.4, 23633, 203150, 444390, 748478, 748478, 0
190.00076, 9.999999, 390, 5633, 47221.4, 23635, 175044, 364494, 783318, 783318, 0
200.00075, 9.99999, 386, 5046, 52282.8, 27101, 191708, 312520, 691902, 691902, 0
210.000771, 10.000021, 410, 4722, 52785.7, 24199, 190223, 388742, 531288, 531288, 0
220.000903, 10.000132, 414, 5384, 63206.4, 20764, 263030, 640721, 1234543, 1234543, 0
230.000856, 9.999953, 435, 5144, 49733.1, 21722, 194489, 439275, 1043092, 1043092, 0
240.000799, 9.999943, 440, 4856, 57083.0, 22003, 227897, 622470, 923085, 923085, 0
250.000833, 10.000034, 396, 5051, 56623.3, 23507, 217132, 322764, 635468, 635468, 0
260.00082, 9.999987, 426, 5682, 52432.6, 23191, 224095, 424582, 702781, 702781, 0
270.000796, 9.999976, 397, 4984, 47981.5, 23790, 164863, 292747, 478638, 478638, 0
280.000783, 9.999987, 416, 5112, 55036.7, 22695, 227074, 411607, 633328, 633328, 0
290.000739, 9.999956, 427, 4817, 47140.4, 23016, 183000, 343728, 444715, 444715, 0
300.000746, 10.000007, 383, 5288, 50704.1, 20571, 190980, 538364, 957344, 957344, 0
310.000787, 10.000041, 392, 5112, 51703.5, 23795, 197793, 312776, 444588, 444588, 0
320.000804, 10.000017, 402, 4967, 57503.5, 22510, 213148, 456021, 781782, 781782, 0
330.000803, 9.999999, 391, 5146, 57841.8, 21746, 244632, 530965, 915112, 915112, 0
340.000789, 9.999986, 356, 6124, 58845.1, 22829, 235055, 471416, 1021090, 1021090, 0
350.000892, 10.000103, 420, 5230, 53403.8, 22601, 218358, 424810, 955690, 955690, 0
360.000798, 9.999906, 389, 5221, 46977.8, 21009, 186286, 334085, 509060, 509060, 0
370.000785, 9.999987, 449, 4800, 46478.2, 21921, 174594, 303636, 393793, 393793, 0
380.000781, 9.999996, 402, 5071, 42967.3, 22720, 162811, 263040, 414179, 414179, 0
390.000806, 10.000025, 415, 5628, 57726.4, 21403, 234212, 519068, 692874, 692874, 0
400.000852, 10.000046, 421, 4934, 55840.5, 21869, 197956, 532806, 1141354, 1141354, 0
410.000768, 9.999916, 432, 5053, 58751.1, 21089, 178189, 861792, 1204536, 1204536, 0
420.000736, 9.999968, 403, 5257, 62374.5, 21548, 261828, 656869, 1005287, 1005287, 0
430.0008, 10.000064, 434, 5676, 57663.1, 21019, 238267, 518856, 738909, 738909, 0
440.000813, 10.000013, 430, 6378, 65119.4, 23699, 302218, 530265, 854940, 854940, 0
450.000775, 9.999962, 429, 5445, 56517.0, 22220, 232887, 401447, 679054, 679054, 0
460.000775, 10.0, 407, 5827, 60637.1, 20877, 266714, 574609, 988238, 988238, 0
470.000751, 9.999976, 343, 5302, 46669.1, 28205, 119980, 374059, 512512, 512512, 0
480.000745, 9.999994, 327, 5925, 44509.8, 32282, 132019, 267118, 306023, 306023, 0
490.000756, 10.000011, 304, 5359, 50720.6, 33795, 144441, 324132, 498783, 498783, 0
500.000743, 9.999987, 326, 5454, 47542.8, 33360, 128293, 304699, 483563, 483563, 0
510.000859, 10.000116, 291, 5212, 49429.4, 34783, 143432, 381337, 513986, 513986, 0
520.001013, 10.000154, 296, 5680, 44080.3, 33295, 123852, 220900, 338914, 338914, 0
530.000799, 9.999786, 341, 6817, 43133.4, 33228, 110234, 292929, 378110, 378110, 0
540.000785, 9.999986, 360, 5884, 49272.8, 29336, 164816, 339359, 560490, 560490, 0
550.000776, 9.999991, 343, 5254, 43007.6, 27310, 117179, 314771, 428304, 428304, 0
560.000775, 9.999999, 354, 4889, 53064.9, 28658, 177213, 346548, 439093, 439093, 0
570.000771, 9.999996, 350, 5339, 45854.1, 26492, 126248, 277842, 559647, 559647, 0
580.000949, 10.000178, 417, 4956, 52304.7, 22557, 237055, 509446, 646007, 646007, 0
590.000738, 9.999789, 422, 5665, 55030.8, 23438, 264056, 392150, 612936, 612936, 0
