elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000025, 10.000025, 4045, 2579, 13692.1, 8634, 42278, 61690, 86236, 122627, 0
20.000021, 9.999996, 4034, 2506, 11977.8, 8086, 35240, 53495, 93427, 115543, 0
30.000728, 10.000707, 3963, 2555, 10776.9, 7435, 30545, 47508, 69382, 81690, 0
40.000815, 10.000087, 4017, 2722, 13483.8, 8215, 42322, 63004, 103519, 193010, 0
50.000752, 9.999937, 3870, 2690, 12477.9, 7359, 42449, 65731, 104563, 142137, 0
60.00074, 9.999988, 4009, 2649, 10843.6, 7154, 33279, 50529, 76760, 114690, 0
70.000802, 10.000062, 4094, 2526, 13703.7, 8074, 42607, 63609, 107034, 139953, 0
80.000755, 9.999953, 4154, 2619, 13957.0, 8637, 42593, 63317, 119363, 160963, 0
90.000749, 9.999994, 3950, 2612, 14518.4, 8463, 44986, 75063, 133828, 231540, 0
100.000741, 9.999992, 3849, 2725, 10666.2, 7167, 32020, 58637, 114884, 178556, 0
110.000836, 10.000095, 3975, 2632, 13611.9, 8155, 41962, 66152, 140941, 194103, 0
120.000727, 9.999891, 4085, 2680, 14743.2, 8162, 46789, 70043, 123005, 204395, 0
130.000728, 10.000001, 4023, 2646, 14909.7, 8484, 46228, 73888, 141323, 163597, 0
140.000724, 9.999996, 4023, 2686, 13033.9, 8103, 41587, 62889, 98334, 115137, 0
150.00091, 10.000186, 4043, 2670, 13255.6, 7888, 42701, 74032, 158469, 207971, 0
160.000728, 9.999818, 4025, 2627, 14348.9, 7955, 46748, 74862, 125596, 254880, 0
170.000834, 10.000106, 4163, 2638, 13760.4, 8484, 40726, 61999, 127314, 228865, 0
180.000739, 9.999905, 3923, 2638, 15323.3, 8192, 48558, 73240, 125708, 242638, 0
190.000744, 10.000005, 4152, 2649, 14674.8, 8311, 46777, 67722, 107103, 138651, 0
200.000732, 9.999988, 4092, 2638, 15004.9, 8425, 48157, 72063, 102381, 176952, 0
210.00075, 10.000018, 4100, 2641, 13581.3, 8165, 41955, 66659, 118152, 289075, 0
220.000744, 9.999994, 4005, 2656, 11526.0, 7455, 36414, 62147, 131136, 238076, 0
230.000804, 10.00006, 4224, 2680, 13707.2, 8095, 43907, 66096, 106484, 152844, 0
240.000735, 9.999931, 4181, 2545, 13150.5, 8132, 41048, 61259, 113290, 152844, 0
250.000765, 10.00003, 4174, 2631, 13996.9, 8387, 43671, 73167, 109427, 283918, 0
260.000913, 10.000148, 4166, 2651, 13915.4, 8233, 44902, 71430, 100055, 119773, 0
270.00074, 9.999827, 4089, 2658, 12898.6, 7949, 41135, 67272, 117066, 223195, 0
280.000895, 10.000155, 4091, 2697, 10739.6, 7518, 30666, 48519, 77839, 88669, 0
290.000737, 9.999842, 4126, 2670, 12647.4, 8349, 36441, 55229, 94305, 199807, 0
300.000728, 9.999991, 4257, 2619, 12061.7, 8013, 33875, 56516, 136277, 190001, 0
310.000751, 10.000023, 4285, 2651, 14393.8, 8747, 45171, 70063, 112527, 175878, 0
320.000754, 10.000003, 4293, 2639, 13918.1, 8782, 42698, 63011, 90294, 116206, 0
330.000799, 10.000045, 4259, 2616, 11997.5, 7907, 35117, 61160, 102876, 198965, 0
340.000736, 9.999937, 4205, 2565, 13640.5, 8042, 42571, 71705, 112010, 256451, 0
350.000755, 10.000019, 4196, 2771, 14808.4, 8530, 45293, 69428, 108964, 176989, 0
360.000737, 9.999982, 4425, 2623, 12433.6, 7868, 38279, 62022, 112041, 182651, 0
370.00074, 10.000003, 4148, 2664, 11828.5, 7731, 37034, 60201, 107886, 185648, 0
380.000744, 10.000004, 4356, 2587, 12835.0, 7699, 42897, 66129, 112024, 142395, 0
390.000842, 10.000098, 4183, 2628, 14085.4, 8005, 47623, 74141, 104543, 190308, 0
400.00079, 9.999948, 4077, 2689, 14592.5, 8065, 48434, 78403, 119746, 166587, 0
410.000727, 9.999937, 4133, 2542, 13631.2, 7851, 44866, 74720, 145406, 180658, 0
420.000735, 10.000008, 4211, 2651, 13171.9, 7891, 43121, 64931, 105872, 147307, 0
430.000865, 10.00013, 3687, 2727, 15881.0, 10490, 43474, 65858, 130416, 179011, 0
440.000727, 9.999862, 3188, 2726, 20121.7, 18409, 45821, 65784, 133129, 153523, 0
450.000753, 10.000026, 3200, 2685, 20327.0, 18506, 45960, 73826, 132549, 153523, 0
460.000803, 10.00005, 3214, 2650, 20080.0, 18271, 46267, 66532, 94785, 132549, 0
470.000725, 9.999922, 3378, 2693, 19361.1, 17532, 44409, 61308, 102299, 113537, 0
480.000787, 10.000062, 3236, 2624, 20175.9, 18477, 48062, 69017, 109674, 130128, 0
490.000801, 10.000014, 3224, 2770, 19773.8, 17843, 45357, 65844, 98955, 114316, 0
500.000756, 9.999955, 3529, 2641, 17885.9, 10943, 49663, 71180, 112723, 132712, 0
510.000731, 9.999975, 3587, 2636, 18671.7, 9070, 56132, 81390, 113416, 137203, 0
520.000786, 10.000055, 3470, 2633, 18560.2, 9144, 55746, 82981, 115420, 149021, 0
530.000744, 9.999958, 3659, 2691, 17510.5, 8237, 54891, 83490, 117679, 191086, 0
540.00076, 10.000016, 4018, 2620, 14372.9, 7851, 45207, 75090, 124463, 293314, 0
550.000788, 10.000028, 4212, 2692, 14614.9, 7995, 48449, 71911, 116993, 159121, 0
560.00074, 9.999952, 4244, 2605, 14398.1, 7807, 47456, 75204, 128211, 235579, 0
570.000739, 9.999999, 4259, 2550, 13804.8, 7827, 43902, 71588, 107025, 134172, 0
580.000778, 10.000039, 4156, 2620, 14415.3, 8147, 45664, 77512, 128831, 177386, 0
590.000724, 9.999946, 4178, 2664, 13695.7, 7760, 44839, 70005, 114540, 151803, 0
600.000737, 10.000013, 4049, 2643, 12323.3, 7708, 35950, 58374, 109314, 137665, 0
610.000812, 10.000075, 4181, 2472, 13905.0, 7910, 44504, 73566, 175632, 236112, 0
620.000807, 9.999995, 4133, 2600, 12863.0, 7787, 40393, 64939, 113013, 118900, 0
630.000791, 9.999984, 4045, 2584, 13689.1, 7635, 44005, 70803, 137139, 195847, 0
640.000742, 9.999951, 4029, 2619, 13861.5, 8058, 43203, 72694, 137639, 206963, 0
650.000741, 9.999999, 4049, 2619, 12537.4, 7672, 40229, 64071, 112078, 291244, 0
660.000863, 10.000122, 4069, 2660, 13477.9, 8055, 41292, 74224, 135900, 167652, 0
670.000723, 9.99986, 4058, 2638, 15038.0, 8849, 46818, 68872, 99956, 176474, 0
680.000745, 10.000022, 3921, 2715, 13558.4, 7890, 44687, 69823, 130728, 238405, 0
690.000891, 10.000146, 4050, 2679, 14442.4, 8061, 48114, 78183, 118518, 189152, 0
700.000824, 9.999933, 4078, 2742, 11150.1, 7595, 34410, 51048, 90929, 116585, 0
710.000729, 9.999905, 4103, 2585, 12563.3, 7877, 39318, 59258, 95607, 131015, 0
720.000781, 10.000052, 4055, 2585, 11539.7, 7368, 35906, 62761, 116620, 246301, 0
730.000736, 9.999955, 4026, 2716, 12876.6, 8011, 40384, 64164, 110130, 135436, 0
740.000726, 9.99999, 4119, 2745, 13624.4, 8429, 41989, 66283, 146657, 236397, 0
750.000745, 10.000019, 4013, 2635, 13520.2, 8412, 40669, 63581, 113791, 189271, 0
