elapsed, window, total, successful, failed
10.000033, 10.000033, 7830, 7830, 0
20.000023, 9.99999, 6538, 6538, 0
30.000059, 10.000036, 4021, 4021, 0
40.000056, 9.999997, 4155, 4155, 0
50.000029, 9.999973, 4149, 4149, 0
60.000028, 9.999999, 5133, 5133, 0
70.000655, 10.000627, 3676, 3676, 0
80.000722, 10.000067, 2476, 2476, 0
90.000653, 9.999931, 3503, 3503, 0
100.000663, 10.00001, 4118, 4118, 0
110.000668, 10.000005, 4600, 4600, 0
120.000653, 9.999985, 4350, 4350, 0
130.000671, 10.000018, 4191, 4191, 0
140.000654, 9.999983, 4398, 4398, 0
150.000677, 10.000023, 4041, 4041, 0
160.000691, 10.000014, 5199, 5199, 0
170.000663, 9.999972, 5192, 5192, 0
180.000681, 10.000018, 5493, 5493, 0
190.000655, 9.999974, 4090, 4090, 0
200.000663, 10.000008, 3653, 3653, 0
210.000705, 10.000042, 3899, 3899, 0
220.000704, 9.999999, 4238, 4238, 0
230.000699, 9.999995, 3991, 3991, 0
240.000688, 9.999989, 4633, 4633, 0
250.000688, 10.0, 4572, 4572, 0
260.000742, 10.000054, 4468, 4468, 0
270.000657, 9.999915, 4894, 4894, 0
280.000655, 9.999998, 4664, 4664, 0
290.000648, 9.999993, 4650, 4650, 0
300.000686, 10.000038, 4396, 4396, 0
310.000692, 10.000006, 4374, 4374, 0
320.000725, 10.000033, 3162, 3162, 0
330.000651, 9.999926, 3168, 3168, 0
340.000993, 10.000342, 3780, 3780, 0
350.000664, 9.999671, 4665, 4665, 0
360.000654, 9.99999, 4912, 4912, 0
370.000725, 10.000071, 4686, 4686, 0
380.00071, 9.999985, 4238, 4238, 0
390.000746, 10.000036, 4531, 4531, 0
400.000691, 9.999945, 5325, 5325, 0
410.000736, 10.000045, 5168, 5168, 0
420.000655, 9.999919, 5923, 5923, 0
430.000655, 10.0, 3432, 3432, 0
440.000712, 10.000057, 3519, 3519, 0
450.00075, 10.000038, 3831, 3831, 0
460.000694, 9.999944, 4093, 4093, 0
470.000653, 9.999959, 4316, 4316, 0
480.00067, 10.000017, 2759, 2759, 0
490.00065, 9.99998, 2537, 2537, 0
500.000662, 10.000012, 3136, 3136, 0
510.000674, 10.000012, 3566, 3566, 0
520.000704, 10.00003, 2925, 2925, 0
530.000701, 9.999997, 2529, 2529, 0
540.000769, 10.000068, 3367, 3367, 0
550.000655, 9.999886, 3167, 3167, 0
560.00069, 10.000035, 3033, 3033, 0
570.000718, 10.000028, 3069, 3069, 0
580.000654, 9.999936, 3319, 3319, 0
590.000704, 10.00005, 3125, 3125, 0
600.000693, 9.999989, 4762, 4762, 0
610.000658, 9.999965, 3752, 3752, 0
620.000657, 9.999999, 4732, 4732, 0
630.000677, 10.00002, 4612, 4612, 0
640.000657, 9.99998, 4574, 4574, 0
650.000656, 9.999999, 4076, 4076, 0
660.000748, 10.000092, 4398, 4398, 0
670.000665, 9.999917, 3513, 3513, 0
680.000651, 9.999986, 3623, 3623, 0
690.000667, 10.000016, 3181, 3181, 0
700.000669, 10.000002, 3424, 3424, 0
710.000711, 10.000042, 2498, 2498, 0
720.000664, 9.999953, 2227, 2227, 0
730.000665, 10.000001, 2640, 2640, 0
740.000651, 9.999986, 2680, 2680, 0
750.000712, 10.000061, 3396, 3396, 0
760.000677, 9.999965, 3328, 3328, 0
770.00073, 10.000053, 3253, 3253, 0
780.000667, 9.999937, 2798, 2798, 0
790.000684, 10.000017, 2654, 2654, 0
800.000938, 10.000254, 2499, 2499, 0
810.000675, 9.999737, 2689, 2689, 0
820.000664, 9.999989, 2599, 2599, 0
830.00075, 10.000086, 3570, 3570, 0
840.000762, 10.000012, 3440, 3440, 0
850.000662, 9.9999, 3889, 3889, 0
860.000691, 10.000029, 4096, 4096, 0
870.000699, 10.000008, 4208, 4208, 0
880.000675, 9.999976, 3946, 3946, 0
890.000719, 10.000044, 3523, 3523, 0
900.000666, 9.999947, 3023, 3023, 0
910.000691, 10.000025, 3337, 3337, 0
920.000801, 10.00011, 3870, 3870, 0
930.000664, 9.999863, 5165, 5165, 0
940.000668, 10.000004, 5440, 5440, 0
950.000696, 10.000028, 5520, 5520, 0
960.000698, 10.000002, 3985, 3985, 0
970.000711, 10.000013, 3102, 3102, 0
980.000689, 9.999978, 3530, 3530, 0
990.000655, 9.999966, 3369, 3369, 0
1000.000687, 10.000032, 2730, 2730, 0
1010.00072, 10.000033, 2567, 2567, 0
1020.000889, 10.000169, 3214, 3214, 0
1030.000743, 9.999854, 3361, 3361, 0
1040.00069, 9.999947, 4418, 4418, 0
1050.000666, 9.999976, 5898, 5898, 0
1060.000677, 10.000011, 4765, 4765, 0
1070.00072, 10.000043, 3643, 3643, 0
1080.000664, 9.999944, 3705, 3705, 0
1090.000656, 9.999992, 3155, 3155, 0
1100.000662, 10.000006, 3393, 3393, 0
1110.00066, 9.999998, 3481, 3481, 0
1120.000666, 10.000006, 3101, 3101, 0
1130.000663, 9.999997, 4552, 4552, 0
1140.000659, 9.999996, 4406, 4406, 0
1150.00066, 10.000001, 4224, 4224, 0
1160.000653, 9.999993, 5199, 5199, 0
1170.000646, 9.999993, 4724, 4724, 0
1180.000689, 10.000043, 4038, 4038, 0
1190.00066, 9.999971, 4121, 4121, 0
1200.000717, 10.000057, 4330, 4330, 0
1210.000688, 9.999971, 4434, 4434, 0
1220.000672, 9.999984, 3632, 3632, 0
1230.000755, 10.000083, 2849, 2849, 0
1240.000691, 9.999936, 3351, 3351, 0
1250.000663, 9.999972, 3595, 3595, 0
1260.000728, 10.000065, 3249, 3249, 0
1270.000655, 9.999927, 3391, 3391, 0
1280.000669, 10.000014, 3233, 3233, 0
1290.000658, 9.999989, 3551, 3551, 0
1300.000664, 10.000006, 4194, 4194, 0
1310.000693, 10.000029, 4391, 4391, 0
1320.000942, 10.000249, 3753, 3753, 0
1330.000712, 9.99977, 5293, 5293, 0
1340.000704, 9.999992, 4927, 4927, 0
1350.00067, 9.999966, 4418, 4418, 0
1360.000659, 9.999989, 3850, 3850, 0
1370.000691, 10.000032, 3430, 3430, 0
1380.000701, 10.00001, 3168, 3168, 0
1390.000799, 10.000098, 3225, 3225, 0
1400.00067, 9.999871, 3510, 3510, 0
1410.000714, 10.000044, 4040, 4040, 0
1420.000693, 9.999979, 3974, 3974, 0
