elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000015, 10.000015, 1174, 3267, 12772.1, 11270, 26274, 34829, 44403, 45434, 0
20.000321, 10.000306, 1167, 3235, 12874.8, 11276, 26442, 36218, 57409, 77762, 0
30.000253, 9.999932, 1112, 3471, 13076.0, 11069, 28223, 38777, 50742, 55035, 0
40.000265, 10.000012, 1114, 3359, 13500.2, 11180, 28048, 48235, 96945, 164932, 0
50.000221, 9.999956, 1158, 3386, 13190.4, 11392, 27750, 39248, 48052, 73440, 0
60.000209, 9.999988, 1174, 3333, 12825.6, 11040, 26151, 37213, 54437, 59463, 0
70.000227, 10.000018, 1116, 3440, 13672.6, 11431, 27786, 40777, 115302, 200856, 0
80.000214, 9.999987, 1161, 3192, 13794.5, 11228, 28591, 51304, 172471, 216568, 0
90.000203, 9.999989, 1173, 3417, 13063.5, 11546, 25765, 36883, 51350, 59180, 0
100.000243, 10.00004, 1174, 3497, 13274.4, 11413, 27932, 39026, 50791, 51863, 0
110.000209, 9.999966, 1071, 3468, 14699.4, 11543, 30716, 81939, 186775, 191671, 0
120.000247, 10.000038, 1075, 3660, 12981.7, 11070, 27487, 40047, 54055, 60122, 0
130.000232, 9.999985, 1158, 3205, 12931.9, 10713, 28352, 39621, 54536, 85781, 0
140.000225, 9.999993, 1130, 3611, 13557.4, 11027, 29136, 47235, 104698, 133146, 0
150.000247, 10.000022, 1148, 3144, 14161.7, 11289, 27867, 54210, 194025, 276208, 0
160.000226, 9.999979, 1202, 3229, 13017.2, 11458, 27321, 37066, 45807, 56681, 0
170.00023, 10.000004, 1148, 3323, 13009.0, 10978, 26798, 41716, 51716, 64357, 0
180.000228, 9.999998, 1084, 3437, 14022.9, 11359, 28549, 66711, 156497, 156929, 0
190.000269, 10.000041, 1130, 3903, 13275.8, 11151, 27867, 41145, 57871, 58123, 0
200.000208, 9.999939, 1172, 3600, 13002.4, 11231, 26198, 33989, 49496, 53308, 0
210.000202, 9.999994, 1153, 3380, 13464.6, 11277, 27281, 41820, 106164, 170526, 0
220.000265, 10.000063, 1144, 3640, 14245.8, 11323, 29191, 68838, 200478, 205917, 0
230.000241, 9.999976, 1195, 3565, 13300.3, 11439, 27461, 35122, 51204, 53475, 0
240.000281, 10.00004, 1207, 3561, 13091.4, 11410, 26833, 36140, 49467, 52604, 0
250.00024, 9.999959, 1087, 3571, 15574.1, 11548, 29536, 125381, 231576, 244340, 0
260.000297, 10.000057, 1218, 3438, 13318.3, 11422, 28003, 41130, 54428, 55086, 0
270.00022, 9.999923, 1111, 3356, 12874.6, 11223, 26193, 34132, 44856, 46180, 0
280.000266, 10.000046, 1117, 3716, 14357.4, 11371, 30039, 50430, 165517, 182162, 0
290.000205, 9.999939, 1104, 3405, 13847.9, 11122, 28586, 55455, 122613, 139172, 0
300.000267, 10.000062, 1178, 3492, 13035.7, 11017, 27444, 35891, 51307, 60262, 0
310.000235, 9.999968, 1149, 3723, 13204.0, 11427, 26480, 40241, 66791, 68656, 0
320.000239, 10.000004, 1131, 3202, 14112.4, 11216, 27791, 48149, 223222, 257113, 0
330.000205, 9.999966, 1157, 3675, 13128.9, 11090, 27832, 37338, 50986, 65794, 0
340.000305, 10.0001, 1115, 3440, 12856.7, 10955, 26565, 37918, 50746, 51371, 0
350.000209, 9.999904, 1160, 3818, 13782.1, 11426, 29467, 41707, 119692, 172766, 0
360.000244, 10.000035, 1100, 3305, 14947.1, 11507, 30391, 84217, 216308, 224774, 0
