elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000035, 10.000035, 11734, 1794, 5556.2, 4685, 11382, 16805, 25807, 206024, 0
20.000478, 10.000443, 11914, 1794, 5416.9, 4552, 11203, 16425, 23144, 206024, 0
30.000451, 9.999973, 11782, 1729, 5520.7, 4709, 11288, 16220, 24117, 28487, 0
40.000445, 9.999994, 11370, 1791, 5655.9, 4699, 11440, 16464, 85090, 156810, 0
50.000472, 10.000027, 11531, 1815, 5559.5, 4715, 11474, 16240, 23213, 29815, 0
60.000648, 10.000176, 11818, 1809, 5498.5, 4642, 11325, 16022, 23818, 34132, 0
70.000566, 9.999918, 11525, 1793, 5633.2, 4668, 11865, 16972, 27984, 123043, 0
80.000481, 9.999915, 11221, 1740, 5680.9, 4717, 11803, 16740, 43515, 152372, 0
90.000487, 10.000006, 11515, 1801, 5582.9, 4724, 11516, 16328, 23046, 35160, 0
100.00046, 9.999973, 11527, 1854, 5559.8, 4726, 11498, 16194, 22371, 31095, 0
110.00047, 10.00001, 11369, 1876, 5585.7, 4672, 11398, 16575, 51959, 109014, 0
120.000493, 10.000023, 11776, 1897, 5583.8, 4710, 11693, 16407, 23504, 37582, 0
130.000665, 10.000172, 11700, 1829, 5561.8, 4710, 11392, 16237, 22920, 36728, 0
140.000473, 9.999808, 11481, 1835, 5649.1, 4676, 11799, 17543, 28648, 205216, 0
150.00047, 9.999997, 11483, 1841, 5562.1, 4651, 11438, 16084, 28520, 139089, 0
160.000478, 10.000008, 11495, 1804, 5551.9, 4667, 11546, 16726, 24508, 37822, 0
170.000462, 9.999984, 11650, 1731, 5575.2, 4715, 11539, 16306, 22963, 29539, 0
180.000565, 10.000103, 11077, 1809, 5824.6, 4735, 11821, 17723, 100376, 179123, 0
190.000526, 9.999961, 11874, 1870, 5414.9, 4598, 11130, 15516, 21464, 31960, 0
200.000461, 9.999935, 11763, 1849, 5433.5, 4579, 11135, 15931, 23460, 35719, 0
210.000455, 9.999994, 11522, 1834, 5595.9, 4678, 11441, 16586, 29713, 88393, 0
220.000479, 10.000024, 11292, 1794, 5678.5, 4727, 11767, 16919, 28386, 95766, 0
230.000458, 9.999979, 11547, 1835, 5540.5, 4710, 11417, 16180, 23143, 36598, 0
240.000531, 10.000073, 11540, 1871, 5545.2, 4686, 11430, 16493, 23502, 36270, 0
250.000594, 10.000063, 11294, 1758, 5634.9, 4712, 11704, 16491, 26993, 114496, 0
260.000473, 9.999879, 11324, 1727, 5648.4, 4769, 11854, 16953, 24516, 36202, 0
270.000516, 10.000043, 11549, 1835, 5644.9, 4775, 11813, 16976, 24720, 36812, 0
280.000516, 10.0, 11421, 1774, 5638.0, 4739, 11709, 16853, 27163, 52969, 0
290.000542, 10.000026, 11499, 1898, 5481.7, 4631, 10990, 15366, 26815, 99797, 0
300.000467, 9.999925, 11705, 1817, 5514.1, 4668, 11304, 15639, 22117, 28455, 0
310.000498, 10.000031, 11606, 1845, 5574.9, 4729, 11446, 16040, 22553, 31970, 0
320.000489, 9.999991, 11225, 1849, 5666.3, 4728, 11838, 17344, 27273, 139783, 0
