elapsed, window, total, successful, failed
10.000022, 10.000022, 13013, 13013, 0
20.000676, 10.000654, 13034, 13034, 0
30.000719, 10.000043, 12953, 12953, 0
40.000626, 9.999907, 12516, 12516, 0
50.000695, 10.000069, 12978, 12978, 0
60.000651, 9.999956, 12859, 12859, 0
70.000689, 10.000038, 12628, 12628, 0
80.000642, 9.999953, 12669, 12669, 0
90.000662, 10.00002, 12790, 12790, 0
100.000638, 9.999976, 12780, 12780, 0
110.000671, 10.000033, 12236, 12236, 0
120.000651, 9.99998, 13089, 13089, 0
130.000695, 10.000044, 12918, 12918, 0
140.000654, 9.999959, 12548, 12548, 0
150.000657, 10.000003, 12581, 12581, 0
160.000658, 10.000001, 12679, 12679, 0
170.000652, 9.999994, 13096, 13096, 0
180.000649, 9.999997, 12384, 12384, 0
190.000641, 9.999992, 13007, 13007, 0
200.000637, 9.999996, 12641, 12641, 0
210.000736, 10.000099, 12712, 12712, 0
220.000632, 9.999896, 12449, 12449, 0
230.00066, 10.000028, 12818, 12818, 0
240.000671, 10.000011, 12897, 12897, 0
250.00063, 9.999959, 12387, 12387, 0
260.000648, 10.000018, 12486, 12486, 0
270.000656, 10.000008, 12856, 12856, 0
280.000678, 10.000022, 12561, 12561, 0
290.000684, 10.000006, 12558, 12558, 0
300.000658, 9.999974, 12628, 12628, 0
310.000709, 10.000051, 12909, 12909, 0
320.000644, 9.999935, 12190, 12190, 0
330.000688, 10.000044, 12619, 12619, 0
340.000663, 9.999975, 12887, 12887, 0
350.000655, 9.999992, 12408, 12408, 0
360.000673, 10.000018, 12439, 12439, 0
370.000674, 10.000001, 12681, 12681, 0
380.000678, 10.000004, 12697, 12697, 0
390.000691, 10.000013, 11984, 11984, 0
400.000634, 9.999943, 12680, 12680, 0
410.000645, 10.000011, 12624, 12624, 0
420.000665, 10.00002, 12435, 12435, 0
430.000678, 10.000013, 12619, 12619, 0
440.00069, 10.000012, 12777, 12777, 0
450.000648, 9.999958, 12921, 12921, 0
460.00069, 10.000042, 12110, 12110, 0
470.000672, 9.999982, 12652, 12652, 0
480.000783, 10.000111, 12506, 12506, 0
490.000719, 9.999936, 12460, 12460, 0
500.000651, 9.999932, 12652, 12652, 0
510.000661, 10.00001, 12830, 12830, 0
520.000804, 10.000143, 12713, 12713, 0
530.000672, 9.999868, 12430, 12430, 0
540.00072, 10.000048, 12601, 12601, 0
550.000686, 9.999966, 12656, 12656, 0
560.000739, 10.000053, 12239, 12239, 0
570.000648, 9.999909, 12156, 12156, 0
580.000663, 10.000015, 12458, 12458, 0
590.000697, 10.000034, 12521, 12521, 0
600.000676, 9.999979, 12195, 12195, 0
610.000646, 9.99997, 12393, 12393, 0
620.000659, 10.000013, 12351, 12351, 0
630.000634, 9.999975, 12205, 12205, 0
640.000651, 10.000017, 12329, 12329, 0
650.000679, 10.000028, 12438, 12438, 0
660.000627, 9.999948, 12353, 12353, 0
670.00068, 10.000053, 11970, 11970, 0
680.000635, 9.999955, 12651, 12651, 0
690.000662, 10.000027, 12337, 12337, 0
700.000686, 10.000024, 12271, 12271, 0
710.000645, 9.999959, 12044, 12044, 0
720.000662, 10.000017, 12280, 12280, 0
730.000664, 10.000002, 12216, 12216, 0
740.000764, 10.0001, 11959, 11959, 0
750.000657, 9.999893, 12323, 12323, 0
760.000745, 10.000088, 12264, 12264, 0
770.00068, 9.999935, 11987, 11987, 0
780.000628, 9.999948, 12284, 12284, 0
790.000677, 10.000049, 12309, 12309, 0
800.000644, 9.999967, 12188, 12188, 0
810.000631, 9.999987, 11988, 11988, 0
820.000662, 10.000031, 12213, 12213, 0
830.000656, 9.999994, 12088, 12088, 0
840.000699, 10.000043, 12231, 12231, 0
850.000629, 9.99993, 12006, 12006, 0
860.000634, 10.000005, 12216, 12216, 0
870.000758, 10.000124, 11924, 11924, 0
880.000632, 9.999874, 11637, 11637, 0
890.000644, 10.000012, 12231, 12231, 0
900.000629, 9.999985, 12242, 12242, 0
910.00067, 10.000041, 11726, 11726, 0
920.000676, 10.000006, 12078, 12078, 0
930.000631, 9.999955, 12056, 12056, 0
940.00064, 10.000009, 12118, 12118, 0
950.00065, 10.00001, 11873, 11873, 0
960.000673, 10.000023, 12222, 12222, 0
970.000658, 9.999985, 12085, 12085, 0
980.000657, 9.999999, 12003, 12003, 0
990.000643, 9.999986, 11822, 11822, 0
1000.000689, 10.000046, 12106, 12106, 0
1010.000693, 10.000004, 11865, 11865, 0
1020.000635, 9.999942, 11737, 11737, 0
1030.000627, 9.999992, 11937, 11937, 0
1040.000685, 10.000058, 12017, 12017, 0
1050.000632, 9.999947, 11699, 11699, 0
1060.000651, 10.000019, 12041, 12041, 0
1070.000657, 10.000006, 11827, 11827, 0
1080.00063, 9.999973, 11993, 11993, 0
1090.000677, 10.000047, 11514, 11514, 0
1100.000655, 9.999978, 12158, 12158, 0
1110.00069, 10.000035, 11799, 11799, 0
1120.000657, 9.999967, 11541, 11541, 0
1130.000648, 9.999991, 11617, 11617, 0
1140.000748, 10.0001, 11838, 11838, 0
1150.000626, 9.999878, 11665, 11665, 0
1160.000644, 10.000018, 11690, 11690, 0
