elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000022, 10.000022, 384, 5712, 46522.2, 22164, 180878, 338030, 622834, 622834, 0
20.000032, 10.00001, 367, 4923, 58008.4, 20405, 231386, 499884, 1182778, 1182778, 0
30.000476, 10.000444, 395, 5752, 69678.4, 18719, 261518, 995014, 1267324, 1267324, 0
40.000443, 9.999967, 388, 4856, 87098.6, 17765, 385685, 1560749, 2339985, 2339985, 0
50.000474, 10.000031, 370, 4972, 95020.7, 18611, 283604, 2141499, 2650254, 2650254, 0
60.000456, 9.999982, 403, 5252, 66968.1, 21691, 178798, 857336, 1926928, 1926928, 0
70.000455, 9.999999, 381, 5274, 54793.1, 22397, 197421, 662644, 974770, 974770, 0
80.000449, 9.999994, 368, 4822, 79701.6, 17750, 391391, 1069986, 1739666, 1739666, 0
90.000456, 10.000007, 369, 5116, 76800.0, 19894, 342916, 1290250, 1931587, 1931587, 0
100.000469, 10.000013, 344, 5221, 96064.7, 20958, 462218, 1330209, 3220332, 3220332, 0
110.000453, 9.999984, 393, 4796, 84973.3, 19501, 476227, 1003183, 1538360, 1538360, 0
120.000477, 10.000024, 377, 4806, 79535.7, 19302, 285720, 1278549, 2164924, 2164924, 0
130.00048, 10.000003, 377, 5374, 70093.9, 22515, 328997, 556445, 849542, 849542, 0
140.00047, 9.99999, 428, 5081, 47937.5, 20784, 173821, 331509, 615858, 615858, 0
150.00046, 9.99999, 350, 4304, 51703.3, 21935, 188217, 386135, 559887, 559887, 0
160.000449, 9.999989, 389, 5325, 68507.2, 21582, 311482, 890281, 1066626, 1066626, 0
170.000446, 9.999997, 390, 4798, 54986.5, 19203, 208304, 658868, 1176918, 1176918, 0
180.000451, 10.000005, 373, 4854, 71306.5, 20961, 305188, 687496, 1559717, 1559717, 0
190.000471, 10.00002, 392, 4964, 56137.6, 21244, 237462, 477020, 1187810, 1187810, 0
200.000501, 10.00003, 368, 5803, 53654.0, 22371, 212518, 510533, 736455, 736455, 0
210.000502, 10.000001, 405, 4935, 55452.4, 22527, 245284, 404529, 537249, 537249, 0
220.000492, 9.99999, 381, 5532, 54730.7, 23250, 226543, 374593, 773506, 773506, 0
230.000452, 9.99996, 427, 5255, 60584.3, 19803, 275773, 522665, 931694, 931694, 0
240.000454, 10.000002, 430, 4819, 56564.2, 20543, 239855, 566305, 814289, 814289, 0
250.000457, 10.000003, 415, 5044, 56204.9, 21017, 209495, 572799, 1316797, 1316797, 0
260.000528, 10.000071, 404, 5219, 74379.5, 17529, 356998, 989787, 1372731, 1372731, 0
270.00051, 9.999982, 387, 5380, 70122.6, 20203, 360207, 693638, 1519093, 1519093, 0
280.000497, 9.999987, 412, 6091, 53208.5, 21531, 202489, 522300, 789964, 789964, 0
290.000488, 9.999991, 415, 4981, 56464.6, 19133, 261052, 516019, 834201, 834201, 0
300.00048, 9.999992, 412, 5283, 56842.4, 21458, 299935, 413851, 576975, 576975, 0
310.000458, 9.999978, 386, 4900, 60334.1, 23678, 233258, 544268, 877127, 877127, 0
320.000495, 10.000037, 400, 5763, 41333.5, 20812, 121041, 320286, 547951, 547951, 0
330.000455, 9.99996, 392, 4947, 60226.0, 21553, 242369, 558010, 878926, 878926, 0
340.000479, 10.000024, 360, 4876, 67295.8, 20695, 311320, 607330, 1057179, 1057179, 0
350.000445, 9.999966, 352, 5508, 61695.0, 19100, 249819, 512732, 1872112, 1872112, 0
360.000458, 10.000013, 394, 4684, 42815.0, 20065, 155927, 274037, 371568, 371568, 0
370.000525, 10.000067, 390, 5425, 56582.8, 25258, 212507, 392389, 787807, 787807, 0
380.000454, 9.999929, 405, 5424, 63156.1, 19877, 271691, 803188, 961492, 961492, 0
390.000477, 10.000023, 403, 4900, 90263.1, 19167, 354400, 1464701, 1849338, 1849338, 0
400.000445, 9.999968, 402, 5128, 46786.0, 21182, 185767, 345864, 428380, 428380, 0
410.000454, 10.000009, 418, 5201, 56921.1, 19884, 249063, 521631, 814052, 814052, 0
420.000462, 10.000008, 374, 5556, 57855.6, 19943, 250917, 541451, 860814, 860814, 0
430.000456, 9.999994, 432, 5428, 57772.2, 20221, 233291, 648801, 973669, 973669, 0
440.000446, 9.99999, 390, 5416, 76251.7, 19062, 369769, 872442, 1598944, 1598944, 0
450.000455, 10.000009, 422, 4809, 61104.1, 20298, 272009, 604683, 1033448, 1033448, 0
460.000479, 10.000024, 394, 6129, 50181.9, 21156, 205382, 423613, 602923, 602923, 0
470.000483, 10.000004, 407, 5317, 63600.9, 19117, 270086, 736617, 2624117, 2624117, 0
480.000448, 9.999965, 413, 4696, 79296.4, 17863, 346024, 1357380, 3184994, 3184994, 1
490.000457, 10.000009, 388, 5538, 54041.5, 21179, 180518, 630193, 1734655, 1734655, 0
500.000457, 10.0, 424, 4746, 61996.5, 21180, 285276, 656952, 1682970, 1682970, 0
510.000443, 9.999986, 363, 5505, 67887.6, 17846, 279441, 821573, 2073191, 2073191, 0
520.000449, 10.000006, 457, 4932, 66036.0, 18424, 270556, 881628, 1665690, 1665690, 0
530.000448, 9.999999, 376, 4936, 88247.1, 17390, 254242, 998580, 4295164, 4295164, 1
540.000497, 10.000049, 388, 5050, 91172.7, 18838, 244752, 2781689, 4751661, 4751661, 0
550.000444, 9.999947, 434, 5704, 60446.7, 19500, 294108, 752063, 1006682, 1006682, 0
560.000485, 10.000041, 383, 4603, 102892.4, 16199, 585360, 1588249, 3117430, 3117430, 0
570.000483, 9.999998, 377, 5602, 120731.6, 16088, 390873, 2604778, 4256596, 4256596, 0
580.000446, 9.999963, 441, 5151, 60022.1, 19662, 270676, 963503, 1160969, 1160969, 0
590.000458, 10.000012, 381, 4886, 82029.8, 18937, 424614, 1322993, 2713580, 2713580, 0
600.000458, 10.0, 424, 5441, 80997.2, 18733, 330576, 1267068, 1919744, 1919744, 0
610.000472, 10.000014, 380, 5306, 56416.9, 20103, 262741, 570706, 1092846, 1092846, 0
620.000478, 10.000006, 402, 5053, 74672.1, 19090, 390376, 799031, 1295763, 1295763, 0
630.000505, 10.000027, 425, 4724, 59049.8, 21888, 251054, 561684, 849228, 849228, 0
640.000535, 10.00003, 405, 5067, 75932.8, 19150, 337871, 1091534, 2206230, 2206230, 0
650.000521, 9.999986, 408, 4919, 75679.9, 20215, 347816, 979896, 1322919, 1322919, 0
660.000526, 10.000005, 411, 5769, 76986.7, 21643, 393580, 695711, 1304169, 1304169, 0
670.00045, 9.999924, 410, 5278, 51473.4, 19889, 198341, 413004, 744576, 744576, 0
680.000445, 9.999995, 410, 5225, 66993.7, 20871, 274303, 766032, 1368352, 1368352, 0
690.000483, 10.000038, 429, 4834, 46590.8, 20368, 174349, 307738, 512574, 512574, 0
700.000459, 9.999976, 386, 4753, 63289.0, 20118, 284748, 619285, 841602, 841602, 0
710.000467, 10.000008, 401, 5257, 59147.7, 21774, 255008, 424499, 690856, 690856, 0
720.000458, 9.999991, 391, 5689, 62924.9, 21644, 234542, 676556, 1240632, 1240632, 0
730.000452, 9.999994, 410, 5136, 56398.7, 21934, 228508, 590412, 720582, 720582, 0
740.000453, 10.000001, 416, 5095, 59280.0, 19673, 277981, 523274, 846854, 846854, 0
750.000446, 9.999993, 431, 4766, 56445.6, 21764, 231087, 513596, 911710, 911710, 0
760.000459, 10.000013, 403, 4852, 61431.9, 21505, 252863, 512531, 696607, 696607, 0
770.00046, 10.000001, 394, 5473, 55617.0, 23264, 229402, 397475, 741820, 741820, 0
780.000453, 9.999993, 361, 4781, 53320.5, 21145, 211045, 387933, 580972, 580972, 0
790.000454, 10.000001, 337, 4945, 51644.0, 20418, 174063, 541313, 798781, 798781, 0
800.000488, 10.000034, 382, 5669, 47065.0, 20976, 202900, 327627, 590271, 590271, 0
810.000445, 9.999957, 398, 5495, 48013.8, 22354, 179719, 366981, 770765, 770765, 0
820.000455, 10.00001, 381, 4606, 67694.0, 20054, 301934, 758261, 2517567, 2517567, 0
830.000456, 10.000001, 367, 4940, 89202.7, 18807, 472409, 850294, 2376975, 2376975, 0
840.000455, 9.999999, 374, 4940, 96840.3, 19510, 341334, 1999808, 2861959, 2861959, 0
850.000459, 10.000004, 383, 5216, 94153.1, 18603, 341051, 1715091, 4014325, 4014325, 0
860.000525, 10.000066, 431, 5042, 70264.2, 20468, 289423, 733162, 1794505, 1794505, 0
870.000451, 9.999926, 394, 5039, 80464.1, 21220, 303741, 961710, 2018319, 2018319, 0
880.000478, 10.000027, 378, 5853, 65179.5, 21150, 282054, 873684, 1076000, 1076000, 0
890.000453, 9.999975, 378, 5209, 77505.7, 19818, 224261, 1203965, 3119632, 3119632, 0
900.00046, 10.000007, 393, 5506, 55256.3, 19934, 203756, 457277, 2547375, 2547375, 0
910.000442, 9.999982, 415, 5166, 52100.7, 20014, 197554, 538919, 950861, 950861, 0
920.000498, 10.000056, 358, 4931, 73639.6, 20930, 309652, 863933, 2336016, 2336016, 0
930.000495, 9.999997, 401, 5000, 58415.2, 20919, 253040, 545708, 1250760, 1250760, 0
940.000456, 9.999961, 365, 4804, 50962.6, 22172, 212421, 399340, 857387, 857387, 0
950.000442, 9.999986, 426, 5262, 69018.9, 21355, 315361, 847695, 1162634, 1162634, 0
960.000483, 10.000041, 359, 5235, 58554.7, 22755, 239755, 564516, 791818, 791818, 0
970.000449, 9.999966, 396, 5172, 54571.8, 18992, 241266, 606345, 1055288, 1055288, 0
980.000455, 10.000006, 360, 4778, 76273.3, 20593, 402900, 818843, 2382956, 2382956, 0
990.000459, 10.000004, 410, 5461, 59082.1, 20020, 266823, 799051, 1453965, 1453965, 0
1000.000495, 10.000036, 397, 4484, 60962.4, 19318, 281370, 501871, 960911, 960911, 0
1010.000459, 9.999964, 390, 4917, 82490.5, 20804, 451199, 914218, 1711407, 1711407, 0
1020.000458, 9.999999, 401, 5474, 86607.2, 19718, 347502, 1331927, 2804062, 2804062, 0
1030.00048, 10.000022, 353, 5178, 69085.0, 18287, 296600, 953281, 2410868, 2410868, 0
1040.000461, 9.999981, 375, 5265, 96543.9, 19122, 219532, 1977230, 4321005, 4321005, 0
1050.00046, 9.999999, 403, 4633, 57752.8, 21476, 229317, 529282, 722351, 722351, 0
1060.000443, 9.999983, 347, 4864, 59270.8, 22630, 228545, 472844, 2240179, 2240179, 0
1070.000511, 10.000068, 381, 5401, 69879.3, 18888, 290009, 778159, 1069487, 1069487, 0
1080.00046, 9.999949, 412, 4921, 49501.0, 21062, 188345, 336960, 627778, 627778, 0
1090.000456, 9.999996, 391, 4889, 63917.5, 19183, 274652, 839963, 1103404, 1103404, 0
1100.00047, 10.000014, 351, 5202, 62420.6, 19480, 251477, 646439, 1625479, 1625479, 0
1110.000448, 9.999978, 406, 5961, 74659.3, 20073, 319916, 1181349, 1653776, 1653776, 0
1120.00046, 10.000012, 379, 4671, 67144.9, 20524, 279784, 719105, 2231256, 2231256, 0
1130.000514, 10.000054, 397, 4981, 68083.0, 21132, 217791, 840854, 1362130, 1362130, 0
1140.000488, 9.999974, 403, 4783, 51274.1, 19710, 207253, 499547, 817076, 817076, 0
1150.000455, 9.999967, 415, 4981, 52724.5, 20095, 195116, 698012, 863553, 863553, 0
1160.000456, 10.000001, 385, 5630, 68389.9, 20155, 285592, 669833, 1414164, 1414164, 0
1170.000481, 10.000025, 390, 5061, 68706.4, 19556, 314371, 937721, 2475967, 2475967, 0
1180.000458, 9.999977, 387, 4744, 64698.5, 20393, 231441, 524049, 1932704, 1932704, 0
