elapsed, window, total, successful, failed
10.000022, 10.000022, 4281, 4281, 0
20.000032, 10.00001, 4201, 4201, 0
30.000476, 10.000444, 4297, 4297, 0
40.000443, 9.999967, 4311, 4311, 0
50.000474, 10.000031, 4167, 4167, 0
60.000456, 9.999982, 4242, 4242, 0
70.000455, 9.999999, 4396, 4396, 0
80.000449, 9.999994, 4243, 4243, 0
90.000456, 10.000007, 4244, 4244, 0
100.000469, 10.000013, 4048, 4048, 0
110.000453, 9.999984, 4240, 4240, 0
120.000477, 10.000024, 4226, 4226, 0
130.00048, 10.000003, 4272, 4272, 0
140.00047, 9.99999, 4294, 4294, 0
150.00046, 9.99999, 4290, 4290, 0
160.000449, 9.999989, 4263, 4263, 0
170.000446, 9.999997, 4370, 4370, 0
180.000451, 10.000005, 4299, 4299, 0
190.000471, 10.00002, 4197, 4197, 0
200.000501, 10.00003, 4317, 4317, 0
210.000502, 10.000001, 4406, 4406, 0
220.000492, 9.99999, 4381, 4381, 0
230.000452, 9.99996, 4552, 4552, 0
240.000454, 10.000002, 4546, 4546, 0
250.000457, 10.000003, 4390, 4390, 0
260.000528, 10.000071, 4310, 4310, 0
270.00051, 9.999982, 4467, 4467, 0
280.000497, 9.999987, 4509, 4509, 0
290.000488, 9.999991, 4367, 4367, 0
300.00048, 9.999992, 4529, 4529, 0
310.000458, 9.999978, 4460, 4460, 0
320.000495, 10.000037, 4597, 4597, 0
330.000455, 9.99996, 4498, 4498, 0
340.000479, 10.000024, 4250, 4250, 0
350.000445, 9.999966, 4448, 4448, 0
360.000458, 10.000013, 4576, 4576, 0
370.000525, 10.000067, 4443, 4443, 0
380.000454, 9.999929, 4520, 4520, 0
390.000477, 10.000023, 4463, 4463, 0
400.000445, 9.999968, 4541, 4541, 0
410.000454, 10.000009, 4397, 4397, 0
420.000462, 10.000008, 4409, 4409, 0
430.000456, 9.999994, 4554, 4554, 0
440.000446, 9.99999, 4312, 4312, 0
450.000455, 10.000009, 4248, 4248, 0
460.000479, 10.000024, 4458, 4458, 0
470.000483, 10.000004, 4284, 4284, 0
480.000448, 9.999965, 4331, 4330, 1
490.000457, 10.000009, 4562, 4562, 0
500.000457, 10.0, 4701, 4701, 0
510.000443, 9.999986, 4525, 4525, 0
520.000449, 10.000006, 4636, 4636, 0
530.000448, 9.999999, 4365, 4364, 1
540.000497, 10.000049, 4451, 4451, 0
550.000444, 9.999947, 4593, 4593, 0
560.000485, 10.000041, 4375, 4375, 0
570.000483, 9.999998, 4195, 4195, 0
580.000446, 9.999963, 4712, 4712, 0
590.000458, 10.000012, 4477, 4477, 0
600.000458, 10.0, 4384, 4384, 0
610.000472, 10.000014, 4410, 4410, 0
620.000478, 10.000006, 4559, 4559, 0
630.000505, 10.000027, 4493, 4493, 0
640.000535, 10.00003, 4407, 4407, 0
650.000521, 9.999986, 4327, 4327, 0
660.000526, 10.000005, 4395, 4395, 0
670.00045, 9.999924, 4465, 4465, 0
680.000445, 9.999995, 4299, 4299, 0
690.000483, 10.000038, 4431, 4431, 0
700.000459, 9.999976, 4461, 4461, 0
710.000467, 10.000008, 4250, 4250, 0
720.000458, 9.999991, 4322, 4322, 0
730.000452, 9.999994, 4389, 4389, 0
740.000453, 10.000001, 4222, 4222, 0
750.000446, 9.999993, 4508, 4508, 0
760.000459, 10.000013, 4273, 4273, 0
770.00046, 10.000001, 4329, 4329, 0
780.000453, 9.999993, 4097, 4097, 0
790.000454, 10.000001, 4030, 4030, 0
800.000488, 10.000034, 4415, 4415, 0
810.000445, 9.999957, 4411, 4411, 0
820.000455, 10.00001, 4087, 4087, 0
830.000456, 10.000001, 4326, 4326, 0
840.000455, 9.999999, 4285, 4285, 0
850.000459, 10.000004, 4376, 4376, 0
860.000525, 10.000066, 4237, 4237, 0
870.000451, 9.999926, 4266, 4266, 0
880.000478, 10.000027, 4378, 4378, 0
890.000453, 9.999975, 4256, 4256, 0
900.00046, 10.000007, 4456, 4456, 0
910.000442, 9.999982, 4294, 4294, 0
920.000498, 10.000056, 4197, 4197, 0
930.000495, 9.999997, 4426, 4426, 0
940.000456, 9.999961, 4258, 4258, 0
950.000442, 9.999986, 4194, 4194, 0
960.000483, 10.000041, 4180, 4180, 0
