elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000008, 10.000008, 904, 3817, 14158.5, 12511, 28146, 37443, 72077, 86797, 0
20.000969, 10.000961, 949, 3484, 14154.9, 12437, 26975, 38314, 43778, 167576, 0
30.000984, 10.000015, 806, 3484, 19747.8, 14350, 59516, 113965, 168735, 209843, 0
40.00091, 9.999926, 730, 3445, 24226.6, 13334, 91630, 196556, 321824, 329007, 0
50.000898, 9.999988, 839, 3626, 19695.5, 12851, 40056, 148838, 493659, 513235, 0
60.000893, 9.999995, 862, 3323, 19777.4, 13468, 66159, 117438, 166667, 297853, 0
70.000936, 10.000043, 818, 3410, 19871.2, 13195, 40995, 150995, 298879, 429912, 0
80.000894, 9.999958, 867, 3271, 16872.3, 13187, 32081, 71290, 406511, 409693, 0
90.000924, 10.00003, 850, 3565, 17981.1, 13298, 37022, 115598, 221874, 247882, 0
100.000897, 9.999973, 780, 3676, 19720.1, 14120, 55002, 92947, 142412, 144519, 0
110.00092, 10.000023, 872, 3682, 20515.3, 13862, 44916, 135836, 465206, 529914, 0
120.000902, 9.999982, 895, 3930, 18043.1, 12999, 43378, 108102, 276919, 293054, 0
130.000936, 10.000034, 870, 3597, 20347.8, 13218, 42149, 212821, 426535, 497349, 0
140.000979, 10.000043, 812, 3520, 18496.6, 13666, 44536, 101520, 170204, 286678, 0
150.000914, 9.999935, 845, 3420, 18207.1, 13336, 39728, 114193, 217398, 278583, 0
160.000905, 9.999991, 820, 3690, 18321.4, 13243, 36046, 123742, 510040, 576436, 0
170.000949, 10.000044, 847, 3666, 16910.8, 13043, 40820, 80932, 153631, 171268, 0
180.000911, 9.999962, 888, 3442, 17729.8, 11997, 37723, 135220, 408657, 449797, 0
190.000948, 10.000037, 995, 3446, 15305.3, 12287, 29523, 60920, 225251, 243135, 0
200.00093, 9.999982, 974, 3356, 16407.4, 12421, 31039, 92139, 354351, 432257, 0
210.000944, 10.000014, 959, 3636, 16158.5, 12953, 32700, 82137, 174961, 282720, 0
220.000913, 9.999969, 905, 3574, 17191.8, 12665, 43916, 89839, 124101, 190807, 0
230.000899, 9.999986, 908, 3725, 16936.0, 12326, 36658, 101744, 372473, 528708, 0
240.000949, 10.00005, 944, 3874, 14699.2, 12133, 29821, 46117, 126773, 129213, 0
250.000947, 9.999998, 982, 3277, 13773.4, 11984, 28129, 39337, 53405, 53456, 0
260.000918, 9.999971, 990, 3257, 14161.3, 12204, 27734, 36470, 136922, 183902, 0
270.000995, 10.000077, 985, 3509, 14745.3, 12382, 29526, 52465, 143462, 170339, 0
280.00101, 10.000015, 961, 3504, 15546.1, 12422, 33834, 66810, 130687, 226211, 0
290.000949, 9.999939, 905, 3618, 16976.6, 13155, 38581, 75711, 234424, 318838, 0
300.000899, 9.99995, 1023, 3390, 16168.6, 12370, 32641, 96236, 205685, 254816, 0
310.001016, 10.000117, 933, 3224, 17160.1, 12535, 45554, 89432, 204320, 210586, 0
320.000892, 9.999876, 902, 3244, 20101.1, 12744, 43003, 162073, 526614, 633777, 0
330.000996, 10.000104, 970, 3537, 16372.3, 12735, 33442, 93838, 204207, 371950, 0
340.001041, 10.000045, 935, 3277, 16550.2, 12575, 39605, 78876, 181704, 204207, 0
350.000063, 9.999022, 971, 3502, 17023.9, 12351, 34143, 96856, 317719, 534617, 0
360.000012, 9.999949, 988, 3401, 13916.4, 11652, 29248, 42213, 91559, 96493, 0
370.000936, 10.000924, 970, 3111, 16504.9, 12043, 35470, 82243, 307064, 516284, 0
380.000893, 9.999957, 940, 3542, 20230.9, 12218, 55784, 163287, 498406, 547807, 0
390.000915, 10.000022, 948, 3680, 16551.0, 12216, 42949, 91427, 160195, 163287, 0
400.000934, 10.000019, 876, 3376, 19073.7, 12941, 56836, 108162, 248811, 408461, 0
410.000914, 9.99998, 921, 3390, 18394.3, 12422, 47839, 111410, 257292, 315558, 0
420.000916, 10.000002, 975, 3576, 18001.0, 12280, 42699, 114286, 303991, 343422, 0
430.000898, 9.999982, 914, 3327, 17992.4, 12074, 35224, 142459, 451505, 530883, 0
440.000938, 10.00004, 1018, 3374, 14832.3, 11937, 32512, 55464, 149844, 232465, 0
450.000928, 9.99999, 995, 3311, 15996.6, 12161, 34164, 86868, 232465, 294229, 0
460.000942, 10.000014, 999, 3748, 15717.4, 11915, 32607, 77972, 399631, 432126, 0
470.000931, 9.999989, 1012, 3569, 14859.3, 11487, 31907, 68492, 198091, 241421, 0
480.001038, 10.000107, 1008, 3528, 16372.9, 11811, 34791, 81661, 316252, 410379, 0
490.001008, 9.99997, 1031, 3806, 16035.3, 12036, 33668, 121155, 202523, 235285, 0
500.000896, 9.999888, 996, 3589, 16887.9, 11979, 36586, 132485, 279488, 306876, 0
510.00097, 10.000074, 1060, 3050, 15074.5, 11992, 32876, 63187, 151551, 166120, 0
520.00089, 9.99992, 1010, 3247, 14342.9, 11606, 28431, 42942, 187287, 219299, 0
530.000906, 10.000016, 1066, 3638, 14312.4, 11265, 29668, 56568, 177550, 179177, 0
540.000909, 10.000003, 999, 3442, 16891.1, 11744, 42397, 104160, 204035, 411916, 0
550.000975, 10.000066, 978, 3211, 14546.6, 11701, 29816, 71220, 163862, 200574, 0
560.000887, 9.999912, 1050, 3381, 14987.1, 11858, 32545, 63165, 108819, 120449, 0
570.000919, 10.000032, 1006, 3154, 16654.3, 12236, 33835, 101341, 318199, 356933, 0
580.000949, 10.00003, 1017, 3591, 14445.3, 11780, 28798, 48667, 155397, 252141, 0
590.000976, 10.000027, 1074, 3487, 14705.0, 11934, 30906, 59125, 211316, 224013, 0
600.0009, 9.999924, 1110, 3554, 14135.8, 11464, 28222, 40836, 235946, 298066, 0
610.000898, 9.999998, 1001, 3832, 14427.4, 11691, 32535, 60649, 101210, 121851, 0
620.000995, 10.000097, 999, 3384, 16618.2, 11532, 35605, 118820, 262714, 443307, 0
630.000961, 9.999966, 1030, 3476, 15258.1, 11472, 31249, 65952, 268525, 281085, 0
640.001088, 10.000127, 1071, 3235, 15504.2, 12111, 34114, 72472, 151034, 256434, 0
650.000017, 9.998929, 993, 3522, 18003.4, 12202, 51067, 100667, 178223, 256434, 0
660.000995, 10.000978, 996, 3247, 18558.4, 11739, 38575, 183017, 474495, 487787, 0
670.000926, 9.999931, 1105, 3459, 13780.4, 11430, 28802, 43550, 126827, 208766, 0
680.000941, 10.000015, 1051, 3726, 14235.5, 11800, 29899, 51418, 120649, 233753, 0
690.000904, 9.999963, 1007, 3501, 16833.4, 11803, 36715, 149396, 238807, 286563, 0
700.000899, 9.999995, 1078, 3612, 14845.9, 11777, 32056, 69222, 113521, 182005, 0
710.000908, 10.000009, 1143, 3185, 15320.7, 11457, 28684, 84614, 286049, 336234, 0
720.000901, 9.999993, 1114, 3683, 14159.2, 11720, 30826, 47812, 129723, 145321, 0
730.000888, 9.999987, 1000, 3336, 17381.3, 11741, 43623, 107004, 278820, 344174, 0
740.000945, 10.000057, 1075, 3207, 15030.6, 11399, 28695, 55091, 402591, 448668, 0
750.001001, 10.000056, 1087, 3497, 13747.9, 11339, 28413, 42587, 124639, 194537, 0
760.000981, 9.99998, 1018, 3576, 15219.4, 11436, 31622, 61485, 306195, 308375, 0
770.000941, 9.99996, 1073, 3784, 14653.3, 11515, 30854, 55927, 196838, 257773, 0
780.00104, 10.000099, 1056, 3340, 13330.6, 11438, 27187, 41319, 71206, 115776, 0
790.000033, 9.998993, 1063, 3757, 15310.9, 11928, 30113, 68645, 267183, 318312, 0
800.000006, 9.999973, 1014, 3691, 14412.9, 11751, 28984, 56798, 147030, 196679, 0
810.000943, 10.000937, 958, 3491, 17488.1, 12672, 48690, 87159, 178297, 183676, 0
820.000909, 9.999966, 1057, 3296, 16293.2, 11872, 35071, 82666, 323088, 348956, 0
830.000933, 10.000024, 1078, 3506, 13884.5, 11360, 26904, 56203, 138169, 256844, 0
840.001203, 10.00027, 1143, 3410, 13390.6, 11337, 27388, 38718, 67645, 84697, 0
849.999984, 9.998781, 1087, 3374, 13489.3, 11326, 28453, 40625, 91860, 136589, 0
860.000904, 10.00092, 1071, 3153, 13420.4, 11203, 26477, 38688, 117494, 172322, 0
870.000927, 10.000023, 1046, 3692, 13808.0, 11177, 28193, 42870, 181489, 230991, 0
880.000896, 9.999969, 1042, 3647, 14975.7, 11732, 35276, 74019, 169726, 171438, 0
890.000906, 10.00001, 951, 3625, 16484.7, 12064, 38884, 87313, 215350, 218013, 0
900.001018, 10.000112, 1003, 3379, 16283.8, 11737, 39337, 94442, 258989, 261344, 0
910.000889, 9.999871, 971, 3107, 16619.4, 12241, 38416, 82593, 264350, 290331, 0
920.000892, 10.000003, 1098, 3194, 14487.9, 10945, 29107, 88919, 222006, 308824, 0
930.000945, 10.000053, 1061, 3249, 13637.8, 11490, 27437, 44220, 172829, 192012, 0
940.000903, 9.999958, 1137, 3485, 14246.6, 11198, 30903, 48544, 159680, 293901, 0
950.000914, 10.000011, 1089, 3389, 14376.7, 11425, 30884, 63310, 127406, 322057, 0
960.000907, 9.999993, 1065, 3261, 13688.1, 11645, 27890, 39913, 116575, 202223, 0
970.000945, 10.000038, 1088, 3377, 14029.5, 11571, 28015, 43760, 208596, 256677, 0
980.000927, 9.999982, 1068, 3508, 15286.4, 11518, 30403, 94609, 191954, 370668, 0
990.000922, 9.999995, 1060, 3235, 16086.6, 12021, 35611, 82889, 212208, 266953, 0
1000.000931, 10.000009, 1122, 3389, 15016.7, 11576, 32117, 64407, 213725, 230597, 0
1010.000892, 9.999961, 1109, 3317, 14011.4, 11183, 29559, 46273, 220371, 241259, 0
1020.000908, 10.000016, 1057, 3305, 14920.6, 11465, 30788, 75309, 176239, 285429, 0
1030.000945, 10.000037, 1023, 3851, 15971.5, 11190, 31250, 88701, 358657, 445970, 0
1040.001041, 10.000096, 1046, 3460, 16173.2, 12200, 35376, 85567, 203792, 271297, 0
1049.999999, 9.998958, 1056, 3501, 16467.0, 11795, 37233, 107667, 263774, 273208, 0
1060.000908, 10.000909, 1135, 3690, 13090.0, 11054, 26445, 42752, 80427, 114071, 0
1070.000978, 10.00007, 1100, 3244, 13956.0, 11445, 29159, 49727, 185288, 210851, 0
1080.000986, 10.000008, 1085, 3532, 14536.6, 11733, 30922, 71379, 125614, 208305, 0
1090.000903, 9.999917, 1047, 3793, 17099.0, 12175, 43294, 102124, 251710, 258881, 0
