elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 9332, 1907, 7202.5, 6680, 13900, 19137, 27058, 31214, 0
20.000635, 10.000612, 9312, 1871, 7112.8, 6579, 13814, 18478, 28598, 40772, 0
30.000713, 10.000078, 8710, 1868, 7512.0, 6751, 15260, 21245, 35483, 91622, 0
40.000781, 10.000068, 7988, 1871, 8069.6, 6889, 15949, 28578, 107200, 153544, 0
50.000739, 9.999958, 7199, 1910, 8689.1, 7064, 18983, 44181, 73671, 90896, 0
60.000721, 9.999982, 8551, 1899, 7592.9, 6790, 15232, 23508, 54817, 79356, 0
70.000639, 9.999918, 8610, 2006, 7444.0, 6692, 14777, 21948, 40803, 78687, 0
80.000664, 10.000025, 8585, 1866, 7717.3, 6722, 15135, 23838, 94233, 258680, 0
90.000697, 10.000033, 8558, 1860, 7618.2, 6696, 15781, 23647, 55411, 83690, 0
100.000682, 9.999985, 8654, 1845, 7514.5, 6694, 15374, 21506, 34194, 73150, 0
110.000641, 9.999959, 8471, 1824, 7522.8, 6545, 15203, 22343, 93790, 209731, 0
120.000668, 10.000027, 9061, 1824, 7078.0, 6370, 14243, 19166, 27952, 44210, 0
130.000664, 9.999996, 8550, 1946, 7648.6, 6710, 15799, 23652, 47444, 93124, 0
140.0007, 10.000036, 8017, 1952, 7692.0, 6625, 15301, 24742, 90326, 159135, 0
150.000645, 9.999945, 9161, 1859, 7196.3, 6433, 14688, 20603, 37023, 61053, 0
160.000644, 9.999999, 8987, 1882, 7358.4, 6364, 15047, 23081, 59279, 116869, 0
170.000645, 10.000001, 8802, 1893, 7223.0, 6341, 14593, 21423, 40993, 114708, 0
180.000675, 10.00003, 9363, 1909, 6998.5, 6091, 14297, 19715, 33387, 151821, 0
190.000639, 9.999964, 9102, 1894, 7135.0, 6253, 14628, 20626, 49097, 78107, 0
200.000662, 10.000023, 9355, 1939, 6725.3, 5949, 13693, 18665, 28631, 51336, 0
210.000787, 10.000125, 9102, 1856, 6934.1, 6096, 14255, 19702, 39211, 80528, 0
220.000645, 9.999858, 9095, 1793, 7243.0, 6176, 14553, 22571, 94350, 206198, 0
230.000651, 10.000006, 9456, 1856, 6872.3, 6027, 14185, 19714, 28267, 55045, 0
240.000708, 10.000057, 8740, 1878, 7364.0, 6263, 15235, 24817, 56933, 74521, 0
250.000641, 9.999933, 9609, 1912, 6802.1, 5892, 13820, 20085, 34058, 140218, 0
260.000637, 9.999996, 9744, 1918, 6705.0, 5797, 13762, 18834, 30955, 40427, 0
270.000631, 9.999994, 9871, 1884, 6641.0, 5784, 13797, 18419, 26538, 38092, 0
280.000634, 10.000003, 9557, 1832, 6820.1, 5893, 13946, 20178, 30956, 49372, 0
290.000672, 10.000038, 9348, 1912, 6855.9, 5853, 13954, 19326, 82982, 159017, 0
300.000784, 10.000112, 9064, 1867, 7105.5, 5966, 15051, 22865, 61148, 104035, 0
310.0008, 10.000016, 9145, 1867, 6916.8, 5746, 14795, 21998, 63568, 118664, 0
320.000725, 9.999925, 8711, 1894, 7144.4, 5764, 15366, 25621, 71734, 122008, 0
330.000686, 9.999961, 10030, 1894, 6527.4, 5655, 13475, 18418, 27209, 38712, 0
340.000721, 10.000035, 9238, 1857, 6895.0, 5751, 14694, 22794, 43896, 68064, 0
350.000655, 9.999934, 9262, 1933, 6936.0, 5639, 14521, 24662, 69141, 188038, 0
360.000664, 10.000009, 9471, 1799, 6783.0, 5511, 14177, 24491, 63437, 86215, 0
370.0007, 10.000036, 8992, 1915, 7134.6, 5531, 15550, 32701, 75406, 102195, 0
380.000652, 9.999952, 9941, 1924, 6492.2, 5542, 13513, 18749, 28947, 52062, 0
390.00077, 10.000118, 9776, 1923, 6604.0, 5581, 13542, 19408, 51382, 198288, 0
400.000677, 9.999907, 9938, 1885, 6567.6, 5496, 13649, 20124, 43973, 104198, 0
410.000657, 9.99998, 9167, 1853, 6823.7, 5573, 14339, 23865, 65454, 98223, 0
420.000628, 9.999971, 10285, 1926, 6291.0, 5375, 12920, 18223, 26035, 43036, 0
430.000806, 10.000178, 10499, 1833, 6328.3, 5428, 13161, 18661, 30146, 75154, 0
440.000704, 9.999898, 10041, 1847, 6423.1, 5400, 13490, 19467, 31245, 65274, 0
450.000678, 9.999974, 10233, 1866, 6125.1, 5157, 12776, 17934, 27533, 45927, 0
460.000641, 9.999963, 10250, 1927, 6255.0, 5239, 12969, 18440, 45599, 85696, 0
470.000647, 10.000006, 10606, 1955, 6104.0, 5125, 12762, 17997, 26886, 70866, 0
480.000659, 10.000012, 9815, 1867, 6585.8, 5310, 14208, 22837, 62486, 99241, 0
490.000659, 10.0, 9857, 1870, 6581.6, 5339, 13736, 21875, 70124, 185376, 0
500.000662, 10.000003, 10236, 1931, 6285.1, 5286, 13002, 18824, 35078, 93007, 0
510.000667, 10.000005, 9807, 1913, 6551.3, 5325, 13914, 23691, 52928, 77847, 0
520.000656, 9.999989, 9909, 1913, 6509.3, 5247, 13911, 22579, 59972, 94060, 0
530.000739, 10.000083, 10143, 1849, 6305.3, 5271, 13533, 19184, 35215, 70415, 0
540.000631, 9.999892, 10044, 1801, 6401.8, 5298, 13612, 19838, 47188, 92344, 0
550.000636, 10.000005, 10770, 1842, 5994.2, 5035, 12346, 17008, 28763, 129501, 0
560.000629, 9.999993, 10188, 1874, 6235.6, 5174, 13277, 18727, 35485, 64377, 0
570.000635, 10.000006, 10108, 1864, 6299.3, 5138, 13362, 20215, 50205, 208690, 0
580.000719, 10.000084, 9686, 1876, 6625.6, 5022, 14455, 29068, 86110, 155968, 0
590.000661, 9.999942, 10681, 1890, 6150.4, 5035, 12433, 18971, 86110, 155968, 0
600.000676, 10.000015, 10689, 1894, 5973.5, 5040, 12333, 17366, 26909, 66315, 0
610.000664, 9.999988, 10236, 1822, 6265.5, 5095, 12910, 22173, 61353, 96786, 0
620.000729, 10.000065, 10495, 1885, 6098.5, 5105, 12786, 18360, 29558, 43059, 0
630.000713, 9.999984, 10660, 1891, 6045.9, 5099, 12705, 17942, 25649, 60635, 0
640.00076, 10.000047, 10587, 1894, 6024.3, 5078, 12549, 17745, 26141, 86810, 0
650.000782, 10.000022, 10843, 1940, 5919.9, 5027, 12134, 17122, 27294, 78376, 0
660.000685, 9.999903, 10732, 1922, 6064.6, 5070, 12640, 18230, 27851, 88002, 0
670.000672, 9.999987, 10155, 1864, 6188.2, 5074, 12940, 19528, 50566, 121125, 0
