elapsed, window, total, successful, failed
10.000023, 10.000023, 10232, 10232, 0
20.000635, 10.000612, 10254, 10254, 0
30.000713, 10.000078, 9566, 9566, 0
40.000781, 10.000068, 8750, 8750, 0
50.000739, 9.999958, 7896, 7896, 0
60.000721, 9.999982, 9423, 9423, 0
70.000639, 9.999918, 9444, 9444, 0
80.000664, 10.000025, 9438, 9438, 0
90.000697, 10.000033, 9375, 9375, 0
100.000682, 9.999985, 9507, 9507, 0
110.000641, 9.999959, 9344, 9344, 0
120.000668, 10.000027, 10010, 10010, 0
130.000664, 9.999996, 9390, 9390, 0
140.0007, 10.000036, 8824, 8824, 0
150.000645, 9.999945, 10032, 10032, 0
160.000644, 9.999999, 9806, 9806, 0
170.000645, 10.000001, 9629, 9629, 0
180.000675, 10.00003, 10273, 10273, 0
190.000639, 9.999964, 10000, 10000, 0
200.000662, 10.000023, 10324, 10324, 0
210.000787, 10.000125, 10052, 10052, 0
220.000645, 9.999858, 10010, 10010, 0
230.000651, 10.000006, 10355, 10355, 0
240.000708, 10.000057, 9599, 9599, 0
250.000641, 9.999933, 10533, 10533, 0
260.000637, 9.999996, 10731, 10731, 0
270.000631, 9.999994, 10862, 10862, 0
280.000634, 10.000003, 10513, 10513, 0
290.000672, 10.000038, 10308, 10308, 0
300.000784, 10.000112, 9999, 9999, 0
310.0008, 10.000016, 10103, 10103, 0
320.000725, 9.999925, 9583, 9583, 0
330.000686, 9.999961, 11066, 11066, 0
340.000721, 10.000035, 10187, 10187, 0
350.000655, 9.999934, 10162, 10162, 0
360.000664, 10.000009, 10383, 10383, 0
370.0007, 10.000036, 9875, 9875, 0
380.000652, 9.999952, 10912, 10912, 0
390.00077, 10.000118, 10761, 10761, 0
400.000677, 9.999907, 10875, 10875, 0
410.000657, 9.99998, 10157, 10157, 0
420.000628, 9.999971, 11317, 11317, 0
430.000806, 10.000178, 11483, 11483, 0
440.000704, 9.999898, 11020, 11020, 0
450.000678, 9.999974, 11283, 11283, 0
460.000641, 9.999963, 11260, 11260, 0
470.000647, 10.000006, 11662, 11662, 0
480.000659, 10.000012, 10774, 10774, 0
490.000659, 10.0, 10865, 10865, 0
500.000662, 10.000003, 11286, 11286, 0
510.000667, 10.000005, 10805, 10805, 0
520.000656, 9.999989, 10860, 10860, 0
530.000739, 10.000083, 11189, 11189, 0
540.000631, 9.999892, 11070, 11070, 0
550.000636, 10.000005, 11827, 11827, 0
560.000629, 9.999993, 11249, 11249, 0
570.000635, 10.000006, 11105, 11105, 0
580.000719, 10.000084, 10636, 10636, 0
590.000661, 9.999942, 11769, 11769, 0
600.000676, 10.000015, 11768, 11768, 0
610.000664, 9.999988, 11206, 11206, 0
620.000729, 10.000065, 11555, 11555, 0
630.000713, 9.999984, 11731, 11731, 0
640.00076, 10.000047, 11670, 11670, 0
650.000782, 10.000022, 11955, 11955, 0
660.000685, 9.999903, 11801, 11801, 0
670.000672, 9.999987, 11181, 11181, 0
680.000629, 9.999957, 11754, 11754, 0
690.000669, 10.00004, 11194, 11194, 0
700.000725, 10.000056, 10941, 10941, 0
710.000668, 9.999943, 11536, 11536, 0
720.000633, 9.999965, 12271, 12271, 0
730.000684, 10.000051, 11463, 11463, 0
740.000655, 9.999971, 10915, 10915, 0
750.000634, 9.999979, 11529, 11529, 0
760.000683, 10.000049, 11872, 11872, 0
