elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 7130, 2704, 8791.1, 7409, 17694, 28473, 51454, 71413, 0
20.000023, 9.99999, 5939, 2813, 9788.4, 6968, 17981, 54998, 265513, 604993, 0
30.000059, 10.000036, 3664, 2611, 17543.6, 7726, 50436, 227107, 712620, 949987, 0
40.000056, 9.999997, 3786, 2769, 15130.6, 7739, 50596, 149729, 349546, 392799, 0
50.000029, 9.999973, 3762, 2588, 15037.2, 7814, 42322, 142152, 652462, 710587, 0
60.000028, 9.999999, 4699, 2744, 13808.5, 7655, 43088, 128615, 404531, 610886, 0
70.000655, 10.000627, 3343, 2761, 16620.8, 8207, 45192, 155664, 656155, 731710, 0
80.000722, 10.000067, 2269, 2725, 26845.0, 12507, 70835, 244373, 416013, 561535, 0
90.000653, 9.999931, 3201, 2691, 20716.7, 8696, 57029, 208883, 1218384, 1239708, 0
100.000663, 10.00001, 3759, 2732, 15535.2, 7866, 48583, 158683, 434223, 872477, 0
110.000668, 10.000005, 4178, 2847, 13586.3, 7651, 41731, 105992, 461954, 603971, 0
120.000653, 9.999985, 3931, 2781, 14580.4, 7585, 36040, 145529, 802939, 923722, 0
130.000671, 10.000018, 3820, 2722, 14825.1, 7498, 41427, 213634, 480319, 509643, 0
140.000654, 9.999983, 4008, 2812, 14902.5, 7507, 51017, 143650, 474133, 517709, 0
150.000677, 10.000023, 3674, 2684, 16637.5, 8148, 47507, 153018, 802238, 821483, 0
160.000691, 10.000014, 4748, 2770, 12480.7, 7631, 30125, 120986, 257498, 459880, 0
170.000663, 9.999972, 4716, 2750, 10295.3, 7345, 18896, 57865, 295828, 646102, 0
180.000681, 10.000018, 5020, 2750, 11663.8, 7512, 24948, 86920, 335317, 600789, 0
190.000655, 9.999974, 3721, 2765, 15173.7, 7986, 52999, 113209, 442389, 506889, 0
200.000663, 10.000008, 3335, 2765, 17463.9, 7704, 53926, 117336, 1269579, 1339958, 0
210.000705, 10.000042, 3546, 2722, 17470.5, 7858, 48236, 241516, 602043, 629588, 0
220.000704, 9.999999, 3836, 2682, 15437.3, 7538, 43777, 103056, 621254, 665694, 0
230.000699, 9.999995, 3609, 2735, 14314.3, 7359, 49347, 109684, 278001, 424030, 0
240.000688, 9.999989, 4190, 2589, 14383.5, 7390, 47361, 96929, 314318, 469703, 0
250.000688, 10.0, 4139, 2725, 14578.5, 7626, 45260, 132545, 306138, 439645, 0
260.000742, 10.000054, 4103, 2657, 15567.9, 7809, 54072, 129993, 289734, 394505, 0
270.000657, 9.999915, 4431, 2705, 12303.9, 7204, 41472, 84864, 288299, 345104, 0
280.000655, 9.999998, 4234, 2793, 11809.8, 7097, 27462, 95804, 327758, 548704, 0
290.000648, 9.999993, 4233, 2794, 14063.7, 7769, 46838, 110112, 327541, 418094, 0
300.000686, 10.000038, 3999, 2750, 15550.7, 7636, 46239, 180869, 526190, 620858, 0
310.000692, 10.000006, 3998, 2811, 14797.9, 8015, 43587, 110974, 680692, 713437, 0
320.000725, 10.000033, 2893, 2807, 21212.6, 8900, 70384, 223449, 420724, 496215, 0
330.000651, 9.999926, 2914, 2792, 21723.4, 9416, 67588, 219925, 703283, 732998, 0
340.000993, 10.000342, 3458, 2823, 18574.1, 9091, 60892, 132342, 272803, 446416, 0
350.000664, 9.999671, 4285, 2724, 15776.9, 8114, 46492, 187790, 333441, 521556, 0
360.000654, 9.99999, 4464, 2735, 14381.2, 8652, 40519, 97294, 290289, 333441, 0
