elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 700, 4996, 24693.8, 14599, 39519, 409813, 637559, 681000, 0
20.000023, 9.99999, 599, 4984, 30470.6, 14370, 62365, 496553, 854075, 860501, 0
30.000059, 10.000036, 357, 5293, 50418.8, 17182, 220607, 585353, 905137, 905137, 0
40.000056, 9.999997, 369, 5821, 48178.4, 20362, 202039, 459606, 657880, 657880, 0
50.000029, 9.999973, 387, 4964, 55002.5, 19107, 205464, 690327, 824591, 824591, 0
60.000028, 9.999999, 434, 5473, 47575.3, 19519, 205511, 433516, 747272, 747272, 0
70.000655, 10.000627, 333, 5208, 58233.6, 19912, 245876, 659821, 775508, 775508, 0
80.000722, 10.000067, 207, 5457, 85597.3, 42334, 303220, 679293, 746543, 746543, 0
90.000653, 9.999931, 302, 4884, 55204.5, 19439, 245387, 354158, 1392189, 1392189, 0
100.000663, 10.00001, 359, 4606, 58834.8, 20272, 255160, 543482, 976398, 976398, 0
110.000668, 10.000005, 422, 5354, 55054.5, 20004, 272244, 460669, 593219, 593219, 0
120.000653, 9.999985, 419, 5768, 60479.4, 18823, 331714, 677349, 915329, 915329, 0
130.000671, 10.000018, 371, 4902, 60305.8, 20801, 320977, 513119, 660490, 660490, 0
140.000654, 9.999983, 390, 4597, 47847.3, 20271, 196237, 365681, 675373, 675373, 0
150.000677, 10.000023, 367, 5096, 60746.7, 22156, 256542, 529113, 1340851, 1340851, 0
160.000691, 10.000014, 451, 4383, 48273.9, 20220, 223435, 410404, 720624, 720624, 0
170.000663, 9.999972, 476, 4752, 61029.8, 17411, 209471, 931760, 1485707, 1538242, 0
180.000681, 10.000018, 473, 5154, 44578.6, 18675, 194684, 400492, 635424, 896445, 0
190.000655, 9.999974, 369, 5144, 54890.6, 19590, 204301, 583884, 755566, 755566, 0
200.000663, 10.000008, 318, 4840, 71812.9, 20658, 289196, 718273, 1590880, 1590880, 0
210.000705, 10.000042, 353, 5363, 45264.4, 20943, 144299, 494131, 611958, 611958, 0
220.000704, 9.999999, 402, 5625, 58346.8, 21201, 257075, 626946, 813956, 813956, 0
230.000699, 9.999995, 382, 5583, 68584.7, 20157, 294330, 625097, 706580, 706580, 0
240.000688, 9.999989, 443, 5162, 44615.7, 19906, 173495, 356820, 777754, 777754, 0
250.000688, 10.0, 433, 5645, 44809.0, 19111, 197645, 481333, 583285, 583285, 0
260.000742, 10.000054, 365, 4858, 46358.0, 22051, 197276, 288567, 568344, 568344, 0
270.000657, 9.999915, 463, 5316, 54328.9, 18602, 205107, 720768, 1151249, 1151249, 0
280.000655, 9.999998, 430, 5885, 72812.3, 18320, 410014, 817949, 1151249, 1151249, 0
290.000648, 9.999993, 417, 4618, 58012.5, 20983, 278725, 388657, 439298, 439298, 0
300.000686, 10.000038, 397, 4929, 46022.0, 19241, 165803, 421290, 1035388, 1035388, 0
310.000692, 10.000006, 376, 5483, 54251.7, 20968, 262303, 531469, 724471, 724471, 0
320.000725, 10.000033, 269, 5076, 50443.9, 18488, 217384, 468411, 678275, 678275, 0
330.000651, 9.999926, 254, 5668, 62483.9, 24290, 250904, 503761, 745663, 745663, 0
340.000993, 10.000342, 322, 5671, 49781.1, 23289, 186079, 307652, 729868, 729868, 0
350.000664, 9.999671, 380, 5119, 39495.6, 19415, 162251, 271340, 595932, 595932, 0
360.000654, 9.99999, 448, 5202, 37522.1, 20874, 140605, 283158, 385458, 385458, 0
