elapsed, window, total, successful, failed
10.000025, 10.000025, 5441, 5441, 0
20.000231, 10.000206, 4752, 4752, 0
30.000284, 10.000053, 4982, 4982, 0
40.000271, 9.999987, 5159, 5159, 0
50.000287, 10.000016, 4027, 4027, 0
60.000232, 9.999945, 2636, 2636, 0
70.000252, 10.00002, 2767, 2767, 0
80.00023, 9.999978, 3465, 3465, 0
90.000239, 10.000009, 3083, 3083, 0
100.000252, 10.000013, 1530, 1530, 0
110.000283, 10.000031, 2221, 2221, 0
120.0004, 10.000117, 2170, 2170, 0
130.000366, 9.999966, 3260, 3260, 0
140.00023, 9.999864, 3921, 3921, 0
150.000262, 10.000032, 3353, 3353, 0
160.000232, 9.99997, 3484, 3484, 0
170.000241, 10.000009, 3242, 3242, 0
180.000299, 10.000058, 3846, 3846, 0
190.000237, 9.999938, 4552, 4552, 0
200.000295, 10.000058, 3536, 3536, 0
210.00026, 9.999965, 4479, 4479, 0
220.000244, 9.999984, 4194, 4194, 0
230.000235, 9.999991, 3450, 3450, 0
240.000237, 10.000002, 3652, 3652, 0
250.000239, 10.000002, 3573, 3573, 0
260.000224, 9.999985, 2618, 2618, 0
270.000282, 10.000058, 2559, 2559, 0
280.000245, 9.999963, 3633, 3633, 0
290.000249, 10.000004, 3726, 3726, 0
300.000248, 9.999999, 4216, 4216, 0
310.000249, 10.000001, 4182, 4182, 0
320.000294, 10.000045, 4275, 4275, 0
330.000283, 9.999989, 4728, 4728, 0
340.000286, 10.000003, 3201, 3201, 0
350.000284, 9.999998, 2949, 2949, 0
360.000261, 9.999977, 2861, 2861, 0
370.000262, 10.000001, 2470, 2470, 0
380.000302, 10.00004, 2451, 2451, 0
390.000231, 9.999929, 2996, 2996, 0
400.000327, 10.000096, 3613, 3613, 0
410.000255, 9.999928, 5270, 5270, 0
420.000246, 9.999991, 5987, 5987, 0
430.00023, 9.999984, 5784, 5784, 0
440.000295, 10.000065, 5291, 5291, 0
450.000841, 10.000546, 5606, 5606, 0
460.000328, 9.999487, 4537, 4537, 0
470.000407, 10.000079, 4143, 4143, 0
480.000312, 9.999905, 4123, 4123, 0
490.00029, 9.999978, 4294, 4294, 0
500.000235, 9.999945, 4181, 4181, 0
510.000271, 10.000036, 4457, 4457, 0
520.000235, 9.999964, 4328, 4328, 0
530.000247, 10.000012, 5350, 5350, 0
540.000228, 9.999981, 3738, 3738, 0
550.000239, 10.000011, 2949, 2949, 0
560.000364, 10.000125, 2472, 2472, 0
570.000257, 9.999893, 2564, 2564, 0
580.000349, 10.000092, 2614, 2614, 0
590.000261, 9.999912, 3418, 3418, 0
600.00028, 10.000019, 3609, 3609, 0
610.000291, 10.000011, 3704, 3704, 0
620.000266, 9.999975, 4905, 4905, 0
630.000261, 9.999995, 4979, 4979, 0
640.000269, 10.000008, 5913, 5913, 0
650.000275, 10.000006, 5973, 5973, 0
660.000309, 10.000034, 5025, 5025, 0
670.000264, 9.999955, 5123, 5123, 0
680.00023, 9.999966, 4397, 4397, 0
690.00025, 10.00002, 5262, 5262, 0
700.00028, 10.00003, 5784, 5784, 0
710.000263, 9.999983, 5294, 5294, 0
720.000248, 9.999985, 5765, 5765, 0
730.00023, 9.999982, 5207, 5207, 0
740.000236, 10.000006, 4706, 4706, 0
750.000272, 10.000036, 5620, 5620, 0
760.000233, 9.999961, 4369, 4369, 0
770.000232, 9.999999, 4105, 4105, 0
780.000271, 10.000039, 4425, 4425, 0
790.000321, 10.00005, 3889, 3889, 0
800.000264, 9.999943, 4138, 4138, 0
810.000251, 9.999987, 3768, 3768, 0
820.000238, 9.999987, 3840, 3840, 0
830.000232, 9.999994, 4093, 4093, 0
840.000298, 10.000066, 3897, 3897, 0
850.000274, 9.999976, 4389, 4389, 0
860.000244, 9.99997, 3849, 3849, 0
870.00039, 10.000146, 3467, 3467, 0
880.000229, 9.999839, 4282, 4282, 0
890.000517, 10.000288, 4835, 4835, 0
900.000232, 9.999715, 4766, 4766, 0
910.000365, 10.000133, 4972, 4972, 0
920.000268, 9.999903, 5853, 5853, 0
930.000266, 9.999998, 5517, 5517, 0
940.000507, 10.000241, 4984, 4984, 0
