elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000001, 10.000001, 11692, 1865, 5639.5, 4737, 11777, 16382, 26898, 209238, 0
20.0004, 10.000399, 11604, 1846, 5630.6, 4750, 11747, 17458, 25293, 37372, 0
30.000371, 9.999971, 11699, 1869, 5644.8, 4792, 11692, 16477, 23669, 31226, 0
40.000387, 10.000016, 11576, 1880, 5567.2, 4710, 11478, 16408, 27446, 84181, 0
50.000394, 10.000007, 11499, 1840, 5649.5, 4797, 11671, 16373, 23251, 31679, 0
60.000357, 9.999963, 11652, 1836, 5603.4, 4720, 11406, 16256, 24265, 215764, 0
70.000344, 9.999987, 11340, 1815, 5718.5, 4716, 11727, 16800, 88793, 137832, 0
80.000365, 10.000021, 11506, 1791, 5724.8, 4770, 11714, 17149, 28436, 127460, 0
90.000352, 9.999987, 11330, 1796, 5698.5, 4825, 11822, 16763, 23916, 31647, 0
100.000372, 10.00002, 11503, 1857, 5685.1, 4829, 11871, 16616, 22416, 40352, 0
110.000357, 9.999985, 11163, 1839, 5848.7, 4856, 12092, 17983, 38678, 142012, 0
120.00039, 10.000033, 11726, 1821, 5690.5, 4817, 11876, 17022, 25347, 30545, 0
130.000381, 9.999991, 11675, 1729, 5628.9, 4748, 11515, 16566, 26077, 207512, 0
140.000533, 10.000152, 11493, 1834, 5696.9, 4737, 11916, 17158, 31188, 163902, 0
150.000386, 9.999853, 11362, 1787, 5721.6, 4803, 11932, 17084, 25936, 163902, 0
160.000342, 9.999956, 11483, 1787, 5636.9, 4747, 11794, 16751, 24355, 32850, 0
170.000374, 10.000032, 11745, 1832, 5556.5, 4700, 11347, 16144, 23411, 211718, 0
180.000383, 10.000009, 11444, 1814, 5691.7, 4739, 11670, 17189, 35204, 129232, 0
190.000389, 10.000006, 11550, 1763, 5684.6, 4771, 11911, 16938, 26673, 43178, 0
200.00039, 10.000001, 11877, 1880, 5489.1, 4685, 11214, 16076, 23213, 34270, 0
210.00034, 9.99995, 11769, 1900, 5463.9, 4634, 11105, 15601, 22229, 208453, 0
220.000328, 9.999988, 11354, 1862, 5579.8, 4702, 11275, 15863, 35093, 140476, 0
230.000336, 10.000008, 11549, 1833, 5575.5, 4741, 11478, 16347, 23324, 30389, 0
240.000415, 10.000079, 11514, 1792, 5640.2, 4778, 11710, 16613, 24275, 30563, 0
250.000324, 9.999909, 11360, 1794, 5578.8, 4695, 11473, 16709, 24072, 36521, 0
260.000335, 10.000011, 11165, 1794, 5763.9, 4848, 12098, 17414, 26621, 38743, 0
270.000338, 10.000003, 11746, 1820, 5571.6, 4738, 11552, 15840, 23503, 36792, 0
280.00049, 10.000152, 11218, 1790, 5775.2, 4735, 11895, 17319, 55177, 211095, 0
290.000356, 9.999866, 11481, 1741, 5760.1, 4768, 11819, 17095, 56258, 123955, 0
300.000346, 9.99999, 11548, 1741, 5662.7, 4819, 11678, 16851, 22380, 33578, 0
310.000404, 10.000058, 11709, 1840, 5586.4, 4726, 11490, 15995, 23551, 31554, 0
320.000357, 9.999953, 11098, 1865, 5734.5, 4763, 11948, 16998, 28768, 111739, 0
330.000419, 10.000062, 11374, 1825, 5710.7, 4829, 11907, 17053, 25362, 38083, 0
340.000368, 9.999949, 11463, 1825, 5755.2, 4907, 11818, 16932, 24384, 37698, 0
