elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000001, 10.000001, 1150, 3168, 12163.0, 10478, 25120, 34245, 51174, 54672, 0
20.0004, 10.000399, 1173, 3001, 12182.6, 10553, 24629, 33994, 48732, 65213, 0
30.000371, 9.999971, 1102, 3001, 12357.7, 10684, 26228, 36323, 43976, 46603, 0
40.000387, 10.000016, 1126, 3260, 13538.7, 10693, 27491, 64136, 201498, 218518, 0
50.000394, 10.000007, 1148, 3320, 12489.7, 10569, 27213, 37596, 57932, 70495, 0
60.000357, 9.999963, 1158, 3336, 12638.5, 10764, 25621, 34869, 60011, 218794, 0
70.000344, 9.999987, 1110, 3490, 13326.9, 10923, 26427, 43394, 132541, 167568, 0
80.000365, 10.000021, 1140, 3149, 13217.5, 11111, 27652, 39914, 108012, 132541, 0
90.000352, 9.999987, 1188, 3128, 12565.6, 11020, 24943, 35117, 50845, 54527, 0
100.000372, 10.00002, 1152, 3478, 12545.7, 10955, 26348, 37081, 45907, 54527, 0
110.000357, 9.999985, 1075, 3304, 13472.2, 10783, 26855, 41651, 181204, 231963, 0
120.00039, 10.000033, 1072, 3250, 12310.7, 10459, 26190, 36592, 57029, 59177, 0
130.000381, 9.999991, 1135, 3206, 12280.9, 10318, 25592, 34103, 66738, 74010, 0
140.000533, 10.000152, 1106, 3327, 12735.2, 10262, 26538, 42571, 187218, 209367, 0
150.000386, 9.999853, 1148, 3310, 13684.0, 10722, 26489, 75039, 209367, 224572, 0
160.000342, 9.999956, 1206, 3520, 12628.9, 10790, 26092, 36727, 56802, 71810, 0
170.000374, 10.000032, 1165, 3425, 12356.9, 10723, 26397, 34184, 47577, 61220, 0
180.000383, 10.000009, 1075, 3365, 13469.6, 10507, 26512, 61164, 232617, 257366, 0
190.000389, 10.000006, 1142, 3673, 12554.2, 10641, 26846, 36250, 46993, 53463, 0
200.00039, 10.000001, 1194, 3324, 12371.6, 10917, 24884, 32642, 44690, 57390, 0
210.00034, 9.99995, 1162, 3627, 13298.0, 11075, 26403, 38381, 188001, 197829, 0
220.000328, 9.999988, 1152, 3383, 14232.6, 10878, 30047, 92959, 150864, 173056, 0
230.000336, 10.000008, 1198, 3124, 13272.9, 11154, 25776, 41314, 148246, 173056, 0
240.000415, 10.000079, 1209, 3185, 12357.9, 10938, 25645, 35042, 47984, 62720, 0
250.000324, 9.999909, 1109, 3185, 14357.5, 11000, 27645, 67842, 303050, 317053, 0
260.000335, 10.000011, 1189, 3421, 13090.2, 10879, 25737, 39962, 169324, 239583, 0
270.000338, 10.000003, 1147, 3028, 12396.0, 10766, 24967, 35016, 44054, 51896, 0
280.00049, 10.000152, 1114, 3440, 13125.6, 10998, 27332, 46344, 100592, 124170, 0
290.000356, 9.999866, 1116, 3073, 13324.1, 10721, 27068, 62215, 133713, 140744, 0
300.000346, 9.99999, 1170, 3498, 12214.2, 10590, 24887, 35667, 48563, 54689, 0
310.000404, 10.000058, 1118, 3130, 12693.4, 10988, 25716, 40237, 52064, 60105, 0
320.000357, 9.999953, 1131, 3258, 14168.1, 10836, 29459, 83198, 174961, 180192, 0
330.000419, 10.000062, 1147, 3562, 12935.1, 10779, 27664, 37985, 121720, 138767, 0
340.000368, 9.999949, 1108, 3604, 12496.7, 10693, 24907, 37704, 72350, 84003, 0
350.000408, 10.00004, 1108, 3119, 13603.1, 10848, 28103, 52157, 140973, 207764, 0
360.000342, 9.999934, 1124, 3589, 14975.2, 11002, 28935, 124405, 312309, 346057, 0
370.000357, 10.000015, 1103, 3395, 12330.6, 10649, 25045, 33401, 47737, 64995, 0
380.000367, 10.00001, 1149, 3438, 12465.7, 10984, 25070, 32512, 41076, 43158, 0
390.000339, 9.999972, 1096, 3202, 13494.7, 11073, 27291, 47041, 194077, 208133, 0
400.000346, 10.000007, 1181, 3000, 12336.2, 10730, 25276, 36929, 52705, 119914, 0
410.000333, 9.999987, 1157, 3000, 12285.1, 10719, 25050, 35338, 51958, 54566, 0
420.000364, 10.000031, 1103, 3155, 12586.2, 10731, 24883, 34678, 144905, 178054, 0
430.000419, 10.000055, 1095, 3261, 14162.5, 10996, 28553, 85709, 183032, 252526, 0
440.000336, 9.999917, 1175, 3425, 12369.2, 10689, 25127, 35006, 52837, 56691, 0
450.000341, 10.000005, 1114, 3310, 12683.1, 11017, 26138, 34588, 52837, 115040, 0
460.000366, 10.000025, 1194, 3286, 13841.4, 11133, 27652, 67670, 247042, 302275, 0
470.00038, 10.000014, 1148, 3286, 12857.8, 11172, 26633, 38384, 61901, 66816, 0
480.000367, 9.999987, 1117, 3057, 12577.4, 11122, 24296, 34926, 44538, 44966, 0
