elapsed, window, total, successful, failed
10.000001, 10.000001, 12842, 12842, 0
20.0004, 10.000399, 12777, 12777, 0
30.000371, 9.999971, 12801, 12801, 0
40.000387, 10.000016, 12702, 12702, 0
50.000394, 10.000007, 12647, 12647, 0
60.000357, 9.999963, 12810, 12810, 0
70.000344, 9.999987, 12450, 12450, 0
80.000365, 10.000021, 12646, 12646, 0
90.000352, 9.999987, 12518, 12518, 0
100.000372, 10.00002, 12655, 12655, 0
110.000357, 9.999985, 12238, 12238, 0
120.00039, 10.000033, 12798, 12798, 0
130.000381, 9.999991, 12810, 12810, 0
140.000533, 10.000152, 12599, 12599, 0
150.000386, 9.999853, 12510, 12510, 0
160.000342, 9.999956, 12689, 12689, 0
170.000374, 10.000032, 12910, 12910, 0
180.000383, 10.000009, 12519, 12519, 0
190.000389, 10.000006, 12692, 12692, 0
200.00039, 10.000001, 13071, 13071, 0
210.00034, 9.99995, 12931, 12931, 0
220.000328, 9.999988, 12506, 12506, 0
230.000336, 10.000008, 12747, 12747, 0
240.000415, 10.000079, 12723, 12723, 0
250.000324, 9.999909, 12469, 12469, 0
260.000335, 10.000011, 12354, 12354, 0
270.000338, 10.000003, 12893, 12893, 0
280.00049, 10.000152, 12332, 12332, 0
290.000356, 9.999866, 12597, 12597, 0
300.000346, 9.99999, 12718, 12718, 0
310.000404, 10.000058, 12827, 12827, 0
320.000357, 9.999953, 12229, 12229, 0
330.000419, 10.000062, 12521, 12521, 0
340.000368, 9.999949, 12571, 12571, 0
350.000408, 10.00004, 12348, 12348, 0
360.000342, 9.999934, 12246, 12246, 0
370.000357, 10.000015, 12596, 12596, 0
380.000367, 10.00001, 12522, 12522, 0
390.000339, 9.999972, 12342, 12342, 0
400.000346, 10.000007, 12482, 12482, 0
410.000333, 9.999987, 12580, 12580, 0
420.000364, 10.000031, 12220, 12220, 0
430.000419, 10.000055, 12142, 12142, 0
440.000336, 9.999917, 12384, 12384, 0
450.000341, 10.000005, 12635, 12635, 0
460.000366, 10.000025, 12519, 12519, 0
470.00038, 10.000014, 12882, 12882, 0
480.000367, 9.999987, 12716, 12716, 0
490.000404, 10.000037, 12303, 12303, 0
500.000461, 10.000057, 11886, 11886, 0
510.000351, 9.99989, 12498, 12498, 0
520.000324, 9.999973, 12445, 12445, 0
530.000345, 10.000021, 11961, 11961, 0
540.000325, 9.99998, 12246, 12246, 0
550.000336, 10.000011, 12456, 12456, 0
560.000419, 10.000083, 12013, 12013, 0
570.000401, 9.999982, 12229, 12229, 0
580.000351, 9.99995, 12275, 12275, 0
590.000331, 9.99998, 12222, 12222, 0
