elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000113, 10.000113, 11766, 1848, 5636.8, 4764, 11613, 16871, 27044, 205511, 0
20.000081, 9.999968, 10777, 1827, 5690.4, 4671, 11661, 17687, 78420, 211680, 0
30.000155, 10.000074, 10977, 1837, 5784.4, 4912, 11769, 17211, 28044, 91665, 0
40.000155, 10.0, 9743, 1865, 6085.0, 4784, 12146, 20350, 106699, 206961, 0
50.000105, 9.99995, 11009, 1881, 5740.0, 4773, 11708, 16955, 30505, 239200, 0
60.000073, 9.999968, 11737, 1795, 5576.5, 4736, 11596, 15943, 22465, 31901, 0
70.00011, 10.000037, 11038, 1843, 5748.1, 4799, 11822, 17241, 40867, 107959, 0
80.000086, 9.999976, 10439, 1825, 5955.1, 4800, 11928, 17789, 102956, 221699, 0
90.000083, 9.999997, 10593, 1909, 5798.6, 4849, 11842, 16917, 60975, 166874, 0
100.000103, 10.00002, 9909, 1817, 5884.6, 4842, 11901, 17771, 66569, 131393, 0
110.00013, 10.000027, 9877, 1833, 5906.4, 4813, 11947, 17457, 110075, 231935, 0
120.000146, 10.000016, 11659, 1887, 5681.6, 4850, 11517, 16439, 24023, 46208, 0
130.000078, 9.999932, 10804, 1874, 5857.8, 4953, 12202, 17355, 27825, 70824, 0
140.000128, 10.00005, 11445, 1818, 5723.3, 4821, 11689, 16441, 25968, 207594, 0
150.00012, 9.999992, 11330, 1855, 5704.1, 4768, 11683, 16860, 34913, 220835, 0
160.000201, 10.000081, 10829, 1857, 5575.4, 4695, 11474, 15671, 28941, 220835, 0
170.000104, 9.999903, 10380, 1875, 5791.9, 4698, 11429, 16734, 100538, 272990, 0
180.000125, 10.000021, 10081, 1852, 5984.5, 4776, 11971, 18228, 100915, 272990, 0
190.000127, 10.000002, 10943, 1866, 5663.4, 4786, 11588, 16093, 26934, 211687, 0
200.000121, 9.999994, 11181, 1894, 5582.3, 4752, 11424, 16006, 23319, 37714, 0
210.000078, 9.999957, 11272, 1828, 5520.5, 4665, 11237, 15681, 22402, 204414, 0
220.000152, 10.000074, 10943, 1866, 5466.5, 4624, 11068, 15653, 23415, 58109, 0
230.000138, 9.999986, 11300, 1892, 5504.5, 4655, 11143, 15777, 23641, 206031, 0
240.000155, 10.000017, 10736, 1923, 5759.7, 4830, 11814, 16839, 28590, 115777, 0
250.000177, 10.000022, 11030, 1777, 5800.7, 4896, 11977, 16777, 24618, 94014, 0
260.000135, 9.999958, 11632, 1777, 5677.9, 4820, 11616, 16767, 23673, 30151, 0
270.000079, 9.999944, 11208, 1791, 5779.6, 4879, 11946, 17287, 29164, 40205, 0
280.000099, 10.00002, 10807, 1878, 5788.2, 4838, 11850, 17085, 52686, 127096, 0
290.000116, 10.000017, 8926, 1917, 6404.5, 4837, 12608, 22456, 162245, 272080, 0
300.000081, 9.999965, 10532, 1871, 6000.0, 4797, 12128, 18236, 107464, 197820, 0
310.000083, 10.000002, 10223, 1857, 5994.1, 4882, 12167, 17924, 85850, 207946, 0
320.000069, 9.999986, 10382, 1820, 5829.7, 4880, 12167, 17346, 28144, 61873, 0
330.000134, 10.000065, 11258, 1894, 5878.9, 4956, 12238, 17390, 25142, 47018, 0
340.00007, 9.999936, 11140, 1859, 5858.6, 4939, 12126, 16994, 24813, 43619, 0
350.000165, 10.000095, 11346, 1868, 5743.0, 4882, 11863, 16603, 23407, 31995, 0
360.000094, 9.999929, 10380, 1815, 6020.3, 4954, 12194, 17589, 77405, 212232, 0
370.000115, 10.000021, 10355, 1837, 6073.6, 5002, 12343, 18447, 72638, 199318, 0
380.000125, 10.00001, 9239, 1877, 6306.6, 4874, 13033, 19836, 125679, 205331, 0
390.000103, 9.999978, 9779, 1891, 6098.1, 4992, 12868, 18539, 53119, 258795, 0
400.000133, 10.00003, 10629, 1805, 5981.1, 4974, 12154, 17822, 80192, 140185, 0
410.000083, 9.99995, 11191, 1914, 5669.9, 4699, 11382, 15892, 34860, 193097, 0
420.000081, 9.999998, 10044, 1810, 6205.1, 5032, 12820, 19281, 80805, 159769, 0
430.000081, 10.0, 9098, 1810, 6392.3, 4911, 12899, 21127, 131685, 354405, 0
440.00011, 10.000029, 10338, 1824, 6078.8, 5023, 12641, 18030, 42149, 200141, 0
450.000081, 9.999971, 9901, 1840, 6167.0, 5028, 12937, 19318, 77228, 170564, 0
460.000122, 10.000041, 10359, 1869, 5982.6, 5033, 12562, 18219, 30073, 50028, 0
470.000085, 9.999963, 10760, 1808, 5974.2, 4988, 12355, 17595, 28330, 184786, 0
480.000094, 10.000009, 10714, 1889, 5891.0, 4917, 12231, 17597, 38727, 102829, 0
