elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000113, 10.000113, 1160, 3028, 11785.5, 10034, 24716, 33685, 51766, 52200, 0
20.000081, 9.999968, 1083, 3140, 16601.0, 10260, 28739, 177775, 482101, 523974, 0
30.000155, 10.000074, 1036, 3018, 15945.7, 10238, 29638, 152250, 368875, 405447, 0
40.000155, 10.0, 940, 3395, 21097.5, 10865, 77277, 236818, 478615, 571248, 0
50.000105, 9.99995, 1106, 3058, 15122.6, 10210, 31978, 137278, 300896, 325564, 0
60.000073, 9.999968, 1157, 2985, 12788.3, 10150, 25545, 40157, 291473, 325564, 0
70.00011, 10.000037, 1065, 3142, 15195.8, 10740, 28868, 115918, 324709, 365658, 0
80.000086, 9.999976, 1019, 2959, 16990.9, 10940, 28805, 174805, 363026, 499243, 0
90.000083, 9.999997, 1124, 3181, 15672.0, 10592, 29679, 130777, 288835, 291756, 0
100.000103, 10.00002, 972, 3120, 22744.4, 10556, 38133, 339156, 744010, 834534, 0
110.00013, 10.000027, 1018, 3247, 20423.2, 10485, 31429, 294073, 785759, 872828, 0
120.000146, 10.000016, 1106, 3151, 12282.8, 10194, 24801, 38961, 71130, 316809, 0
130.000078, 9.999932, 985, 2928, 16442.8, 10311, 32972, 191002, 343570, 371630, 0
140.000128, 10.00005, 1120, 3334, 12799.7, 9975, 27503, 43805, 216838, 288833, 0
150.00012, 9.999992, 1107, 3374, 13454.1, 10312, 26219, 65014, 235334, 362233, 0
160.000201, 10.000081, 1122, 3089, 18108.8, 10504, 37411, 189857, 388063, 611846, 0
170.000104, 9.999903, 1059, 3230, 18629.6, 10814, 33245, 213228, 522387, 539566, 0
180.000125, 10.000021, 1023, 2891, 20673.8, 10342, 35285, 281568, 592865, 787534, 0
190.000127, 10.000002, 1026, 3126, 18010.0, 10534, 34152, 175232, 367430, 399936, 0
200.000121, 9.999994, 1117, 3455, 15450.2, 10428, 30774, 123007, 265275, 277712, 0
210.000078, 9.999957, 1113, 3108, 16137.4, 10483, 29291, 175544, 268680, 270704, 0
220.000152, 10.000074, 1110, 3459, 17500.6, 10810, 27550, 180825, 650339, 663408, 0
230.000138, 9.999986, 1123, 3129, 15467.8, 10326, 27133, 165811, 406056, 452119, 0
240.000155, 10.000017, 1085, 3260, 17126.5, 10984, 31937, 195801, 356061, 428498, 0
250.000177, 10.000022, 1194, 3394, 13027.5, 10275, 25122, 49402, 179015, 224520, 0
260.000135, 9.999958, 1119, 3049, 12273.4, 10353, 25326, 36034, 69311, 91314, 0
