elapsed, window, total, successful, failed
10.000113, 10.000113, 12926, 12926, 0
20.000081, 9.999968, 11860, 11860, 0
30.000155, 10.000074, 12013, 12013, 0
40.000155, 10.0, 10683, 10683, 0
50.000105, 9.99995, 12115, 12115, 0
60.000073, 9.999968, 12894, 12894, 0
70.00011, 10.000037, 12103, 12103, 0
80.000086, 9.999976, 11458, 11458, 0
90.000083, 9.999997, 11717, 11717, 0
100.000103, 10.00002, 10881, 10881, 0
110.00013, 10.000027, 10895, 10895, 0
120.000146, 10.000016, 12765, 12765, 0
130.000078, 9.999932, 11789, 11789, 0
140.000128, 10.00005, 12565, 12565, 0
150.00012, 9.999992, 12437, 12437, 0
160.000201, 10.000081, 11951, 11951, 0
170.000104, 9.999903, 11439, 11439, 0
180.000125, 10.000021, 11104, 11104, 0
190.000127, 10.000002, 11969, 11969, 0
200.000121, 9.999994, 12298, 12298, 0
210.000078, 9.999957, 12385, 12385, 0
220.000152, 10.000074, 12053, 12053, 0
230.000138, 9.999986, 12423, 12423, 0
240.000155, 10.000017, 11821, 11821, 0
250.000177, 10.000022, 12224, 12224, 0
260.000135, 9.999958, 12751, 12751, 0
270.000079, 9.999944, 12379, 12379, 0
280.000099, 10.00002, 11914, 11914, 0
290.000116, 10.000017, 9807, 9807, 0
300.000081, 9.999965, 11547, 11547, 0
310.000083, 10.000002, 11224, 11224, 0
320.000069, 9.999986, 11425, 11425, 0
330.000134, 10.000065, 12340, 12340, 0
340.00007, 9.999936, 12295, 12295, 0
350.000165, 10.000095, 12467, 12467, 0
360.000094, 9.999929, 11382, 11382, 0
370.000115, 10.000021, 11368, 11368, 0
380.000125, 10.00001, 10194, 10194, 0
390.000103, 9.999978, 10711, 10711, 0
400.000133, 10.00003, 11697, 11697, 0
410.000083, 9.99995, 12290, 12290, 0
420.000081, 9.999998, 11052, 11052, 0
430.000081, 10.0, 10025, 10025, 0
440.00011, 10.000029, 11380, 11380, 0
450.000081, 9.999971, 10899, 10899, 0
460.000122, 10.000041, 11397, 11397, 0
470.000085, 9.999963, 11853, 11853, 0
480.000094, 10.000009, 11786, 11786, 0
490.000135, 10.000041, 11475, 11475, 0
500.000343, 10.000208, 10587, 10587, 0
510.000149, 9.999806, 10996, 10996, 0
520.0001, 9.999951, 11976, 11976, 0
530.000096, 9.999996, 12165, 12165, 0
540.000086, 9.99999, 10709, 10709, 0
550.000118, 10.000032, 12025, 12025, 0
560.000084, 9.999966, 11596, 11596, 0
570.000234, 10.00015, 11816, 11816, 0
580.000067, 9.999833, 11157, 11157, 0
590.000098, 10.000031, 10646, 10646, 0
600.000087, 9.999989, 10168, 10168, 0
610.000072, 9.999985, 11560, 11560, 0
620.000094, 10.000022, 11792, 11792, 0
630.000091, 9.999997, 11916, 11916, 0
640.000103, 10.000012, 12187, 12187, 0
650.000104, 10.000001, 12253, 12253, 0
660.000231, 10.000127, 11715, 11715, 0
670.000067, 9.999836, 11338, 11338, 0
680.000099, 10.000032, 11264, 11264, 0
690.000079, 9.99998, 12021, 12021, 0
700.000086, 10.000007, 10259, 10259, 0
710.000255, 10.000169, 9967, 9967, 0
720.000106, 9.999851, 10602, 10602, 0
730.000118, 10.000012, 11136, 11136, 0
740.00022, 10.000102, 11640, 11640, 0
750.000131, 9.999911, 11211, 11211, 0
760.000081, 9.99995, 11645, 11645, 0
770.000157, 10.000076, 11383, 11383, 0
780.000069, 9.999912, 10791, 10791, 0
790.000072, 10.000003, 10080, 10080, 0
800.000188, 10.000116, 10624, 10624, 0
810.00011, 9.999922, 10802, 10802, 0
820.000115, 10.000005, 9700, 9700, 0
830.000075, 9.99996, 10892, 10892, 0
840.000133, 10.000058, 11500, 11500, 0
850.000101, 9.999968, 11582, 11582, 0
860.000129, 10.000028, 11890, 11890, 0
870.000146, 10.000017, 11510, 11510, 0
880.000096, 9.99995, 9859, 9859, 0
890.000119, 10.000023, 10272, 10272, 0
900.000096, 9.999977, 11182, 11182, 0
910.000076, 9.99998, 11957, 11957, 0
920.000119, 10.000043, 11816, 11816, 0
930.000098, 9.999979, 11389, 11389, 0
940.000071, 9.999973, 10824, 10824, 0
950.000088, 10.000017, 11666, 11666, 0
960.000065, 9.999977, 11546, 11546, 0
970.000149, 10.000084, 11780, 11780, 0
980.000108, 9.999959, 11261, 11261, 0
990.00007, 9.999962, 10698, 10698, 0
1000.000155, 10.000085, 11818, 11818, 0
1010.000075, 9.99992, 11720, 11720, 0
1020.000093, 10.000018, 10972, 10972, 0
1030.000076, 9.999983, 11605, 11605, 0
1040.000095, 10.000019, 10350, 10350, 0
1050.000079, 9.999984, 11478, 11478, 0
1060.000124, 10.000045, 11670, 11670, 0
1070.000116, 9.999992, 10749, 10749, 0
1080.00011, 9.999994, 10816, 10816, 0
1090.000136, 10.000026, 10559, 10559, 0
1100.000087, 9.999951, 11422, 11422, 0
1110.000157, 10.00007, 11745, 11745, 0
1120.000126, 9.999969, 11303, 11303, 0
1130.000112, 9.999986, 11043, 11043, 0
1140.0001, 9.999988, 11228, 11228, 0
1150.000072, 9.999972, 10835, 10835, 0
1160.000106, 10.000034, 9786, 9786, 0
1170.000106, 10.0, 10462, 10462, 0
1180.000086, 9.99998, 10995, 10995, 0
1190.000083, 9.999997, 11393, 11393, 0
1200.000092, 10.000009, 11500, 11500, 0
1210.000069, 9.999977, 11565, 11565, 0
1220.000098, 10.000029, 11532, 11532, 0
1230.000084, 9.999986, 11482, 11482, 0
1240.000193, 10.000109, 10661, 10661, 0
1250.00008, 9.999887, 9311, 9311, 0
1260.000068, 9.999988, 11375, 11375, 0
1270.000082, 10.000014, 10700, 10700, 0
1280.000082, 10.0, 11408, 11408, 0
1290.000079, 9.999997, 11398, 11398, 0
1300.000094, 10.000015, 10908, 10908, 0
1310.000077, 9.999983, 9529, 9529, 0
1320.000093, 10.000016, 10885, 10885, 0
1330.000199, 10.000106, 11654, 11654, 0
1340.00014, 9.999941, 11511, 11511, 0
1350.000076, 9.999936, 10557, 10557, 0
1360.000101, 10.000025, 9697, 9697, 0
1370.000078, 9.999977, 11416, 11416, 0
1380.000139, 10.000061, 10757, 10757, 0
1390.000115, 9.999976, 9889, 9889, 0
1400.000159, 10.000044, 9915, 9915, 0
1410.000068, 9.999909, 9571, 9571, 0
1420.000171, 10.000103, 8839, 8839, 0
1430.00008, 9.999909, 10897, 10897, 0
1440.000112, 10.000032, 11786, 11786, 0
1450.00012, 10.000008, 11974, 11974, 0
1460.000197, 10.000077, 11465, 11465, 0
1470.00007, 9.999873, 11447, 11447, 0
1480.000163, 10.000093, 11258, 11258, 0
1490.000269, 10.000106, 10977, 10977, 0
1500.000101, 9.999832, 11180, 11180, 0
1510.000282, 10.000181, 10251, 10251, 0
1520.000097, 9.999815, 10459, 10459, 0
1530.00022, 10.000123, 9245, 9245, 0
1540.000078, 9.999858, 9895, 9895, 0
1550.00007, 9.999992, 10539, 10539, 0
1560.000068, 9.999998, 10700, 10700, 0
1570.000102, 10.000034, 10384, 10384, 0
1580.000089, 9.999987, 10953, 10953, 0
1590.000084, 9.999995, 11262, 11262, 0
1600.000105, 10.000021, 9713, 9713, 0
1610.000078, 9.999973, 9510, 9510, 0
1620.000074, 9.999996, 9655, 9655, 0
1630.000194, 10.00012, 9934, 9934, 0
1640.000089, 9.999895, 11167, 11167, 0
1650.000117, 10.000028, 11389, 11389, 0
1660.000072, 9.999955, 11530, 11530, 0
1670.000151, 10.000079, 11058, 11058, 0
1680.00013, 9.999979, 10800, 10800, 0
1690.000085, 9.999955, 10357, 10357, 0
1700.00007, 9.999985, 10889, 10889, 0
1710.000128, 10.000058, 10869, 10869, 0
1720.000078, 9.99995, 9842, 9842, 0
1730.000152, 10.000074, 10378, 10378, 0
1740.000089, 9.999937, 10894, 10894, 0
1750.000113, 10.000024, 10326, 10326, 0
1760.000193, 10.00008, 9915, 9915, 0
1770.000088, 9.999895, 10160, 10160, 0
1780.000123, 10.000035, 10508, 10508, 0
1790.000065, 9.999942, 11352, 11352, 0
1800.000111, 10.000046, 10923, 10923, 0
1810.00007, 9.999959, 10818, 10818, 0
1820.000076, 10.000006, 10829, 10829, 0
1830.000078, 10.000002, 10833, 10833, 0
1840.0002, 10.000122, 11425, 11425, 0
1850.000086, 9.999886, 11343, 11343, 0
1860.000123, 10.000037, 11180, 11180, 0
1870.000097, 9.999974, 11412, 11412, 0
1880.000149, 10.000052, 10913, 10913, 0
1890.000076, 9.999927, 10565, 10565, 0
1900.000134, 10.000058, 11403, 11403, 0
1910.000109, 9.999975, 10869, 10869, 0
1920.000066, 9.999957, 11135, 11135, 0
1930.000161, 10.000095, 11073, 11073, 0
1940.000115, 9.999954, 11722, 11722, 0
1950.000074, 9.999959, 11555, 11555, 0
