elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000183, 10.000183, 1779, 1448, 5101.6, 4259, 10997, 15649, 21922, 25459, 0
20.000188, 10.000005, 1822, 1306, 5287.4, 4305, 11004, 15836, 30790, 234948, 0
30.000221, 10.000033, 1772, 1484, 5001.5, 4170, 10796, 14789, 22787, 23772, 0
40.000185, 9.999964, 1643, 1451, 6677.5, 4286, 13543, 60055, 150431, 240346, 0
50.000163, 9.999978, 1767, 1449, 5045.3, 4195, 10971, 14886, 22240, 26508, 0
60.000278, 10.000115, 1844, 1381, 5057.4, 4316, 10612, 14564, 22902, 23077, 0
70.000144, 9.999866, 1619, 1452, 6389.6, 4397, 12515, 35428, 175974, 241816, 0
80.000127, 9.999983, 1692, 1346, 5370.0, 4452, 11622, 16356, 36125, 57956, 0
90.000336, 10.000209, 1728, 1495, 5011.2, 4226, 11068, 15443, 20717, 24157, 0
100.000162, 9.999826, 1836, 1330, 5000.2, 4172, 10987, 14693, 21620, 34530, 0
110.00015, 9.999988, 1650, 1337, 6426.4, 4232, 13815, 57989, 121250, 128134, 0
120.000135, 9.999985, 1755, 1406, 5216.3, 4250, 11126, 15355, 29827, 99327, 0
130.000157, 10.000022, 1771, 1423, 5212.7, 4321, 11454, 14936, 19559, 24180, 0
140.00012, 9.999963, 1621, 1382, 6639.4, 4516, 13158, 44291, 160490, 242578, 0
150.00012, 10.0, 1756, 1310, 5807.7, 4427, 12357, 20266, 82930, 174413, 0
160.000129, 10.000009, 1642, 1494, 5277.6, 4360, 11786, 16111, 19260, 23186, 0
170.000122, 9.999993, 1714, 1394, 5733.6, 4534, 11889, 19536, 95066, 112964, 0
180.00012, 9.999998, 1537, 1394, 6592.6, 4265, 13460, 70934, 124025, 240593, 0
190.000127, 10.000007, 1738, 1512, 5244.6, 4288, 11564, 14897, 21779, 23151, 0
200.000131, 10.000004, 1718, 1381, 5288.8, 4301, 11464, 15763, 23992, 28140, 0
210.000145, 10.000014, 1650, 1362, 7521.4, 4550, 15259, 74808, 200264, 256262, 0
220.000154, 10.000009, 1679, 1420, 5778.9, 4579, 12449, 19214, 66898, 136604, 0
230.000238, 10.000084, 1697, 1447, 5344.4, 4563, 11630, 15714, 21002, 43992, 0
240.000122, 9.999884, 1648, 1420, 6133.6, 4412, 12415, 24323, 137462, 174274, 0
250.000242, 10.00012, 1524, 1442, 7139.1, 4571, 13815, 85459, 183498, 269002, 0
260.000177, 9.999935, 1731, 1361, 5403.9, 4466, 11763, 17224, 23818, 27492, 0
270.000124, 9.999947, 1654, 1355, 5549.0, 4453, 12437, 18048, 27756, 45952, 0
280.000174, 10.00005, 1496, 1383, 7411.2, 4547, 14394, 90053, 187438, 277722, 0
290.000174, 10.0, 1641, 1446, 5674.1, 4556, 12467, 17775, 28913, 118587, 0
300.000182, 10.000008, 1653, 1394, 5636.9, 4559, 12606, 17505, 24346, 36825, 0
310.000175, 9.999993, 1597, 1284, 6544.0, 4629, 13628, 25841, 172077, 251082, 0
320.000189, 10.000014, 1573, 1414, 6718.3, 4616, 13463, 27372, 202106, 213273, 0
330.000189, 10.0, 1650, 1402, 5568.9, 4467, 12174, 17488, 26734, 31627, 0
340.000265, 10.000076, 1622, 1510, 5669.1, 4522, 12851, 17885, 36006, 64837, 0
350.000124, 9.999859, 1454, 1392, 7447.5, 4680, 14187, 94047, 183496, 190644, 0
360.000126, 10.000002, 1579, 1496, 6175.0, 4748, 13195, 20122, 139832, 183496, 0
370.000145, 10.000019, 1601, 1443, 5591.0, 4516, 12948, 17556, 23700, 31036, 0
380.000209, 10.000064, 1529, 1417, 6757.4, 4535, 14061, 45001, 166222, 207087, 0
390.000158, 9.999949, 1590, 1408, 6777.8, 4617, 14366, 24014, 131564, 327639, 0
400.000175, 10.000017, 1567, 1481, 5744.9, 4703, 12856, 16679, 22063, 26152, 0
410.000263, 10.000088, 1647, 1463, 6046.2, 4824, 13561, 19665, 59572, 79742, 0
420.000172, 9.999909, 1486, 1465, 7555.5, 5055, 14944, 78658, 136951, 177128, 0
430.000125, 9.999953, 1678, 1411, 5526.0, 4498, 12436, 17299, 22736, 27752, 0
440.00012, 9.999995, 1651, 1478, 5870.8, 4673, 12933, 19340, 42246, 73682, 0
450.000183, 10.000063, 1463, 1473, 7341.7, 4823, 14789, 59181, 176603, 182583, 0
460.000123, 9.99994, 1512, 1349, 6645.8, 4916, 13849, 27957, 124712, 184095, 0
470.000124, 10.000001, 1590, 1537, 5914.2, 4950, 13276, 18076, 23124, 30434, 0
