elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000024, 10.000024, 18081, 989, 3919.9, 3257, 8389, 12123, 19714, 28496, 0
20.00094, 10.000916, 17783, 1007, 3955.0, 3295, 8551, 12111, 17770, 28275, 0
30.001, 10.00006, 17995, 1028, 3917.9, 3275, 8401, 11982, 18431, 25994, 0
40.00094, 9.99994, 16369, 987, 4226.4, 3312, 8833, 13702, 82297, 234051, 0
50.000877, 9.999937, 17837, 1036, 3950.3, 3274, 8538, 12180, 17853, 208675, 0
60.000872, 9.999995, 17743, 961, 3952.7, 3295, 8577, 12174, 17958, 26716, 0
70.000876, 10.000004, 16431, 1035, 4206.0, 3302, 8672, 13377, 93052, 140999, 0
80.000873, 9.999997, 17247, 1020, 4197.2, 3334, 8851, 13521, 82644, 140999, 0
90.000875, 10.000002, 17786, 998, 3990.0, 3341, 8503, 12236, 18818, 28851, 0
100.000867, 9.999992, 17419, 984, 4008.2, 3307, 8681, 12718, 18450, 136056, 0
110.000916, 10.000049, 16357, 991, 4167.4, 3319, 8901, 13597, 58599, 121965, 0
120.00097, 10.000054, 17461, 1025, 4023.8, 3362, 8732, 12491, 19623, 105671, 0
130.001021, 10.000051, 17467, 995, 4045.5, 3348, 8801, 12503, 18226, 43858, 0
140.000869, 9.999848, 16268, 1004, 4280.8, 3374, 9151, 14296, 78110, 130125, 0
150.000867, 9.999998, 16675, 1018, 4278.6, 3368, 9058, 14282, 91051, 221975, 0
160.000887, 10.00002, 17535, 1018, 4035.2, 3368, 8747, 12239, 17156, 34548, 0
170.000875, 9.999988, 17176, 1014, 4065.2, 3341, 8923, 12758, 20027, 139866, 0
180.000865, 9.99999, 15824, 1054, 4387.6, 3404, 9223, 15168, 82940, 226027, 0
190.000896, 10.000031, 17301, 936, 4063.4, 3359, 8806, 12597, 19361, 86674, 0
200.000879, 9.999983, 17197, 996, 4096.2, 3410, 8923, 12803, 18047, 26809, 0
210.000888, 10.000009, 16323, 1036, 4212.9, 3399, 9142, 13946, 41826, 113272, 0
220.000896, 10.000008, 16300, 1020, 4227.1, 3372, 9069, 13458, 52340, 179855, 0
230.000999, 10.000103, 17070, 1006, 4147.6, 3411, 9134, 12905, 19401, 110327, 0
240.001062, 10.000063, 16745, 1001, 4199.7, 3450, 9176, 13184, 21408, 112394, 0
250.000006, 9.998944, 15884, 1043, 4403.2, 3463, 9396, 14660, 80546, 150799, 0
260.000872, 10.000866, 16898, 1018, 4174.1, 3418, 9048, 13080, 20038, 98656, 0
270.00088, 10.000008, 16735, 1019, 4188.3, 3438, 9043, 12679, 19453, 131057, 0
280.000912, 10.000032, 15814, 1008, 4308.7, 3452, 9256, 13601, 49352, 116153, 0
290.000904, 9.999992, 16073, 1025, 4377.5, 3463, 9449, 14683, 59762, 142630, 0
300.000892, 9.999988, 16805, 1009, 4194.8, 3460, 9200, 12936, 18960, 27552, 0
310.000875, 9.999983, 16138, 989, 4299.8, 3490, 9310, 13708, 29834, 106452, 0
320.000911, 10.000036, 15419, 1037, 4476.9, 3514, 9530, 15131, 71814, 148539, 0
330.000892, 9.999981, 16847, 987, 4200.3, 3458, 9259, 12747, 19088, 33646, 0
340.000908, 10.000016, 16634, 1019, 4245.7, 3482, 9364, 13370, 23334, 75194, 0
350.000903, 9.999995, 15536, 1022, 4443.0, 3503, 9634, 14430, 81133, 146097, 0
360.000907, 10.000004, 16102, 990, 4387.7, 3486, 9569, 13824, 64482, 151950, 0
370.000887, 9.99998, 16466, 1019, 4271.9, 3502, 9340, 13387, 21009, 110944, 0
380.000933, 10.000046, 16268, 960, 4296.8, 3524, 9389, 13451, 23812, 113253, 0
390.000888, 9.999955, 15211, 993, 4555.6, 3551, 9661, 15070, 100336, 219439, 0
400.000875, 9.999987, 16344, 1033, 4310.1, 3562, 9391, 13309, 20527, 97847, 0
410.000928, 10.000053, 15986, 1012, 4356.3, 3532, 9527, 13983, 25622, 112447, 0
420.0009, 9.999972, 15409, 996, 4569.1, 3599, 9918, 15493, 68959, 156380, 0
430.000897, 9.999997, 15815, 981, 4427.4, 3548, 9776, 13826, 48491, 128346, 0
440.000865, 9.999968, 16185, 1005, 4293.0, 3523, 9464, 13362, 20475, 143369, 0
450.000869, 10.000004, 15408, 1030, 4465.1, 3584, 9727, 14175, 34865, 138377, 0
460.000891, 10.000022, 15215, 1016, 4545.9, 3584, 9764, 14494, 70510, 146786, 0
470.00094, 10.000049, 16009, 1045, 4380.2, 3620, 9631, 13590, 19529, 28536, 0
480.000889, 9.999949, 15662, 1008, 4455.7, 3613, 9751, 14267, 28308, 129909, 0
490.000865, 9.999976, 15262, 986, 4551.0, 3613, 9963, 15088, 66495, 146541, 0
500.000867, 10.000002, 15523, 1031, 4475.3, 3635, 9735, 14235, 35310, 154410, 0
510.000868, 10.000001, 15707, 1025, 4417.5, 3588, 9619, 13964, 23247, 152508, 0
520.000868, 10.0, 15373, 957, 4518.7, 3654, 9896, 14573, 41039, 141885, 0
530.000866, 9.999998, 15055, 1012, 4630.6, 3654, 9992, 15013, 85266, 152824, 0
540.000887, 10.000021, 15770, 1037, 4446.2, 3624, 9835, 13801, 20110, 114139, 0
550.000892, 10.000005, 15282, 1028, 4558.4, 3702, 10132, 14712, 22872, 106291, 0
560.000868, 9.999976, 14877, 1013, 4600.3, 3661, 9862, 14589, 65021, 190755, 0
570.000872, 10.000004, 15510, 998, 4518.7, 3684, 9780, 14182, 27365, 154297, 0
580.000867, 9.999995, 15416, 1058, 4558.6, 3704, 9942, 14320, 24979, 147369, 0
590.000883, 10.000016, 14960, 1018, 4561.6, 3682, 10014, 14338, 28538, 134240, 0
600.00087, 9.999987, 14912, 1035, 4610.1, 3693, 10128, 14827, 37391, 142704, 0
610.000875, 10.000005, 15484, 998, 4555.6, 3734, 10066, 14307, 22109, 135685, 0
620.000874, 9.999999, 15375, 1001, 4545.3, 3715, 9994, 14235, 23687, 120683, 0
630.000891, 10.000017, 14439, 1012, 4784.7, 3776, 10320, 15580, 78468, 152789, 0
640.000893, 10.000002, 15102, 965, 4617.6, 3791, 10168, 14517, 24391, 97480, 0
650.00088, 9.999987, 15120, 1014, 4578.9, 3751, 10161, 14421, 23731, 87788, 0
660.000958, 10.000078, 14873, 1022, 4606.7, 3675, 10023, 14637, 49699, 134888, 0
670.000927, 9.999969, 14952, 963, 4623.0, 3737, 10270, 14533, 29966, 157597, 0
680.000874, 9.999947, 15050, 984, 4635.9, 3759, 10267, 14661, 24819, 132665, 0
690.00094, 10.000066, 14816, 1011, 4689.8, 3758, 10469, 15516, 28500, 126925, 0
700.000923, 9.999983, 14213, 1004, 4795.9, 3804, 10449, 15084, 57646, 149017, 0
710.000882, 9.999959, 14964, 994, 4685.2, 3798, 10479, 14582, 24344, 82030, 0
720.000943, 10.000061, 15129, 1027, 4668.4, 3826, 10305, 14390, 23340, 69009, 0
730.000914, 9.999971, 14361, 1027, 4784.6, 3819, 10550, 15668, 70788, 166130, 0
740.000978, 10.000064, 14821, 1018, 4681.5, 3758, 10320, 14873, 25863, 209125, 0
750.000866, 9.999888, 15032, 1085, 4662.2, 3798, 10305, 14478, 25154, 56110, 0
760.000926, 10.00006, 14515, 1030, 4759.8, 3893, 10558, 15035, 24957, 121253, 0
770.000875, 9.999949, 14304, 1036, 4826.9, 3854, 10562, 15068, 57795, 162428, 0
780.000893, 10.000018, 14912, 1041, 4706.0, 3858, 10594, 14543, 24091, 42015, 0
790.000875, 9.999982, 14772, 1005, 4746.9, 3865, 10579, 15099, 25186, 134302, 0
800.00087, 9.999995, 14071, 1021, 4881.7, 3907, 10766, 15374, 43493, 142300, 0
810.000876, 10.000006, 14407, 1027, 4810.0, 3902, 10545, 14985, 36361, 105615, 0
820.000873, 9.999997, 14642, 1019, 4770.7, 3898, 10587, 15085, 25486, 73096, 0
830.000887, 10.000014, 14235, 1053, 4893.8, 3975, 10941, 15847, 33739, 132388, 0
840.000932, 10.000045, 14132, 1012, 4900.9, 3876, 10892, 15523, 70056, 142459, 0
850.000873, 9.999941, 14611, 1061, 4794.8, 3920, 10591, 15031, 23660, 46956, 0
860.000871, 9.999998, 14277, 1017, 4861.7, 3924, 10817, 15394, 23886, 114482, 0
870.000874, 10.000003, 14016, 1018, 4923.6, 3970, 10863, 16205, 35381, 137860, 0
880.000867, 9.999993, 14253, 1013, 4837.6, 3941, 10618, 14969, 24895, 100161, 0
890.000866, 9.999999, 14247, 1013, 4887.3, 3979, 10904, 15493, 24926, 80860, 0
900.000872, 10.000006, 13828, 985, 5020.4, 4091, 11052, 15552, 34522, 142728, 0
