elapsed, window, total, successful, failed
10.000024, 10.000024, 19864, 19864, 0
20.00094, 10.000916, 19586, 19586, 0
30.001, 10.00006, 19790, 19790, 0
40.00094, 9.99994, 18024, 18024, 0
50.000877, 9.999937, 19614, 19614, 0
60.000872, 9.999995, 19577, 19577, 0
70.000876, 10.000004, 18055, 18055, 0
80.000873, 9.999997, 18936, 18936, 0
90.000875, 10.000002, 19498, 19498, 0
100.000867, 9.999992, 19241, 19241, 0
110.000916, 10.000049, 17987, 17987, 0
120.00097, 10.000054, 19219, 19219, 0
130.001021, 10.000051, 19190, 19190, 0
140.000869, 9.999848, 17954, 17954, 0
150.000867, 9.999998, 18338, 18338, 0
160.000887, 10.00002, 19248, 19248, 0
170.000875, 9.999988, 18857, 18857, 0
180.000865, 9.99999, 17375, 17375, 0
190.000896, 10.000031, 18999, 18999, 0
200.000879, 9.999983, 18936, 18936, 0
210.000888, 10.000009, 18007, 18007, 0
220.000896, 10.000008, 17935, 17935, 0
230.000999, 10.000103, 18773, 18773, 0
240.001062, 10.000063, 18388, 18388, 0
250.000006, 9.998944, 17411, 17411, 0
260.000872, 10.000866, 18602, 18602, 0
270.00088, 10.000008, 18379, 18379, 0
280.000912, 10.000032, 17402, 17402, 0
290.000904, 9.999992, 17650, 17650, 0
300.000892, 9.999988, 18466, 18466, 0
310.000875, 9.999983, 17829, 17829, 0
320.000911, 10.000036, 16920, 16920, 0
330.000892, 9.999981, 18484, 18484, 0
340.000908, 10.000016, 18207, 18207, 0
350.000903, 9.999995, 17079, 17079, 0
360.000907, 10.000004, 17714, 17714, 0
370.000887, 9.99998, 18072, 18072, 0
380.000933, 10.000046, 17817, 17817, 0
390.000888, 9.999955, 16761, 16761, 0
400.000875, 9.999987, 17948, 17948, 0
410.000928, 10.000053, 17652, 17652, 0
420.0009, 9.999972, 16991, 16991, 0
430.000897, 9.999997, 17385, 17385, 0
440.000865, 9.999968, 17815, 17815, 0
450.000869, 10.000004, 16933, 16933, 0
460.000891, 10.000022, 16643, 16643, 0
470.00094, 10.000049, 17634, 17634, 0
480.000889, 9.999949, 17197, 17197, 0
490.000865, 9.999976, 16735, 16735, 0
500.000867, 10.000002, 17077, 17077, 0
510.000868, 10.000001, 17288, 17288, 0
520.000868, 10.0, 16870, 16870, 0
530.000866, 9.999998, 16506, 16506, 0
540.000887, 10.000021, 17398, 17398, 0
550.000892, 10.000005, 16783, 16783, 0
560.000868, 9.999976, 16365, 16365, 0
570.000872, 10.000004, 16940, 16940, 0
580.000867, 9.999995, 16906, 16906, 0
590.000883, 10.000016, 16580, 16580, 0
600.00087, 9.999987, 16454, 16454, 0
610.000875, 10.000005, 16983, 16983, 0
620.000874, 9.999999, 16883, 16883, 0
630.000891, 10.000017, 15858, 15858, 0
640.000893, 10.000002, 16630, 16630, 0
650.00088, 9.999987, 16669, 16669, 0
660.000958, 10.000078, 16411, 16411, 0
670.000927, 9.999969, 16457, 16457, 0
680.000874, 9.999947, 16578, 16578, 0
690.00094, 10.000066, 16326, 16326, 0
700.000923, 9.999983, 15707, 15707, 0
710.000882, 9.999959, 16462, 16462, 0
720.000943, 10.000061, 16599, 16599, 0
730.000914, 9.999971, 15794, 15794, 0
740.000978, 10.000064, 16320, 16320, 0
750.000866, 9.999888, 16511, 16511, 0
760.000926, 10.00006, 15975, 15975, 0
770.000875, 9.999949, 15703, 15703, 0
780.000893, 10.000018, 16355, 16355, 0
790.000875, 9.999982, 16252, 16252, 0
800.00087, 9.999995, 15502, 15502, 0
810.000876, 10.000006, 15842, 15842, 0
820.000873, 9.999997, 16109, 16109, 0
830.000887, 10.000014, 15623, 15623, 0
840.000932, 10.000045, 15594, 15594, 0
850.000873, 9.999941, 16053, 16053, 0
860.000871, 9.999998, 15667, 15667, 0
870.000874, 10.000003, 15457, 15457, 0
880.000867, 9.999993, 15688, 15688, 0
890.000866, 9.999999, 15693, 15693, 0
900.000872, 10.000006, 15206, 15206, 0
910.000873, 10.000001, 14550, 14550, 0
920.001112, 10.000239, 14819, 14819, 0
930.000007, 9.998895, 14311, 14311, 0
940.000867, 10.00086, 13578, 13578, 0
950.000867, 10.0, 13750, 13750, 0
960.000925, 10.000058, 13876, 13876, 0
970.000871, 9.999946, 13604, 13604, 0
980.000873, 10.000002, 13278, 13278, 0
990.000866, 9.999993, 13848, 13848, 0
1000.000876, 10.00001, 13489, 13489, 0
1010.000867, 9.999991, 13138, 13138, 0
1020.000963, 10.000096, 13353, 13353, 0
1030.000873, 9.99991, 13623, 13623, 0
1040.000874, 10.000001, 13488, 13488, 0
1050.000865, 9.999991, 13457, 13457, 0
1060.000913, 10.000048, 13960, 13960, 0
1070.000965, 10.000052, 13578, 13578, 0
1080.000878, 9.999913, 13659, 13659, 0
1090.000867, 9.999989, 13988, 13988, 0
1100.000956, 10.000089, 14096, 14096, 0
1110.000866, 9.99991, 13893, 13893, 0
1120.000866, 10.0, 13930, 13930, 0
1130.000884, 10.000018, 14338, 14338, 0
1140.000865, 9.999981, 14258, 14258, 0
1150.000869, 10.000004, 14055, 14055, 0
1160.000874, 10.000005, 14382, 14382, 0
1170.000871, 9.999997, 14496, 14496, 0
1180.000926, 10.000055, 14303, 14303, 0
1190.000868, 9.999942, 14142, 14142, 0
1200.000871, 10.000003, 14729, 14729, 0
1210.000867, 9.999996, 14376, 14376, 0
1220.000878, 10.000011, 14301, 14301, 0
1230.000952, 10.000074, 14635, 14635, 0
1240.000872, 9.99992, 14624, 14624, 0
1250.000949, 10.000077, 14421, 14421, 0
1260.000873, 9.999924, 14478, 14478, 0
1270.000918, 10.000045, 14778, 14778, 0
1280.00102, 10.000102, 14651, 14651, 0
1290.000876, 9.999856, 14306, 14306, 0
1300.000871, 9.999995, 15076, 15076, 0
1310.001004, 10.000133, 14976, 14976, 0
1320.00092, 9.999916, 14732, 14732, 0
1330.000998, 10.000078, 14606, 14606, 0
1340.000898, 9.9999, 14949, 14949, 0
1350.001173, 10.000275, 14442, 14442, 0
1360.00002, 9.998847, 14648, 14648, 0
1370.000879, 10.000859, 14841, 14841, 0
