elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.99998, 9.99998, 2381, 1029, 28979.1, 24418, 68055, 113543, 193882, 247335, 0
20.000135, 10.000155, 2468, 1063, 27759.4, 24137, 62102, 90403, 164242, 241004, 0
30.00013, 9.999995, 2412, 1124, 27769.6, 23840, 64442, 97895, 165986, 218729, 0
40.000136, 10.000006, 2329, 1117, 28207.5, 24027, 66262, 104641, 163089, 183592, 0
50.000136, 10.0, 2447, 1050, 28156.3, 24291, 63574, 101731, 155085, 182242, 0
60.000168, 10.000032, 2392, 1027, 28153.9, 24134, 62861, 102148, 156688, 245020, 0
70.000204, 10.000036, 2370, 1030, 28013.3, 24024, 62296, 105649, 189223, 270929, 0
80.000135, 9.999931, 2268, 1009, 29795.4, 24436, 68700, 127072, 237538, 312799, 0
90.000136, 10.000001, 2402, 1081, 27990.5, 24024, 62226, 106700, 161853, 179748, 0
100.000138, 10.000002, 2366, 1023, 28106.9, 23946, 64845, 108216, 163158, 333898, 0
110.000136, 9.999998, 2295, 1035, 27773.2, 23527, 63908, 102471, 192177, 332072, 0
120.000134, 9.999998, 2353, 1016, 28689.2, 24851, 64943, 106004, 159710, 179568, 0
130.000131, 9.999997, 2399, 1080, 27879.8, 23705, 63254, 102852, 149772, 176338, 0
140.000135, 10.000004, 2437, 1155, 26492.3, 23177, 56456, 89067, 292921, 432078, 0
150.000136, 10.000001, 2334, 1152, 29106.6, 24733, 67274, 106807, 146907, 168947, 0
160.000139, 10.000003, 2420, 982, 28602.1, 25612, 62875, 89906, 134430, 165378, 0
170.000131, 9.999992, 2423, 970, 28153.4, 23446, 68376, 109638, 168251, 211920, 0
180.000137, 10.000006, 2308, 1056, 29453.1, 25195, 67396, 109711, 177471, 202624, 0
190.00013, 9.999993, 2370, 979, 28082.0, 24886, 61370, 96297, 158487, 172563, 0
200.000224, 10.000094, 2371, 1070, 28698.0, 24875, 62553, 102796, 169485, 258151, 0
210.000139, 9.999915, 2343, 957, 28657.0, 24879, 65595, 104435, 149019, 200211, 0
220.000138, 9.999999, 2305, 1065, 28975.4, 24570, 65697, 109172, 176136, 198278, 0
230.000136, 9.999998, 2337, 912, 28926.1, 24923, 65218, 110903, 224253, 259712, 0
240.000136, 10.0, 2414, 1024, 27882.8, 24287, 61722, 104787, 202229, 262128, 0
250.000139, 10.000003, 2318, 1124, 27664.5, 23488, 61769, 120734, 243495, 277005, 0
260.000141, 10.000002, 2379, 1029, 29290.7, 25337, 64738, 107594, 166540, 195047, 0
270.000135, 9.999994, 2398, 1074, 27972.2, 24725, 58979, 93102, 167508, 198676, 0
280.000136, 10.000001, 2391, 1010, 27401.1, 22989, 61848, 101174, 166835, 211628, 0
290.000142, 10.000006, 2228, 1090, 29403.7, 24721, 69329, 119365, 179588, 251059, 0
300.000136, 9.999994, 2292, 989, 29807.1, 25683, 66823, 99893, 157133, 222489, 0
310.000136, 10.0, 2424, 1244, 28419.0, 24507, 62954, 103829, 163504, 281106, 0
320.00013, 9.999994, 2347, 1097, 28732.4, 24927, 62530, 97584, 156035, 173095, 0
330.000136, 10.000006, 2293, 1079, 28419.9, 24761, 62496, 108706, 150049, 179709, 0
340.000135, 9.999999, 2327, 1072, 28728.7, 25230, 62973, 94709, 139128, 190716, 0
350.000135, 10.0, 2408, 1169, 27887.3, 23678, 62905, 103575, 167946, 205231, 0
360.000136, 10.000001, 2310, 1020, 29338.2, 24730, 68612, 107562, 181791, 223740, 0
370.000135, 9.999999, 2398, 1085, 28420.4, 24576, 63281, 96852, 152880, 252364, 0
380.000135, 10.0, 2339, 1092, 28858.6, 25108, 63276, 108797, 166563, 227858, 0
390.000135, 10.0, 2304, 1156, 29247.0, 24878, 64542, 103849, 157901, 210741, 0
400.000138, 10.000003, 2334, 1044, 29081.2, 25795, 63742, 90462, 142918, 186348, 0
410.000132, 9.999994, 2340, 999, 28456.0, 24689, 63412, 105775, 141501, 216589, 0
420.000136, 10.000004, 2273, 1079, 30142.3, 25259, 71216, 121563, 197809, 214876, 0
430.000144, 10.000008, 2301, 1133, 28901.9, 24791, 64035, 104051, 177928, 208262, 0
440.000136, 9.999992, 2363, 1064, 28119.1, 24096, 62281, 108399, 146842, 200047, 0
450.000137, 10.000001, 2412, 1029, 28513.5, 24974, 62487, 102573, 152810, 186019, 0
460.000465, 10.000328, 2367, 1085, 28843.2, 24641, 65980, 104153, 217805, 248091, 0
470.000193, 9.999728, 2330, 929, 28511.5, 25094, 62888, 102924, 171376, 217805, 0
480.000136, 9.999943, 2380, 1179, 28990.1, 25054, 63954, 102930, 174038, 178872, 0
490.000133, 9.999997, 2381, 1051, 28172.7, 24011, 64308, 105625, 183350, 247962, 0
500.000138, 10.000005, 2240, 1027, 29563.4, 24651, 67510, 113245, 204822, 215797, 0
510.000135, 9.999997, 2359, 1063, 28950.3, 25244, 65231, 103016, 144537, 168313, 0
520.000135, 10.0, 2394, 952, 28834.2, 25504, 63212, 93726, 131758, 248363, 0
530.000136, 10.000001, 2240, 1054, 28845.3, 24382, 66116, 99756, 202299, 283695, 0
540.000197, 10.000061, 2275, 983, 29328.1, 24609, 68435, 104373, 174549, 183459, 0
550.000132, 9.999935, 2336, 1111, 29703.9, 25284, 67995, 105265, 135388, 209331, 0
560.000136, 10.000004, 2419, 961, 27541.7, 23929, 63587, 102891, 143351, 190130, 0
570.000136, 10.0, 2416, 1099, 28583.5, 25199, 61311, 93413, 135090, 230031, 0
580.000132, 9.999996, 2359, 1067, 28937.4, 25139, 62787, 101914, 155791, 198082, 0
590.000138, 10.000006, 2373, 979, 28755.9, 24781, 67596, 102764, 163146, 232295, 0
600.000136, 9.999998, 2425, 1051, 28510.5, 24307, 64451, 104347, 179542, 186899, 0
610.000136, 10.0, 2323, 953, 29092.5, 24936, 65876, 102630, 154452, 173613, 0
620.000188, 10.000052, 2433, 1007, 28204.4, 25164, 59571, 94037, 196827, 221050, 0
630.000135, 9.999947, 2348, 1055, 28361.3, 24318, 64320, 109081, 173602, 216443, 0
640.000138, 10.000003, 2324, 1030, 29037.2, 24394, 64974, 110405, 186866, 279220, 0
650.000136, 9.999998, 2305, 1088, 29544.2, 24952, 68364, 110073, 168317, 204652, 0
660.000138, 10.000002, 2319, 1102, 28714.6, 24885, 62495, 103540, 161249, 168462, 0
670.000208, 10.00007, 2324, 1083, 27992.5, 24125, 65170, 94643, 147889, 200876, 0
680.000135, 9.999927, 2326, 1053, 29263.3, 24888, 64210, 104969, 198077, 222369, 0
690.000196, 10.000061, 2372, 1038, 28351.3, 24118, 62961, 99635, 137836, 171238, 0
700.00013, 9.999934, 2367, 1126, 28004.4, 24058, 64472, 103929, 156367, 259523, 0
710.000136, 10.000006, 2275, 1087, 28554.1, 24074, 65079, 110026, 175630, 214316, 0
720.000143, 10.000007, 2287, 1112, 28857.2, 24343, 66433, 106447, 203184, 369011, 0
730.000135, 9.999992, 2376, 1145, 28060.3, 24602, 62101, 89240, 194670, 209419, 0
740.000141, 10.000006, 2355, 994, 27768.0, 23579, 61531, 105911, 173880, 239316, 0
750.000136, 9.999995, 2264, 1019, 28911.3, 23280, 64325, 112590, 461621, 1158945, 0
760.00013, 9.999994, 2329, 1024, 28728.4, 24489, 65459, 109791, 151324, 249019, 0
770.000136, 10.000006, 2407, 1014, 28421.8, 24695, 63435, 97382, 151428, 187186, 0
780.000216, 10.00008, 2282, 1147, 29184.9, 25296, 66292, 104977, 142966, 217414, 0
790.000142, 9.999926, 2330, 1054, 29314.6, 24339, 66201, 126491, 206307, 288707, 0
800.000133, 9.999991, 2383, 1053, 28367.4, 25121, 62352, 96045, 166046, 206201, 0
810.000136, 10.000003, 2443, 1066, 27814.0, 24067, 61090, 104108, 163082, 191007, 0
820.00013, 9.999994, 2307, 1154, 27749.1, 24086, 63820, 103209, 189174, 228180, 0
830.000144, 10.000014, 2334, 1144, 27964.3, 24992, 60744, 92665, 150553, 172816, 0
840.00013, 9.999986, 2341, 1085, 28495.8, 24874, 64048, 97943, 151897, 236071, 0
850.000135, 10.000005, 2299, 1105, 29134.4, 24434, 69542, 107728, 170105, 370336, 0
860.00013, 9.999995, 2288, 1045, 28830.6, 24554, 62917, 106465, 230940, 514099, 0
870.000285, 10.000155, 2382, 1015, 28337.9, 24563, 62679, 91331, 142145, 160335, 0
880.000138, 9.999853, 2282, 1091, 29639.1, 25033, 66174, 108105, 262970, 273769, 0
890.000132, 9.999994, 2372, 1057, 28409.6, 23889, 63808, 103390, 242433, 302325, 0
900.000136, 10.000004, 2333, 1006, 28320.1, 25045, 60964, 102090, 155945, 190600, 0
910.000135, 9.999999, 2378, 964, 27850.7, 24427, 62218, 95250, 168678, 216881, 0
920.000137, 10.000002, 2330, 949, 29186.4, 24578, 64841, 110670, 175889, 335126, 0
930.000135, 9.999998, 2231, 1146, 29734.1, 24975, 66492, 114426, 207729, 260671, 0
940.000142, 10.000007, 2329, 1152, 28817.5, 25270, 62945, 92003, 157181, 422433, 0
950.000135, 9.999993, 2368, 1026, 28281.6, 25201, 60690, 92840, 146819, 193308, 0
960.000132, 9.999997, 2270, 1015, 28875.7, 24356, 67351, 107043, 195784, 322011, 0
970.000135, 10.000003, 2397, 1001, 28578.3, 25555, 61060, 89306, 156113, 165750, 0
980.000135, 10.0, 2418, 1047, 28089.0, 24814, 61995, 98627, 161420, 192872, 0
990.000131, 9.999996, 2368, 1063, 28637.0, 24434, 65777, 101146, 170434, 199923, 0
1000.000137, 10.000006, 2367, 1031, 27718.5, 23843, 62637, 98779, 168390, 274515, 0
1010.000135, 9.999998, 2333, 1016, 29093.9, 25498, 66290, 96974, 138388, 196590, 0
1020.000136, 10.000001, 2318, 1045, 28455.8, 24164, 62826, 107996, 231265, 335326, 0
1030.000136, 10.0, 2289, 1208, 29855.9, 25489, 69704, 110412, 153511, 185539, 0
1040.000131, 9.999995, 2280, 1015, 28879.7, 24538, 65366, 117627, 226319, 253724, 0
1050.000136, 10.000005, 2327, 908, 29453.2, 25103, 67765, 110392, 172328, 194891, 0
1060.000136, 10.0, 2293, 1048, 29065.8, 24434, 68424, 112314, 200848, 255689, 0
1070.000135, 9.999999, 2357, 1173, 28829.6, 24683, 64233, 102272, 173876, 228889, 0
1080.000136, 10.000001, 2354, 1130, 28791.4, 24731, 63092, 93094, 196435, 264296, 0
1090.000141, 10.000005, 2295, 1012, 28261.1, 23246, 68402, 121891, 238768, 332221, 0
1100.000136, 9.999995, 2267, 1168, 29632.8, 26095, 64588, 101605, 160909, 228838, 0
1110.000136, 10.0, 2322, 999, 29136.2, 25187, 66868, 100057, 157253, 254290, 0
1120.000137, 10.000001, 2403, 1131, 28176.8, 25205, 61144, 89885, 145083, 174475, 0
1130.000148, 10.000011, 2400, 1029, 28402.4, 25020, 61050, 98748, 174782, 192035, 0
1140.000138, 9.99999, 2308, 1057, 28407.3, 24670, 59976, 106966, 175219, 182726, 0
