elapsed, window, total, successful, failed
10.000025, 10.000025, 2777, 2777, 0
20.000553, 10.000528, 2771, 2771, 0
30.000552, 9.999999, 2753, 2753, 0
40.000553, 10.000001, 2648, 2648, 0
50.000559, 10.000006, 2677, 2677, 0
60.000553, 9.999994, 2716, 2716, 0
70.000553, 10.0, 2649, 2649, 0
80.000548, 9.999995, 2640, 2640, 0
90.000548, 10.0, 2661, 2661, 0
100.000554, 10.000006, 2775, 2775, 0
110.000558, 10.000004, 2569, 2569, 0
120.000548, 9.99999, 2636, 2636, 0
130.000555, 10.000007, 2696, 2696, 0
140.000553, 9.999998, 2716, 2716, 0
150.000554, 10.000001, 2643, 2643, 0
160.000605, 10.000051, 2646, 2646, 0
170.000553, 9.999948, 2695, 2695, 0
180.000554, 10.000001, 2644, 2644, 0
190.000561, 10.000007, 2669, 2669, 0
200.000557, 9.999996, 2677, 2677, 0
210.000553, 9.999996, 2691, 2691, 0
220.000554, 10.000001, 2468, 2468, 0
230.000591, 10.000037, 2630, 2630, 0
240.000551, 9.99996, 2698, 2698, 0
250.000548, 9.999997, 2616, 2616, 0
260.000555, 10.000007, 2566, 2566, 0
270.000555, 10.0, 2663, 2663, 0
280.000553, 9.999998, 2724, 2724, 0
290.000555, 10.000002, 2568, 2568, 0
300.000553, 9.999998, 2669, 2669, 0
310.000555, 10.000002, 2727, 2727, 0
320.000549, 9.999994, 2607, 2607, 0
330.00055, 10.000001, 2622, 2622, 0
340.000548, 9.999998, 2742, 2742, 0
350.000554, 10.000006, 2628, 2628, 0
360.000553, 9.999999, 2409, 2409, 0
370.000553, 10.0, 2553, 2553, 0
380.000547, 9.999994, 2734, 2734, 0
390.000553, 10.000006, 2660, 2660, 0
400.000553, 10.0, 2636, 2636, 0
410.000549, 9.999996, 2610, 2610, 0
420.000607, 10.000058, 2721, 2721, 0
430.000554, 9.999947, 2587, 2587, 0
440.000554, 10.0, 2699, 2699, 0
450.000555, 10.000001, 2693, 2693, 0
460.000616, 10.000061, 2612, 2612, 0
470.000548, 9.999932, 2590, 2590, 0
480.000552, 10.000004, 2708, 2708, 0
490.000555, 10.000003, 2626, 2626, 0
500.000561, 10.000006, 2674, 2674, 0
510.000552, 9.999991, 2612, 2612, 0
520.000553, 10.000001, 2645, 2645, 0
530.000554, 10.000001, 2630, 2630, 0
540.000647, 10.000093, 2646, 2646, 0
550.000575, 9.999928, 2645, 2645, 0
560.000553, 9.999978, 2682, 2682, 0
570.000553, 10.0, 2622, 2622, 0
580.00056, 10.000007, 2609, 2609, 0
590.000553, 9.999993, 2684, 2684, 0
600.000553, 10.0, 2667, 2667, 0
610.000563, 10.00001, 2621, 2621, 0
620.000553, 9.99999, 2690, 2690, 0
630.000554, 10.000001, 2721, 2721, 0
640.000569, 10.000015, 2641, 2641, 0
650.000549, 9.99998, 2693, 2693, 0
660.000555, 10.000006, 2702, 2702, 0
670.000553, 9.999998, 2612, 2612, 0
680.000553, 10.0, 2616, 2616, 0
690.000549, 9.999996, 2703, 2703, 0
700.000548, 9.999999, 2632, 2632, 0
710.000558, 10.00001, 2684, 2684, 0
720.000554, 9.999996, 2624, 2624, 0
730.000553, 9.999999, 2755, 2755, 0
740.00056, 10.000007, 2696, 2696, 0
750.000556, 9.999996, 2661, 2661, 0
760.000549, 9.999993, 2672, 2672, 0
770.000555, 10.000006, 2781, 2781, 0
780.000554, 9.999999, 2598, 2598, 0
