elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.99998, 9.99998, 235, 1562, 50546.9, 42724, 111623, 288856, 374873, 374873, 0
20.000155, 10.000175, 227, 2036, 50215.2, 43931, 113502, 202620, 256917, 256917, 0
30.00015, 9.999995, 290, 1289, 47920.4, 41227, 105847, 165538, 195451, 195451, 0
40.000159, 10.000009, 234, 1587, 57721.5, 41802, 154011, 315629, 478067, 478067, 0
50.000203, 10.000044, 222, 1858, 48312.5, 40015, 121685, 198319, 210748, 210748, 0
60.000164, 9.999961, 229, 1504, 46352.6, 39271, 109443, 168535, 336706, 336706, 0
70.000151, 9.999987, 251, 1562, 53950.4, 41326, 140990, 241110, 368597, 368597, 0
80.000157, 10.000006, 219, 1456, 55696.3, 40335, 130277, 290671, 635232, 635232, 0
90.000195, 10.000038, 248, 1598, 48818.0, 42331, 109833, 172804, 260216, 260216, 0
100.000151, 9.999956, 266, 1615, 48881.8, 39099, 106912, 194103, 459589, 459589, 0
110.000146, 9.999995, 250, 1974, 61331.3, 47196, 161836, 235272, 266474, 266474, 0
120.000146, 10.0, 258, 1455, 48463.7, 41483, 116569, 152633, 253347, 253347, 0
130.000151, 10.000005, 258, 1474, 51365.6, 43622, 111990, 155371, 363429, 363429, 0
140.000147, 9.999996, 241, 1609, 53300.7, 40303, 132818, 310930, 701452, 701452, 0
150.000151, 10.000004, 208, 1437, 48911.0, 37358, 121100, 232557, 335603, 335603, 0
160.000147, 9.999996, 247, 1526, 47659.6, 38049, 109467, 162100, 241477, 241477, 0
170.000156, 10.000009, 216, 2479, 46078.0, 37847, 104436, 181830, 314746, 314746, 0
180.000151, 9.999995, 242, 1211, 53627.9, 40475, 150444, 204376, 316852, 316852, 0
190.000147, 9.999996, 242, 2755, 53694.6, 41265, 135970, 212373, 496710, 496710, 0
200.000151, 10.000004, 246, 1949, 47703.8, 40107, 115985, 204283, 256023, 256023, 0
210.000151, 10.0, 235, 1708, 56123.0, 43203, 140865, 266662, 441554, 441554, 0
220.0002, 10.000049, 239, 1591, 62915.5, 40389, 167526, 417118, 729660, 729660, 0
230.000151, 9.999951, 256, 1257, 47928.3, 37496, 115065, 210350, 508201, 508201, 0
240.000154, 10.000003, 244, 1875, 46809.7, 38787, 106577, 132814, 217402, 217402, 0
250.000152, 9.999998, 237, 1558, 55970.3, 37790, 150268, 280965, 568339, 568339, 0
260.000152, 10.0, 237, 1795, 55117.0, 42161, 137214, 238137, 416375, 416375, 0
270.000159, 10.000007, 236, 1381, 50054.2, 39520, 129151, 216590, 337241, 337241, 0
280.000246, 10.000087, 271, 1479, 50995.4, 40150, 124372, 267061, 308979, 308979, 0
290.000234, 9.999988, 229, 1432, 54397.7, 40075, 147859, 270748, 410367, 410367, 0
300.000146, 9.999912, 240, 1839, 60267.5, 44163, 163189, 223071, 313074, 313074, 0
310.000185, 10.000039, 243, 1321, 56203.4, 41755, 161503, 255383, 427633, 427633, 0
320.000152, 9.999967, 213, 2150, 56843.1, 42376, 166195, 255451, 432540, 432540, 0
330.000353, 10.000201, 238, 1444, 51666.6, 38355, 134714, 237123, 420375, 420375, 0
340.000146, 9.999793, 229, 1846, 50125.6, 42022, 119708, 176855, 265949, 265949, 0
350.000151, 10.000005, 262, 2214, 49601.6, 39583, 123117, 180526, 308201, 308201, 0
360.000152, 10.000001, 227, 1591, 58176.8, 40080, 164629, 337701, 556561, 556561, 0
370.000151, 9.999999, 228, 2367, 53274.1, 43484, 130455, 250601, 260370, 260370, 0
380.000158, 10.000007, 245, 1954, 53224.0, 42220, 132340, 215105, 300408, 300408, 0
390.000151, 9.999993, 242, 1499, 53098.3, 42596, 130514, 227119, 344118, 344118, 0
400.000202, 10.000051, 251, 1256, 57976.5, 40276, 143583, 394361, 689482, 689482, 0
410.000154, 9.999952, 250, 1554, 48780.9, 37493, 109259, 209787, 288868, 288868, 0
420.000158, 10.000004, 252, 1638, 54807.6, 42865, 141411, 206139, 341498, 341498, 0
430.000174, 10.000016, 249, 1953, 53632.0, 42526, 133170, 207894, 493637, 493637, 0
440.000159, 9.999985, 236, 1554, 50030.2, 39950, 124617, 188548, 733112, 733112, 0
450.000147, 9.999988, 250, 1643, 49903.4, 38827, 120381, 186287, 293600, 293600, 0
460.000152, 10.000005, 252, 1868, 52897.9, 42103, 138347, 242557, 378812, 378812, 0
470.000153, 10.000001, 228, 1485, 53102.2, 42659, 130831, 240190, 357792, 357792, 0
480.000223, 10.00007, 233, 1473, 51137.6, 39045, 150555, 223653, 256326, 256326, 0
490.000151, 9.999928, 239, 1518, 48986.7, 39186, 119310, 185864, 247602, 247602, 0
500.000211, 10.00006, 196, 1611, 57010.7, 43151, 160626, 199641, 294914, 294914, 0
510.000152, 9.999941, 228, 1267, 58117.3, 42708, 138475, 296556, 881834, 881834, 0
520.00024, 10.000088, 213, 1567, 52768.8, 42161, 134906, 217060, 324651, 324651, 0
530.000164, 9.999924, 237, 1645, 52156.0, 39518, 140579, 224366, 608225, 608225, 0
540.00015, 9.999986, 217, 1363, 57571.0, 42424, 154027, 353208, 908689, 908689, 0
550.000164, 10.000014, 215, 1631, 53040.4, 43269, 127790, 240899, 283674, 283674, 0
560.000152, 9.999988, 229, 1332, 49456.7, 40751, 128253, 198825, 430336, 430336, 0
570.000275, 10.000123, 237, 2455, 53089.9, 40894, 144736, 244459, 379145, 379145, 0
580.000151, 9.999876, 258, 1854, 52532.3, 44673, 115641, 221466, 332837, 332837, 0
590.000151, 10.0, 233, 1435, 54760.3, 43997, 145699, 221466, 257175, 257175, 0
600.000151, 10.0, 210, 1363, 54656.2, 43023, 141147, 229947, 304931, 304931, 0
610.000157, 10.000006, 176, 2207, 64805.1, 42723, 229947, 357774, 777745, 777745, 0
620.000151, 9.999994, 246, 1568, 53847.3, 41800, 120245, 276976, 637956, 637956, 0
630.00016, 10.000009, 246, 1368, 49758.1, 39591, 130148, 212221, 320720, 320720, 0
640.000151, 9.999991, 233, 1926, 61769.0, 44744, 154219, 323651, 587559, 587559, 0
650.000147, 9.999996, 226, 1513, 56369.2, 38854, 164151, 325925, 401286, 401286, 0
660.000147, 10.0, 222, 1697, 52923.3, 40032, 125163, 325925, 360810, 360810, 0
670.00023, 10.000083, 235, 2223, 56589.0, 42968, 141348, 202312, 619555, 619555, 0
680.000157, 9.999927, 242, 2218, 61490.8, 44579, 153713, 295265, 413015, 413015, 0
690.000152, 9.999995, 222, 2440, 52769.8, 42979, 118431, 218340, 369954, 369954, 0
700.000151, 9.999999, 202, 1457, 68358.1, 42673, 167679, 529526, 1045258, 1045258, 0
710.000146, 9.999995, 270, 1418, 53432.9, 41000, 143956, 270195, 343703, 343703, 0
720.000153, 10.000007, 238, 1344, 54493.6, 42932, 136288, 231994, 611279, 611279, 0
730.00015, 9.999997, 266, 1335, 54876.0, 42026, 136722, 207155, 496094, 496094, 0
740.000146, 9.999996, 239, 1810, 53002.1, 41122, 124684, 234999, 397009, 397009, 0
750.000149, 10.000003, 235, 1412, 54680.0, 43407, 145858, 268677, 397009, 397009, 0
760.000151, 10.000002, 234, 1412, 53378.5, 44443, 131455, 168683, 362116, 362116, 0
770.000151, 10.0, 243, 1733, 54380.6, 46001, 141667, 230319, 364612, 364612, 0
780.000148, 9.999997, 235, 1810, 53619.4, 40968, 136010, 292888, 315604, 315604, 0
790.000151, 10.000003, 214, 1601, 52428.4, 39716, 126144, 366565, 448889, 448889, 0
800.000187, 10.000036, 243, 1650, 49748.1, 40672, 136085, 208061, 258622, 258622, 0
