elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 468, 1931, 38042.7, 11749, 206147, 512317, 681926, 681926, 0
20.000914, 10.000891, 424, 2202, 39932.0, 13225, 198509, 475159, 645177, 645177, 0
30.000924, 10.00001, 395, 2291, 36438.7, 14758, 158087, 329734, 528279, 528279, 0
40.001001, 10.000077, 438, 2046, 41149.2, 13120, 209614, 410546, 555956, 555956, 0
50.000926, 9.999925, 456, 2170, 42494.7, 13549, 267910, 451019, 594813, 594813, 0
60.000928, 10.000002, 419, 2162, 40406.0, 15376, 186570, 403553, 554443, 554443, 0
70.000925, 9.999997, 443, 2177, 36369.8, 15165, 157957, 321362, 464577, 464577, 0
80.000922, 9.999997, 402, 2170, 38431.8, 14579, 183141, 276750, 498974, 498974, 0
90.000928, 10.000006, 422, 1971, 41130.8, 11639, 237980, 407923, 512304, 512304, 0
100.000916, 9.999988, 451, 2425, 38677.7, 12889, 169704, 415691, 905675, 905675, 0
110.000914, 9.999998, 426, 2010, 37988.9, 14105, 189753, 273779, 386813, 386813, 0
120.00091, 9.999996, 461, 2010, 28819.5, 14027, 108417, 220784, 329852, 329852, 0
130.001066, 10.000156, 485, 2241, 28780.7, 16596, 102086, 185270, 352503, 352503, 0
140.000923, 9.999857, 414, 2019, 30174.8, 16027, 115899, 229150, 436728, 436728, 0
150.000959, 10.000036, 449, 2286, 34552.3, 13194, 151808, 391482, 455730, 455730, 0
160.000912, 9.999953, 443, 2145, 33200.7, 13518, 139072, 365595, 516677, 516677, 0
170.000987, 10.000075, 450, 2135, 36743.6, 14763, 138107, 384661, 693019, 693019, 0
180.000923, 9.999936, 479, 2161, 31884.9, 12585, 135535, 257020, 344229, 344229, 0
190.000915, 9.999992, 450, 2147, 31435.6, 14056, 91561, 368785, 682329, 682329, 0
200.000929, 10.000014, 494, 2293, 30168.6, 13175, 122215, 256408, 308454, 366131, 0
210.000913, 9.999984, 454, 2022, 38801.6, 12690, 195236, 336461, 501128, 501128, 0
220.00094, 10.000027, 489, 2093, 32709.1, 14588, 120246, 264615, 439718, 501128, 0
230.00092, 9.99998, 445, 1979, 39886.6, 12256, 181832, 376584, 719357, 719357, 0
240.000926, 10.000006, 448, 2066, 36205.5, 11518, 195808, 336548, 503309, 503309, 0
250.001063, 10.000137, 420, 1887, 56943.5, 9559, 329386, 941495, 2002052, 2002052, 0
260.000915, 9.999852, 426, 2196, 47306.5, 11065, 308713, 731446, 1010907, 1010907, 0
270.000953, 10.000038, 450, 1986, 34920.8, 12001, 132914, 490850, 838930, 838930, 0
280.000918, 9.999965, 419, 2030, 33904.2, 11388, 138091, 398428, 790604, 790604, 0
290.000918, 10.0, 461, 2040, 34113.1, 13631, 126540, 457660, 589107, 589107, 0
300.000911, 9.999993, 459, 2213, 42887.7, 10507, 304434, 484482, 723708, 723708, 0
310.000923, 10.000012, 445, 2132, 39041.2, 12172, 230273, 459069, 763249, 763249, 0
320.000924, 10.000001, 482, 2129, 45061.5, 9343, 271004, 603774, 1186515, 1186515, 0
330.000925, 10.000001, 462, 2114, 33912.6, 12946, 146467, 327880, 611946, 611946, 0
340.000923, 9.999998, 475, 2111, 37754.0, 11399, 213640, 420211, 699907, 699907, 0
350.000947, 10.000024, 464, 2215, 35850.7, 12212, 190990, 357919, 543755, 543755, 0
360.000951, 10.000004, 471, 2083, 34525.5, 13717, 132134, 279275, 1067544, 1067544, 0
370.000945, 9.999994, 468, 2230, 43694.8, 10091, 263189, 754691, 1146508, 1146508, 0
380.000942, 9.999997, 454, 2134, 36562.6, 10497, 235263, 503219, 968942, 968942, 0
390.000961, 10.000019, 457, 2314, 35592.1, 12700, 169988, 410930, 541947, 541947, 0
400.000982, 10.000021, 434, 2433, 41116.4, 9877, 176574, 717723, 1109572, 1109572, 0
410.000958, 9.999976, 442, 2292, 42856.0, 12682, 232024, 399463, 1033129, 1033129, 0
420.000952, 9.999994, 432, 2163, 40739.2, 11560, 223325, 422856, 1019967, 1019967, 0
430.000952, 10.0, 471, 2121, 44268.8, 10461, 266195, 702346, 902733, 902733, 0
440.00093, 9.999978, 469, 2117, 48241.4, 11639, 266997, 625974, 828322, 828322, 0
450.000921, 9.999991, 433, 2084, 41083.1, 11560, 230007, 535266, 699017, 699017, 0
460.000927, 10.000006, 526, 2155, 32349.3, 12647, 126916, 354284, 645686, 670041, 0
470.00094, 10.000013, 464, 2319, 34194.9, 12651, 141522, 451208, 660660, 660660, 0
480.000924, 9.999984, 441, 2050, 37640.0, 12200, 174110, 311837, 980840, 980840, 0
490.000915, 9.999991, 459, 2341, 40500.0, 11755, 243156, 484255, 678392, 678392, 0
500.000917, 10.000002, 425, 2188, 39156.8, 13428, 176840, 421031, 653164, 653164, 0
510.000922, 10.000005, 458, 2069, 30580.0, 12252, 118409, 312980, 763936, 763936, 0
520.000926, 10.000004, 409, 2034, 56426.9, 8681, 339661, 905687, 1887761, 1887761, 0
530.000934, 10.000008, 446, 2243, 49878.0, 11109, 322594, 721695, 1226738, 1226738, 0
540.000923, 9.999989, 421, 2154, 32292.0, 11999, 161707, 388368, 520741, 520741, 0
550.000919, 9.999996, 442, 2350, 40684.0, 11873, 223152, 545343, 809166, 809166, 0
560.000914, 9.999995, 437, 2107, 38021.0, 12666, 199682, 367201, 663721, 663721, 0
570.000911, 9.999997, 407, 2102, 40841.3, 12521, 218698, 425821, 682826, 682826, 0
580.000918, 10.000007, 456, 2730, 33904.8, 14765, 146281, 323060, 535376, 535376, 0
590.000939, 10.000021, 488, 1992, 39871.3, 11405, 203981, 566805, 1407374, 1407374, 0
600.000914, 9.999975, 484, 2032, 32766.3, 12318, 146285, 315381, 680659, 680659, 0
610.000924, 10.00001, 458, 2121, 38330.7, 11442, 169615, 471874, 760973, 760973, 0
