elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 4479, 1605, 14662.3, 8226, 41801, 116557, 195397, 295269, 0
20.000021, 9.999998, 4195, 1541, 14723.8, 8312, 42576, 97890, 235927, 307791, 0
30.000263, 10.000242, 4180, 1543, 15678.7, 9411, 41973, 115574, 248927, 374958, 0
40.000249, 9.999986, 4329, 1548, 14720.4, 7892, 40109, 125157, 309315, 393662, 0
50.000248, 9.999999, 4315, 1573, 14718.1, 8122, 41867, 109899, 285740, 346556, 0
60.000253, 10.000005, 4339, 1446, 13386.1, 7665, 34122, 113965, 283755, 325068, 0
70.00025, 9.999997, 4386, 1564, 13583.6, 8082, 36683, 85453, 253878, 304091, 0
80.000262, 10.000012, 4396, 1520, 14535.9, 8007, 43889, 105966, 236281, 277395, 0
90.000255, 9.999993, 4355, 1473, 13802.1, 7117, 36840, 130620, 261002, 453000, 0
100.000263, 10.000008, 4300, 1494, 15133.4, 9163, 44110, 86820, 172469, 263712, 0
110.000252, 9.999989, 4204, 1548, 14964.4, 8427, 45124, 111354, 212403, 287879, 0
120.000255, 10.000003, 4357, 1474, 14001.6, 8590, 39112, 81992, 243681, 419765, 0
130.000298, 10.000043, 4276, 1529, 13996.1, 7808, 40728, 104571, 209839, 382420, 0
140.000301, 10.000003, 4362, 1524, 14590.2, 8575, 42617, 81559, 182986, 275302, 0
150.000294, 9.999993, 4290, 1438, 14728.3, 8118, 42913, 103045, 189623, 446678, 0
160.00029, 9.999996, 4433, 1546, 14651.6, 8375, 39318, 126157, 228408, 423132, 0
170.000285, 9.999995, 4484, 1484, 12944.8, 7230, 35746, 98443, 230863, 276430, 0
180.000391, 10.000106, 4347, 1489, 14508.7, 9437, 40791, 82404, 143068, 185841, 0
190.00029, 9.999899, 4258, 1570, 13805.2, 7225, 35843, 120111, 351385, 1248613, 0
200.000307, 10.000017, 4507, 1580, 14156.5, 7309, 42709, 118302, 247238, 316714, 0
210.00027, 9.999963, 4417, 1622, 14261.6, 7738, 42629, 108205, 218253, 266020, 0
220.000247, 9.999977, 4395, 1477, 14110.9, 7830, 41554, 111443, 225007, 244406, 0
230.000265, 10.000018, 4470, 1492, 13881.2, 8122, 39808, 105410, 212862, 317197, 0
240.000265, 10.0, 4520, 1443, 13773.0, 7294, 39092, 125286, 225371, 297933, 0
250.00026, 9.999995, 4544, 1443, 14392.6, 8288, 41400, 110779, 202740, 309950, 0
260.000264, 10.000004, 4428, 1399, 13975.4, 6908, 44000, 136328, 219706, 258766, 0
270.000341, 10.000077, 4575, 1532, 14095.4, 7763, 38898, 126362, 254724, 275844, 0
280.000263, 9.999922, 4649, 1433, 14110.0, 8682, 39671, 83402, 169788, 250973, 0
290.00031, 10.000047, 4663, 1519, 13938.6, 8080, 39015, 93125, 224344, 349154, 0
300.000255, 9.999945, 4545, 1534, 14370.8, 9090, 39342, 78645, 180589, 219581, 0
310.000265, 10.00001, 4723, 1430, 13739.5, 8326, 38495, 92577, 178569, 276969, 0
320.000264, 9.999999, 4721, 1493, 13501.5, 7695, 38755, 91452, 183953, 268453, 0
330.000263, 9.999999, 4745, 1544, 13283.8, 7128, 38954, 103293, 200077, 240497, 0
340.000279, 10.000016, 4779, 1575, 13722.7, 8216, 40154, 82433, 180385, 236015, 0
350.000264, 9.999985, 4615, 1503, 13726.0, 7708, 41777, 87292, 206917, 272919, 0
