elapsed, window, total, successful, failed
10.000023, 10.000023, 4923, 4923, 0
20.000021, 9.999998, 4616, 4616, 0
30.000263, 10.000242, 4600, 4600, 0
40.000249, 9.999986, 4753, 4753, 0
50.000248, 9.999999, 4742, 4742, 0
60.000253, 10.000005, 4788, 4788, 0
70.00025, 9.999997, 4835, 4835, 0
80.000262, 10.000012, 4798, 4798, 0
90.000255, 9.999993, 4778, 4778, 0
100.000263, 10.000008, 4719, 4719, 0
110.000252, 9.999989, 4646, 4646, 0
120.000255, 10.000003, 4767, 4767, 0
130.000298, 10.000043, 4725, 4725, 0
140.000301, 10.000003, 4813, 4813, 0
150.000294, 9.999993, 4732, 4732, 0
160.00029, 9.999996, 4861, 4861, 0
170.000285, 9.999995, 4935, 4935, 0
180.000391, 10.000106, 4816, 4816, 0
190.00029, 9.999899, 4724, 4724, 0
200.000307, 10.000017, 4979, 4979, 0
210.00027, 9.999963, 4844, 4844, 0
220.000247, 9.999977, 4852, 4852, 0
230.000265, 10.000018, 4944, 4944, 0
240.000265, 10.0, 4959, 4959, 0
250.00026, 9.999995, 4980, 4980, 0
260.000264, 10.000004, 4885, 4885, 0
270.000341, 10.000077, 5021, 5021, 0
280.000263, 9.999922, 5088, 5088, 0
290.00031, 10.000047, 5091, 5091, 0
300.000255, 9.999945, 4985, 4985, 0
310.000265, 10.00001, 5200, 5200, 0
320.000264, 9.999999, 5170, 5170, 0
330.000263, 9.999999, 5231, 5231, 0
340.000279, 10.000016, 5241, 5241, 0
350.000264, 9.999985, 5068, 5068, 0
360.000254, 9.99999, 5135, 5135, 0
370.000254, 10.0, 5293, 5293, 0
380.000254, 10.0, 5084, 5084, 0
390.000251, 9.999997, 5289, 5289, 0
400.000259, 10.000008, 4935, 4935, 0
410.000254, 9.999995, 5118, 5118, 0
420.000262, 10.000008, 5143, 5143, 0
430.000247, 9.999985, 5046, 5046, 0
440.000262, 10.000015, 5078, 5078, 0
450.000265, 10.000003, 4873, 4873, 0
460.000261, 9.999996, 4955, 4955, 0
470.000254, 9.999993, 5101, 5101, 0
480.000251, 9.999997, 5043, 5043, 0
490.000262, 10.000011, 5125, 5125, 0
500.000249, 9.999987, 5009, 5009, 0
510.000323, 10.000074, 4960, 4960, 0
520.000252, 9.999929, 4986, 4986, 0
530.00026, 10.000008, 4980, 4980, 0
540.000263, 10.000003, 5079, 5079, 0
550.000254, 9.999991, 5097, 5097, 0
560.000261, 10.000007, 4947, 4947, 0
570.000273, 10.000012, 4935, 4935, 0
580.000262, 9.999989, 5130, 5130, 0
590.000269, 10.000007, 5029, 5029, 0
600.000281, 10.000012, 4979, 4979, 0
610.000249, 9.999968, 4969, 4969, 0
620.000263, 10.000014, 4922, 4922, 0
630.000263, 10.0, 5001, 5001, 0
640.000253, 9.99999, 4892, 4892, 0
650.000269, 10.000016, 4972, 4972, 0
660.000267, 9.999998, 4885, 4885, 0
670.000253, 9.999986, 4897, 4897, 0
680.000263, 10.00001, 4722, 4722, 0
690.000251, 9.999988, 4961, 4961, 0
700.000363, 10.000112, 5021, 5021, 0
710.000265, 9.999902, 4976, 4976, 0
720.000262, 9.999997, 5068, 5068, 0
730.00031, 10.000048, 4968, 4968, 0
740.000257, 9.999947, 4825, 4825, 0
750.000273, 10.000016, 4957, 4957, 0
760.000309, 10.000036, 5043, 5043, 0
770.000253, 9.999944, 4955, 4955, 0
780.000304, 10.000051, 4851, 4851, 0
790.000276, 9.999972, 4992, 4992, 0
800.000275, 9.999999, 4931, 4931, 0
810.000294, 10.000019, 4822, 4822, 0
820.000255, 9.999961, 4886, 4886, 0
830.000323, 10.000068, 4917, 4917, 0
840.000269, 9.999946, 4872, 4872, 0
850.000251, 9.999982, 4948, 4948, 0
860.000252, 10.000001, 4810, 4810, 0
870.000249, 9.999997, 4935, 4935, 0
880.000254, 10.000005, 4925, 4925, 0
890.000273, 10.000019, 4889, 4889, 0
900.000253, 9.99998, 4945, 4945, 0
910.000314, 10.000061, 4676, 4676, 0
920.000265, 9.999951, 4724, 4724, 0
930.000288, 10.000023, 4905, 4905, 0
940.00026, 9.999972, 4907, 4907, 0
950.000266, 10.000006, 4972, 4972, 0
960.000264, 9.999998, 4875, 4875, 0
970.000263, 9.999999, 4806, 4806, 0
980.000251, 9.999988, 4763, 4763, 0
990.000254, 10.000003, 4873, 4873, 0
1000.00027, 10.000016, 4827, 4827, 0
1010.000276, 10.000006, 4904, 4904, 0
1020.000264, 9.999988, 4675, 4675, 0
1030.000263, 9.999999, 4840, 4840, 0
1040.000315, 10.000052, 4752, 4752, 0
1050.000272, 9.999957, 4741, 4741, 0
1060.000251, 9.999979, 4731, 4731, 0
1070.000253, 10.000002, 4758, 4758, 0
1080.000263, 10.00001, 4997, 4997, 0
1090.000262, 9.999999, 4842, 4842, 0
1100.00025, 9.999988, 4830, 4830, 0
1110.000255, 10.000005, 4888, 4888, 0
1120.000253, 9.999998, 4844, 4844, 0
1130.000276, 10.000023, 4781, 4781, 0
1140.000268, 9.999992, 4788, 4788, 0
1150.000253, 9.999985, 4986, 4986, 0
1160.000255, 10.000002, 4751, 4751, 0
1170.000252, 9.999997, 4752, 4752, 0
1180.000252, 10.0, 4795, 4795, 0
1190.000319, 10.000067, 4672, 4672, 0
1200.00027, 9.999951, 4802, 4802, 0
1210.000249, 9.999979, 4731, 4731, 0
1220.000254, 10.000005, 4954, 4954, 0
1230.000257, 10.000003, 4675, 4675, 0
1240.000269, 10.000012, 4835, 4835, 0
1250.000265, 9.999996, 4679, 4679, 0
1260.000269, 10.000004, 4770, 4770, 0
1270.000255, 9.999986, 4710, 4710, 0
1280.000277, 10.000022, 4716, 4716, 0
1290.000279, 10.000002, 4788, 4788, 0
1300.000261, 9.999982, 4869, 4869, 0
1310.00027, 10.000009, 4729, 4729, 0
1320.000253, 9.999983, 4680, 4680, 0
1330.000265, 10.000012, 4743, 4743, 0
1340.000264, 9.999999, 4857, 4857, 0
1350.000278, 10.000014, 4772, 4772, 0
1360.000275, 9.999997, 4710, 4710, 0
1370.000265, 9.99999, 4582, 4582, 0
1380.000274, 10.000009, 4739, 4739, 0
1390.000263, 9.999989, 4884, 4884, 0
1400.000249, 9.999986, 4817, 4817, 0
1410.000253, 10.000004, 4841, 4841, 0
1420.000264, 10.000011, 4599, 4599, 0
1430.000271, 10.000007, 4745, 4745, 0
1440.000253, 9.999982, 4665, 4665, 0
1450.000256, 10.000003, 4766, 4766, 0
1460.000253, 9.999997, 4518, 4518, 0
1470.00026, 10.000007, 4661, 4661, 0
1480.000262, 10.000002, 4684, 4684, 0
1490.000259, 9.999997, 4672, 4672, 0
1500.000264, 10.000005, 4750, 4750, 0
1510.000265, 10.000001, 4678, 4678, 0
1520.000268, 10.000003, 4550, 4550, 0
1530.000305, 10.000037, 4599, 4599, 0
1540.000311, 10.000006, 4745, 4745, 0
1550.000285, 9.999974, 4696, 4696, 0
1560.000259, 9.999974, 4648, 4648, 0
1570.000254, 9.999995, 4724, 4724, 0
1580.00025, 9.999996, 4691, 4691, 0
1590.00026, 10.00001, 4761, 4761, 0
1600.000253, 9.999993, 4558, 4558, 0
1610.000255, 10.000002, 4600, 4600, 0
1620.000261, 10.000006, 4913, 4913, 0
1630.000249, 9.999988, 4626, 4626, 0
1640.00025, 10.000001, 4628, 4628, 0
1650.000311, 10.000061, 4656, 4656, 0
1660.000264, 9.999953, 4609, 4609, 0
1670.000262, 9.999998, 4677, 4677, 0
1680.000252, 9.99999, 4526, 4526, 0
1690.000252, 10.0, 4565, 4565, 0
1700.000256, 10.000004, 4578, 4578, 0
1710.000291, 10.000035, 4643, 4643, 0
1720.000268, 9.999977, 4739, 4739, 0
1730.000265, 9.999997, 4780, 4780, 0
1740.000298, 10.000033, 4708, 4708, 0
1750.000263, 9.999965, 4621, 4621, 0
1760.000263, 10.0, 4762, 4762, 0
1770.000275, 10.000012, 4679, 4679, 0
1780.000264, 9.999989, 4664, 4664, 0
