elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00006, 10.00006, 1687, 1484, 5598.8, 4717, 11784, 15678, 19391, 87869, 0
20.000522, 10.000462, 1727, 1427, 5952.2, 4726, 11797, 16750, 131063, 261292, 0
30.000521, 9.999999, 1144, 1581, 13029.4, 4931, 35304, 184852, 524733, 540790, 0
40.000547, 10.000026, 1130, 1596, 14337.7, 5286, 61637, 195109, 523670, 540242, 0
50.000509, 9.999962, 1246, 1505, 13160.8, 5268, 18134, 210766, 512659, 603226, 0
60.00052, 10.000011, 1034, 1572, 19613.5, 5136, 71597, 423952, 678992, 680877, 0
70.000605, 10.000085, 1396, 1566, 11559.9, 4825, 14546, 199663, 679562, 720879, 0
80.000518, 9.999913, 1575, 1555, 8343.1, 4880, 13020, 106151, 265722, 363391, 0
90.000514, 9.999996, 1263, 1504, 11539.4, 4996, 20915, 164640, 332630, 409394, 0
100.000537, 10.000023, 1090, 1600, 13553.9, 5590, 30274, 217056, 645056, 651895, 0
110.00056, 10.000023, 1138, 1460, 14513.3, 5376, 33652, 273700, 640859, 763766, 0
120.000509, 9.999949, 1107, 1590, 15835.8, 5024, 29857, 312204, 497985, 544061, 0
130.000512, 10.000003, 1293, 1512, 15621.9, 5216, 15068, 465083, 670613, 706471, 0
140.000526, 10.000014, 1234, 1491, 13409.6, 5366, 23340, 261922, 437104, 484808, 0
150.000518, 9.999992, 1023, 1475, 18372.4, 6427, 77629, 308362, 658294, 691527, 0
160.000536, 10.000018, 947, 1475, 22001.1, 6653, 124276, 310772, 642543, 677038, 0
170.000511, 9.999975, 1061, 1534, 17806.0, 5976, 26327, 426379, 631100, 720799, 0
180.000533, 10.000022, 992, 1536, 15485.1, 5874, 59801, 237030, 381465, 394971, 0
190.000524, 9.999991, 1117, 1613, 16224.4, 5640, 59290, 261568, 543700, 556454, 0
200.000508, 9.999984, 1235, 1505, 14641.5, 5390, 27236, 264402, 472367, 657459, 0
210.000516, 10.000008, 1267, 1605, 11357.5, 5241, 17615, 203435, 605280, 738031, 0
220.000539, 10.000023, 1201, 1473, 12110.4, 5318, 24433, 185284, 308700, 400183, 0
230.000518, 9.999979, 1202, 1422, 12468.2, 5648, 18077, 222717, 502312, 512983, 0
240.000532, 10.000014, 1247, 1537, 14990.1, 5336, 19369, 286799, 638257, 655854, 0
250.000508, 9.999976, 1194, 1566, 14109.7, 5295, 19688, 314475, 545443, 603108, 0
260.000518, 10.00001, 1441, 1527, 7667.0, 4907, 13851, 57207, 287688, 458988, 0
270.000554, 10.000036, 1216, 1576, 10992.6, 5223, 18327, 172785, 317192, 331485, 0
280.000549, 9.999995, 1326, 1560, 12501.3, 5398, 19320, 200368, 446046, 454854, 0
290.000789, 10.00024, 1270, 1540, 11086.8, 5046, 15156, 233071, 375700, 510423, 0
300.000643, 9.999854, 1337, 1484, 10780.5, 5369, 17253, 160596, 374877, 419828, 0
310.00052, 9.999877, 1210, 1532, 11601.3, 5343, 22788, 158991, 385440, 430961, 0
