elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000144, 10.000144, 16738, 1011, 4141.8, 3452, 8732, 12439, 21907, 194628, 0
20.000126, 9.999982, 15824, 1029, 4275.5, 3509, 8944, 13030, 40187, 157210, 0
30.00014, 10.000014, 14543, 1054, 4496.6, 3498, 8998, 13877, 117983, 367011, 0
40.000312, 10.000172, 12149, 1058, 4917.2, 3478, 9487, 17624, 172721, 427109, 0
50.000217, 9.999905, 13595, 1046, 4620.6, 3512, 9292, 15126, 139562, 260950, 0
60.000312, 10.000095, 12389, 1051, 4978.1, 3530, 9696, 17653, 169116, 482189, 0
70.000107, 9.999795, 14295, 1007, 4576.3, 3510, 9385, 14483, 111027, 478860, 0
80.000163, 10.000056, 11931, 1034, 5173.2, 3561, 9950, 32160, 153457, 289564, 0
90.000106, 9.999943, 12339, 1034, 5218.4, 3586, 9860, 16385, 244960, 350451, 0
100.000118, 10.000012, 12257, 1034, 5214.8, 3621, 10062, 27924, 184965, 443205, 0
110.000119, 10.000001, 10960, 1014, 5918.1, 3642, 10981, 62200, 192059, 320383, 0
120.00012, 10.000001, 10236, 1014, 6161.0, 3722, 11344, 75925, 222117, 635339, 0
130.000143, 10.000023, 9730, 1016, 6251.1, 3667, 11207, 67693, 245627, 412061, 0
140.000109, 9.999966, 12867, 996, 4952.5, 3645, 10086, 16673, 148987, 288975, 0
150.000122, 10.000013, 15032, 1034, 4496.6, 3621, 9404, 13701, 62658, 474103, 0
160.000183, 10.000061, 9825, 1021, 6316.0, 3675, 11181, 78015, 230584, 476056, 0
170.000136, 9.999953, 10165, 1067, 6062.8, 3668, 11016, 60101, 260984, 482863, 0
180.000108, 9.999972, 11378, 1039, 5325.0, 3623, 10586, 31128, 171111, 326319, 0
190.000129, 10.000021, 11425, 1005, 5483.8, 3602, 10293, 40687, 175454, 393577, 0
200.000188, 10.000059, 12509, 1068, 5260.3, 3623, 10156, 21261, 176940, 532214, 0
210.000114, 9.999926, 13992, 1044, 4696.5, 3564, 9651, 14567, 109396, 429269, 0
