elapsed, window, total, successful, failed
10.000144, 10.000144, 18396, 18396, 0
20.000126, 9.999982, 17474, 17474, 0
30.00014, 10.000014, 15907, 15907, 0
40.000312, 10.000172, 13402, 13402, 0
50.000217, 9.999905, 14988, 14988, 0
60.000312, 10.000095, 13617, 13617, 0
70.000107, 9.999795, 15764, 15764, 0
80.000163, 10.000056, 13119, 13119, 0
90.000106, 9.999943, 13561, 13561, 0
100.000118, 10.000012, 13422, 13422, 0
110.000119, 10.000001, 12017, 12017, 0
120.00012, 10.000001, 11249, 11249, 0
130.000143, 10.000023, 10745, 10745, 0
140.000109, 9.999966, 14148, 14148, 0
150.000122, 10.000013, 16629, 16629, 0
160.000183, 10.000061, 10748, 10748, 0
170.000136, 9.999953, 11178, 11178, 0
180.000108, 9.999972, 12517, 12517, 0
190.000129, 10.000021, 12592, 12592, 0
200.000188, 10.000059, 13762, 13762, 0
210.000114, 9.999926, 15396, 15396, 0
220.000108, 9.999994, 11966, 11966, 0
230.000116, 10.000008, 10701, 10701, 0
240.000114, 9.999998, 12983, 12983, 0
250.000108, 9.999994, 11701, 11701, 0
260.000115, 10.000007, 13479, 13479, 0
270.000112, 9.999997, 15400, 15400, 0
280.000112, 10.0, 13832, 13832, 0
290.000246, 10.000134, 12095, 12095, 0
300.000158, 9.999912, 12106, 12106, 0
310.000113, 9.999955, 12539, 12539, 0
320.000146, 10.000033, 13715, 13715, 0
330.000111, 9.999965, 15232, 15232, 0
340.000214, 10.000103, 13609, 13609, 0
350.000171, 9.999957, 14964, 14964, 0
360.000107, 9.999936, 15228, 15228, 0
370.000113, 10.000006, 16560, 16560, 0
380.000119, 10.000006, 15702, 15702, 0
390.000136, 10.000017, 14723, 14723, 0
400.000113, 9.999977, 14629, 14629, 0
410.00011, 9.999997, 14829, 14829, 0
420.000121, 10.000011, 14871, 14871, 0
430.00011, 9.999989, 14957, 14957, 0
440.000155, 10.000045, 14453, 14453, 0
450.000112, 9.999957, 12736, 12736, 0
460.000669, 10.000557, 13970, 13970, 0
470.000107, 9.999438, 12721, 12721, 0
480.000109, 10.000002, 12355, 12355, 0
490.000147, 10.000038, 11014, 11014, 0
500.000164, 10.000017, 11746, 11746, 0
510.000225, 10.000061, 12490, 12490, 0
520.000122, 9.999897, 11902, 11902, 0
530.000151, 10.000029, 11112, 11112, 0
540.000129, 9.999978, 10499, 10499, 0
