elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999988, 9.999988, 353, 2450, 30879.7, 27840, 55858, 68766, 512294, 512294, 0
20.000293, 10.000305, 441, 2036, 28132.7, 26245, 52222, 62925, 93191, 93191, 0
30.000294, 10.000001, 344, 1384, 29612.0, 27541, 57655, 76459, 251170, 251170, 0
40.000292, 9.999998, 300, 2154, 43288.8, 26554, 82194, 391559, 1033192, 1033192, 0
50.00032, 10.000028, 358, 1784, 31220.8, 28437, 53882, 78909, 357828, 357828, 0
60.000294, 9.999974, 385, 2419, 32100.4, 27136, 61358, 77969, 436728, 436728, 0
70.000325, 10.000031, 317, 1553, 51699.6, 26719, 165253, 640015, 1106143, 1106143, 0
80.000318, 9.999993, 255, 1642, 81799.8, 28028, 389134, 918149, 1274641, 1274641, 0
90.000282, 9.999964, 245, 2624, 58035.2, 27929, 151522, 951946, 1349768, 1349768, 0
100.000305, 10.000023, 270, 1993, 58948.4, 29721, 85875, 1045180, 1202838, 1202838, 0
110.000243, 9.999938, 294, 1528, 37003.7, 28166, 90894, 188668, 651708, 651708, 0
120.000318, 10.000075, 263, 1500, 51970.0, 27476, 143013, 590441, 1347209, 1347209, 0
130.000244, 9.999926, 176, 1771, 97494.7, 29544, 365182, 1231612, 1470876, 1470876, 0
140.000298, 10.000054, 263, 2081, 55757.6, 27831, 128108, 462799, 2157686, 2157686, 0
150.000243, 9.999945, 275, 2009, 64788.0, 27248, 80878, 1399342, 3057561, 3057561, 0
160.000247, 10.000004, 357, 2212, 36168.4, 27370, 58866, 235787, 948275, 948275, 0
170.000243, 9.999996, 297, 1559, 78924.5, 25188, 129604, 1942795, 2632940, 2632940, 0
180.000243, 10.0, 322, 1490, 44186.7, 29527, 74583, 414113, 1283086, 1283086, 0
190.000246, 10.000003, 371, 1753, 33236.9, 28701, 59340, 109551, 606782, 606782, 0
200.000245, 9.999999, 356, 1611, 35402.2, 27906, 60153, 237438, 805486, 805486, 0
210.000245, 10.0, 347, 2207, 33724.3, 29952, 69739, 163049, 215112, 215112, 0
220.000242, 9.999997, 273, 1615, 52337.3, 28426, 150904, 748066, 1276617, 1276617, 0
230.000244, 10.000002, 204, 2191, 52592.8, 27980, 145881, 594489, 968167, 968167, 0
240.000243, 9.999999, 208, 1821, 55740.9, 30011, 123815, 771697, 1816161, 1816161, 0
250.000252, 10.000009, 114, 1751, 156775.3, 30029, 920106, 1715048, 2066333, 2066333, 0
260.000343, 10.000091, 168, 1579, 137815.9, 34259, 686262, 1813118, 1932665, 1932665, 0
270.000243, 9.9999, 145, 1597, 139490.5, 28480, 249054, 2858912, 4333867, 4333867, 0
280.000245, 10.000002, 249, 2080, 108320.1, 26414, 438852, 1978814, 2529821, 2529821, 0
290.000242, 9.999997, 269, 1903, 61113.6, 28271, 86502, 522148, 2790394, 2790394, 0
300.000299, 10.000057, 233, 1540, 53722.5, 27137, 119874, 984364, 1470415, 1470415, 0
310.000243, 9.999944, 220, 1567, 111244.7, 30568, 755289, 1365212, 2148127, 2148127, 0
320.000243, 10.0, 223, 2005, 77844.9, 26376, 183661, 1247106, 1434305, 1434305, 0
330.000238, 9.999995, 309, 2005, 48513.0, 27220, 128981, 325127, 1720078, 1720078, 0
340.000242, 10.000004, 330, 1686, 50904.7, 27402, 73486, 390872, 2853005, 2853005, 0
350.000243, 10.000001, 219, 1762, 67818.8, 34721, 155899, 1172998, 1487909, 1487909, 0
360.000244, 10.000001, 254, 1605, 68429.9, 28442, 215756, 1122968, 1667840, 1667840, 0
370.000238, 9.999994, 333, 1605, 51260.1, 28081, 85876, 915326, 1188714, 1188714, 0
380.000237, 9.999999, 326, 1404, 39859.8, 29900, 135808, 191972, 430732, 430732, 0
390.000243, 10.000006, 269, 1755, 61728.0, 30169, 167663, 1089623, 1978306, 1978306, 0
400.000291, 10.000048, 307, 1652, 49951.3, 28120, 87363, 850614, 1381131, 1381131, 0
410.000241, 9.99995, 286, 1576, 59800.4, 29230, 106078, 505960, 2967278, 2967278, 0
420.000247, 10.000006, 314, 1508, 38296.9, 29500, 117539, 198346, 312404, 312404, 0
430.000242, 9.999995, 278, 1832, 85313.7, 28405, 227936, 1354868, 2540008, 2540008, 0
440.000242, 10.0, 277, 1549, 62544.3, 29035, 181920, 1145209, 1657485, 1657485, 0
450.00025, 10.000008, 273, 1558, 74531.8, 26656, 321401, 1211554, 1482899, 1482899, 0
460.000242, 9.999992, 263, 1749, 65079.6, 29301, 157854, 999878, 1415085, 1415085, 0
470.000248, 10.000006, 273, 1494, 52297.7, 29548, 79753, 725017, 2494033, 2494033, 0
480.000243, 9.999995, 287, 1881, 67273.5, 28234, 129820, 874159, 2494033, 2494033, 0
490.00033, 10.000087, 286, 1634, 52105.4, 27484, 91721, 441062, 2493584, 2493584, 0
500.00032, 9.99999, 312, 1665, 39057.8, 28723, 64903, 223423, 1115455, 1115455, 0
510.000238, 9.999918, 279, 1858, 49061.0, 30295, 104128, 720077, 922888, 922888, 0
520.000243, 10.000005, 276, 1568, 61978.3, 29660, 163485, 784386, 1166984, 1166984, 0
530.000243, 10.0, 319, 1607, 57803.8, 30004, 183207, 730653, 1008635, 1008635, 0
540.000239, 9.999996, 313, 1587, 50271.0, 29244, 115837, 560718, 1255780, 1255780, 0
550.000245, 10.000006, 290, 1626, 64284.9, 29871, 177588, 954998, 1273164, 1273164, 0
560.000239, 9.999994, 232, 1380, 62178.3, 28264, 366753, 765012, 996420, 996420, 0
570.000242, 10.000003, 274, 2712, 65397.8, 28173, 158761, 919382, 2156301, 2156301, 0
580.000245, 10.000003, 306, 1544, 52788.3, 27255, 106226, 1057884, 1728771, 1728771, 0
590.000243, 9.999998, 302, 1743, 37487.7, 30379, 76784, 177642, 704142, 704142, 0
600.000322, 10.000079, 266, 1399, 67263.8, 30105, 210362, 1200643, 1357593, 1357593, 0
610.000249, 9.999927, 333, 1399, 52635.5, 27978, 68581, 692287, 1818726, 1818726, 0
620.000243, 9.999994, 287, 1444, 67846.5, 28947, 122318, 559529, 3115792, 3115792, 0
630.000243, 10.0, 250, 1882, 53622.6, 32145, 160706, 451311, 961785, 961785, 0
640.000238, 9.999995, 302, 1487, 70179.9, 29989, 229732, 1003867, 1270806, 1270806, 0
650.000249, 10.000011, 329, 1367, 54121.0, 30578, 149338, 559023, 1228068, 1228068, 0
660.000288, 10.000039, 213, 1748, 68252.1, 28982, 169423, 994481, 1348396, 1348396, 0
670.000246, 9.999958, 206, 1589, 91240.5, 33589, 712204, 956819, 1290689, 1290689, 0
680.000242, 9.999996, 273, 1832, 41955.8, 28149, 133008, 295227, 612757, 612757, 0
690.00024, 9.999998, 266, 1548, 73464.0, 29593, 207797, 1180610, 1766588, 1766588, 0
700.000243, 10.000003, 303, 1454, 46464.6, 31648, 89007, 374844, 1131519, 1131519, 0
710.000267, 10.000024, 275, 1698, 52147.7, 31369, 126727, 584591, 1107531, 1107531, 0
720.000242, 9.999975, 211, 2229, 64994.8, 33136, 152395, 883911, 1067022, 1067022, 0
730.000243, 10.000001, 277, 1419, 74247.8, 28627, 232947, 1366258, 2104267, 2104267, 0
740.000243, 10.0, 279, 1971, 42054.2, 29386, 81837, 300370, 1058823, 1058823, 0
750.000242, 9.999999, 244, 2201, 64112.1, 28558, 103657, 931396, 2786144, 2786144, 0
760.000242, 10.0, 214, 1920, 96656.0, 30189, 287800, 1948675, 2374236, 2374236, 0
770.000238, 9.999996, 270, 1438, 77197.7, 27530, 206970, 1186257, 1499913, 1499913, 0
780.000242, 10.000004, 285, 1789, 63155.5, 30756, 173661, 1114538, 2433329, 2433329, 0
790.000242, 10.0, 274, 1649, 62669.9, 27635, 156730, 1254189, 1517896, 1517896, 0
800.000243, 10.000001, 284, 1790, 66540.6, 30358, 113055, 933715, 2701816, 2701816, 0
810.000279, 10.000036, 265, 2506, 75599.0, 29077, 77110, 1708689, 2486927, 2486927, 0
820.000242, 9.999963, 304, 2444, 40526.5, 30399, 79326, 179718, 785787, 785787, 0
830.000242, 10.0, 312, 1326, 35014.3, 30097, 70664, 133943, 441661, 441661, 0
840.000248, 10.000006, 322, 1575, 37288.1, 30903, 83459, 176360, 218598, 218598, 0
850.000243, 9.999995, 345, 1911, 36305.9, 28999, 63546, 248815, 588459, 588459, 0
860.000288, 10.000045, 330, 1511, 41407.2, 30335, 90546, 370078, 461016, 461016, 0
870.000288, 10.0, 339, 1416, 37127.6, 30434, 80474, 158972, 308340, 308340, 0
880.000289, 10.000001, 323, 1390, 38733.0, 30408, 72594, 240896, 834157, 834157, 0
890.000279, 9.99999, 306, 1915, 45318.6, 31812, 94048, 569129, 742751, 742751, 0
900.000291, 10.000012, 362, 1641, 36525.3, 30785, 75727, 157319, 509830, 509830, 0
910.000396, 10.000105, 346, 2085, 37651.5, 29623, 80250, 224616, 456724, 456724, 0
920.000294, 9.999898, 314, 1849, 38778.8, 29848, 80250, 205191, 611532, 611532, 0
930.000297, 10.000003, 324, 1479, 35614.3, 30513, 68340, 129988, 449304, 449304, 0
940.000293, 9.999996, 335, 1479, 37083.1, 28765, 80529, 207248, 582278, 582278, 0
950.000305, 10.000012, 303, 1487, 39168.6, 31607, 84228, 205218, 404919, 404919, 0
960.000299, 9.999994, 262, 1445, 82017.7, 31266, 279835, 1162120, 1416329, 1416329, 0
970.000317, 10.000018, 261, 1664, 73007.4, 30500, 181095, 920687, 1513177, 1513177, 0
980.000293, 9.999976, 269, 1566, 54247.7, 31119, 136270, 527593, 1444997, 1444997, 0
990.000287, 9.999994, 216, 1529, 97826.4, 29954, 805092, 1182952, 1839304, 1839304, 0
1000.000291, 10.000004, 236, 1597, 70941.5, 30183, 219600, 920465, 1269583, 1269583, 0
1010.000334, 10.000043, 269, 1372, 51479.3, 28355, 143681, 478686, 875758, 875758, 0
1020.000292, 9.999958, 186, 2402, 62233.0, 29567, 203991, 646540, 1116205, 1116205, 0
1030.000318, 10.000026, 153, 2718, 118386.8, 32435, 590807, 1572573, 1643439, 1643439, 0
1040.000293, 9.999975, 74, 1595, 188597.6, 57531, 961723, 1127088, 1453274, 1453274, 0
1050.000295, 10.000002, 141, 2550, 75043.7, 33136, 227675, 845672, 1310054, 1310054, 0
1060.000293, 9.999998, 120, 1935, 103720.2, 30156, 488252, 1521862, 1885147, 1885147, 0
1070.00033, 10.000037, 255, 1703, 52621.7, 30424, 192394, 419372, 896750, 896750, 0
1080.000356, 10.000026, 322, 1570, 44885.7, 30274, 62329, 359578, 1454585, 1454585, 0
1090.000247, 9.999891, 351, 1312, 35501.0, 31392, 63513, 162125, 255764, 255764, 0
1100.000238, 9.999991, 324, 1761, 40829.1, 31493, 76525, 289457, 800890, 800890, 0
1110.000243, 10.000005, 281, 1518, 42763.3, 30188, 98718, 300236, 783887, 783887, 0
1120.000245, 10.000002, 290, 1484, 56322.8, 27842, 131772, 650016, 1818774, 1818774, 0
1130.000247, 10.000002, 287, 1455, 42596.9, 28632, 80625, 293176, 1222845, 1222845, 0
1140.000242, 9.999995, 313, 1550, 42602.7, 29140, 89232, 258181, 1441569, 1441569, 0
1150.000241, 9.999999, 259, 2989, 58659.6, 29134, 114306, 400647, 2392960, 2392960, 0
1160.000292, 10.000051, 325, 2802, 40374.0, 29453, 76079, 215218, 960630, 960630, 0
1170.000276, 9.999984, 321, 1751, 43184.2, 29490, 86438, 358893, 968232, 968232, 0
1180.000243, 9.999967, 319, 2695, 34040.2, 29877, 68528, 106846, 219271, 219271, 0
1190.000281, 10.000038, 349, 2035, 41752.0, 29698, 108097, 300026, 891486, 891486, 0
1200.000243, 9.999962, 199, 1950, 88032.6, 30355, 371255, 1022422, 1337694, 1337694, 0
1210.000242, 9.999999, 130, 2079, 113663.9, 35825, 595959, 998027, 1092149, 1092149, 0
1220.000241, 9.999999, 112, 2164, 167246.4, 38691, 958114, 1528160, 1930351, 1930351, 0
1230.000238, 9.999997, 179, 1986, 98189.2, 30295, 237568, 1528160, 2099189, 2099189, 0
1240.000242, 10.000004, 283, 1665, 72061.6, 26781, 137738, 1575544, 1686713, 1686713, 0
1250.000243, 10.000001, 218, 1649, 59125.9, 29243, 125014, 1048551, 1673688, 1673688, 0
1260.000308, 10.000065, 292, 1668, 61218.6, 28697, 130539, 1010405, 1563328, 1563328, 0
1270.000242, 9.999934, 208, 2525, 60910.0, 30051, 136392, 888436, 1275342, 1275342, 0
1280.000247, 10.000005, 286, 1573, 68307.7, 27162, 148069, 896441, 1732242, 1732242, 0
1290.00025, 10.000003, 233, 1552, 77382.3, 31621, 203336, 1100897, 1294058, 1294058, 0
1300.000241, 9.999991, 138, 2051, 116486.8, 35915, 698959, 1005082, 1052765, 1052765, 0
1310.000242, 10.000001, 129, 3141, 112948.4, 34772, 630959, 1081488, 1253939, 1253939, 0
1320.000242, 10.0, 189, 2601, 69306.5, 29121, 196133, 968298, 1031072, 1031072, 0
1330.000243, 10.000001, 263, 2523, 67695.9, 30647, 149991, 1019266, 1439081, 1439081, 0
1340.000242, 9.999999, 267, 1860, 60297.5, 29004, 167332, 699578, 1301657, 1301657, 0
1350.000474, 10.000232, 303, 2103, 52591.3, 28898, 125688, 783774, 1126538, 1126538, 0
1360.000242, 9.999768, 271, 1907, 53969.1, 28051, 115403, 850327, 1213922, 1213922, 0
1370.00024, 9.999998, 292, 1815, 43789.8, 29535, 131926, 314821, 509217, 509217, 0
1380.00024, 10.0, 293, 1401, 54264.3, 28686, 131922, 579157, 1182809, 1182809, 0
1390.00025, 10.00001, 270, 1554, 69036.6, 29725, 191817, 1062071, 1129115, 1129115, 0
