elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000014, 10.000014, 3798, 1200, 18304.2, 17590, 32073, 42249, 68725, 270747, 0
20.000688, 10.000674, 3467, 1092, 18520.9, 17134, 31795, 43751, 255885, 775544, 0
30.000692, 10.000004, 3098, 1125, 20419.9, 16535, 34407, 96776, 590433, 1709885, 0
40.000688, 9.999996, 2843, 1330, 21629.4, 16697, 40369, 103875, 692217, 1315022, 0
50.000692, 10.000004, 2681, 1069, 21269.1, 15915, 36877, 106386, 657376, 1660326, 0
60.000695, 10.000003, 3159, 1189, 20718.0, 17418, 37281, 108356, 231858, 1113036, 0
70.000877, 10.000182, 1879, 1249, 24689.6, 15993, 54913, 129364, 792858, 2824550, 0
80.000695, 9.999818, 2259, 1004, 28112.7, 18171, 84937, 154157, 1003551, 1159028, 0
90.00074, 10.000045, 1730, 1097, 32815.3, 15960, 46121, 149878, 2179867, 4988056, 0
100.000693, 9.999953, 2285, 1073, 28440.7, 18490, 67466, 223843, 931163, 1029447, 0
110.000694, 10.000001, 2043, 1191, 33264.2, 19031, 103210, 353186, 802178, 826546, 0
120.000699, 10.000005, 2187, 1319, 30453.2, 17993, 108364, 163716, 1176071, 1248825, 0
130.000694, 9.999995, 1776, 1204, 36172.8, 17257, 106521, 457593, 1486895, 2523045, 0
140.000714, 10.00002, 2247, 1170, 29392.0, 17377, 82419, 258123, 1126517, 1291581, 0
150.000687, 9.999973, 3065, 1148, 20292.2, 17482, 35311, 54220, 698553, 920195, 0
160.00073, 10.000043, 3426, 1135, 19812.1, 17696, 35114, 49955, 359053, 635642, 0
170.000699, 9.999969, 3214, 1081, 19947.5, 17894, 34500, 50394, 662499, 829656, 0
180.000693, 9.999994, 2705, 1275, 21844.0, 16570, 40030, 89636, 572850, 1724901, 0
190.000693, 10.0, 3043, 1186, 20092.2, 17286, 37157, 60553, 494480, 1229734, 0
200.000696, 10.000003, 2320, 1159, 28503.9, 17939, 68790, 221769, 1000231, 1826441, 0
210.000692, 9.999996, 1980, 1234, 31185.3, 18130, 88486, 274218, 1021537, 1475858, 0
220.000694, 10.000002, 2061, 1038, 30488.8, 18352, 91461, 156395, 1206825, 1340740, 0
230.000689, 9.999995, 2593, 1210, 25993.3, 17635, 44184, 135586, 876893, 1230075, 0
240.000693, 10.000004, 2599, 1174, 22855.7, 17857, 45783, 131253, 266910, 1194316, 0
250.000692, 9.999999, 2004, 1184, 30554.1, 16989, 80438, 221647, 1234118, 1829273, 0
260.000693, 10.000001, 2207, 983, 29926.9, 18564, 65933, 187285, 1134548, 1224385, 0
270.000742, 10.000049, 1397, 1153, 43995.3, 19329, 131197, 653186, 1198267, 1406756, 0
280.00069, 9.999948, 1435, 1148, 47863.2, 19215, 125121, 789149, 1565740, 2327119, 0
290.000695, 10.000005, 1796, 1260, 36118.5, 18236, 115844, 367870, 1219475, 1344587, 0
300.000687, 9.999992, 1334, 1285, 44766.9, 18847, 115813, 949232, 1535397, 1958891, 0
310.00078, 10.000093, 2396, 1162, 23548.7, 16986, 42230, 113555, 1155646, 1406418, 0
320.000695, 9.999915, 3008, 1148, 21011.7, 17851, 36840, 75677, 585990, 1384605, 0
330.000688, 9.999993, 3167, 1196, 21624.2, 18205, 40924, 106166, 318188, 1384605, 0
340.000753, 10.000065, 2825, 1104, 20869.3, 16861, 35232, 112996, 695909, 1112315, 0
350.000699, 9.999946, 2790, 1067, 21861.1, 16984, 35799, 89776, 1267696, 1517305, 0
360.000748, 10.000049, 3594, 1076, 19255.0, 18477, 35347, 48022, 71805, 128997, 0
