elapsed, window, total, successful, failed
9.999976, 9.999976, 3921, 3921, 0
20.000176, 10.0002, 3966, 3966, 0
30.000235, 10.000059, 2882, 2882, 0
40.000297, 10.000062, 3049, 3049, 0
50.000178, 9.999881, 2962, 2962, 0
60.000166, 9.999988, 3346, 3346, 0
70.000264, 10.000098, 3655, 3655, 0
80.000171, 9.999907, 3576, 3576, 0
90.000175, 10.000004, 3011, 3011, 0
100.000175, 10.0, 3550, 3550, 0
110.00017, 9.999995, 3288, 3288, 0
120.000177, 10.000007, 3684, 3684, 0
130.000171, 9.999994, 3393, 3393, 0
140.000214, 10.000043, 3303, 3303, 0
150.00017, 9.999956, 3605, 3605, 0
160.000164, 9.999994, 3644, 3644, 0
170.000324, 10.00016, 3311, 3311, 0
180.000238, 9.999914, 2966, 2966, 0
190.000171, 9.999933, 2500, 2500, 0
200.000171, 10.0, 2076, 2076, 0
210.000171, 10.0, 2284, 2284, 0
220.000171, 10.0, 2965, 2965, 0
230.000215, 10.000044, 3552, 3552, 0
240.000285, 10.00007, 3934, 3934, 0
250.000214, 9.999929, 3650, 3650, 0
260.000167, 9.999953, 3158, 3158, 0
270.000166, 9.999999, 3154, 3154, 0
280.000173, 10.000007, 3267, 3267, 0
290.00017, 9.999997, 3364, 3364, 0
300.000172, 10.000002, 3366, 3366, 0
310.000171, 9.999999, 3360, 3360, 0
320.000265, 10.000094, 2628, 2628, 0
330.000172, 9.999907, 2490, 2490, 0
340.000171, 9.999999, 2437, 2437, 0
350.00017, 9.999999, 3134, 3134, 0
360.000302, 10.000132, 3191, 3191, 0
370.000174, 9.999872, 3086, 3086, 0
380.000252, 10.000078, 2496, 2496, 0
390.000236, 9.999984, 2291, 2291, 0
400.000172, 9.999936, 2767, 2767, 0
410.00017, 9.999998, 2228, 2228, 0
420.000208, 10.000038, 2387, 2387, 0
430.000171, 9.999963, 2220, 2220, 0
440.000176, 10.000005, 2531, 2531, 0
450.000165, 9.999989, 2503, 2503, 0
460.000171, 10.000006, 2295, 2295, 0
470.000177, 10.000006, 2662, 2662, 0
480.00017, 9.999993, 2641, 2641, 0
490.000173, 10.000003, 2841, 2841, 0
500.00017, 9.999997, 3022, 3022, 0
510.000205, 10.000035, 3393, 3393, 0
520.000175, 9.99997, 3475, 3475, 0
530.000166, 9.999991, 3315, 3315, 0
540.00017, 10.000004, 3311, 3311, 0
550.00017, 10.0, 2430, 2430, 0
560.000166, 9.999996, 2220, 2220, 0
570.000174, 10.000008, 2562, 2562, 0
580.000169, 9.999995, 2759, 2759, 0
590.00017, 10.000001, 3361, 3361, 0
600.000175, 10.000005, 3108, 3108, 0
610.000168, 9.999993, 3267, 3267, 0
620.000203, 10.000035, 3910, 3910, 0
630.000173, 9.99997, 3950, 3950, 0
640.000178, 10.000005, 3591, 3591, 0
650.00017, 9.999992, 2444, 2444, 0
660.000171, 10.000001, 2196, 2196, 0
670.000167, 9.999996, 2225, 2225, 0
680.000172, 10.000005, 1981, 1981, 0
690.000185, 10.000013, 2173, 2173, 0
700.000171, 9.999986, 2148, 2148, 0
710.000182, 10.000011, 2545, 2545, 0
720.000176, 9.999994, 3615, 3615, 0
730.000165, 9.999989, 3498, 3498, 0
740.000173, 10.000008, 3256, 3256, 0
750.00017, 9.999997, 3058, 3058, 0
760.000213, 10.000043, 2917, 2917, 0
770.000176, 9.999963, 2448, 2448, 0
780.000169, 9.999993, 2929, 2929, 0
790.000171, 10.000002, 2522, 2522, 0
800.000171, 10.0, 2278, 2278, 0
810.000169, 9.999998, 2290, 2290, 0
820.00017, 10.000001, 2399, 2399, 0
830.000165, 9.999995, 2619, 2619, 0
840.000305, 10.00014, 3148, 3148, 0
850.000217, 9.999912, 2467, 2467, 0
860.000166, 9.999949, 2297, 2297, 0
870.000167, 10.000001, 2934, 2934, 0
880.000177, 10.00001, 3050, 3050, 0
890.000171, 9.999994, 2745, 2745, 0
900.000164, 9.999993, 3277, 3277, 0
910.00017, 10.000006, 3190, 3190, 0
920.000167, 9.999997, 3442, 3442, 0
930.000166, 9.999999, 3627, 3627, 0
940.000165, 9.999999, 3227, 3227, 0
950.000168, 10.000003, 3088, 3088, 0
960.000165, 9.999997, 3259, 3259, 0
970.000177, 10.000012, 3165, 3165, 0
980.000166, 9.999989, 3042, 3042, 0
990.00033, 10.000164, 3294, 3294, 0
1000.000167, 9.999837, 3203, 3203, 0
1010.00017, 10.000003, 3054, 3054, 0
1020.000171, 10.000001, 2749, 2749, 0
1030.000169, 9.999998, 2944, 2944, 0
1040.000168, 9.999999, 3094, 3094, 0
1050.000172, 10.000004, 2847, 2847, 0
1060.000171, 9.999999, 2368, 2368, 0
1070.00017, 9.999999, 2244, 2244, 0
1080.000171, 10.000001, 2465, 2465, 0
1090.000205, 10.000034, 2744, 2744, 0
1100.000175, 9.99997, 3271, 3271, 0
1110.000203, 10.000028, 2556, 2556, 0
1120.00017, 9.999967, 2308, 2308, 0
1130.000169, 9.999999, 2216, 2216, 0
1140.000165, 9.999996, 2797, 2797, 0
1150.000165, 10.0, 3101, 3101, 0
1160.000206, 10.000041, 3124, 3124, 0
1170.000258, 10.000052, 3772, 3772, 0
1180.000176, 9.999918, 3766, 3766, 0
1190.000171, 9.999995, 3646, 3646, 0
1200.00036, 10.000189, 3656, 3656, 0
1210.000165, 9.999805, 3605, 3605, 0
1220.000165, 10.0, 3832, 3832, 0
1230.000168, 10.000003, 3611, 3611, 0
1240.00017, 10.000002, 3720, 3720, 0
1250.000172, 10.000002, 3274, 3274, 0
1260.000171, 9.999999, 3109, 3109, 0
1270.00017, 9.999999, 2994, 2994, 0
1280.000184, 10.000014, 2836, 2836, 0
1290.000226, 10.000042, 3059, 3059, 0
1300.000183, 9.999957, 2721, 2721, 0
1310.000165, 9.999982, 3709, 3709, 0
1320.00017, 10.000005, 2789, 2789, 0
1330.000173, 10.000003, 1786, 1786, 0
1340.000169, 9.999996, 1249, 1249, 0
1350.000169, 10.0, 1262, 1262, 0
1360.000304, 10.000135, 2304, 2304, 0
1370.000171, 9.999867, 3147, 3147, 0
1380.000262, 10.000091, 3305, 3305, 0
1390.000167, 9.999905, 3216, 3216, 0
1400.000172, 10.000005, 3162, 3162, 0
1410.000238, 10.000066, 2476, 2476, 0
1420.000172, 9.999934, 2222, 2222, 0
