elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 8637, 1047, 6512.1, 4895, 13085, 20088, 106442, 1771808, 0
20.00002, 9.999997, 5287, 1032, 9483.7, 4686, 15290, 124655, 463094, 1512084, 0
30.00055, 10.00053, 4344, 1050, 8102.5, 4125, 12125, 61786, 441227, 3763784, 0
40.000548, 9.999998, 5244, 1040, 7366.7, 4311, 11755, 37496, 453513, 2190421, 0
50.000547, 9.999999, 4883, 1105, 9488.4, 4760, 17093, 109512, 334205, 2267707, 0
60.000538, 9.999991, 3308, 1035, 13442.6, 5493, 27823, 128079, 1168293, 3802893, 0
70.000556, 10.000018, 2226, 1085, 20921.0, 6727, 94481, 200587, 1566722, 2376163, 0
80.000535, 9.999979, 1504, 1094, 30820.4, 6377, 144456, 314265, 1115029, 3168977, 0
90.000545, 10.00001, 3903, 1136, 11661.0, 5266, 24398, 91051, 1132644, 2179108, 0
100.000536, 9.999991, 2568, 1102, 19289.7, 4417, 64339, 213120, 1565466, 2951341, 0
110.000601, 10.000065, 4110, 1052, 12405.9, 5084, 23935, 102448, 1144607, 3060329, 0
120.000534, 9.999933, 3760, 1095, 11006.8, 4988, 19341, 94509, 424575, 4545077, 0
130.00055, 10.000016, 5260, 1061, 9380.2, 4873, 15890, 100889, 560213, 1525547, 0
140.000589, 10.000039, 6464, 1083, 8700.7, 4886, 14348, 58385, 655663, 1518188, 0
150.000554, 9.999965, 7413, 1033, 7788.4, 4696, 14211, 48616, 487880, 1412248, 0
160.000533, 9.999979, 5577, 1090, 8835.9, 4315, 13875, 81859, 575464, 2574316, 0
170.000548, 10.000015, 4710, 1108, 10456.5, 4132, 12388, 54081, 1889480, 4479508, 0
180.000549, 10.000001, 5446, 1085, 8007.0, 4513, 14026, 97936, 309332, 1278859, 0
190.000606, 10.000057, 3206, 1061, 16087.3, 4765, 60341, 208036, 1107886, 2463900, 0
200.000542, 9.999936, 2967, 1139, 16441.8, 6310, 63596, 204159, 594834, 1331914, 0
210.000546, 10.000004, 3204, 1045, 14914.6, 5565, 45287, 192860, 662179, 1098516, 0
220.000566, 10.00002, 2770, 1113, 17676.3, 5973, 74351, 191399, 1098516, 2309297, 0
230.000601, 10.000035, 3943, 1119, 14231.0, 5205, 23208, 129082, 2008279, 4292605, 0
240.000551, 9.99995, 6057, 1055, 9294.6, 4631, 15362, 108106, 510404, 1704947, 0
250.000682, 10.000131, 4653, 1082, 10938.0, 4309, 15490, 96694, 1152685, 5190933, 0
260.000549, 9.999867, 5450, 1097, 8743.5, 4321, 13325, 72088, 916620, 2440885, 0
270.00054, 9.999991, 2797, 1046, 20107.2, 5430, 54186, 218079, 2537062, 3230483, 0
280.000543, 10.000003, 4961, 1106, 11243.1, 5268, 20660, 124703, 416326, 2229144, 0
290.000583, 10.00004, 4794, 1071, 12833.3, 4984, 18058, 132188, 1498990, 2697963, 0
300.000574, 9.999991, 4730, 1082, 11414.0, 5542, 28121, 100463, 721813, 1527109, 0
310.000575, 10.000001, 2521, 1042, 24037.7, 5899, 101577, 285213, 1528181, 3822783, 0
320.000537, 9.999962, 5282, 1095, 9068.2, 4786, 17701, 97983, 374031, 3009081, 0
330.000635, 10.000098, 5364, 1083, 8482.5, 4393, 12899, 70498, 664097, 2206157, 0
340.000611, 9.999976, 4043, 1078, 13008.3, 4693, 29387, 183546, 848393, 2333141, 0
350.00055, 9.999939, 3098, 1072, 15192.4, 5441, 53802, 139840, 930081, 1978705, 0
360.000547, 9.999997, 3733, 1069, 16988.5, 6357, 47582, 174500, 852689, 1969572, 0
370.000543, 9.999996, 3926, 1087, 16508.4, 6127, 56831, 177191, 683127, 1965417, 0
380.000558, 10.000015, 3301, 1070, 14138.7, 5463, 40784, 181138, 1031413, 1081996, 0
390.00056, 10.000002, 3246, 1100, 16412.4, 5356, 35260, 199486, 912932, 4659830, 0
400.000537, 9.999977, 1555, 1097, 35248.5, 6823, 189956, 360499, 1074931, 1342685, 0
410.000572, 10.000035, 1941, 1031, 30702.4, 7245, 125000, 283775, 1500512, 2336705, 0
420.000545, 9.999973, 3706, 1082, 13644.9, 5292, 23865, 113570, 1380732, 2829425, 0
430.000536, 9.999991, 2849, 1090, 15163.2, 5425, 43706, 93390, 1033423, 4695564, 0
440.000554, 10.000018, 3942, 1123, 11075.3, 4635, 20669, 149549, 568933, 2327865, 0
450.00054, 9.999986, 3625, 1105, 12586.0, 4609, 19176, 171106, 856250, 3091949, 0
460.000708, 10.000168, 3885, 1001, 14131.9, 5433, 28343, 137005, 1473440, 3166730, 0
470.000614, 9.999906, 2772, 1106, 20031.8, 6559, 90696, 253714, 744953, 1382634, 0
480.000586, 9.999972, 2865, 1087, 17060.5, 7252, 45275, 187161, 689179, 2839075, 0
490.000669, 10.000083, 2476, 1161, 22874.3, 7152, 100211, 287297, 1165726, 2450829, 0
500.000583, 9.999914, 3624, 1121, 15184.9, 5413, 43198, 144545, 531190, 3815930, 0
