elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 876, 2056, 25560.3, 7940, 20198, 455436, 2097456, 2339370, 0
20.00002, 9.999997, 520, 2086, 48692.9, 7855, 249209, 1001408, 1450711, 1613982, 0
30.00055, 10.00053, 428, 1993, 94337.6, 6817, 20445, 3521444, 4840392, 4840392, 0
40.000548, 9.999998, 514, 2068, 98650.2, 6866, 284709, 2737628, 3905823, 4811054, 0
50.000547, 9.999999, 448, 2399, 71342.1, 8370, 283817, 1799168, 2634000, 2634000, 0
60.000538, 9.999991, 306, 2154, 110756.7, 9486, 420748, 2664957, 4097515, 4097515, 0
70.000556, 10.000018, 220, 2506, 111558.6, 11719, 432797, 2671503, 3062230, 3062230, 0
80.000535, 9.999979, 151, 2416, 234074.2, 12942, 1886787, 2426905, 2975642, 2975642, 0
90.000545, 10.00001, 421, 2119, 70943.0, 8363, 134665, 2007438, 3349458, 3349458, 0
100.000536, 9.999991, 281, 2097, 119584.9, 7791, 222949, 3909647, 5832109, 5832109, 0
110.000601, 10.000065, 428, 2216, 44998.6, 8660, 79631, 540345, 3214959, 3214959, 0
120.000534, 9.999933, 371, 2154, 126997.5, 8569, 58142, 2674403, 9024926, 9024926, 0
130.00055, 10.000016, 515, 2047, 75842.7, 7989, 50678, 1410183, 7526765, 9306150, 0
140.000589, 10.000039, 671, 2141, 37494.0, 7648, 40673, 815519, 3778439, 3976818, 0
150.000554, 9.999965, 720, 2044, 28121.0, 7828, 25992, 452232, 1491805, 1547427, 0
160.000533, 9.999979, 570, 2049, 45480.9, 6942, 119578, 850327, 3604736, 3720630, 0
170.000548, 10.000015, 507, 1868, 61451.3, 6542, 25281, 2654994, 4217028, 5317274, 0
180.000549, 10.000001, 556, 2090, 48418.9, 7667, 211834, 636654, 1980205, 6674482, 0
190.000606, 10.000057, 347, 2041, 91472.0, 7121, 155243, 2458811, 7458176, 7458176, 0
