elapsed, window, total, successful, failed
10.000036, 10.000036, 10598, 10598, 0
20.000021, 9.999985, 8298, 8298, 0
30.000891, 10.00087, 4754, 4754, 0
40.000791, 9.9999, 4658, 4658, 0
50.000781, 9.99999, 5383, 5383, 0
60.000784, 10.000003, 4863, 4863, 0
70.000788, 10.000004, 4549, 4549, 0
80.000807, 10.000019, 4077, 4077, 0
90.00078, 9.999973, 3544, 3544, 0
100.000786, 10.000006, 4083, 4083, 0
110.000784, 9.999998, 4758, 4758, 0
120.000792, 10.000008, 2840, 2840, 0
130.000837, 10.000045, 2593, 2593, 0
140.000804, 9.999967, 1646, 1646, 0
150.000786, 9.999982, 3746, 3746, 0
160.000792, 10.000006, 5625, 5625, 0
170.000802, 10.00001, 4103, 4103, 0
180.000782, 9.99998, 3401, 3401, 0
190.00078, 9.999998, 4771, 4771, 0
200.000825, 10.000045, 4427, 4427, 0
210.000803, 9.999978, 5471, 5471, 0
220.000782, 9.999979, 2566, 2566, 0
230.000831, 10.000049, 3319, 3319, 0
240.000835, 10.000004, 2985, 2985, 0
250.000816, 9.999981, 4608, 4608, 0
260.000839, 10.000023, 5103, 5103, 0
270.000828, 9.999989, 3642, 3642, 0
280.000805, 9.999977, 6300, 6300, 0
290.000782, 9.999977, 4660, 4660, 0
300.000795, 10.000013, 2831, 2831, 0
310.000797, 10.000002, 3513, 3513, 0
320.000875, 10.000078, 2470, 2470, 0
330.000795, 9.99992, 1315, 1315, 0
340.000886, 10.000091, 4898, 4898, 0
350.000867, 9.999981, 4633, 4633, 0
360.000781, 9.999914, 4591, 4591, 0
370.000829, 10.000048, 3808, 3808, 0
380.000887, 10.000058, 2027, 2027, 0
390.00083, 9.999943, 2312, 2312, 0
400.000847, 10.000017, 2057, 2057, 0
410.000821, 9.999974, 3261, 3261, 0
420.000818, 9.999997, 2764, 2764, 0
430.000826, 10.000008, 4289, 4289, 0
440.000815, 9.999989, 2557, 2557, 0
450.000781, 9.999966, 3540, 3540, 0
460.000813, 10.000032, 3520, 3520, 0
470.00079, 9.999977, 2637, 2637, 0
480.000794, 10.000004, 3932, 3932, 0
490.000782, 9.999988, 3821, 3821, 0
500.000784, 10.000002, 3283, 3283, 0
510.000857, 10.000073, 3480, 3480, 0
520.000792, 9.999935, 3092, 3092, 0
530.000789, 9.999997, 2238, 2238, 0
540.000813, 10.000024, 1873, 1873, 0
550.000781, 9.999968, 2480, 2480, 0
560.000784, 10.000003, 2933, 2933, 0
570.000781, 9.999997, 3448, 3448, 0
580.000781, 10.0, 2596, 2596, 0
590.000795, 10.000014, 2442, 2442, 0
600.000777, 9.999982, 4018, 4018, 0
610.00078, 10.000003, 2301, 2301, 0
620.000897, 10.000117, 2505, 2505, 0
630.000803, 9.999906, 3311, 3311, 0
640.000783, 9.99998, 4085, 4085, 0
650.000783, 10.0, 4427, 4427, 0
660.000904, 10.000121, 5785, 5785, 0
670.000807, 9.999903, 4022, 4022, 0
680.00086, 10.000053, 5424, 5424, 0
690.000792, 9.999932, 6201, 6201, 0
700.00084, 10.000048, 4982, 4982, 0
710.000809, 9.999969, 4924, 4924, 0
720.000784, 9.999975, 5494, 5494, 0
730.000817, 10.000033, 4006, 4006, 0
740.000788, 9.999971, 3813, 3813, 0
750.000798, 10.00001, 3506, 3506, 0
